Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2000-01-03,19.9375,19.125,18.1875,19.375,811200.0
2000-01-04,22.0,21.0,18.5,19.125,1592100.0
2000-01-05,21.25,21.0625,19.1875,20.9375,1151700.0
2000-01-06,21.3125,19.5625,19.5,21.0,911900.0
2000-01-07,20.4375,20.0,19.5,19.8125,421400.0
2000-01-10,20.75,20.0625,19.75,20.5625,483100.0
2000-01-11,19.75,18.9375,18.1875,19.5625,1031700.0
2000-01-12,19.4375,19.0,18.25,19.3125,536000.0
2000-01-13,19.5,18.9375,18.5,19.125,638600.0
2000-01-14,19.6875,19.0,18.875,19.625,566400.0
2000-01-18,20.5,19.5,18.625,18.625,1323000.0
2000-01-19,20.25,19.4375,19.125,19.5,638800.0
2000-01-20,19.9375,19.1875,18.9375,19.8125,531000.0
2000-01-21,19.0625,18.0,17.875,18.875,957100.0
2000-01-24,18.0,16.8125,16.75,17.9375,1051100.0
2000-01-25,18.25,18.25,16.875,17.0,915300.0
2000-01-26,18.875,17.9375,17.5625,18.125,711700.0
2000-01-27,18.375,17.6875,17.375,18.125,296600.0
2000-01-28,17.75,17.1875,17.0,17.625,405000.0
2000-01-31,17.25,15.3125,15.0,17.25,1142500.0
2000-02-01,16.5625,16.25,15.625,15.9375,596800.0
2000-02-02,16.625,16.0625,15.625,16.4375,264200.0
2000-02-03,16.875,16.625,16.0,16.0625,379400.0
2000-02-04,17.0,16.8125,16.25,16.75,385800.0
2000-02-07,17.5625,17.25,16.875,17.0,339600.0
2000-02-08,17.75,17.5,17.3125,17.5,482700.0
2000-02-09,17.625,16.8125,16.75,17.5625,351500.0
2000-02-10,18.75,18.125,17.3125,17.625,955500.0
2000-02-11,18.9375,18.1875,17.75,18.5625,583900.0
2000-02-14,18.25,17.5,17.125,18.1875,432000.0
2000-02-15,17.625,16.9375,16.75,17.5,312600.0
2000-02-16,17.3125,17.0,16.8125,17.125,363200.0
2000-02-17,17.25,17.0,16.75,17.25,326000.0
2000-02-18,17.0,16.375,16.3125,16.9375,375400.0
2000-02-22,16.6875,16.125,16.0,16.65625,584000.0
2000-02-23,16.8125,16.625,15.75,16.375,507500.0
2000-02-24,17.0,15.90625,15.875,16.75,316700.0
2000-02-25,16.375,15.9375,15.25,16.3125,383100.0
2000-02-28,15.9375,15.375,15.25,15.8125,217900.0
2000-02-29,15.75,15.125,15.0625,15.4375,419300.0
2000-03-01,16.0,15.8125,15.0625,15.3125,1124600.0
2000-03-02,17.5625,15.5625,15.25,16.6875,1565300.0
2000-03-03,16.25,15.5,15.25,15.9375,444300.0
2000-03-06,15.625,15.25,15.0,15.5,546200.0
2000-03-07,15.1875,14.625,14.375,15.09375,511500.0
2000-03-08,14.75,14.125,14.0,14.5,334300.0
2000-03-09,14.375,12.625,12.5625,14.25,1948900.0
2000-03-10,12.9375,12.125,12.0625,12.921875,1045200.0
2000-03-13,12.5,12.1875,12.0625,12.25,1026700.0
2000-03-14,14.375,14.1875,12.5625,12.6875,1384700.0
2000-03-15,16.0,14.875,14.25,15.0,1420100.0
2000-03-16,16.375,16.1875,15.25,15.625,1306100.0
2000-03-17,16.875,14.75,14.25,16.625,820900.0
2000-03-20,16.75,16.0625,15.0,15.375,1240100.0
2000-03-21,16.6875,15.5,15.375,16.5625,561400.0
2000-03-22,15.5,14.5625,14.5,15.4375,523000.0
