Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2000-01-03,2.6875,2.6875,2.6875,2.6875,200.0
2000-01-04,2.5625,2.5625,2.5625,2.5625,300.0
2000-01-05,2.875,2.875,2.875,2.875,4500.0
2000-01-06,3.0,3.0,2.5,2.5,21100.0
2000-01-07,3.25,3.25,3.0,3.0,24000.0
2000-01-10,3.25,3.25,3.25,3.25,2000.0
2000-01-11,3.5,3.5,3.25,3.25,9200.0
2000-01-12,3.5625,3.5625,3.375,3.5,19200.0
2000-01-13,3.625,3.3125,3.25,3.5625,9200.0
2000-01-14,3.5,3.5,3.125,3.125,3100.0
2000-01-18,3.625,3.125,3.0,3.625,17900.0
2000-01-19,3.5,3.5,3.0,3.1875,10400.0
2000-01-20,3.5,3.125,2.625,3.5,7700.0
2000-01-21,2.875,2.625,2.625,2.875,400.0
2000-01-24,3.375,3.0,3.0,3.375,13900.0
2000-01-25,3.125,2.75,2.75,3.125,1900.0
2000-01-26,3.125,3.125,2.6875,2.6875,700.0
2000-01-27,2.75,2.75,2.75,2.75,2000.0
2000-01-28,3.125,2.875,2.75,3.125,14500.0
2000-02-01,3.0,3.0,3.0,3.0,400.0
2000-02-02,3.0,3.0,3.0,3.0,200.0
2000-02-03,2.9375,2.9375,2.9375,2.9375,100.0
2000-02-08,2.9375,2.875,2.875,2.9375,3700.0
2000-02-10,2.9375,2.875,2.875,2.90625,5800.0
2000-02-11,2.90625,2.875,2.875,2.90625,2000.0
2000-02-14,2.875,2.875,2.8125,2.875,3800.0
2000-02-15,2.875,2.875,2.875,2.875,2800.0
2000-02-16,3.0,3.0,2.875,2.875,7100.0
2000-02-17,3.0,3.0,3.0,3.0,12700.0
2000-02-18,3.0,3.0,3.0,3.0,1000.0
2000-02-22,3.0,3.0,2.875,2.875,1600.0
2000-02-23,3.125,3.125,3.0,3.0,9900.0
2000-02-24,3.25,3.25,3.0,3.0,5000.0
2000-02-25,3.0,3.0,3.0,3.0,1000.0
2000-02-29,2.875,2.875,2.875,2.875,100.0
2000-03-01,2.875,2.875,2.875,2.875,500.0
2000-03-02,3.125,3.125,2.875,2.875,2100.0
2000-03-06,3.0,3.0,2.75,2.875,3900.0
2000-03-07,2.96875,2.9375,2.9375,2.96875,600.0
2000-03-08,3.0,3.0,3.0,3.0,1800.0
2000-03-09,2.875,2.875,2.875,2.875,1700.0
2000-03-10,2.78125,2.75,2.625,2.78125,11500.0
2000-03-13,2.9375,2.9375,2.625,2.875,8200.0
2000-03-14,2.6875,2.625,2.625,2.625,6100.0
2000-03-15,2.5625,2.5,2.5,2.5625,5100.0
2000-03-16,2.53125,2.375,2.375,2.53125,7400.0
2000-03-17,2.875,2.25,2.125,2.25,22100.0
2000-03-20,2.375,2.375,2.375,2.375,600.0
2000-03-23,2.625,2.625,2.5,2.5,7000.0
2000-03-24,2.75,2.75,2.75,2.75,200.0
2000-03-28,2.5,2.5,2.25,2.25,3100.0
2000-03-29,2.375,2.375,2.375,2.375,3700.0
2000-03-31,2.3125,2.25,2.25,2.3125,6100.0
2000-04-03,2.1875,2.1875,2.1875,2.1875,4000.0
2000-04-04,2.15625,2.125,2.125,2.15625,3200.0
2000-04-05,2.125,2.125,2.03125,2.125,3200.0
2000-04-06,2.25,2.25,2.25,2.25,4800.0
2000-04-07,2.5,2.5,2.0,2.125,700.0
2000-04-10,2.75,2.75,2.03125,2.03125,1100.0
2000-04-13,2.25,2.25,2.25,2.25,200.0
2000-04-14,2.5,2.5,2.5,2.5,2600.0
2000-04-17,2.5625,2.5625,2.5,2.5,4600.0
2000-04-18,2.5,2.5,2.5,2.5,1000.0
2000-04-19,2.125,2.125,2.125,2.125,200.0
2000-04-20,2.5625,2.1875,2.1875,2.46875,3600.0
2000-04-24,2.25,2.25,2.25,2.25,500.0
2000-04-28,2.25,2.25,2.0625,2.25,22600.0
2000-05-01,2.1875,2.0,2.0,2.1875,8000.0
2000-05-02,2.0,2.0,2.0,2.0,1700.0
2000-05-03,2.0,2.0,2.0,2.0,200.0
2000-05-05,2.5,1.78125,1.78125,2.25,23900.0
2000-05-10,2.25,2.25,2.25,2.25,2800.0
2000-05-11,2.25,2.25,2.25,2.25,200.0
2000-05-12,2.1875,2.1875,2.1875,2.1875,100.0
2000-05-15,2.1875,2.1875,2.1875,2.1875,200.0
2000-05-17,2.125,2.125,2.0625,2.0625,2100.0
2000-05-22,2.0,2.0,1.875,1.875,1900.0
2000-05-23,1.875,1.875,1.875,1.875,800.0
2000-05-24,2.25,2.25,2.25,2.25,300.0
2000-05-25,2.125,1.8125,1.8125,2.0625,2000.0
2000-05-30,2.375,2.375,2.375,2.375,100.0
2000-06-01,2.375,2.0,2.0,2.25,3700.0
2000-06-02,2.375,2.25,2.25,2.375,1600.0
2000-06-05,2.0,2.0,2.0,2.0,1000.0
2000-06-06,2.125,2.125,2.125,2.125,400.0
2000-06-08,2.0,2.0,2.0,2.0,1000.0
2000-06-13,2.1875,2.1875,2.1875,2.1875,100.0
2000-06-14,2.0,2.0,2.0,2.0,1400.0
2000-06-15,1.9375,1.9375,1.9375,1.9375,1300.0
2000-06-16,2.0,1.9375,1.9375,2.0,1000.0
2000-06-19,1.9375,1.9375,1.9375,1.9375,100.0
2000-06-20,2.125,2.0,2.0,2.0,7400.0
2000-06-21,2.03125,2.03125,2.03125,2.03125,500.0
2000-06-23,2.375,2.125,2.0625,2.0625,5200.0
2000-06-26,1.9375,1.75,1.75,1.9375,7300.0
2000-06-28,1.875,1.875,1.875,1.875,300.0
2000-07-05,1.875,1.875,1.875,1.875,500.0
2000-07-10,1.9375,1.9375,1.9375,1.9375,500.0
2000-07-11,1.9375,1.9375,1.875,1.875,5400.0
2000-07-13,1.625,1.625,1.625,1.625,200.0
2000-07-17,1.65625,1.65625,1.625,1.65625,700.0
2000-07-19,1.75,1.75,1.625,1.75,7000.0
2000-07-20,1.6875,1.6875,1.6875,1.6875,500.0
2000-07-21,1.625,1.5,1.5,1.625,6100.0
2000-07-24,1.75,1.5,1.5,1.75,15400.0
2000-07-25,1.625,1.1875,1.1875,1.625,7400.0
2000-07-28,1.25,1.25,1.25,1.25,3500.0
2000-07-31,1.34375,1.125,1.125,1.34375,16300.0
2000-08-01,1.5,1.5,1.5,1.5,1000.0
2000-08-02,1.4375,1.125,1.125,1.4375,12100.0
2000-08-03,1.125,1.0,1.0,1.125,28700.0
2000-08-07,1.0625,1.0,1.0,1.0625,1300.0
2000-08-09,1.0625,1.0,1.0,1.0625,7200.0
2000-08-16,0.9375,0.875,0.875,0.9375,9600.0
2000-08-18,1.0,1.0,1.0,1.0,200.0
2000-08-21,1.375,1.375,1.0,1.0,500.0
2000-08-24,1.375,1.375,1.0,1.0,1300.0
2000-08-25,1.25,1.25,1.25,1.25,1100.0
2000-08-29,1.03125,1.03125,1.0,1.03125,7200.0
2000-08-31,0.9375,0.875,0.875,0.9375,6100.0
2000-09-06,0.9375,0.9375,0.9375,0.9375,500.0
2000-09-07,0.9375,0.9375,0.9375,0.9375,100.0
2000-09-08,1.03125,1.03125,0.9375,0.9375,2700.0
2000-09-12,0.984375,0.984375,0.984375,0.984375,200.0
2000-09-13,1.0,1.0,0.9375,1.0,6400.0
2000-09-14,0.875,0.875,0.875,0.875,12000.0
2000-09-15,0.78125,0.78125,0.78125,0.78125,1500.0
2000-09-18,0.9375,0.9375,0.8125,0.8125,2300.0
2000-09-20,0.96875,0.9375,0.9375,0.96875,2000.0
2000-09-21,0.90625,0.90625,0.90625,0.90625,1200.0
2000-09-22,0.90625,0.75,0.75,0.90625,10300.0
2000-09-25,0.875,0.75,0.75,0.875,2000.0
2000-09-26,0.75,0.75,0.75,0.75,300.0
2000-09-27,0.8125,0.8125,0.8125,0.8125,2500.0
2000-09-28,0.8125,0.8125,0.75,0.8125,5900.0
2000-09-29,1.0,1.0,1.0,1.0,1500.0
2000-10-02,0.9375,0.9375,0.9375,0.9375,400.0
2000-10-03,1.125,0.9375,0.9375,0.9375,1300.0
2000-10-04,1.0,1.0,1.0,1.0,1000.0
2000-10-05,1.25,1.25,1.234375,1.234375,400.0
2000-10-06,1.25,1.25,1.234375,1.25,1600.0
2000-10-09,0.875,0.875,0.875,0.875,2000.0
2000-10-10,1.0,1.0,0.9375,1.0,1700.0
2000-10-11,1.0,1.0,1.0,1.0,19400.0
2000-10-12,1.0,1.0,0.75,1.0,3500.0
2000-10-13,1.0,1.0,0.875,0.875,11000.0
2000-10-16,1.125,1.0,1.0,1.0,6400.0
2000-10-17,0.875,0.875,0.875,0.875,3600.0
2000-10-18,0.8125,0.75,0.75,0.8125,5100.0
2000-10-20,0.75,0.75,0.75,0.75,4000.0
2000-10-23,0.875,0.875,0.875,0.875,3700.0
2000-10-24,0.875,0.875,0.875,0.875,900.0
2000-10-25,1.0,1.0,0.875,0.890625,1400.0
2000-10-26,1.0,1.0,0.984375,0.984375,1000.0
2000-10-27,0.8125,0.8125,0.8125,0.8125,3500.0
2000-10-30,1.0,0.875,0.875,1.0,10600.0
2000-10-31,0.78125,0.78125,0.78125,0.78125,500.0
2000-11-01,0.8125,0.75,0.65625,0.75,4700.0
2000-11-02,0.75,0.75,0.75,0.75,5900.0
2000-11-03,0.65625,0.65625,0.625,0.65625,8300.0
2000-11-06,0.65625,0.65625,0.5625,0.5625,900.0
2000-11-07,0.75,0.65625,0.65625,0.75,4700.0
2000-11-08,0.75,0.625,0.625,0.6875,2400.0
2000-11-09,0.578125,0.5625,0.5625,0.578125,2700.0
2000-11-10,0.625,0.625,0.625,0.625,5200.0
2000-11-13,0.9375,0.75,0.625,0.625,2800.0
2000-11-15,0.9375,0.9375,0.9375,0.9375,1200.0
2000-11-16,0.890625,0.5,0.5,0.890625,8200.0
2000-11-17,0.5,0.5,0.5,0.5,300.0
2000-11-22,0.5625,0.5625,0.5625,0.5625,1000.0
2000-11-27,0.578125,0.578125,0.578125,0.578125,100.0
2000-11-29,0.5625,0.5625,0.5625,0.5625,500.0
2000-11-30,0.5625,0.5625,0.5625,0.5625,500.0
2000-12-01,0.5625,0.5625,0.5625,0.5625,1000.0
2000-12-04,0.59375,0.59375,0.5625,0.5625,8500.0
2000-12-05,0.59375,0.515625,0.515625,0.59375,3400.0
2000-12-06,1.0,1.0,1.0,1.0,7500.0
2000-12-07,0.5625,0.5625,0.5625,0.5625,3700.0
2000-12-12,0.625,0.5625,0.5625,0.625,1200.0
2000-12-13,0.5625,0.5625,0.5625,0.5625,15500.0
2000-12-15,0.578125,0.5625,0.5625,0.5625,6000.0
2000-12-19,0.5625,0.5625,0.5625,0.5625,2000.0
2000-12-20,0.5625,0.5625,0.5625,0.5625,16000.0
2000-12-21,0.515625,0.4375,0.4375,0.5,2800.0
2000-12-22,0.5625,0.4375,0.4375,0.5625,31700.0
2000-12-26,0.4375,0.4375,0.4375,0.4375,1000.0
2000-12-27,0.5,0.5,0.5,0.5,1000.0
2000-12-28,0.5,0.40625,0.40625,0.5,14400.0
2000-12-29,0.8125,0.5625,0.375,0.375,9900.0
2001-01-02,0.5625,0.5625,0.5625,0.5625,1700.0
2001-01-08,0.5625,0.5625,0.5625,0.5625,300.0
2001-01-12,0.625,0.5625,0.5625,0.625,3400.0
2001-01-17,0.5,0.5,0.5,0.5,4000.0
2001-01-18,0.5,0.5,0.5,0.5,7800.0
2001-01-19,0.5,0.5,0.5,0.5,600.0
2001-01-31,0.5625,0.5625,0.5625,0.5625,500.0
2001-02-01,0.546875,0.546875,0.546875,0.546875,500.0
2001-02-06,0.75,0.75,0.53125,0.734375,1700.0
2001-02-07,0.75,0.625,0.625,0.734375,2600.0
2001-02-08,0.8125,0.8125,0.75,0.75,5600.0
2001-02-09,1.0,1.0,0.796875,0.796875,28600.0
2001-02-12,1.03125,1.03125,0.9375,1.015625,10600.0
2001-02-13,1.125,1.125,0.953125,0.953125,6600.0
2001-02-14,1.9375,1.9375,1.171875,1.171875,26300.0
2001-02-15,1.9375,1.75,1.25,1.859375,21800.0
2001-02-16,1.671875,1.5,1.5,1.671875,1400.0
2001-02-20,1.75,1.125,1.03125,1.0625,31100.0
2001-02-21,1.5,1.4375,1.125,1.453125,19700.0
2001-02-22,1.5,1.09375,1.09375,1.359375,11500.0
2001-02-23,1.4375,1.375,1.375,1.4375,1900.0
2001-02-26,1.25,1.125,1.125,1.25,3400.0
2001-02-27,1.4375,1.421875,1.421875,1.4375,1300.0
2001-02-28,1.125,1.03125,1.03125,1.125,3000.0
2001-03-01,1.21875,1.21875,1.21875,1.21875,1000.0
2001-03-02,1.375,1.375,1.0625,1.0625,4700.0
2001-03-05,1.078125,1.0625,1.0625,1.078125,500.0
2001-03-06,1.375,1.375,1.25,1.25,2600.0
2001-03-07,1.375,1.375,1.203125,1.203125,300.0
2001-03-12,1.1875,1.1875,1.1875,1.1875,1400.0
2001-03-13,1.09375,1.09375,1.09375,1.09375,500.0
2001-03-14,1.09375,1.0,1.0,1.09375,3400.0
2001-03-15,1.1875,1.1875,1.1875,1.1875,900.0
2001-03-16,1.015625,1.0,1.0,1.015625,800.0
2001-03-19,1.09375,1.09375,1.09375,1.09375,700.0
2001-03-20,1.078125,1.0625,1.0,1.078125,4300.0
2001-03-21,1.125,1.125,1.0625,1.0625,3000.0
2001-03-22,1.1875,1.1875,1.125,1.1875,800.0
2001-03-23,1.0,1.0,1.0,1.0,1100.0
2001-03-30,1.0,1.0,0.921875,0.984375,4100.0
2001-04-02,1.0625,1.0625,1.0625,1.0625,400.0
2001-04-03,1.078125,1.0,1.0,1.078125,500.0
2001-04-04,1.0,0.9375,0.9375,1.0,1000.0
2001-04-06,0.9375,0.90625,0.90625,0.9375,2400.0
2001-04-09,0.9,0.87,0.87,0.9,1700.0
2001-04-10,0.8,0.8,0.8,0.8,100.0
2001-04-11,0.81,0.81,0.81,0.81,200.0
2001-04-12,1.05,1.05,1.05,1.05,100.0
2001-04-16,1.1,1.03,1.0,1.0,2600.0
2001-04-17,1.03,1.03,1.03,1.03,700.0
2001-04-18,1.03,1.03,1.03,1.03,200.0
2001-04-20,1.19,1.19,1.05,1.05,8800.0
