Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2007-09-19,22.81,22.6,22.57,22.81,314100.0
2007-09-20,22.9,22.75,22.55,22.75,310400.0
2007-09-21,23.1154,22.73,22.67,22.67,326500.0
2007-09-24,23.0,22.85,22.73,22.96,247200.0
2007-09-25,22.85,22.72,22.58,22.85,311500.0
2007-09-26,22.57,22.4,22.26,22.57,436600.0
2007-09-27,23.03,22.97,22.9,22.98,1516500.0
2007-09-28,23.45,23.27,23.2,23.39,1097500.0
2007-10-01,23.82,23.74,23.28,23.28,340300.0
2007-10-02,23.63,23.49,23.44,23.49,295400.0
2007-10-03,23.85,23.67,23.59,23.74,239600.0
2007-10-04,24.1,23.97,23.82,23.9,242000.0
2007-10-05,24.33,24.3,24.02,24.02,341200.0
2007-10-08,24.25,24.2,24.02,24.02,433300.0
2007-10-09,23.7,23.58,23.43,23.7,306600.0
2007-10-10,23.47,23.38,23.27,23.37,514700.0
2007-10-11,23.64,23.2,23.19,23.38,895600.0
2007-10-12,23.45,23.29,20.72,21.32,219800.0
2007-10-15,23.27,22.94,22.82,23.22,308700.0
2007-10-16,22.74,22.47,22.43,22.74,428700.0
2007-10-17,22.84,22.83,22.59,22.6,630800.0
2007-10-18,22.96,22.77,22.66,22.96,458800.0
2007-10-19,22.57,22.16,22.07,22.57,372900.0
2007-10-22,22.4,22.4,22.19,22.21,368200.0
2007-10-23,22.58,22.51,22.33,22.49,288300.0
2007-10-24,22.55,22.43,22.11,22.35,426700.0
2007-10-25,22.47,22.42,22.2,22.47,396100.0
2007-10-26,22.82,22.78,22.44,22.51,328100.0
2007-10-29,23.1,23.05,22.95,23.05,307800.0
2007-10-30,22.74,22.59,21.93,22.74,305700.0
2007-10-31,23.08,22.95,22.78,22.82,322700.0
2007-11-01,22.93,22.6,22.56,22.67,357000.0
2007-11-02,22.64,22.57,22.32,22.64,322600.0
2007-11-05,22.53,22.46,22.28,22.51,211250.0
2007-11-06,22.9,22.87,22.71,22.81,343300.0
2007-11-07,22.98,22.62,22.39,22.79,298030.0
2007-11-08,22.68,22.32,22.01,22.68,615400.0
2007-11-09,23.17,22.5,21.94,22.58,572160.0
2007-11-12,23.13,22.45,22.37,22.68,558100.0
2007-11-13,22.98,22.98,22.53,22.53,333000.0
2007-11-14,23.0,22.57,22.57,23.0,301300.0
2007-11-15,22.9,22.64,22.5,22.61,343600.0
2007-11-16,22.82,22.75,22.58,22.78,296200.0
2007-11-19,23.06,22.88,22.71,22.98,312300.0
2007-11-20,22.89,22.62,22.39,22.8,350500.0
2007-11-21,22.6016,22.54,22.37,22.51,527300.0
2007-11-23,22.77,22.69,22.36,22.36,213500.0
2007-11-26,22.89,22.24,22.14,22.89,340410.0
2007-11-27,22.4,22.39,22.13,22.39,502692.0
2007-11-28,22.39,22.33,21.95,22.25,596000.0
2007-11-29,22.62,22.46,22.27,22.3,1092400.0
2007-11-30,22.99,22.6,22.56,22.7,518000.0
2007-12-03,22.74,22.52,22.38,22.63,455600.0
2007-12-04,23.46,23.34,23.0,23.0,573800.0
2007-12-05,24.18,24.08,23.64,23.88,761300.0
2007-12-06,24.43,24.4,24.03,24.22,539300.0
2007-12-07,24.27,24.1,23.95,24.24,447659.0
2007-12-10,24.91,24.87,24.53,24.53,455690.0
2007-12-11,24.39,23.62,23.61,24.39,564000.0
2007-12-12,24.5199,24.16,23.96,24.49,390100.0
2007-12-13,24.03,24.02,23.81,23.87,369600.0
2007-12-14,23.68,23.37,23.31,23.4,386900.0
2007-12-17,23.67,23.37,23.1,23.1,536704.0
2007-12-18,23.95,23.79,23.51,23.66,494200.0
2007-12-19,23.47,23.22,23.16,23.16,557391.0
2007-12-20,23.71,23.64,23.41,23.67,481700.0
2007-12-21,24.17,24.17,23.85,23.98,634933.0
2007-12-24,24.23,24.16,24.03,24.09,171434.0
2007-12-26,24.46,24.38,24.28,24.41,265071.0
2007-12-27,24.54,24.31,24.21,24.23,258400.0
2007-12-28,24.75,24.53,24.28,24.28,263700.0
2007-12-31,24.9,24.66,24.42,24.9,460494.0
2008-01-02,24.96,24.79,24.5,24.5,481400.0
2008-01-03,24.98,24.84,24.66,24.96,471700.0
