Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2004-01-16,1.28,1.28,1.2,1.2,837.5
2004-01-20,1.36,1.36,1.24,1.28,18208.25
2004-01-21,1.48,1.48,1.4,1.4,29587.5
2004-01-22,1.48,1.4,1.4,1.4,41912.5
2004-01-23,1.48,1.2,1.2,1.4,41387.5
2004-01-26,1.24,1.24,1.2,1.2,8750.0
2004-01-27,1.32,1.32,1.12,1.2,33000.0
2004-01-28,1.36,1.36,1.28,1.28,2725.0
2004-01-29,1.28,1.28,1.2,1.2,7125.0
2004-01-30,1.32,1.24,1.12,1.2,31262.5
2004-02-02,1.2,1.08,1.08,1.12,4687.5
2004-02-03,1.12,1.08,1.08,1.12,11000.0
2004-02-04,1.16,1.12,1.04,1.16,9737.5
2004-02-05,1.16,1.04,1.0,1.08,20237.25
2004-02-09,1.16,1.12,1.12,1.16,800.0
2004-02-12,1.28,1.28,1.08,1.16,33050.0
2004-02-13,1.2,1.12,1.04,1.04,17625.0
2004-02-17,1.08,1.0,1.0,1.0,17312.5
2004-02-18,1.08,1.0,0.98,1.08,12290.0
2004-02-19,1.04,1.0,0.96,0.96,8242.75
2004-02-20,0.96,0.96,0.96,0.96,5272.5
2004-02-23,1.0,0.88,0.8,0.92,7297.5
2004-02-24,0.96,0.8,0.8,0.84,38677.75
2004-02-25,0.88,0.8,0.76,0.76,12006.25
2004-02-26,1.0,1.0,0.84,0.88,8081.25
2004-02-27,1.0,0.84,0.84,0.84,9125.0
2004-03-01,0.96,0.88,0.84,0.84,9762.5
2004-03-02,0.84,0.82,0.8,0.84,8500.0
2004-03-04,0.88,0.88,0.84,0.84,8900.0
2004-03-05,0.88,0.88,0.88,0.88,2500.0
2004-03-08,1.04,1.04,0.84,0.84,25195.0
2004-03-09,1.08,1.08,1.0,1.04,13584.0
2004-03-10,1.2,1.04,1.04,1.2,13047.5
2004-03-11,1.12,1.12,0.96,0.96,643.75
2004-03-12,0.96,0.96,0.96,0.96,881.25
2004-03-15,0.96,0.96,0.92,0.96,2250.0
2004-03-16,1.0,0.92,0.92,0.96,11750.0
2004-03-17,1.0,1.0,0.92,1.0,8088.0
2004-03-18,1.04,0.96,0.96,0.96,2980.0
2004-03-22,0.96,0.88,0.88,0.88,16600.0
2004-03-23,0.92,0.8,0.8,0.88,20264.75
2004-03-24,0.88,0.88,0.88,0.88,2700.0
2004-03-25,0.96,0.88,0.88,0.96,5212.5
2004-03-26,0.92,0.8,0.8,0.92,3962.5
2004-03-29,0.98,0.92,0.72,0.72,66350.0
2004-03-30,0.92,0.92,0.92,0.92,375.0
2004-03-31,1.28,1.28,0.96,0.96,35325.0
2004-04-01,1.32,1.32,1.2,1.32,10186.0
2004-04-02,1.36,1.32,1.24,1.24,26125.0
2004-04-05,1.4,1.32,1.28,1.28,22837.5
2004-04-06,1.28,1.2,1.2,1.28,2500.0
2004-04-07,1.24,1.2,1.2,1.2,2500.0
2004-04-08,1.32,1.2,1.2,1.32,5925.0
2004-04-12,1.28,1.28,1.2,1.2,7125.0
2004-04-13,1.2,1.0,1.0,1.16,5506.25
2004-04-14,1.2,1.2,1.0,1.0,6500.0
2004-04-15,1.16,1.08,0.92,1.0,15250.0
2004-04-16,1.2,1.2,0.88,0.88,7779.0
