Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-07-30,3.5,3.5,3.39,3.39,,10200.0
2007-07-31,3.75,3.6,3.35,3.35,,31650.0
2007-08-01,3.45,3.31,3.3,3.4,,9000.0
2007-08-02,3.43,3.43,3.2,3.2,,12400.0
2007-08-03,3.44,3.44,3.25,3.44,,16500.0
2007-08-07,3.31,3.3,3.3,3.3,,31000.0
2007-08-09,3.3,3.3,3.3,3.3,,15962.0
2007-08-10,3.37,3.37,3.3,3.33,,11580.0
2007-08-13,3.3,3.3,3.3,3.3,,48640.0
2007-08-14,3.25,3.19,3.19,3.25,,108448.0
2007-08-16,2.65,2.65,2.3,2.5,,30805.0
2007-08-17,2.65,2.43,2.3,2.65,,228251.0
2007-08-20,2.47,2.4,2.25,2.3,,239600.0
2007-08-21,2.45,2.45,2.25,2.35,,572230.0
2007-08-22,2.8,2.57,2.4,2.4,,524700.0
2007-08-23,2.95,2.82,2.65,2.8,,19900.0
2007-08-24,2.91,2.75,2.75,2.91,,11700.0
2007-08-27,2.8,2.8,2.8,2.8,,200.0
2007-08-28,2.8,2.79,2.78,2.78,,86450.0
2007-08-29,2.8,2.8,2.77,2.77,,36009.0
2007-08-30,2.8,2.8,2.79,2.79,,12600.0
2007-08-31,2.8,2.79,2.65,2.78,,32957.0
2007-09-04,2.75,2.69,2.68,2.75,,38553.0
2007-09-05,2.75,2.69,2.68,2.73,,54100.0
2007-09-06,2.8,2.8,2.68,2.69,,53612.0
2007-09-07,3.3,2.85,2.8,2.8,,192939.0
2007-09-10,2.93,2.85,2.83,2.85,,359607.0
2007-09-11,2.99,2.9,2.85,2.9,,287900.0
2007-09-12,3.1,3.0,2.9,2.9,,615390.0
2007-09-13,3.1,3.07,3.0,3.0,,489200.0
2007-09-14,3.66,3.27,3.0,3.0,,184217.0
2007-09-17,3.39,3.0,3.0,3.17,,49026.0
2007-09-18,3.17,3.11,3.05,3.05,,616400.0
2007-09-19,3.3,3.3,3.0,3.05,,614000.0
2007-09-20,3.3,3.3,3.12,3.12,,171626.0
2007-09-21,3.3,3.2,3.17,3.3,,207497.0
2007-09-24,3.3,3.3,3.25,3.25,,11698.0
2007-09-25,3.45,3.45,3.27,3.27,,17031.0
2007-09-26,3.45,3.35,3.25,3.27,,15002.0
2007-09-27,3.45,3.37,3.35,3.35,,9500.0
2007-09-28,3.39,3.35,3.29,3.37,,10053.0
2007-10-01,3.3,3.3,3.23,3.25,,36700.0
2007-10-02,3.3,3.3,3.23,3.3,,66600.0
