Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2008-06-26,4.0,3.94,3.85,3.9,,724826.0
2008-06-27,4.0,4.0,3.9,3.9,,56000.0
2008-06-30,4.01,4.0,3.9,3.95,,136650.0
2008-07-02,4.0,3.9,3.9,4.0,,21700.0
2008-07-03,3.9,3.9,3.9,3.9,,800.0
2008-07-04,3.95,3.95,3.95,3.95,,1700.0
2008-07-07,3.95,3.95,3.95,3.95,,2000.0
2008-07-08,3.95,3.9,3.9,3.9,,15465.0
2008-07-09,3.9,3.9,3.9,3.9,,1000.0
2008-07-10,3.95,3.9,3.9,3.9,,7000.0
2008-07-11,3.9,3.85,3.85,3.9,,28200.0
2008-07-14,3.9,3.9,3.9,3.9,,154850.0
2008-07-15,3.94,3.9,3.85,3.9,,64900.0
2008-07-16,3.85,3.85,3.85,3.85,,25000.0
2008-07-17,3.9,3.85,3.85,3.85,,6615.0
2008-07-18,3.85,3.85,3.85,3.85,,5000.0
2008-07-21,3.92,3.85,3.85,3.9,,62000.0
2008-07-22,4.0,4.0,3.85,3.92,,54800.0
2008-07-23,4.0,3.9,3.85,3.85,,205500.0
2008-07-24,3.9,3.9,3.9,3.9,,1000.0
2008-07-25,3.9,3.75,3.75,3.9,,55000.0
2008-07-28,3.88,3.7,3.5,3.5,,7300.0
2008-07-29,3.5,3.5,3.5,3.5,,5000.0
2008-07-31,3.5,3.5,3.5,3.5,,4675.0
2008-08-01,3.61,3.5,3.5,3.61,,28692.0
2008-08-05,3.5,3.5,3.5,3.5,,4650.0
2008-08-08,3.5,3.5,3.5,3.5,,700.0
2008-08-11,3.5,3.5,3.5,3.5,,5259.0
2008-08-12,3.5,3.5,3.5,3.5,,8201.0
2008-08-13,3.5,3.5,3.5,3.5,,5050.0
2008-08-15,3.45,3.45,3.45,3.45,,100.0
2008-08-19,3.4,3.3,2.9,3.0,,6000.0
2008-08-21,3.02,3.01,3.01,3.02,,600.0
2008-08-22,3.25,3.25,3.25,3.25,,200.0
2008-08-28,3.5,3.5,3.5,3.5,,100.0
2008-08-29,3.5,3.5,3.5,3.5,,2000.0
2008-09-03,3.25,3.25,3.25,3.25,,3100.0
2008-09-04,3.1,3.0,3.0,3.1,,1100.0
2008-09-05,3.1,3.1,3.05,3.06,,7377.0
2008-09-08,3.35,3.15,3.15,3.35,,3100.0
2008-09-09,3.07,3.0,3.0,3.07,,12451.0
2008-09-10,3.0,3.0,3.0,3.0,,1910.0
2008-09-11,3.01,3.0,3.0,3.01,,5200.0
2008-09-12,3.2,3.2,3.0,3.0,,6200.0
2008-09-16,2.9,2.9,2.9,2.9,,17000.0
2008-09-17,2.7,2.7,2.7,2.7,,15700.0
2008-09-18,2.5,2.5,2.05,2.5,,47000.0
2008-09-19,2.5,2.5,2.1,2.5,,13000.0
2008-09-22,2.55,2.55,2.55,2.55,,2900.0
2008-09-23,2.45,2.45,2.45,2.45,,500.0
2008-09-25,2.5,2.5,2.5,2.5,,5000.0
2008-09-26,2.5,2.2,2.2,2.5,,4000.0
2008-09-29,2.2,2.0,2.0,2.2,,2800.0
2008-09-30,2.05,2.0,2.0,2.05,,14500.0
2008-10-01,2.1,2.0,1.91,2.1,,397800.0
2008-10-02,2.0,1.9,1.9,2.0,,67700.0
2008-10-06,2.0,1.7,1.7,1.75,,3800.0
2008-10-07,2.0,1.75,1.75,2.0,,15345.0
2008-10-08,1.6,1.6,1.59,1.6,,11500.0
2008-10-09,1.5,1.5,1.41,1.41,,3000.0
2008-10-14,1.6,1.6,1.38,1.4,,38000.0
2008-10-15,1.4,1.39,1.3,1.4,,14300.0
2008-10-16,1.39,1.39,1.34,1.35,,19800.0
2008-10-17,1.39,1.31,1.2,1.2,,102800.0
2008-10-20,1.3,1.3,1.3,1.3,,100000.0
2008-10-21,1.3,1.3,1.3,1.3,,10300.0
2008-10-22,1.26,1.26,1.26,1.26,,1000.0
2008-10-23,1.17,1.1,1.1,1.17,,22000.0
2008-10-24,1.06,1.0,1.0,1.06,,40200.0
2008-10-28,0.99,0.8,0.8,0.9,,16300.0
2008-10-29,0.99,0.9,0.9,0.9,,14000.0
2008-10-30,0.9,0.85,0.85,0.9,,4030.0
2008-10-31,0.81,0.7,0.7,0.81,,33600.0
2008-11-03,0.71,0.64,0.6,0.71,,163000.0
2008-11-04,0.85,0.85,0.7,0.7,,96500.0
2008-11-05,1.0,0.96,0.95,1.0,,75610.0
2008-11-06,0.96,0.88,0.88,0.96,,11285.0
2008-11-07,0.89,0.75,0.75,0.89,,14500.0
2008-11-10,0.94,0.94,0.75,0.76,,30000.0
2008-11-11,0.75,0.68,0.68,0.75,,45100.0
2008-11-14,0.75,0.75,0.66,0.71,,1179600.0
2008-11-17,0.84,0.7,0.7,0.84,,13800.0
2008-11-18,0.66,0.6,0.6,0.66,,37085.0
2008-11-19,0.65,0.6,0.58,0.59,,56000.0
2008-11-20,0.6,0.56,0.56,0.6,,78000.0
2008-11-21,0.58,0.58,0.55,0.58,,59300.0
2008-11-24,0.82,0.82,0.7,0.7,,28645.0
2008-11-25,0.89,0.75,0.75,0.89,,86299.0
2008-11-26,0.81,0.81,0.81,0.81,,6500.0
2008-11-27,0.88,0.88,0.88,0.88,,1500.0
2008-11-28,0.89,0.81,0.81,0.89,,5500.0
2008-12-01,0.9,0.8,0.8,0.8,,24300.0
2008-12-02,0.81,0.8,0.8,0.81,,50100.0
2008-12-03,0.8,0.7,0.7,0.8,,107000.0
2008-12-04,0.76,0.7,0.7,0.75,,74000.0
2008-12-05,0.7,0.62,0.62,0.7,,33150.0
2008-12-08,0.63,0.57,0.57,0.62,,40150.0
2008-12-09,0.6,0.54,0.54,0.58,,57250.0
2008-12-10,0.55,0.55,0.52,0.52,,10250.0
2008-12-11,0.6,0.56,0.56,0.58,,15500.0
2008-12-12,0.54,0.54,0.54,0.54,,5200.0
2008-12-15,0.65,0.6,0.58,0.58,,51200.0
2008-12-16,0.61,0.55,0.48,0.61,,293000.0
2008-12-18,0.55,0.49,0.485,0.55,,137000.0
2008-12-19,0.55,0.485,0.48,0.485,,67589.0
2008-12-22,0.55,0.5,0.5,0.55,,111925.0
2008-12-23,0.51,0.51,0.5,0.5,,16338.0
2008-12-24,0.6,0.52,0.52,0.6,,37205.0
2008-12-29,0.66,0.66,0.59,0.59,,34000.0
2008-12-30,0.93,0.85,0.78,0.78,,27700.0
2008-12-31,0.93,0.93,0.93,0.93,,7000.0
2009-01-02,1.3,1.3,0.94,0.94,,32000.0
2009-01-05,1.5,1.41,1.2,1.2,,27300.0
2009-01-06,1.45,1.26,1.26,1.45,,17300.0
2009-01-07,1.33,1.15,1.15,1.33,,19800.0
2009-01-08,1.28,1.28,1.18,1.18,,19500.0
2009-01-12,1.17,1.15,1.15,1.17,,9100.0
2009-01-13,1.15,1.1,1.09,1.15,,12500.0
2009-01-14,1.05,1.05,1.05,1.05,,4000.0
2009-01-15,1.02,1.02,1.0,1.02,,25900.0
2009-01-16,1.08,1.08,1.05,1.05,,13000.0
2009-01-19,1.15,1.0,1.0,1.15,,7400.0
2009-01-22,0.99,0.84,0.82,0.99,,19400.0
2009-01-23,0.85,0.8,0.8,0.85,,3000.0
2009-01-26,0.8,0.8,0.8,0.8,,30462.0
2009-01-27,0.8,0.8,0.77,0.8,,72750.0
2009-01-28,0.85,0.85,0.79,0.79,,13250.0
2009-01-29,0.82,0.8,0.8,0.82,,3000.0
2009-02-02,0.82,0.82,0.82,0.82,,5000.0
2009-02-04,0.83,0.83,0.83,0.83,,3300.0
2009-02-05,0.83,0.8,0.8,0.83,,222500.0
2009-02-06,0.79,0.79,0.79,0.79,,10000.0
2009-02-09,0.78,0.78,0.78,0.78,,180000.0
2009-02-10,0.74,0.74,0.74,0.74,,2000.0
2009-02-11,0.74,0.74,0.74,0.74,,5000.0
2009-02-12,0.73,0.7,0.69,0.71,,224300.0
2009-02-13,0.85,0.85,0.78,0.78,,37500.0
2009-02-17,0.91,0.91,0.79,0.8,,24700.0
2009-02-18,1.15,1.15,0.9,0.9,,27500.0
2009-02-19,1.18,1.12,1.12,1.17,,8590.0
2009-02-20,1.12,1.12,1.12,1.12,,3000.0
2009-02-24,1.05,1.03,0.95,1.05,,71439.0
2009-02-25,1.0,0.95,0.92,0.95,,101000.0
2009-02-26,0.95,0.95,0.95,0.95,,6000.0
2009-03-02,0.95,0.95,0.8,0.8,,5570.0
2009-03-03,0.95,0.82,0.82,0.95,,6400.0
2009-03-04,0.99,0.99,0.99,0.99,,1450.0
2009-03-05,0.96,0.96,0.96,0.96,,10800.0
2009-03-06,1.0,1.0,0.9,0.9,,10000.0
2009-03-09,0.94,0.94,0.82,0.85,,15020.0
2009-03-11,0.92,0.92,0.92,0.92,,500.0
2009-03-18,0.9,0.9,0.9,0.9,,1500.0
2009-03-19,0.96,0.96,0.9,0.9,,19100.0
2009-03-20,0.95,0.95,0.92,0.92,,10200.0
2009-03-23,1.0,1.0,0.99,0.99,,20000.0
2009-03-24,0.99,0.98,0.96,0.99,,21600.0
2009-03-25,0.98,0.97,0.97,0.97,,67700.0
2009-03-26,0.98,0.96,0.96,0.98,,12500.0
2009-03-30,0.96,0.96,0.96,0.96,,5000.0
2009-04-01,0.96,0.96,0.96,0.96,,38650.0
2009-04-02,0.94,0.94,0.93,0.94,,13000.0
2009-04-03,0.85,0.85,0.85,0.85,,9820.0
2009-04-06,0.9,0.9,0.9,0.9,,2000.0
2009-04-07,0.87,0.86,0.85,0.87,,102300.0
2009-04-08,0.85,0.85,0.85,0.85,,6400.0
2009-04-09,0.9,0.9,0.9,0.9,,5000.0
2009-04-13,0.96,0.96,0.95,0.95,,11000.0
2009-04-14,0.96,0.96,0.96,0.96,,104000.0
2009-04-20,0.96,0.88,0.88,0.96,,53000.0
2009-04-22,0.95,0.92,0.89,0.89,,46401.0
2009-04-23,1.03,1.03,0.96,0.96,,55500.0
2009-04-24,0.99,0.99,0.99,0.99,,7200.0
2009-04-27,1.0,1.0,1.0,1.0,,5000.0
2009-04-29,1.02,1.02,1.02,1.02,,1760.0
2009-04-30,1.02,1.02,1.02,1.02,,16500.0
2009-05-04,1.02,1.02,1.0,1.02,,32059.0
2009-05-05,1.02,1.0,1.0,1.0,,15650.0
2009-05-06,1.08,1.0,0.98,1.07,,156950.0
2009-05-07,1.18,1.08,1.04,1.05,,113900.0
2009-05-08,1.25,1.25,1.05,1.06,,46200.0
2009-05-11,1.63,1.5,1.34,1.34,,37800.0
2009-05-12,2.05,1.8,1.66,1.66,,62690.0
2009-05-13,1.9,1.71,1.71,1.9,,31900.0
2009-05-14,1.7,1.65,1.6,1.7,,85100.0
2009-05-15,1.69,1.69,1.6,1.6,,5000.0
2009-05-19,1.7,1.65,1.65,1.7,,61000.0
2009-05-20,1.69,1.63,1.63,1.69,,5250.0
2009-05-21,1.62,1.6,1.6,1.6,,12100.0
2009-05-22,1.62,1.6,1.6,1.61,,6625.0
2009-05-25,1.6,1.6,1.6,1.6,,200.0
2009-05-26,1.65,1.65,1.65,1.65,,3600.0
2009-05-27,1.69,1.69,1.69,1.69,,1200.0
2009-05-28,1.7,1.7,1.69,1.69,,63300.0
2009-05-29,1.7,1.7,1.7,1.7,,9100.0
2009-06-01,1.84,1.75,1.7,1.75,,21400.0
2009-06-02,1.81,1.8,1.8,1.8,,11400.0
2009-06-03,1.8,1.75,1.75,1.8,,34075.0
2009-06-04,1.8,1.61,1.61,1.79,,20161.0
2009-06-05,1.8,1.8,1.79,1.79,,38500.0
2009-06-08,1.79,1.79,1.79,1.79,,3200.0
2009-06-09,1.75,1.75,1.75,1.75,,300.0
2009-06-10,1.75,1.75,1.75,1.75,,21000.0
2009-06-11,1.8,1.8,1.71,1.79,,146409.0
2009-06-12,1.97,1.93,1.9,1.94,,22500.0
2009-06-15,1.85,1.85,1.85,1.85,,500.0
2009-06-16,1.89,1.85,1.85,1.89,,2250.0
2009-06-17,1.82,1.82,1.82,1.82,,5000.0
2009-06-19,1.89,1.89,1.81,1.81,,13000.0
2009-06-22,1.7,1.7,1.7,1.7,,1000.0
2009-06-23,1.66,1.65,1.65,1.66,,6025.0
2009-06-24,1.93,1.75,1.65,1.79,,60600.0
2009-06-25,1.8,1.7,1.7,1.75,,2300.0
2009-06-26,1.7,1.7,1.7,1.7,,8000.0
2009-06-29,1.8,1.7,1.7,1.72,,107000.0
2009-06-30,1.8,1.7,1.7,1.8,,37400.0
2009-07-02,1.8,1.8,1.8,1.8,,12000.0
2009-07-06,1.8,1.8,1.75,1.76,,15500.0
2009-07-08,1.7,1.6,1.6,1.7,,20500.0
2009-07-09,1.61,1.6,1.6,1.61,,205800.0
2009-07-13,1.65,1.65,1.65,1.65,,2000.0
2009-07-14,1.63,1.58,1.58,1.63,,9700.0
2009-07-15,1.7,1.7,1.7,1.7,,5000.0
2009-07-21,1.75,1.75,1.65,1.65,,19600.0
2009-07-22,1.65,1.65,1.65,1.65,,4000.0
2009-07-23,1.7,1.7,1.69,1.69,,12500.0
2009-07-24,1.7,1.7,1.7,1.7,,5300.0
2009-07-29,1.62,1.62,1.62,1.62,,2000.0
2009-08-06,1.75,1.75,1.75,1.75,,8040.0
2009-08-07,1.8,1.78,1.78,1.8,,18245.0
2009-08-10,1.79,1.7,1.7,1.78,,6448.0
2009-08-11,1.75,1.75,1.68,1.69,,15300.0
2009-08-12,1.79,1.7,1.7,1.79,,8400.0
2009-08-13,1.7,1.65,1.65,1.66,,4000.0
2009-08-14,1.75,1.75,1.67,1.67,,6900.0
2009-08-17,1.75,1.75,1.69,1.74,,11000.0
2009-08-18,1.7,1.7,1.7,1.7,,2000.0
2009-08-20,1.75,1.75,1.74,1.74,,2500.0
2009-08-21,1.77,1.75,1.7,1.77,,18000.0
2009-08-24,1.75,1.75,1.75,1.75,,1300.0
2009-08-25,1.75,1.75,1.75,1.75,,4700.0
2009-08-27,1.8,1.8,1.74,1.74,,22000.0
2009-08-28,1.8,1.79,1.79,1.8,,56000.0
2009-08-31,1.8,1.8,1.8,1.8,,8000.0
2009-09-01,1.8,1.77,1.77,1.8,,12870.0
2009-09-02,1.8,1.8,1.8,1.8,,26500.0
2009-09-03,2.0,2.0,1.8,1.8,,35223.0
2009-09-04,2.2,2.19,2.08,2.15,,9875.0
2009-09-08,2.59,2.57,2.17,2.17,,67500.0
2009-09-09,2.65,2.53,2.5,2.6,,65850.0
2009-09-10,3.0,2.96,2.6,2.6,,39450.0
2009-09-11,3.03,3.0,2.9,2.95,,42950.0
2009-09-14,3.0,2.9,2.9,2.95,,11200.0
2009-09-15,3.0,2.7,2.7,3.0,,26775.0
2009-09-16,3.0,3.0,2.75,2.75,,33600.0
2009-09-17,2.95,2.87,2.87,2.94,,35250.0
2009-09-18,3.0,2.9,2.88,2.9,,47250.0
2009-09-21,2.85,2.8,2.75,2.8,,8150.0
2009-09-22,2.85,2.7,2.57,2.85,,5100.0
2009-09-23,2.8,2.8,2.69,2.75,,14500.0
2009-09-24,2.86,2.65,2.43,2.84,,137000.0
2009-09-25,2.64,2.61,2.61,2.64,,1400.0
2009-09-28,2.7,2.65,2.6,2.7,,64100.0
2009-09-29,2.74,2.65,2.61,2.74,,12350.0
2009-09-30,2.75,2.75,2.6,2.63,,117325.0
2009-10-01,2.86,2.8,2.79,2.79,,72600.0
2009-10-02,2.8,2.7,2.7,2.8,,3300.0
2009-10-05,2.7,2.7,2.7,2.7,,15000.0
2009-10-06,2.7,2.7,2.7,2.7,,15900.0
2009-10-07,2.7,2.7,2.7,2.7,,10500.0
2009-10-08,2.7,2.7,2.7,2.7,,4500.0
2009-10-09,2.85,2.79,2.7,2.7,,36200.0
2009-10-13,2.84,2.79,2.75,2.76,,18630.0
2009-10-14,2.89,2.75,2.75,2.78,,55150.0
2009-10-15,3.1,3.0,2.8,2.8,,86035.0
2009-10-16,3.2,3.15,2.91,2.91,,60005.0
2009-10-19,3.35,3.16,3.16,3.35,,44785.0
2009-10-20,3.21,3.19,3.16,3.21,,8200.0
2009-10-21,3.35,3.25,3.23,3.25,,6500.0
2009-10-22,3.61,3.6,3.18,3.25,,50885.0
2009-10-23,3.95,3.7,3.7,3.75,,48500.0
2009-10-26,3.89,3.5,3.36,3.75,,118520.0
