Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2000-01-03,1.75,1.75,1.6875,1.6875,1100.0
2000-01-04,1.875,1.875,1.875,1.875,800.0
2000-01-05,1.625,1.5625,1.5625,1.625,3500.0
2000-01-07,1.5,1.5,1.5,1.5,800.0
2000-01-10,1.5,1.5,1.5,1.5,12500.0
2000-01-11,1.6875,1.5,1.5,1.6875,2200.0
2000-01-12,1.4375,1.4375,1.4375,1.4375,7700.0
2000-01-13,1.5,1.5,1.5,1.5,2000.0
2000-01-14,1.5625,1.5,1.5,1.5625,3000.0
2000-01-18,1.5,1.5,1.5,1.5,600.0
2000-01-19,1.5,1.5,1.5,1.5,3000.0
2000-01-20,1.625,1.625,1.5,1.5,200.0
2000-01-21,1.625,1.625,1.5625,1.5625,3300.0
2000-01-24,1.6875,1.6875,1.6875,1.6875,11300.0
2000-01-26,1.5,1.5,1.5,1.5,1100.0
2000-01-27,1.625,1.625,1.5625,1.5625,3900.0
2000-01-28,1.6875,1.6875,1.6875,1.6875,2000.0
2000-01-31,1.6875,1.6875,1.6875,1.6875,2200.0
2000-02-01,1.6875,1.6875,1.6875,1.6875,5000.0
2000-02-02,1.6875,1.5,1.5,1.6875,5300.0
2000-02-03,1.5625,1.5,1.5,1.5625,1700.0
2000-02-04,1.5,1.5,1.5,1.5,7400.0
2000-02-07,1.625,1.625,1.625,1.625,3200.0
2000-02-08,1.625,1.625,1.5625,1.5625,6800.0
2000-02-09,1.625,1.625,1.625,1.625,2800.0
2000-02-10,1.625,1.5,1.5,1.625,45800.0
2000-02-11,1.4375,1.4375,1.4375,1.4375,1800.0
2000-02-14,1.75,1.625,1.625,1.625,3100.0
2000-02-15,1.625,1.625,1.625,1.625,1600.0
2000-02-17,1.75,1.75,1.75,1.75,500.0
2000-02-18,1.75,1.625,1.625,1.75,5100.0
2000-02-22,1.75,1.625,1.625,1.625,5400.0
2000-02-23,1.8125,1.75,1.75,1.8125,7200.0
2000-02-24,1.625,1.5625,1.5625,1.625,10600.0
2000-02-25,1.75,1.75,1.375,1.5,2800.0
2000-02-28,1.75,1.6875,1.625,1.625,6700.0
2000-02-29,1.8125,1.8125,1.75,1.75,4600.0
2000-03-01,1.8125,1.6875,1.6875,1.8125,1100.0
2000-03-02,1.8125,1.8125,1.6875,1.8125,4000.0
2000-03-03,1.75,1.75,1.75,1.75,1700.0
2000-03-06,1.8125,1.8125,1.6875,1.6875,8400.0
2000-03-07,1.8125,1.8125,1.625,1.625,8100.0
2000-03-08,1.75,1.75,1.75,1.75,800.0
2000-03-09,2.0,1.9375,1.8125,1.875,4000.0
2000-03-10,1.9375,1.9375,1.9375,1.9375,200.0
2000-03-13,2.0,2.0,2.0,2.0,500.0
2000-03-14,1.9375,1.9375,1.8125,1.8125,2500.0
