Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-07-16,22.99,21.15,20.57,22.68,53052.0,12591082.0
2015-07-17,21.35,20.04,20.0,21.24,7994.0,1260506.0
2015-07-20,21.18,20.2,19.58,20.4,3375.0,485590.0
2015-07-21,20.45,20.0,19.624,20.0,1481.0,207677.0
2015-07-22,20.82,20.65,20.0,20.0,1396.0,199662.0
2015-07-23,20.9,20.37,20.33,20.83,697.0,95332.0
2015-07-24,20.89,20.0,19.79,20.22,908.0,139124.0
2015-07-27,20.17,19.97,18.28,20.0,2998.0,576596.0
2015-07-28,20.835,19.71,18.72,19.94,1968.0,294181.0
2015-07-29,19.81,19.7,19.27,19.46,1105.0,150521.0
2015-07-30,19.73,19.6,19.0,19.45,939.0,188234.0
2015-07-31,19.68,19.62,19.43,19.55,579.0,99722.0
2015-08-03,20.91,20.88,19.44,19.56,1387.0,267256.0
2015-08-04,21.19,20.57,19.7,20.9,1816.0,299719.0
2015-08-05,20.8495,19.99,19.8,20.61,1225.0,237507.0
2015-08-06,20.43,19.95,19.75,20.0,718.0,129565.0
2015-08-07,20.06,19.94,19.8,19.81,936.0,150970.0
2015-08-10,20.83,19.13,18.8,19.89,2144.0,310550.0
2015-08-11,19.83,19.31,18.79,18.86,1391.0,220060.0
2015-08-12,19.9254,19.73,18.95,19.3,1254.0,145352.0
2015-08-13,19.94,19.25,19.12,19.79,1030.0,101124.0
2015-08-14,20.0,19.91,18.97,19.42,1305.0,201500.0
2015-08-17,20.4,19.45,19.165,19.99,1816.0,265914.0
2015-08-18,20.0095,19.87,19.1801,19.66,1078.0,110047.0
2015-08-19,20.32,19.81,19.52,19.75,1079.0,162911.0
2015-08-20,20.03,19.54,19.54,19.75,1107.0,132704.0
2015-08-21,19.74,18.32,18.28,19.29,1742.0,331972.0
2015-08-24,18.01,16.72,16.0,17.36,2227.0,313979.0
2015-08-25,17.74,15.91,15.7,17.4,3011.0,493805.0
2015-08-26,16.71,16.52,16.22,16.37,1904.0,230287.0
2015-08-27,17.31,16.62,16.415,16.86,3020.0,321943.0
2015-08-28,17.63,17.57,16.59,16.72,1381.0,169368.0
2015-08-31,17.97,17.89,16.97,17.7,1423.0,184184.0
2015-09-01,18.045,17.55,17.26,17.62,1326.0,126512.0
2015-09-02,17.97,17.1,16.98,17.92,2068.0,380037.0
2015-09-03,17.64,16.61,16.22,17.07,1674.0,365455.0
2015-09-04,17.29,17.03,16.31,16.31,1443.0,185257.0
2015-09-08,17.81,17.27,16.95,17.47,1801.0,236913.0
2015-09-09,18.27,17.09,16.9975,17.29,2250.0,326073.0
2015-09-10,18.74,18.25,17.31,17.48,4632.0,582143.0
2015-09-11,18.78,18.26,17.71,18.5,3191.0,498268.0
2015-09-14,18.45,18.1,17.78,18.24,2853.0,405832.0
2015-09-15,18.44,18.19,17.74,18.19,1728.0,238376.0
2015-09-16,18.7,18.68,17.9901,18.1,2250.0,283246.0
2015-09-17,18.83,18.7,18.25,18.56,2218.0,257544.0
2015-09-18,18.95,17.82,17.53,18.33,3979.0,882220.0
2015-09-21,18.64,17.31,17.19,17.97,1940.0,269708.0
2015-09-22,17.31,17.27,16.82,17.15,2139.0,244493.0
2015-09-23,17.405,16.36,16.18,17.25,2605.0,271356.0
2015-09-24,17.96,16.14,15.86,16.34,2206.0,257308.0
2015-09-25,17.094,16.35,15.96,16.34,2904.0,336843.0
2015-09-28,16.39,16.16,15.63,16.29,3704.0,459143.0
2015-09-29,16.81,16.49,16.04,16.31,3406.0,376439.0
2015-09-30,16.935,16.17,15.995,16.56,6721.0,2561466.0
2015-10-01,16.63,16.08,15.45,16.25,4331.0,536694.0
2015-10-02,16.82,16.73,15.725,16.29,3883.0,472999.0
2015-10-05,16.875,16.66,16.29,16.83,2517.0,321768.0
2015-10-06,16.62,16.39,15.95,16.57,1988.0,228360.0
2015-10-07,16.76,16.59,16.22,16.4,1909.0,243642.0
2015-10-08,16.6,16.49,16.08,16.49,1790.0,176312.0
2015-10-09,17.11,17.1,16.4,16.49,1773.0,188211.0
2015-10-12,17.19,16.94,16.2,17.03,2416.0,249799.0
2015-10-13,17.1,16.99,16.73,16.82,1919.0,266290.0
2015-10-14,17.438,16.3,16.095,16.98,2440.0,331450.0
2015-10-15,16.504,16.18,15.62,16.28,1595.0,177929.0
2015-10-16,16.32,15.91,15.69,16.2,2000.0,337097.0
2015-10-19,15.96,15.66,15.65,15.82,1321.0,159220.0
