Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-07-18,31.0,27.18,25.05,28.1,23672.0,4783836.0
2013-07-19,27.58,26.7,25.67,26.85,2451.0,537669.0
2013-07-22,28.3,26.99,26.75,27.46,674.0,133165.0
2013-07-23,27.95,26.74,26.74,27.05,878.0,132137.0
2013-07-24,27.5,23.47,23.21,26.81,1509.0,377876.0
2013-07-25,23.49,20.13,20.03,23.35,2563.0,526599.0
2013-07-26,20.41,19.31,18.57,20.41,4031.0,854892.0
2013-07-29,21.3,20.99,19.7,19.87,899.0,166095.0
2013-07-30,21.28,20.14,19.5,21.24,751.0,160356.0
2013-07-31,21.0,20.18,19.76,20.34,579.0,107810.0
2013-08-01,20.73,19.37,19.2,20.73,726.0,125497.0
2013-08-02,20.53,20.53,19.03,19.2,740.0,121170.0
2013-08-05,21.86,21.85,20.08,20.44,483.0,93924.0
2013-08-06,21.8,20.17,20.04,21.17,518.0,108209.0
2013-08-07,20.52,20.01,19.5201,20.5,373.0,63362.0
2013-08-08,20.64,19.88,19.78,20.64,552.0,116332.0
2013-08-09,19.98,19.84,19.13,19.98,497.0,73367.0
2013-08-12,20.239,19.36,19.0,20.13,1219.0,207993.0
2013-08-13,19.733,18.45,17.66,19.3,1275.0,234829.0
2013-08-14,19.1,18.49,18.38,18.38,543.0,97898.0
2013-08-15,19.485,18.89,18.36,18.41,809.0,141481.0
2013-08-16,19.43,18.58,18.58,19.19,558.0,164906.0
2013-08-19,18.6,17.73,17.54,18.57,663.0,119445.0
2013-08-20,17.9,16.69,16.25,17.5,1159.0,209163.0
2013-08-21,16.673,16.36,15.74,16.64,823.0,194040.0
2013-08-22,17.08,16.65,16.53,16.53,301.0,67208.0
2013-08-23,17.16,16.85,16.65,16.65,336.0,63772.0
2013-08-26,17.75,17.4,16.98,16.98,604.0,88720.0
2013-08-27,17.38,17.07,16.6,17.38,424.0,81401.0
2013-08-28,17.27,16.94,16.85,17.27,212.0,43912.0
2013-08-29,17.2299,17.01,16.6,17.12,183.0,35461.0
2013-08-30,17.08,16.23,16.23,17.0,214.0,44850.0
2013-09-03,16.9997,16.41,16.25,16.55,444.0,94733.0
2013-09-04,16.4,15.98,15.82,16.16,443.0,86103.0
2013-09-05,16.38,16.16,16.09,16.15,435.0,57227.0
2013-09-06,16.4,16.05,16.05,16.31,317.0,81021.0
2013-09-09,16.64,16.21,16.07,16.1,580.0,135520.0
2013-09-10,16.6175,16.18,16.01,16.2,424.0,104328.0
2013-09-11,16.69,16.6,16.0143,16.21,450.0,158973.0
2013-09-12,16.99,16.66,16.57,16.69,879.0,131365.0
2013-09-13,17.87,17.334,16.62,16.62,790.0,127116.0
2013-09-16,17.798,16.91,16.8,17.66,434.0,59627.0
2013-09-17,17.1,16.63,16.36,16.99,552.0,87780.0
2013-09-18,16.91,16.734,16.2701,16.65,686.0,89181.0
2013-09-19,17.1,16.71,16.46,16.83,797.0,116884.0
2013-09-20,16.85,16.27,16.25,16.85,368.0,137370.0
2013-09-23,16.74,16.01,15.69,16.74,965.0,143547.0
2013-09-24,16.729,16.3,15.94,16.05,641.0,111653.0
2013-09-25,16.61,16.16,15.87,16.47,498.0,74473.0
2013-09-26,16.5,16.44,16.2438,16.2438,501.0,70274.0
2013-09-27,16.466,16.29,15.78,16.43,573.0,107645.0
2013-09-30,16.48,15.31,15.25,16.48,1362.0,738764.0
2013-10-01,15.82,15.8,15.0,15.31,992.0,180845.0
2013-10-02,17.679,17.47,15.58,15.74,1175.0,173430.0
2013-10-03,17.9299,17.21,16.86,17.48,714.0,99877.0
2013-10-04,17.36,16.26,16.22,17.18,490.0,78259.0
2013-10-07,16.29,15.81,15.74,16.18,451.0,69995.0
2013-10-08,16.33,15.6,15.5,15.85,680.0,100240.0
2013-10-09,15.7899,13.95,13.6,15.65,1455.0,301700.0
2013-10-10,15.47,14.64,14.2,14.22,802.0,145891.0
2013-10-11,14.84,14.15,14.01,14.54,596.0,83148.0
2013-10-14,14.94,14.0,13.9001,14.21,411.0,61289.0
2013-10-15,14.36,13.57,13.51,14.0,387.0,56495.0
2013-10-16,14.1025,13.91,13.7,13.7,432.0,82254.0
2013-10-17,14.88,14.56,13.9,14.24,368.0,75115.0
2013-10-18,15.2625,14.76,14.522,14.65,326.0,73420.0
2013-10-21,16.0,15.12,14.69,14.83,1553.0,300060.0
2013-10-22,15.729,14.82,14.41,15.25,679.0,481546.0
2013-10-23,15.6428,15.54,14.99,15.15,773.0,150965.0
2013-10-24,16.38,15.9,15.42,15.93,760.0,148713.0
2013-10-25,16.1,15.04,15.02,15.9,658.0,100809.0
2013-10-28,15.13,14.95,14.59,15.08,679.0,95145.0
2013-10-29,14.94,14.63,14.5,14.82,390.0,76774.0
2013-10-30,14.68,13.99,13.77,14.68,719.0,127881.0
2013-10-31,14.099,13.91,13.81,14.01,650.0,104616.0
2013-11-01,13.98,13.29,13.1411,13.93,513.0,87080.0
2013-11-04,13.75,13.11,13.06,13.3,386.0,68797.0
2013-11-05,14.32,13.37,12.78,14.32,531.0,112620.0
2013-11-06,13.9466,13.36,13.19,13.41,244.0,37540.0
2013-11-07,13.58,13.08,12.95,13.338,211.0,40916.0
2013-11-08,13.29,13.05,12.75,13.0,577.0,97371.0
2013-11-11,13.2,12.76,12.31,13.0,660.0,90807.0
2013-11-12,12.9683,12.31,12.115,12.6,1937.0,296366.0
2013-11-13,12.6299,12.468,12.065,12.29,632.0,84645.0
2013-11-14,12.88,12.71,12.37,12.49,1145.0,235388.0
2013-11-15,13.48,13.42,12.6075,12.7,303.0,75968.0
2013-11-18,13.85,13.3,13.193,13.52,235.0,34580.0
2013-11-19,13.3233,12.84,12.45,13.24,613.0,110460.0
2013-11-20,13.45,13.0,12.82,12.83,630.0,101627.0
2013-11-21,13.28,12.92,12.62,13.0,195.0,31818.0
2013-11-22,13.209,12.77,12.6088,13.17,167.0,30364.0
2013-11-25,13.27,12.84,12.504,12.77,185.0,34307.0
2013-11-26,13.33,12.98,12.88,12.9,282.0,42942.0
2013-11-27,13.25,13.09,12.89,13.03,227.0,32921.0
2013-11-29,13.46,13.46,12.9,13.1,346.0,82177.0
2013-12-02,14.15,14.0,13.25,13.48,614.0,184469.0
2013-12-03,31.99,27.7,22.1,23.6,26120.0,5687779.0
2013-12-04,32.389,29.65,27.7,30.15,12941.0,2861102.0
2013-12-05,29.89,28.38,27.801,29.89,1863.0,447893.0
2013-12-06,28.85,26.57,26.39,28.47,1529.0,350874.0
2013-12-09,26.4999,25.36,24.62,26.38,2064.0,387627.0
2013-12-10,26.4,25.39,24.95,25.24,1205.0,159166.0
2013-12-11,25.7399,23.5,23.2,25.3,1835.0,276063.0
2013-12-12,24.47,24.11,23.2454,23.92,962.0,117345.0
2013-12-13,24.79,23.87,23.4,24.29,795.0,101944.0
2013-12-16,30.38,28.91,24.19,24.19,6439.0,1084390.0
2013-12-17,29.1,28.4,27.0,28.84,3125.0,440916.0
2013-12-18,29.297,29.22,27.111,28.4,1901.0,250516.0
2013-12-19,31.22,29.14,28.621,29.01,3117.0,464769.0
2013-12-20,29.23,28.62,27.53,29.23,1907.0,846967.0
2013-12-23,29.5,28.57,27.96,29.4,1023.0,110616.0
2013-12-24,29.8,29.47,28.06,28.89,756.0,95470.0
2013-12-26,31.0,29.13,28.8075,30.94,1311.0,177941.0
2013-12-27,29.9358,28.93,28.02,29.05,1014.0,91277.0
2013-12-30,29.34,28.33,28.11,29.22,770.0,74985.0
2013-12-31,31.0,29.52,27.65,28.21,1872.0,291529.0
