Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,5.92,5.77,5.64,5.68,,111400.0
2007-09-20,5.94,5.81,5.73,5.8,,109100.0
2007-09-21,5.88,5.88,5.7101,5.8,,57200.0
2007-09-24,5.88,5.76,5.69,5.88,,38600.0
2007-09-25,5.73,5.66,5.5901,5.73,,44500.0
2007-09-26,5.87,5.76,5.62,5.68,,101100.0
2007-09-27,5.86,5.75,5.6,5.74,,293600.0
2007-09-28,5.89,5.78,5.76,5.77,,90500.0
2007-10-01,5.91,5.72,5.7,5.78,,156200.0
2007-10-02,5.8,5.74,5.56,5.71,,89100.0
2007-10-03,5.9,5.76,5.61,5.71,,66800.0
2007-10-04,5.8,5.73,5.68,5.75,,285500.0
2007-10-05,5.84,5.84,5.7,5.77,,93400.0
2007-10-08,5.83,5.59,5.59,5.79,,84200.0
2007-10-09,5.84,5.81,5.62,5.62,,172000.0
2007-10-10,5.9,5.54,5.54,5.85,,58500.0
2007-10-11,5.6984,5.4,5.35,5.63,,98800.0
2007-10-12,5.74,5.51,5.43,5.43,,50400.0
2007-10-15,5.67,5.39,5.39,5.48,,75600.0
2007-10-16,5.48,5.43,5.22,5.39,,185200.0
2007-10-17,5.8,5.38,5.38,5.45,,137400.0
2007-10-18,5.49,5.31,5.28,5.33,,73100.0
2007-10-19,5.46,5.22,5.17,5.33,,93700.0
2007-10-22,5.32,5.32,5.08,5.22,,76500.0
2007-10-23,5.5,5.43,5.25,5.5,,75200.0
2007-10-24,5.43,5.35,5.35,5.37,,54900.0
2007-10-25,5.57,5.57,5.35,5.42,,47300.0
2007-10-26,5.68,5.14,5.14,5.58,,121500.0
2007-10-29,5.82,5.52,5.14,5.14,,104300.0
2007-10-30,5.5,5.4,5.22,5.5,,40500.0
2007-10-31,5.69,5.67,5.39,5.45,,100000.0
2007-11-01,5.68,5.63,5.37,5.67,,91700.0
2007-11-02,5.68,5.5,5.31,5.6,,73400.0
2007-11-05,5.54,5.48,5.4,5.5,,69000.0
2007-11-06,5.54,5.37,5.35,5.53,,128100.0
2007-11-07,5.32,5.05,4.97,5.32,,131600.0
2007-11-08,5.17,4.8,4.48,5.03,,217930.0
2007-11-09,5.35,5.19,4.76,4.76,,215000.0
2007-11-12,5.36,5.01,5.0,5.12,,76400.0
2007-11-13,5.19,5.04,4.98,5.05,,75200.0
2007-11-14,5.17,5.03,4.97,5.05,,50400.0
2007-11-15,5.33,5.33,5.0,5.05,,208300.0
2007-11-16,5.35,5.24,5.15,5.35,,33500.0
2007-11-19,5.22,5.1,5.0,5.22,,32300.0
2007-11-20,5.21,5.14,5.01,5.13,,57100.0
2007-11-21,5.06,4.94,4.94,5.03,,59800.0
2007-11-23,5.25,5.05,4.91,4.91,,28000.0
2007-11-26,5.15,5.08,5.0,5.01,,73000.0
2007-11-27,5.09,4.94,4.94,5.09,,125400.0
2007-11-28,5.1,5.05,4.7,4.98,,76400.0
2007-11-29,5.12,5.04,4.98,5.0,,84130.0
2007-11-30,5.35,5.15,5.02,5.02,,137800.0
2007-12-03,5.48,5.22,5.11,5.22,,69750.0
2007-12-04,5.38,5.33,5.16,5.21,,37000.0
2007-12-05,5.41,5.19,5.17,5.4,,93400.0
2007-12-06,5.33,5.32,5.13,5.13,,50400.0
2007-12-07,5.3,5.2,4.96,5.3,,68800.0
2007-12-10,5.23,4.94,4.94,5.18,,72400.0
2007-12-11,5.05,4.99,4.95,4.98,,75200.0
2007-12-12,5.05,4.94,4.77,5.05,,141400.0
2007-12-13,4.88,4.84,4.81,4.86,,42700.0
2007-12-14,4.8,4.54,4.42,4.8,,84300.0
2007-12-17,4.75,4.55,4.49,4.53,,147700.0
2007-12-18,4.62,4.54,4.32,4.57,,186800.0
2007-12-19,4.56,4.49,4.41,4.54,,27800.0
2007-12-20,4.55,4.36,4.29,4.49,,74900.0
2007-12-21,4.6,4.35,4.35,4.4,,208900.0
2007-12-24,4.66,4.6,4.48,4.5,,38500.0
2007-12-26,4.62,4.49,4.49,4.5,,58000.0
2007-12-27,4.66,4.61,4.4,4.45,,50200.0
2007-12-28,4.69,4.43,4.38,4.59,,76100.0
2007-12-31,4.58,4.41,4.36,4.36,,186297.0
2008-01-02,4.58,4.55,4.38,4.4,,44800.0
2008-01-03,4.54,4.47,4.44,4.53,,24700.0
2008-01-04,4.41,4.06,4.02,4.4,,27100.0
2008-01-07,4.1,3.87,3.81,4.07,,70800.0
2008-01-08,3.99,3.89,3.82,3.9,,54900.0
2008-01-09,4.24,4.1,4.01,4.02,,104800.0
2008-01-10,4.16,3.98,3.98,4.1,,45300.0
2008-01-11,4.1,4.02,3.99,4.0,,37200.0
2008-01-14,4.37,4.23,3.99,4.03,,163400.0
2008-01-15,4.73,4.27,4.04,4.41,,191200.0
2008-01-16,4.28,4.0,3.86,4.26,,172500.0
2008-01-17,4.0,3.71,3.71,3.97,,88106.0
2008-01-18,3.99,3.83,3.62,3.71,,28000.0
2008-01-22,3.6,3.3,3.04,3.37,,140241.0
2008-01-23,3.77,3.64,3.13,3.15,,94011.0
2008-01-24,3.82,3.6,3.51,3.58,,90000.0
2008-01-25,4.72,4.29,3.6,3.61,,183870.0
2008-01-28,4.34,3.96,3.74,4.34,,112287.0
2008-01-29,4.75,4.75,3.91,3.96,,120450.0
2008-01-30,4.74,4.4,4.29,4.68,,153800.0
2008-01-31,4.74,4.54,4.26,4.3,,48700.0
2008-02-01,4.63,4.59,4.1,4.1,,56900.0
2008-02-04,4.61,4.45,4.38,4.58,,94800.0
2008-02-05,4.5,4.31,4.285,4.42,,34700.0
2008-02-06,4.36,4.09,4.01,4.31,,67200.0
2008-02-07,4.19,4.14,3.91,4.04,,152900.0
2008-02-08,4.24,4.16,4.0,4.12,,95800.0
2008-02-11,4.17,4.14,4.09,4.13,,30400.0
2008-02-12,4.2,4.15,4.04,4.15,,43000.0
2008-02-13,4.17,4.08,4.01,4.17,,36800.0
2008-02-14,4.18,4.08,4.05,4.08,,134170.0
2008-02-15,4.27,4.03,4.0,4.09,,104000.0
2008-02-19,4.35,4.26,3.87,3.87,,58900.0
2008-02-20,4.25,4.11,4.07,4.24,,28900.0
2008-02-21,4.41,4.41,4.06,4.12,,57400.0
2008-02-22,4.4,4.17,4.09,4.37,,54000.0
2008-02-25,4.19,3.82,3.82,4.15,,65330.0
2008-02-26,3.98,3.91,3.8,3.89,,62200.0
2008-02-27,4.0,3.87,3.84,3.84,,57800.0
2008-02-28,4.18,4.06,3.83,3.83,,65700.0
2008-02-29,4.05,3.9,3.71,4.01,,121200.0
2008-03-03,4.18,4.12,4.01,4.01,,305684.0
2008-03-04,4.13,3.93,3.83,4.08,,39400.0
2008-03-05,4.07,3.98,3.94,3.96,,50800.0
2008-03-06,4.06,4.06,3.86,4.0,,97600.0
2008-03-07,4.04,3.94,3.83,4.0,,79900.0
2008-03-10,4.04,3.98,3.9,3.9,,84100.0
2008-03-11,4.01,3.95,3.94,3.98,,86309.0
2008-03-12,4.08,3.79,3.79,3.97,,99400.0
2008-03-13,4.0,3.95,3.81,3.83,,124900.0
2008-03-14,3.99,3.87,3.69,3.97,,77500.0
2008-03-17,3.88,3.45,3.45,3.88,,36920.0
2008-03-18,3.66,3.45,3.41,3.41,,49400.0
2008-03-19,3.58,3.24,3.23,3.39,,51100.0
2008-03-20,3.39,3.3,3.11,3.25,,41990.0
2008-03-24,3.5,3.32,3.24,3.26,,49057.0
2008-03-25,3.9,3.9,3.24,3.29,,64300.0
2008-03-26,3.85,3.84,3.7,3.85,,181800.0
2008-03-27,3.94,3.8,3.71,3.84,,97500.0
2008-03-28,4.03,4.0,3.78,3.78,,56024.0
2008-03-31,4.03,3.99,3.81,3.98,,76300.0
2008-04-01,4.16,3.75,3.75,4.0,,46400.0
2008-04-02,3.99,3.8,3.15,3.77,,196600.0
2008-04-03,3.79,3.7,3.6,3.77,,69500.0
2008-04-04,3.67,3.44,3.41,3.67,,53000.0
2008-04-07,3.46,3.26,3.18,3.44,,172286.0
2008-04-08,3.29,3.29,3.11,3.23,,92500.0
2008-04-09,3.37,3.0,2.84,3.33,,179099.0
2008-04-10,3.0899,3.02,2.995,3.0,,213262.0
2008-04-11,3.24,2.98,2.96,2.99,,102275.0
2008-04-14,3.1,3.04,3.0,3.06,,218042.0
2008-04-15,3.21,3.1,2.97,3.08,,59179.0
2008-04-16,3.12,3.03,3.0,3.09,,45988.0
2008-04-17,3.16,3.12,3.02,3.03,,19700.0
2008-04-18,3.13,3.0,2.93,3.11,,51903.0
2008-04-21,3.1288,3.02,3.0,3.0,,71700.0
2008-04-22,3.09,3.01,3.01,3.01,,19991.0
