Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,12.73,12.63,12.21,12.22,,8748180.0
2007-09-20,12.75,12.51,12.43,12.55,,4468828.0
2007-09-21,12.79,12.72,12.37,12.65,,4672071.0
2007-09-24,12.72,12.47,12.38,12.49,,4080451.0
2007-09-25,12.88,12.85,12.2,12.46,,9698778.0
2007-09-26,13.15,12.74,12.56,13.0,,8751300.0
2007-09-27,12.84,12.57,12.51,12.82,,7174836.0
2007-09-28,12.75,12.56,12.36,12.56,,4981688.0
2007-10-01,12.75,12.55,12.43,12.61,,7867053.0
2007-10-02,12.71,12.47,12.43,12.54,,4482689.0
2007-10-03,12.8,12.4,12.34,12.61,,5727450.0
2007-10-04,12.51,12.43,12.22,12.42,,6945487.0
2007-10-05,12.88,12.6,12.36,12.62,,5725794.0
2007-10-08,12.6,12.54,12.33,12.55,,3477957.0
2007-10-09,12.61,12.44,12.14,12.46,,4923131.0
2007-10-10,12.7,12.61,12.42,12.44,,6280816.0
2007-10-11,12.74,12.27,11.96,12.59,,8093382.0
2007-10-12,12.5,12.5,12.13,12.28,,3920881.0
2007-10-15,12.6,12.52,12.33,12.48,,7473622.0
2007-10-16,12.52,12.26,12.23,12.48,,4324198.0
2007-10-17,12.72,12.5,12.16,12.45,,6246509.0
2007-10-18,12.87,12.81,12.37,12.4,,5145114.0
2007-10-19,12.81,12.48,12.41,12.78,,6223626.0
2007-10-22,12.67,12.45,12.26,12.37,,4644010.0
2007-10-23,13.07,12.99,12.45,12.57,,7575833.0
2007-10-24,12.93,12.38,12.09,12.92,,7793236.0
2007-10-25,12.45,12.1,11.84,12.4,,6555633.0
2007-10-26,12.45,12.24,11.99,12.28,,7027950.0
2007-10-29,12.3,12.19,11.85,12.23,,7665741.0
2007-10-30,10.55,10.22,9.73,10.03,,54485496.0
2007-10-31,10.32,10.2,9.87,10.32,,15901624.0
2007-11-01,10.2,9.86,9.84,10.2,,9558785.0
2007-11-02,10.02,9.75,9.67,9.95,,6585233.0
2007-11-05,9.74,9.61,9.5,9.62,,7123834.0
2007-11-06,9.67,9.54,9.38,9.62,,6469362.0
2007-11-07,9.43,9.1,9.07,9.38,,10251749.0
2007-11-08,9.2,8.73,8.5,9.12,,17302584.0
2007-11-09,9.36,9.22,8.63,8.65,,14528885.0
2007-11-12,9.4,8.85,8.85,9.28,,8127345.0
2007-11-13,9.29,9.23,8.95,8.99,,5164243.0
2007-11-14,9.47,9.38,9.13,9.27,,10089275.0
2007-11-15,9.38,9.04,8.95,9.35,,9696221.0
2007-11-16,9.12,8.99,8.85,9.06,,7439810.0
2007-11-19,8.92,8.76,8.74,8.88,,5041505.0
2007-11-20,8.89,8.61,8.35,8.75,,6592662.0
2007-11-21,8.53,8.48,8.2,8.42,,6863686.0
2007-11-23,8.67,8.62,8.42,8.5,,1775143.0
2007-11-26,8.7,8.31,8.28,8.62,,5055013.0
2007-11-27,8.63,8.62,8.31,8.5,,6331159.0
2007-11-28,9.39,9.35,8.7,8.74,,10763179.0
2007-11-29,9.55,9.45,9.2,9.31,,11979280.0
2007-11-30,9.75,9.19,9.11,9.61,,7263756.0
2007-12-03,9.27,8.86,8.84,9.25,,6303279.0
2007-12-04,8.96,8.78,8.63,8.84,,4774965.0
2007-12-05,9.2,9.04,8.85,8.93,,7843488.0
2007-12-06,9.09,9.02,8.97,9.0,,6311208.0
2007-12-07,9.35,9.13,8.96,8.97,,12268209.0
2007-12-10,9.23,9.03,8.99,9.17,,4523486.0
2007-12-11,9.35,8.8801,8.88,9.02,,5690405.0
2007-12-12,9.2301,8.82,8.69,9.09,,6518087.0
2007-12-13,8.57,8.54,7.78,8.0,,23785093.0
2007-12-14,8.29,8.24,7.99,8.24,,18477852.0
2007-12-17,8.4,8.19,8.07,8.17,,8265479.0
2007-12-18,8.32,8.11,7.96,8.3,,9579216.0
2007-12-19,8.34,8.26,8.04,8.11,,6910139.0
2007-12-20,8.51,8.49,8.2,8.36,,7029768.0
2007-12-21,8.8525,8.85,8.52,8.63,,8145464.0
2007-12-24,9.05,8.95,8.75,8.9,,4287449.0
2007-12-26,9.21,9.17,8.87,8.9,,5678059.0
2007-12-27,9.19,8.86,8.85,9.11,,3354241.0
2007-12-28,9.12,8.92,8.92,9.02,,3172052.0
2007-12-31,9.05,8.88,8.76,8.86,,3490929.0
2008-01-02,9.06,8.58,8.5,8.99,,6528687.0
2008-01-03,8.55,8.28,8.25,8.5,,6151867.0
2008-01-04,8.13,7.89,7.75,8.08,,7213424.0
2008-01-07,7.98,7.69,7.57,7.93,,6505254.0
2008-01-08,7.88,7.35,7.33,7.63,,5526849.0
2008-01-09,7.56,7.54,7.22,7.32,,8391373.0
2008-01-10,7.81,7.71,7.3,7.47,,6449042.0
2008-01-11,7.75,7.47,7.42,7.66,,7102425.0
2008-01-14,7.59,7.5,7.36,7.56,,5545703.0
2008-01-15,7.49,7.13,7.07,7.38,,8173893.0
2008-01-16,7.32,7.18,6.78,7.08,,15130310.0
2008-01-17,7.31,7.06,7.0,7.2,,8017541.0
2008-01-18,7.4,7.25,7.08,7.09,,8979742.0
2008-01-22,7.32,7.14,6.75,6.84,,9953850.0
2008-01-23,7.21,7.1,6.7,6.96,,7856458.0
2008-01-24,7.33,7.25,7.11,7.12,,7989800.0
2008-01-25,7.75,6.82,6.73,7.34,,11480249.0
2008-01-28,6.86,6.74,6.61,6.82,,9316909.0
2008-01-29,6.98,6.86,6.69,6.79,,9789155.0
2008-01-30,6.84,6.51,6.49,6.82,,11857557.0
2008-01-31,6.73,6.48,6.33,6.41,,15349682.0
2008-02-01,7.37,7.27,6.51,6.64,,16138789.0
2008-02-04,7.35,6.99,6.94,7.25,,7060579.0
2008-02-05,6.99,6.65,6.62,6.86,,6694201.0
2008-02-06,6.77,6.3,6.25,6.72,,8633608.0
2008-02-07,6.67,6.46,6.2,6.26,,6858131.0
2008-02-08,6.57,6.45,6.38,6.44,,5685652.0
2008-02-11,6.405,6.25,6.22,6.36,,7547308.0
2008-02-12,6.43,6.32,6.24,6.29,,6207914.0
2008-02-13,6.54,6.41,6.25,6.5,,6652330.0
2008-02-14,6.495,6.13,6.11,6.41,,6191327.0
2008-02-15,6.11,5.78,5.66,6.08,,12069315.0
2008-02-19,5.96,5.72,5.68,5.9,,5282544.0
2008-02-20,6.1,6.09,5.66,5.69,,9277502.0
2008-02-21,6.23,5.81,5.76,6.15,,7088368.0
2008-02-22,5.95,5.88,5.76,5.83,,8574550.0
2008-02-25,6.05,6.01,5.85,5.86,,4767108.0
2008-02-26,6.05,5.96,5.82,5.96,,7056617.0
2008-02-27,6.32,6.27,5.9,5.91,,13152721.0
2008-02-28,6.23,5.98,5.96,6.23,,5828903.0
2008-02-29,6.22,6.0,6.0,6.06,,10611686.0
2008-03-03,6.14,5.93,5.78,6.02,,8108720.0
2008-03-04,5.9,5.83,5.69,5.88,,9358407.0
2008-03-05,6.0,5.9,5.83,5.87,,5953559.0
2008-03-06,5.91,5.59,5.56,5.87,,11000694.0
2008-03-07,5.76,5.6,5.38,5.39,,7144158.0
2008-03-10,5.73,5.46,5.4,5.61,,10075845.0
