Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2007-10-26,1.9674702,1.7639388,1.696095,1.696095,49378.130352368236
2007-10-29,2.75,2.66,2.66,2.75,10700.0
2007-10-30,2.66,2.65,2.65,2.66,1897.0
2007-10-31,2.6,2.6,2.5,2.5,1347.0
2007-11-01,2.6,2.6,2.6,2.6,1000.0
2007-11-02,2.6,2.6,2.6,2.6,1000.0
2007-11-05,2.5,2.5,2.5,2.5,2300.0
2007-11-07,2.5775,2.5775,2.5775,2.5775,5380.0
2007-11-14,2.5,2.5,2.5,2.5,125.0
2007-11-20,2.5,2.5,2.5,2.5,1000.0
2007-11-21,2.5,2.5,2.5,2.5,5150.0
2007-11-23,2.5,2.5,2.5,2.5,3100.0
2007-12-05,2.5,2.5,2.5,2.5,2500.0
2007-12-10,2.5,2.5,2.5,2.5,200.0
2007-12-13,2.5,2.5,2.5,2.5,4900.0
2007-12-18,2.5,2.5,2.5,2.5,3500.0
2007-12-19,2.5,2.5,2.5,2.5,2000.0
2008-01-02,2.25,2.15,2.15,2.25,1000.0
2008-01-08,2.0,2.0,2.0,2.0,150.0
2008-01-22,1.5,1.5,1.5,1.5,500.0
2008-01-23,1.5,1.5,1.5,1.5,500.0
2008-01-28,2.5,2.5,1.25,1.25,600.0
2008-01-30,2.5,2.5,2.5,2.5,700.0
2008-01-31,3.2,3.2,3.2,3.2,400.0
2008-02-05,2.6,2.6,2.6,2.6,700.0
2008-02-11,2.6,2.6,2.6,2.6,354.0
2008-02-14,3.0,3.0,3.0,3.0,500.0
2008-02-15,3.0,3.0,3.0,3.0,1500.0
2008-02-28,3.0,3.0,2.6,2.6,2100.0
2008-02-29,3.5,3.25,2.85,3.0,5050.0
2008-03-05,2.5,2.5,2.5,2.5,500.0
2008-03-10,3.4,3.4,2.5,2.5,2000.0
2008-03-25,2.8,2.8,2.5,2.5,2000.0
2008-03-27,3.0,2.45,2.4,2.99,20000.0
2008-03-28,3.0,3.0,1.95,1.95,2600.0
2008-03-31,3.0,3.0,0.9999,3.0,15149.0
2008-04-01,3.0,2.0,2.0,3.0,1300.0
2008-04-07,2.0,2.0,2.0,2.0,501.0
2008-04-09,1.6,1.6,1.6,1.6,1000.0
2008-04-15,2.5,2.5,2.5,2.5,500.0
2008-04-16,2.6,2.6,2.0,2.0,1850.0
2008-04-17,1.75,1.6,1.6,1.75,750.0
2008-04-18,2.9,2.9,2.9,2.9,500.0
2008-04-21,2.8,2.8,2.8,2.8,500.0
2008-04-22,2.2,2.2,1.75,2.15,2700.0
2008-04-24,1.3,1.3,1.3,1.3,1000.0
2008-04-25,1.5,1.5,1.5,1.5,1000.0
2008-04-28,2.6,2.0,2.0,2.16,3500.0
2008-04-29,2.6,2.3,2.0,2.0,12100.0
2008-04-30,2.0,2.0,1.7,1.8,8279.0
2008-05-01,1.6,1.6,1.6,1.6,300.0
2008-05-05,1.75,1.75,1.75,1.75,500.0
2008-05-06,1.6,1.6,1.6,1.6,1000.0
2008-05-08,1.6,1.6,1.6,1.6,1000.0
2008-05-09,2.0,2.0,2.0,2.0,100.0
2008-05-13,1.75,1.7,1.7,1.75,2000.0
2008-05-14,1.65,1.65,1.65,1.65,500.0
2008-05-15,2.7,2.7,1.7,1.7,13500.0
2008-05-16,1.6,1.6,1.6,1.6,1000.0
2008-05-19,1.6,1.6,1.6,1.6,1000.0
2008-05-20,1.6,1.6,1.6,1.6,1000.0
2008-05-21,1.6,1.6,1.6,1.6,500.0
2008-05-23,1.5,1.25,1.25,1.5,1300.0
2008-05-27,1.25,1.25,1.25,1.25,591.0
2008-05-28,1.2,1.15,1.15,1.2,1909.0
2008-05-29,1.85,1.85,1.05,1.05,4370.0
2008-05-30,3.0,3.0,1.8,1.85,20250.0
2008-06-02,2.5,2.25,2.25,2.5,6657.0
2008-06-03,2.25,1.61,1.61,2.25,2100.0
2008-06-04,1.62,1.41,1.41,1.62,2000.0
2008-06-05,1.48,1.41,1.41,1.48,1500.0
2008-06-06,1.42,1.41,1.41,1.42,1300.0
2008-06-09,1.71,1.5,1.25,1.71,4800.0
2008-06-10,1.6,1.35,0.7,1.4,3837.0
2008-06-11,0.7,0.7,0.7,0.7,1000.0
2008-06-12,1.24,1.1,0.55,0.55,7630.0
2008-06-13,3.45,3.45,1.15,1.25,12900.0
