Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2003-12-05,2.3,2.25,2.0,2.0,21700.0
2003-12-08,2.45,2.45,2.2,2.28,26500.0
2003-12-09,2.4,2.25,2.25,2.4,14000.0
2003-12-10,2.25,2.0,2.0,2.25,17700.0
2003-12-11,2.05,1.95,1.95,2.05,12400.0
2003-12-12,2.09,2.04,2.0,2.0,16000.0
2003-12-15,2.04,1.99,1.95,2.04,15100.0
2003-12-16,2.1,2.08,2.0,2.03,11700.0
2003-12-17,2.09,2.0,2.0,2.09,13700.0
2003-12-18,2.1,2.05,2.01,2.1,12300.0
2003-12-19,2.11,1.96,1.95,2.0,80900.0
2003-12-22,2.01,1.95,1.95,2.01,3500.0
2003-12-23,1.91,1.9,1.9,1.9,3300.0
2003-12-24,1.91,1.9,1.9,1.91,1400.0
2003-12-26,1.95,1.94,1.9,1.95,3200.0
2003-12-29,1.99,1.99,1.98,1.98,10100.0
2003-12-30,1.98,1.98,1.95,1.95,2000.0
2003-12-31,1.97,1.97,1.9,1.95,8100.0
2004-01-02,1.97,1.9,1.9,1.97,8700.0
2004-01-05,1.97,1.95,1.85,1.95,10500.0
2004-01-06,1.96,1.9,1.9,1.96,9500.0
2004-01-07,1.9,1.85,1.8,1.9,4300.0
2004-01-08,1.9,1.87,1.6,1.8,43200.0
2004-01-09,2.07,1.9,1.9,1.93,150300.0
2004-01-12,1.9,1.88,1.85,1.9,26900.0
2004-01-13,1.88,1.86,1.85,1.86,24300.0
2004-01-14,1.88,1.87,1.85,1.87,50700.0
2004-01-15,1.88,1.87,1.81,1.88,28900.0
2004-01-16,1.92,1.92,1.85,1.87,75200.0
2004-01-20,1.97,1.95,1.93,1.95,34800.0
2004-01-21,1.95,1.95,1.9,1.95,23900.0
2004-01-22,1.97,1.949,1.915,1.97,50300.0
2004-01-23,1.95,1.86,1.85,1.91,30400.0
2004-01-26,1.91,1.9,1.83,1.86,29900.0
2004-01-27,1.94,1.94,1.9,1.9,50100.0
2004-01-28,1.93,1.9,1.86,1.92,115800.0
2004-01-29,1.89,1.84,1.82,1.89,49400.0
2004-01-30,1.85,1.83,1.82,1.83,10600.0
2004-02-02,1.83,1.768,1.72,1.83,60300.0
2004-02-03,1.8,1.74,1.7,1.8,62400.0
2004-02-04,1.75,1.74,1.7,1.74,559800.0
2004-02-05,1.75,1.68,1.68,1.74,52900.0
2004-02-06,1.71,1.7,1.7,1.7,2600.0
2004-02-09,1.71,1.7,1.7,1.71,4100.0
2004-02-10,1.73,1.73,1.7,1.7,55600.0
2004-02-11,1.74,1.7,1.7,1.74,43200.0
2004-02-12,1.74,1.7,1.7,1.71,48300.0
2004-02-13,1.72,1.72,1.7,1.72,17400.0
2004-02-17,1.72,1.62,1.62,1.72,67000.0
2004-02-18,1.6,1.57,1.53,1.6,44700.0
2004-02-19,1.63,1.4,1.31,1.6,83000.0
2004-02-20,1.41,1.22,1.18,1.41,41800.0
2004-02-23,1.33,1.3,1.25,1.25,23100.0
2004-02-24,1.35,1.3,1.28,1.3,25500.0
2004-02-25,1.35,1.3,1.3,1.33,23800.0
2004-02-26,1.37,1.3,1.3,1.3,12000.0
2004-02-27,1.34,1.34,1.3,1.3,16800.0
2004-03-01,1.47,1.47,1.35,1.4,39500.0
2004-03-02,1.74,1.66,1.45,1.47,133800.0
