Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2012-05-07,0.15,0.15,0.13,0.13,,250000.0
2012-05-08,0.15,0.15,0.15,0.15,,35000.0
2012-05-09,0.15,0.15,0.15,0.15,,64000.0
2012-05-14,0.12,0.12,0.12,0.12,,50000.0
2012-05-15,0.15,0.15,0.15,0.15,,25000.0
2012-05-16,0.15,0.15,0.15,0.15,,10000.0
2012-06-06,0.15,0.15,0.15,0.15,,10000.0
2012-06-12,0.15,0.15,0.15,0.15,,5000.0
2012-06-13,0.15,0.15,0.15,0.15,,10000.0
2012-06-18,0.15,0.15,0.15,0.15,,12500.0
2012-06-29,0.15,0.15,0.15,0.15,,10000.0
2012-07-17,0.14,0.14,0.14,0.14,,50000.0
2012-08-10,0.155,0.155,0.155,0.155,,5000.0
2012-09-12,0.17,0.17,0.17,0.17,,10000.0
2012-09-20,0.17,0.17,0.17,0.17,,10000.0
2012-09-24,0.175,0.155,0.155,0.175,,29000.0
2013-05-29,0.23,0.23,0.21,0.21,4.0,84000.0
2013-05-30,0.3,0.3,0.25,0.25,5.0,26000.0
2013-05-31,0.3,0.3,0.29,0.29,2.0,15000.0
2013-06-05,0.25,0.25,0.25,0.25,5.0,85000.0
2013-06-06,0.25,0.22,0.22,0.25,6.0,70400.0
2013-06-07,0.23,0.22,0.22,0.23,2.0,5000.0
2013-06-11,0.22,0.22,0.22,0.22,3.0,15000.0
2013-06-13,0.25,0.25,0.25,0.25,7.0,48000.0
2013-06-14,0.25,0.23,0.23,0.25,3.0,10000.0
2013-06-17,0.24,0.24,0.24,0.24,1.0,25000.0
2013-06-18,0.25,0.24,0.24,0.24,8.0,52000.0
2013-06-19,0.24,0.23,0.23,0.24,2.0,35000.0
2013-06-20,0.23,0.22,0.22,0.23,4.0,45000.0
2013-06-21,0.22,0.21,0.21,0.22,6.0,80000.0
2013-06-24,0.215,0.215,0.215,0.215,1.0,20000.0
2013-06-25,0.21,0.21,0.21,0.21,1.0,10000.0
2013-06-26,0.2,0.2,0.2,0.2,3.0,55000.0
2013-06-28,0.19,0.19,0.19,0.19,1.0,25000.0
2013-07-08,0.2,0.2,0.17,0.17,2.0,45000.0
2013-07-10,0.17,0.17,0.17,0.17,1.0,10000.0
2013-07-31,0.2,0.2,0.2,0.2,1.0,25000.0
2013-08-02,0.2,0.2,0.2,0.2,1.0,5000.0
2013-08-06,0.2,0.2,0.2,0.2,2.0,30000.0
2013-08-13,0.2,0.2,0.2,0.2,2.0,70000.0
2013-08-29,0.19,0.19,0.17,0.18,6.0,75000.0
2013-09-03,0.17,0.17,0.17,0.17,1.0,5000.0
2013-09-13,0.165,0.16,0.16,0.165,2.0,60000.0
2013-09-16,0.16,0.16,0.16,0.16,1.0,10000.0
2013-09-20,0.16,0.16,0.16,0.16,1.0,10000.0
2013-09-24,0.18,0.18,0.18,0.18,1.0,25000.0
2013-09-27,0.25,0.25,0.19,0.19,5.0,50000.0
2013-09-30,0.23,0.23,0.23,0.23,1.0,40000.0
2013-10-02,0.23,0.23,0.23,0.23,1.0,10000.0
2013-10-03,0.25,0.25,0.22,0.22,2.0,14500.0
2013-10-04,0.24,0.24,0.24,0.24,1.0,5000.0
2013-10-07,0.25,0.25,0.25,0.25,6.0,50500.0
2013-10-08,0.27,0.27,0.26,0.26,2.0,20000.0
2013-10-09,0.28,0.28,0.27,0.27,3.0,40500.0
2013-10-11,0.3,0.295,0.295,0.3,3.0,135000.0
2013-10-16,0.3,0.3,0.3,0.3,3.0,41500.0
2013-10-17,0.3,0.3,0.29,0.29,2.0,170500.0
2013-10-18,0.32,0.32,0.3,0.3,2.0,35000.0
2013-10-21,0.3,0.3,0.3,0.3,5.0,45000.0
2013-10-22,0.3,0.3,0.3,0.3,1.0,4500.0
2013-10-23,0.3,0.29,0.29,0.3,2.0,125000.0
2013-10-24,0.28,0.28,0.28,0.28,1.0,10000.0
2013-10-30,0.275,0.265,0.25,0.25,5.0,70000.0
2013-11-04,0.26,0.26,0.26,0.26,1.0,20000.0
2013-11-06,0.29,0.29,0.25,0.25,2.0,60000.0
2013-11-08,0.26,0.23,0.23,0.26,6.0,60000.0
2013-11-12,0.3,0.3,0.23,0.23,2.0,17000.0
2013-11-19,0.25,0.25,0.24,0.24,7.0,41500.0
2013-11-21,0.255,0.25,0.25,0.255,4.0,25000.0
2013-11-27,0.28,0.28,0.255,0.255,2.0,37000.0
2013-12-03,0.28,0.28,0.24,0.24,2.0,12000.0
2013-12-04,0.25,0.25,0.25,0.25,2.0,15000.0
2013-12-05,0.25,0.25,0.25,0.25,2.0,90000.0
2013-12-16,0.24,0.24,0.24,0.24,2.0,10000.0
2013-12-23,0.25,0.25,0.25,0.25,1.0,100000.0
2014-01-02,0.24,0.24,0.24,0.24,1.0,13000.0
2014-01-08,0.25,0.25,0.25,0.25,1.0,30000.0
2014-01-09,0.27,0.27,0.27,0.27,6.0,35000.0
2014-01-10,0.31,0.31,0.31,0.31,1.0,25000.0
2014-01-13,0.28,0.28,0.28,0.28,1.0,20000.0
2014-01-15,0.29,0.29,0.25,0.25,2.0,135000.0
2014-01-24,0.25,0.25,0.25,0.25,1.0,30000.0
2014-01-27,0.29,0.29,0.23,0.25,10.0,570000.0
2014-01-28,0.3,0.3,0.3,0.3,1.0,25000.0
2014-01-29,0.33,0.33,0.3,0.3,2.0,20000.0
2014-01-30,0.3,0.29,0.29,0.3,4.0,120000.0
2014-01-31,0.31,0.31,0.3,0.3,2.0,45000.0
2014-02-03,0.35,0.35,0.32,0.32,5.0,118000.0
2014-02-04,0.33,0.325,0.32,0.32,4.0,111000.0
2014-02-05,0.33,0.32,0.32,0.33,8.0,106000.0
2014-02-06,0.3,0.3,0.3,0.3,3.0,47500.0
2014-02-07,0.3,0.3,0.3,0.3,3.0,55000.0
2014-02-13,0.28,0.28,0.26,0.28,5.0,119000.0
2014-02-14,0.27,0.255,0.255,0.27,3.0,70000.0
2014-02-18,0.28,0.28,0.28,0.28,1.0,7500.0
2014-02-20,0.275,0.275,0.275,0.275,1.0,10000.0
2014-02-21,0.3,0.29,0.29,0.3,4.0,170000.0
2014-02-24,0.31,0.29,0.29,0.31,2.0,21000.0
2014-02-25,0.29,0.27,0.27,0.29,6.0,174362.0
2014-02-26,0.3,0.3,0.285,0.3,9.0,147333.0
2014-02-27,0.31,0.31,0.31,0.31,1.0,30000.0
2014-02-28,0.34,0.34,0.31,0.31,5.0,100000.0
2014-03-03,0.39,0.39,0.35,0.35,26.0,531550.0
2014-03-07,0.37,0.37,0.34,0.34,2.0,12000.0
2014-03-10,0.35,0.35,0.35,0.35,2.0,50000.0
2014-03-11,0.35,0.35,0.31,0.31,7.0,9800.0
2014-03-12,0.35,0.35,0.35,0.35,1.0,15000.0
2014-03-14,0.36,0.36,0.36,0.36,1.0,10000.0
2014-03-18,0.33,0.32,0.315,0.33,6.0,42500.0
2014-03-20,0.31,0.305,0.305,0.31,4.0,30000.0
2014-03-21,0.305,0.305,0.305,0.305,1.0,500.0
2014-03-24,0.31,0.31,0.31,0.31,2.0,100000.0
2014-03-25,0.305,0.3,0.3,0.305,3.0,20000.0
2014-03-27,0.3,0.3,0.3,0.3,1.0,10000.0
2014-03-31,0.28,0.28,0.28,0.28,1.0,10000.0
2014-04-02,0.28,0.28,0.28,0.28,1.0,15000.0
2014-04-03,0.29,0.29,0.29,0.29,2.0,9500.0
2014-04-04,0.33,0.33,0.33,0.33,1.0,1000.0
2014-04-10,0.28,0.28,0.28,0.28,2.0,35000.0
2014-04-11,0.27,0.27,0.27,0.27,5.0,285000.0
2014-04-14,0.265,0.265,0.265,0.265,1.0,25000.0
2014-04-17,0.275,0.275,0.26,0.26,3.0,25000.0
2014-04-21,0.255,0.24,0.24,0.255,3.0,110000.0
2014-04-22,0.27,0.27,0.27,0.27,1.0,4000.0
2014-04-30,0.24,0.24,0.23,0.235,6.0,30000.0
2014-05-02,0.21,0.21,0.21,0.21,2.0,2700.0
2014-05-07,0.22,0.22,0.22,0.22,1.0,15000.0
2014-05-09,0.22,0.22,0.22,0.22,1.0,5000.0
2014-05-13,0.22,0.22,0.22,0.22,2.0,10000.0
2014-05-20,0.225,0.22,0.22,0.225,3.0,105500.0
2014-05-22,0.365,0.22,0.22,0.22,8.0,56050.0
2014-05-29,0.245,0.245,0.23,0.23,2.0,20000.0
2014-05-30,0.25,0.25,0.25,0.25,1.0,10000.0
2014-06-02,0.26,0.26,0.26,0.26,3.0,723.0
2014-06-04,0.3,0.3,0.25,0.25,2.0,23000.0
2014-06-09,0.25,0.25,0.25,0.25,1.0,15000.0
2014-06-13,0.255,0.255,0.255,0.255,1.0,3000.0
2014-06-16,0.24,0.24,0.24,0.24,3.0,37500.0
2014-06-17,0.265,0.265,0.24,0.24,2.0,24000.0
2014-06-23,0.265,0.26,0.26,0.265,2.0,2000.0
2014-06-25,0.26,0.26,0.26,0.26,1.0,2000.0
2014-06-26,0.25,0.25,0.25,0.25,1.0,10000.0
2014-07-09,0.22,0.22,0.22,0.22,1.0,10000.0
2014-07-11,0.22,0.22,0.22,0.22,2.0,23000.0
2014-07-14,0.22,0.22,0.22,0.22,2.0,15000.0
2014-07-16,0.23,0.23,0.23,0.23,5.0,632332.0
2014-07-21,0.255,0.255,0.24,0.24,5.0,435205.0
2014-07-29,0.215,0.215,0.215,0.215,3.0,11205.0
2014-08-12,0.22,0.215,0.215,0.22,3.0,2250.0
2014-08-14,0.225,0.225,0.225,0.225,1.0,1000.0
2014-08-26,0.21,0.21,0.21,0.21,1.0,5000.0
2014-08-28,0.23,0.23,0.23,0.23,1.0,75000.0
2014-09-02,0.22,0.22,0.22,0.22,1.0,5000.0
2014-09-04,0.23,0.23,0.23,0.23,1.0,9000.0
2014-09-10,0.26,0.26,0.26,0.26,1.0,50000.0
2014-09-18,0.23,0.23,0.23,0.23,1.0,32000.0
2014-09-29,0.24,0.24,0.24,0.24,2.0,158000.0
2014-10-02,0.21,0.21,0.21,0.21,1.0,40000.0
2014-10-10,0.205,0.2,0.2,0.205,3.0,8000.0
2014-10-27,0.19,0.18,0.17,0.19,8.0,79000.0
2014-10-28,0.165,0.16,0.15,0.165,9.0,100000.0
2014-10-30,0.17,0.16,0.16,0.17,3.0,15000.0
2014-11-06,,,,,1.0,480.0
2014-11-11,0.165,0.165,0.165,0.165,1.0,500.0
2014-11-12,0.17,0.17,0.15,0.15,5.0,38500.0
2014-11-14,0.17,0.17,0.17,0.17,3.0,41667.0
2014-11-18,0.18,0.18,0.18,0.18,1.0,20000.0
2014-11-21,0.165,0.165,0.165,0.165,1.0,10000.0
2014-11-24,0.165,0.165,0.165,0.165,1.0,25000.0
2014-12-12,0.155,0.155,0.155,0.155,3.0,100000.0
2014-12-16,0.2,0.2,0.17,0.17,4.0,116667.0
2014-12-18,0.17,0.17,0.17,0.17,1.0,20000.0
2014-12-19,0.18,0.18,0.18,0.18,1.0,15000.0
2014-12-22,0.18,0.18,0.18,0.18,2.0,50000.0
2014-12-23,0.2,0.2,0.2,0.2,1.0,500.0
2014-12-30,0.24,0.24,0.24,0.24,1.0,10000.0
2015-01-12,0.22,0.22,0.19,0.2,10.0,219000.0
2015-01-13,0.23,0.23,0.23,0.23,2.0,20333.0
2015-01-14,0.25,0.25,0.25,0.25,1.0,5000.0
2015-01-15,0.27,0.27,0.26,0.26,2.0,15000.0
2015-01-27,0.21,0.21,0.21,0.21,4.0,64000.0
2015-01-28,0.21,0.2,0.2,0.21,10.0,115000.0
2015-02-03,0.24,0.23,0.23,0.23,3.0,30000.0
2015-02-04,0.25,0.25,0.24,0.24,4.0,43000.0
2015-02-06,0.25,0.25,0.25,0.25,1.0,4000.0
2015-02-20,0.225,0.225,0.225,0.225,1.0,40000.0
2015-03-05,0.32,0.255,0.22,0.22,130.0,786419.0
2015-03-06,0.26,0.26,0.235,0.24,18.0,69900.0
2015-03-09,0.25,0.225,0.225,0.25,10.0,17177.0
2015-03-10,0.225,0.205,0.2,0.225,9.0,67500.0
2015-03-11,0.23,0.23,0.205,0.205,4.0,32500.0
2015-03-12,0.26,0.26,0.22,0.22,17.0,129500.0
2015-03-16,0.27,0.26,0.24,0.25,10.0,70500.0
2015-03-17,0.25,0.25,0.25,0.25,1.0,10000.0
2015-03-18,0.235,0.235,0.235,0.235,2.0,28000.0
2015-03-19,0.235,0.23,0.23,0.235,2.0,75000.0
2015-03-20,0.23,0.23,0.23,0.23,10.0,37000.0
2015-03-24,0.23,0.23,0.23,0.23,1.0,6500.0
2015-04-01,0.23,0.23,0.225,0.225,2.0,3000.0
2015-04-02,0.27,0.27,0.24,0.24,10.0,94500.0
2015-04-06,0.265,0.25,0.24,0.265,10.0,108000.0
2015-04-07,0.24,0.24,0.24,0.24,6.0,55000.0
2015-04-08,0.25,0.23,0.23,0.24,8.0,49900.0
2015-04-10,0.23,0.23,0.23,0.23,1.0,2000.0
2015-04-13,0.25,0.25,0.235,0.235,3.0,8700.0
2015-04-14,0.245,0.23,0.23,0.245,3.0,51000.0
2015-04-16,0.225,0.225,0.225,0.225,2.0,25000.0
2015-04-17,0.22,0.22,0.22,0.22,3.0,20000.0
2015-04-22,0.225,0.225,0.225,0.225,1.0,10000.0
2015-05-04,0.225,0.225,0.225,0.225,4.0,41550.0
2015-05-05,0.195,0.195,0.195,0.195,8.0,78900.0
2015-05-06,0.2,0.2,0.2,0.2,2.0,25000.0
2015-05-07,0.25,0.225,0.225,0.23,86.0,678862.0
2015-05-08,0.235,0.235,0.23,0.235,27.0,96595.0
2015-05-11,0.235,0.225,0.225,0.235,11.0,54600.0
2015-05-12,0.23,0.23,0.225,0.23,13.0,82500.0
2015-05-13,0.23,0.225,0.225,0.23,9.0,43350.0
2015-05-14,0.23,0.22,0.22,0.23,6.0,76475.0
2015-05-19,0.235,0.225,0.225,0.235,2.0,11000.0
2015-05-20,0.22,0.22,0.22,0.22,1.0,14000.0
2015-05-21,0.23,0.21,0.21,0.22,6.0,57350.0
2015-05-25,0.235,0.235,0.235,0.235,1.0,500.0
2015-05-27,0.205,0.205,0.205,0.205,1.0,3000.0
2015-05-28,0.205,0.205,0.205,0.205,3.0,10000.0
2015-06-01,0.205,0.205,0.205,0.205,1.0,5000.0
2015-06-02,0.23,0.21,0.21,0.23,2.0,3500.0
2015-06-03,0.23,0.23,0.215,0.225,4.0,21000.0
2015-06-04,0.25,0.25,0.225,0.225,9.0,50450.0
