Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,41.0599,40.53,40.4601,40.77,,40400.0
2007-09-20,40.67,40.5999,40.39,40.54,,29700.0
2007-09-21,40.95,40.89,40.4,40.4,,32000.0
2007-09-24,40.9,40.74,40.66,40.88,,23800.0
2007-09-25,40.31,40.26,39.99,40.28,,21700.0
2007-09-26,40.62,40.32,39.88,40.46,,21100.0
2007-09-27,40.64,40.5601,40.44,40.48,,40700.0
2007-09-28,40.81,40.34,40.34,40.65,,33200.0
2007-10-01,41.0,41.0,40.38,40.38,,19600.0
2007-10-02,40.82,40.77,40.6,40.81,,19000.0
2007-10-03,40.7232,40.58,40.42,40.63,,12800.0
2007-10-04,40.6,40.6,40.03,40.5,,20700.0
2007-10-05,40.73,40.7,40.52,40.73,,12900.0
2007-10-08,40.51,40.46,40.17,40.49,,13200.0
2007-10-09,40.9099,40.82,40.34,40.34,,21000.0
2007-10-10,41.24,41.11,40.5299,40.69,,26300.0
2007-10-11,41.7,41.01,40.96,41.32,,24100.0
2007-10-12,41.55,41.42,41.1,41.1,,24300.0
2007-10-15,42.05,42.04,41.5,41.5,,47400.0
2007-10-16,42.24,42.216,41.86,42.1,,22700.0
2007-10-17,42.47,42.18,41.75,42.35,,31700.0
2007-10-18,42.48,42.43,42.06,42.12,,15100.0
2007-10-19,42.17,41.15,41.06,42.17,,38100.0
2007-10-22,40.7201,40.13,39.81,40.71,,58000.0
2007-10-23,40.8,40.55,40.0276,40.3,,29500.0
2007-10-24,40.98,40.89,40.2801,40.3,,38300.0
2007-10-25,41.34,41.28,40.9,41.0,,26800.0
2007-10-26,41.89,41.89,41.54,41.76,,25400.0
2007-10-29,42.14,42.09,41.9,41.9,,29100.0
2007-10-30,41.89,40.95,40.95,41.89,,33400.0
2007-10-31,41.7,41.35,40.95,41.01,,77200.0
2007-11-01,41.64,40.62,40.61,41.0,,50600.0
2007-11-02,41.32,41.23,40.61,40.91,,46000.0
2007-11-05,41.32,41.31,40.68,40.68,,34100.0
2007-11-06,42.04,42.04,41.58,41.66,,66700.0
2007-11-07,42.1,41.2,41.2,41.85,,40300.0
2007-11-08,42.01,41.8,41.0,41.24,,66300.0
2007-11-09,41.52,41.0219,41.01,41.33,,75000.0
2007-11-12,40.97,39.72,39.65,40.34,,64003.0
2007-11-13,40.73,40.73,39.66,39.66,,54100.0
2007-11-14,41.4399,40.7599,40.71,40.97,,47600.0
2007-11-15,41.75,40.05,39.87,41.75,,66390.0
2007-11-16,36.8,36.8,36.3056,36.43,,83572.0
2007-11-19,37.0,35.84,35.84,37.0,,52221.0
2007-11-20,36.8,36.53,34.99,35.29,,56700.0
2007-11-21,36.5699,35.95,35.92,35.92,,43380.0
2007-11-23,36.39,36.32,35.91,36.11,,25500.0
2007-11-26,36.84,35.33,35.33,36.39,,46900.0
2007-11-27,35.37,35.12,34.714,35.37,,56200.0
2007-11-28,35.94,35.73,35.2,35.62,,37600.0
2007-11-29,36.3,36.16,35.73,35.73,,20000.0
2007-11-30,36.4499,36.31,36.04,36.26,,27900.0
2007-12-03,36.54,36.4618,36.04,36.07,,25700.0
2007-12-04,36.36,36.13,35.7,35.7,,13223.0
2007-12-05,36.95,36.69,35.98,35.98,,25200.0
2007-12-06,37.64,37.6,36.39,36.61,,37500.0
2007-12-07,37.77,37.61,37.35,37.61,,22500.0
2007-12-10,37.94,37.8301,37.71,37.84,,14000.0
2007-12-11,38.19,37.06,37.0,38.03,,27600.0
2007-12-12,38.15,37.84,37.52,37.85,,41000.0
2007-12-13,38.05,38.0,37.5,37.73,,51100.0
2007-12-14,37.97,37.66,37.59,37.63,,34000.0
2007-12-17,37.79,36.76,36.71,37.79,,35900.0
2007-12-18,37.3,37.26,36.65,37.0,,23300.0
2007-12-19,37.69,36.92,36.92,37.35,,74800.0
2007-12-20,37.3594,37.3594,36.86,37.12,,27800.0
2007-12-21,38.37,38.33,37.7,37.7,,30200.0
2007-12-24,38.66,38.58,38.4801,38.57,,11400.0
2007-12-26,39.25,39.15,38.57,38.57,,32000.0
2007-12-27,39.12,38.77,38.7,39.12,,21200.0
2007-12-28,39.16,38.98,38.7601,39.1,,37100.0
2007-12-31,38.91,38.66,38.61,38.81,,60200.0
2008-01-02,39.05,38.97,38.58,38.73,,38986.0
2008-01-03,39.4,39.12,39.0601,39.16,,19900.0
2008-01-04,38.78,38.16,38.1,38.78,,43098.0
2008-01-07,38.39,37.59,37.05,38.19,,44900.0
2008-01-08,38.09,37.23,37.2299,37.84,,37100.0
2008-01-09,37.89,37.89,37.05,37.05,,35700.0
2008-01-10,37.88,37.79,37.14,37.88,,51893.0
2008-01-11,37.7,37.33,37.09,37.45,,48700.0
2008-01-14,37.96,37.94,37.6001,37.61,,19700.0
2008-01-15,37.73,36.8,36.73,37.73,,51600.0
