Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2000-09-21,0.15,0.12,0.12,0.14,19500.0
2000-09-22,0.17,0.14,0.12,0.12,153300.0
2000-09-25,0.15,0.13,0.13,0.13,6500.0
2000-09-26,0.13,0.13,0.13,0.13,500.0
2000-09-27,0.13,0.1,0.09,0.13,110500.0
2000-09-28,0.105,0.105,0.09,0.1,20300.0
2000-09-29,0.105,0.09,0.09,0.09,40100.0
2000-10-03,0.09375,0.09,0.09,0.09375,3800.0
2000-10-04,0.11,0.11,0.1,0.1,12000.0
2000-10-05,0.11,0.11,0.09,0.09,37000.0
2000-10-06,0.11,0.1,0.1,0.11,13500.0
2000-10-09,0.1,0.09,0.09,0.1,33700.0
2000-10-10,0.1,0.1,0.1,0.1,3200.0
2000-10-11,0.09,0.09,0.09,0.09,2700.0
2000-10-12,0.09,0.09,0.09,0.09,1000.0
2000-10-16,0.09,0.09,0.09,0.09,1200.0
2000-10-19,0.115,0.09,0.09,0.105,18000.0
2000-10-20,0.1,0.1,0.09,0.09,16500.0
2000-10-23,0.1,0.09,0.09,0.09,9100.0
2000-10-24,0.1,0.09,0.09,0.09,26500.0
2000-10-25,0.09,0.09,0.09,0.09,2500.0
2000-10-27,0.08,0.08,0.08,0.08,2000.0
2000-10-30,0.08,0.08,0.08,0.08,11000.0
2000-10-31,0.095,0.09,0.09,0.095,6000.0
2000-11-01,0.09,0.09,0.09,0.09,1300.0
2000-11-02,0.09,0.09,0.08,0.08,9100.0
2000-11-06,0.08,0.075,0.075,0.08,39000.0
2000-11-07,0.075,0.07,0.07,0.075,2100.0
2000-11-08,0.08,0.08,0.07,0.07,17000.0
2000-11-09,0.07,0.07,0.06,0.07,45300.0
2000-11-10,0.06,0.06,0.06,0.06,4200.0
2000-11-13,0.06,0.06,0.06,0.06,8300.0
2000-11-14,0.06,0.06,0.06,0.06,1800.0
2000-11-15,0.06,0.06,0.06,0.06,900.0
2000-11-16,0.06,0.06,0.06,0.06,5500.0
2000-11-17,0.065,0.065,0.06,0.06,10100.0
2000-11-20,0.08,0.065,0.06,0.065,18000.0
2000-11-21,0.08,0.06,0.06,0.08,8900.0
2000-11-22,0.08,0.08,0.08,0.08,5000.0
2000-11-24,0.08,0.08,0.08,0.08,8000.0
2000-11-27,0.07,0.06,0.06,0.07,59200.0
2000-11-28,0.075,0.075,0.06,0.06,77500.0
2000-11-29,0.09,0.09,0.07,0.075,299500.0
2000-11-30,0.086,0.08,0.08,0.086,4000.0
2000-12-01,0.09,0.085,0.085,0.09,12000.0
2000-12-04,0.085,0.085,0.085,0.085,2500.0
2000-12-05,0.1,0.085,0.085,0.085,6900.0
2000-12-06,0.13,0.13,0.095,0.1,126800.0
2000-12-07,0.15,0.11,0.11,0.15,8000.0
2000-12-08,0.14,0.1,0.1,0.1,19700.0
2000-12-11,0.125,0.1,0.1,0.1,4000.0
2000-12-12,0.1,0.1,0.1,0.1,5500.0
