Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2012-04-20,17.11,14.08,13.25,16.85,28876.0,7461914.0
2012-04-23,13.9899,13.75,13.52,13.98,1757.0,284878.0
2012-04-24,14.14,13.78,13.58,14.1,970.0,217840.0
2012-04-25,13.98,13.82,13.62,13.85,1228.0,262222.0
2012-04-26,13.84,13.59,13.2,13.69,495.0,95509.0
2012-04-27,13.64,13.13,13.03,13.64,556.0,251426.0
2012-04-30,13.18,13.1,13.0,13.0,688.0,138546.0
2012-05-01,13.515,13.1,13.1,13.14,366.0,62669.0
2012-05-02,13.32,13.15,12.9,12.93,390.0,73735.0
2012-05-03,13.38,13.175,13.05,13.19,296.0,80484.0
2012-05-04,13.82,13.51,13.02,13.02,445.0,79509.0
2012-05-07,14.37,14.22,13.3,13.36,889.0,149534.0
2012-05-08,14.72,14.49,14.098,14.72,645.0,114090.0
2012-05-09,14.55,13.84,13.59,14.2,351.0,58357.0
2012-05-10,14.19,13.77,13.65,13.95,466.0,63490.0
2012-05-11,14.07,13.59,13.5002,13.63,215.0,35871.0
2012-05-14,14.07,13.54,13.4,13.51,371.0,56776.0
2012-05-15,14.9,14.34,13.75,13.95,881.0,160360.0
2012-05-16,14.82,14.09,13.95,14.29,477.0,243925.0
2012-05-17,13.84,13.42,13.038,13.84,337.0,46118.0
2012-05-18,13.94,13.1,12.95,13.17,554.0,128660.0
2012-05-21,13.12,13.0,12.95,13.0,260.0,32921.0
2012-05-22,13.44,13.07,12.94,12.95,218.0,32125.0
2012-05-23,13.05,12.92,12.0828,12.8,436.0,82173.0
2012-05-24,12.98,12.45,12.3,12.98,73.0,26392.0
2012-05-25,12.655,12.58,12.29,12.49,190.0,262769.0
2012-05-29,14.91,13.76,13.34,13.56,1079.0,173040.0
2012-05-30,14.56,13.84,13.53,13.6,898.0,374239.0
2012-05-31,14.51,14.27,13.19,13.77,270.0,33847.0
2012-06-01,13.6801,12.48,12.37,13.6801,548.0,90418.0
2012-06-04,12.86,12.66,12.255,12.49,789.0,112527.0
2012-06-05,13.24,13.17,12.42,12.64,458.0,155597.0
2012-06-06,14.38,14.32,13.24,13.25,391.0,61113.0
2012-06-07,14.75,14.48,13.7179,14.42,518.0,68277.0
2012-06-08,14.8,14.71,14.31,14.31,390.0,64946.0
2012-06-11,14.79,14.04,13.83,14.78,753.0,149432.0
2012-06-12,14.58,14.17,13.83,14.0,234.0,28093.0
2012-06-13,14.65,14.56,14.17,14.18,275.0,34601.0
2012-06-14,14.82,14.71,14.31,14.56,458.0,53034.0
2012-06-15,14.83,14.67,14.08,14.68,324.0,74400.0
2012-06-18,14.79,14.6,14.46,14.68,406.0,207978.0
2012-06-19,15.15,15.14,14.42,14.64,370.0,59744.0
2012-06-20,15.91,15.13,14.5901,15.12,756.0,99001.0
2012-06-21,15.74,15.4,15.13,15.24,419.0,60511.0
2012-06-22,15.52,15.17,14.6965,15.52,942.0,869849.0
2012-06-25,15.85,15.64,14.27,14.91,441.0,55095.0
2012-06-26,16.52,16.35,15.42,15.66,494.0,65045.0
2012-06-27,17.3812,17.14,16.19,16.49,479.0,64857.0
2012-06-28,17.75,16.93,16.75,16.99,204.0,26717.0
2012-06-29,17.15,16.95,16.29,17.15,370.0,54923.0
2012-07-02,16.99,16.07,15.86,16.99,189.0,33358.0
2012-07-03,16.75,16.5,16.27,16.27,93.0,11723.0
2012-07-05,17.04,16.9,16.37,16.54,190.0,24168.0
2012-07-06,16.9,16.84,16.24,16.7,184.0,22740.0
2012-07-09,16.908,15.95,15.7701,16.89,142.0,21315.0
2012-07-10,16.05,15.16,15.01,16.0,119.0,26171.0
2012-07-11,15.5,14.8,14.49,15.12,190.0,65636.0
2012-07-12,15.44,15.28,14.61,14.65,218.0,39735.0
2012-07-13,15.94,15.44,14.92,15.425,299.0,117303.0
2012-07-16,15.4,14.94,14.9399,15.4,79.0,16228.0
2012-07-17,15.36,14.71,14.48,15.01,96.0,30897.0
2012-07-18,15.23,15.14,14.5701,14.73,63.0,21085.0
2012-07-19,15.1389,14.5,14.34,15.1389,411.0,254740.0
2012-07-20,14.63,14.25,14.06,14.49,156.0,34959.0
2012-07-23,14.155,13.96,13.88,13.99,115.0,18528.0
2012-07-24,14.0,13.7,13.48,13.96,142.0,31555.0
2012-07-25,13.92,13.82,13.79,13.79,35.0,6860.0
2012-07-26,14.68,14.53,14.0,14.0,142.0,28019.0
2012-07-27,14.9,14.64,14.45,14.58,132.0,30116.0
2012-07-30,14.75,14.48,14.41,14.64,64.0,8481.0
2012-07-31,14.64,13.82,13.75,14.45,120.0,18883.0
2012-08-01,13.945,13.41,13.24,13.945,92.0,20356.0
2012-08-02,14.21,14.0,13.41,13.41,84.0,26410.0
2012-08-03,14.605,14.58,13.0927,14.29,115.0,18732.0
2012-08-06,14.85,14.56,14.19,14.6,231.0,38664.0
2012-08-07,14.86,14.09,13.01,14.51,225.0,37737.0
2012-08-08,14.85,14.29,13.24,14.2,406.0,66413.0
2012-08-09,14.78,14.49,14.01,14.29,440.0,60155.0
2012-08-10,14.44,13.98,13.81,14.44,115.0,23301.0
2012-08-13,14.61,13.25,13.03,13.98,258.0,33703.0
2012-08-14,13.57,13.5,13.25,13.31,332.0,42268.0
2012-08-15,13.79,13.79,13.14,13.5,117.0,20913.0
2012-08-16,14.22,14.16,13.75,13.76,107.0,18632.0
2012-08-17,14.63,14.52,14.01,14.09,175.0,29522.0
2012-08-20,14.44,14.05,13.77,14.44,101.0,11147.0
2012-08-21,14.5499,13.73,13.4,14.14,262.0,37972.0
2012-08-22,13.909,13.7,13.25,13.77,362.0,94406.0
2012-08-23,13.76,13.63,13.32,13.71,54.0,7778.0
2012-08-24,13.95,13.42,13.42,13.59,73.0,9134.0
2012-08-27,14.26,13.39,13.27,14.25,138.0,26554.0
2012-08-28,13.76,13.63,13.35,13.35,156.0,22893.0
2012-08-29,13.9,13.64,13.26,13.68,211.0,27284.0
2012-08-30,13.61,13.15,13.07,13.5,156.0,21246.0
2012-08-31,13.23,12.98,12.71,13.05,135.0,24274.0
2012-09-04,12.98,12.44,11.79,12.79,1130.0,155981.0
2012-09-05,13.11,12.9,12.5,12.5,611.0,337062.0
2012-09-06,13.81,13.59,12.9,13.01,343.0,63409.0
2012-09-07,13.83,13.68,13.185,13.83,276.0,41121.0
2012-09-10,13.91,13.82,13.2501,13.65,195.0,25530.0
2012-09-11,14.15,14.07,13.5,14.1,159.0,20805.0
2012-09-12,14.74,14.74,13.8,14.17,221.0,36771.0
2012-09-13,16.12,15.69,14.52,14.8,327.0,54825.0
2012-09-14,16.08,15.48,15.1,15.8,188.0,31580.0
2012-09-17,16.08,15.5,14.87,15.43,131.0,16247.0
2012-09-18,15.83,15.48,14.87,15.44,151.0,22407.0
2012-09-19,15.95,15.95,15.43,15.59,235.0,37969.0
2012-09-20,16.02,15.32,15.14,15.8,286.0,33634.0
2012-09-21,16.04,14.62,14.5,15.72,240.0,110243.0
2012-09-24,14.99,14.77,14.56,14.58,98.0,11179.0
2012-09-25,15.06,14.56,14.5,14.89,144.0,22105.0
2012-09-26,14.66,14.32,13.66,14.57,147.0,27628.0
2012-09-27,14.87,14.64,13.82,14.35,210.0,24131.0
2012-09-28,14.97,14.85,14.18,14.53,144.0,25308.0
2012-10-01,14.99,13.94,13.77,14.99,407.0,81408.0
2012-10-02,14.0,12.98,12.92,14.0,471.0,123575.0
2012-10-03,13.24,12.71,12.52,13.04,565.0,102449.0
2012-10-04,13.17,13.02,12.66,12.73,649.0,138390.0
2012-10-05,13.42,13.23,13.01,13.2,161.0,21382.0
2012-10-08,13.54,13.23,13.12,13.2,528.0,70199.0
2012-10-09,13.45,12.83,12.55,13.35,658.0,90515.0
2012-10-10,13.375,12.98,12.38,13.0,694.0,91380.0
2012-10-11,13.56,13.49,13.12,13.12,214.0,62054.0
2012-10-12,14.47,14.14,13.46,13.46,237.0,28061.0
2012-10-15,14.23,13.92,13.7207,14.23,76.0,10808.0
2012-10-16,14.125,13.88,13.76,13.97,168.0,36870.0
2012-10-17,14.4,13.63,13.45,13.96,152.0,25393.0
2012-10-18,13.92,13.79,13.67,13.67,144.0,18676.0
2012-10-19,13.74,12.51,12.42,13.62,363.0,64904.0
2012-10-22,12.94,12.82,12.39,12.57,204.0,25748.0
2012-10-23,13.59,13.39,12.46,12.72,137.0,18253.0
2012-10-24,13.52,13.36,13.0374,13.5,184.0,24566.0
2012-10-25,13.48,13.38,13.0301,13.44,225.0,29175.0
2012-10-26,13.9,13.49,13.24,13.86,486.0,113469.0
2012-10-31,13.56,13.21,13.08,13.54,54.0,8006.0
2012-11-01,13.31,13.0,12.65,13.31,505.0,118399.0
2012-11-02,13.19,12.74,12.67,13.01,72.0,13073.0
2012-11-05,12.925,12.63,12.58,12.63,399.0,47092.0
2012-11-06,12.71,12.33,12.26,12.71,149.0,18153.0
2012-11-07,12.57,11.93,11.72,12.25,501.0,82666.0
2012-11-08,12.57,11.75,11.7,11.94,244.0,53566.0
2012-11-09,12.16,11.06,11.03,11.73,356.0,111474.0
2012-11-12,10.71,10.46,9.87,10.14,3444.0,1095279.0
2012-11-13,10.86,10.32,9.77,9.89,962.0,215855.0
2012-11-14,10.62,10.05,9.97,10.17,1018.0,179150.0
2012-11-15,10.65,10.13,9.92,9.99,1316.0,161499.0
2012-11-16,10.265,10.22,9.98,10.17,881.0,162088.0
2012-11-19,10.25,10.15,9.88,10.25,1379.0,271315.0
2012-11-20,10.34,10.34,9.81,10.0,1081.0,169415.0
2012-11-21,10.75,10.64,9.9,10.13,1329.0,244839.0
2012-11-23,10.96,10.89,10.41,10.58,465.0,69253.0
2012-11-26,11.125,11.01,10.55,11.0,995.0,152556.0
2012-11-27,10.99,10.19,9.82,10.99,957.0,164389.0
