Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2002-02-04,8.8,8.8,8.8,8.8,500.0
2002-02-05,8.8,8.8,8.55,8.7,4400.0
2002-02-06,8.8,8.8,8.71,8.71,700.0
2002-02-07,8.8,8.8,8.8,8.8,400.0
2002-02-08,8.79,8.79,8.7,8.7,1500.0
2002-02-11,8.85,8.85,8.75,8.75,1100.0
2002-02-12,8.85,8.85,8.85,8.85,200.0
2002-02-13,8.85,8.85,8.85,8.85,1500.0
2002-02-14,8.8,8.8,8.5,8.75,7100.0
2002-02-15,8.9,8.89,8.85,8.85,5000.0
2002-02-19,8.9,8.89,8.8,8.9,1500.0
2002-02-20,8.89,8.89,8.87,8.87,700.0
2002-02-21,8.9,8.9,8.9,8.9,500.0
2002-02-22,8.9,8.9,8.9,8.9,300.0
2002-02-25,8.85,8.85,8.85,8.85,1000.0
2002-02-26,8.85,8.85,8.85,8.85,1800.0
2002-02-27,8.84,8.84,8.8,8.8,1700.0
2002-02-28,8.85,8.85,8.85,8.85,500.0
2002-03-01,8.84,8.84,8.79,8.8,7700.0
2002-03-04,8.8,8.8,8.8,8.8,2100.0
2002-03-05,8.95,8.95,8.84,8.84,8000.0
2002-03-06,8.9,8.8,8.75,8.85,14700.0
2002-03-07,8.8,8.8,8.5,8.7,18300.0
2002-03-08,8.79,8.79,8.7,8.7,700.0
2002-03-11,8.8,8.8,8.75,8.75,400.0
2002-03-12,8.7,8.65,8.45,8.7,4900.0
2002-03-13,8.65,8.65,8.45,8.55,6000.0
2002-03-14,8.65,8.65,8.45,8.55,6700.0
2002-03-15,8.6,8.6,8.6,8.6,600.0
2002-03-18,8.5,8.5,8.5,8.5,800.0
2002-03-19,8.6,8.6,8.45,8.45,4700.0
2002-03-20,8.6,8.6,8.3,8.5,4300.0
2002-03-21,8.64,8.5,8.5,8.6,4900.0
2002-03-22,8.49,8.39,8.3,8.45,7600.0
2002-03-25,8.3,8.1,8.0,8.3,8200.0
2002-03-26,8.1,8.1,7.9,8.0,7200.0
2002-03-27,8.09,8.0,8.0,8.0,6300.0
2002-03-28,8.09,8.0,7.95,7.95,10700.0
2002-04-01,8.3,8.3,7.95,7.95,5000.0
2002-04-02,8.3,8.3,8.27,8.27,5200.0
2002-04-03,8.25,8.25,8.0,8.2,5400.0
2002-04-04,8.2,8.15,8.12,8.12,2000.0
2002-04-05,8.1,8.1,8.05,8.05,2700.0
2002-04-08,8.2,8.2,7.95,8.0,5600.0
2002-04-09,8.28,8.28,8.0,8.2,2000.0
2002-04-10,8.27,8.27,8.27,8.27,200.0
2002-04-11,8.23,8.22,8.06,8.12,4100.0
2002-04-12,8.25,8.25,8.12,8.12,1700.0
2002-04-15,8.26,8.26,8.0,8.15,7100.0
2002-04-16,8.26,8.15,7.9,8.16,16400.0
2002-04-17,8.24,8.19,8.19,8.24,2500.0
2002-04-18,8.25,8.25,8.2,8.2,3000.0
2002-04-19,8.25,8.25,8.1,8.15,9600.0
2002-04-22,8.3,8.3,8.3,8.3,1500.0
2002-04-23,8.35,8.35,8.25,8.25,1200.0
2002-04-24,8.45,8.4,8.25,8.45,2900.0
2002-04-25,8.38,8.38,8.3,8.3,900.0
2002-04-29,8.3,8.2,8.15,8.28,4700.0
2002-04-30,8.38,8.38,8.3,8.3,400.0
2002-05-02,8.37,8.37,8.12,8.25,10500.0
2002-05-07,8.5,8.5,8.15,8.27,6500.0
2002-05-09,8.5,8.4,8.4,8.5,2500.0
2002-05-10,8.37,8.37,8.25,8.3,2000.0
2002-05-13,8.4,8.39,8.25,8.4,8900.0
2002-05-14,8.4,8.4,8.15,8.3,6400.0
2002-05-15,8.3,8.3,8.15,8.3,4700.0
2002-05-20,8.2,8.2,8.2,8.2,1500.0
2002-05-21,8.1,8.1,8.0,8.1,1900.0
2002-05-22,8.15,8.15,8.0,8.1,7500.0
2002-05-23,8.15,8.15,8.0,8.1,2600.0
2002-05-28,8.15,8.15,8.1,8.1,2500.0
2002-05-29,8.1,8.1,8.0,8.1,2800.0
2002-05-30,8.15,8.1,7.9,8.0,16800.0
2002-05-31,8.2,8.2,8.1,8.1,4000.0
2002-06-03,8.1,8.1,8.0,8.1,2400.0
2002-06-04,8.2,8.2,8.0,8.0,900.0
2002-06-05,8.2,8.2,8.1,8.1,2100.0
2002-06-06,8.2,8.2,8.1,8.1,3600.0
