Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-18,19.84,19.83,19.12,19.12,,464200.0
2007-09-19,20.39,20.12,20.0,20.25,,136300.0
2007-09-20,20.12,20.0,19.9101,20.11,,30000.0
2007-09-21,20.22,20.08,20.08,20.11,,35700.0
2007-09-24,20.16,19.92,19.88,20.11,,26300.0
2007-09-25,19.72,19.72,19.56,19.65,,21700.0
2007-09-26,19.92,19.83,19.77,19.81,,67600.0
2007-09-27,20.0599,20.03,19.92,19.97,,4600.0
2007-09-28,20.14,19.84,19.84,20.06,,59200.0
2007-10-01,20.61,20.5101,19.81,19.98,,23800.0
2007-10-02,20.6025,20.54,20.46,20.6,,19200.0
2007-10-03,20.53,20.36,20.32,20.47,,64800.0
2007-10-04,20.43,20.36,20.2,20.43,,10900.0
2007-10-05,20.9,20.77,20.58,20.58,,9200.0
2007-10-08,20.8599,20.7399,20.64,20.75,,29100.0
2007-10-09,20.86,20.86,20.61,20.73,,25600.0
2007-10-10,20.92,20.84,20.68,20.87,,13300.0
2007-10-11,21.0634,20.61,20.456,20.96,,15500.0
2007-10-12,20.7716,20.75,20.53,20.62,,23200.0
2007-10-15,20.77,20.57,20.5,20.77,,7200.0
2007-10-16,20.57,20.29,20.27,20.57,,11300.0
2007-10-17,20.47,20.35,20.09,20.47,,12600.0
2007-10-18,20.42,20.4,20.0896,20.19,,86600.0
2007-10-19,20.23,19.66,19.66,20.23,,14200.0
2007-10-22,19.68,19.48,19.26,19.26,,16800.0
2007-10-23,19.91,19.91,19.68,19.83,,25200.0
2007-10-24,20.01,19.96,19.54,19.84,,23800.0
2007-10-25,20.04,19.8,19.61,19.99,,14200.0
2007-10-26,20.17,20.09,19.88,19.88,,44800.0
2007-10-29,20.33,20.19,20.11,20.33,,15900.0
2007-10-30,20.14,19.91,19.91,20.14,,13100.0
2007-10-31,20.23,20.0,19.85,20.03,,20800.0
2007-11-01,19.72,19.321,19.321,19.69,,55000.0
2007-11-02,19.43,19.29,19.146,19.43,,9100.0
2007-11-05,19.19,18.91,18.91,19.0,,403200.0
2007-11-06,19.43,19.43,19.04,19.21,,68400.0
2007-11-07,19.07,18.61,18.61,19.07,,169400.0
2007-11-08,18.88,18.57,18.238,18.88,,24540.0
2007-11-09,18.52,18.26,18.21,18.52,,106400.0
2007-11-12,18.35,17.75,17.75,18.16,,48500.0
2007-11-13,18.42,18.4,17.92,18.0,,27700.0
2007-11-14,18.61,18.4,18.37,18.52,,54200.0
2007-11-15,18.37,18.11,17.98,18.28,,69700.0
2007-11-16,18.19,18.17,18.0068,18.03,,4400.0
2007-11-19,17.82,17.56,17.53,17.78,,14900.0
2007-11-20,17.89,17.69,17.4,17.6,,389900.0
2007-11-21,17.67,17.41,17.33,17.45,,278600.0
2007-11-23,17.84,17.77,17.56,17.61,,6900.0
2007-11-26,17.8788,17.52,17.52,17.8,,10200.0
2007-11-27,17.6088,17.55,17.32,17.6,,7800.0
2007-11-28,18.27,18.27,17.77,17.77,,11500.0
2007-11-29,18.3178,18.14,18.03,18.25,,5100.0
2007-11-30,18.5648,18.24,18.2,18.56,,25600.0
2007-12-03,18.3304,18.12,18.12,18.25,,6100.0
2007-12-04,18.08,18.0,17.8,17.93,,50900.0
2007-12-05,18.3,18.25,18.14,18.1401,,3900.0
2007-12-06,18.89,18.89,18.4066,18.42,,6000.0
2007-12-07,18.97,18.84,18.74,18.89,,29800.0
2007-12-10,18.977,18.9,18.75,18.75,,8000.0
2007-12-11,18.9,18.128,18.05,18.9,,38400.0
2007-12-12,18.5,18.19,18.06,18.48,,47000.0
2007-12-13,18.19,18.11,17.94,18.19,,12400.0
2007-12-14,17.99,17.74,17.74,17.99,,22900.0
2007-12-17,17.87,17.57,17.57,17.85,,21800.0
2007-12-18,17.809,17.77,17.44,17.65,,16900.0
2007-12-19,17.92,17.88,17.66,17.7,,8900.0
2007-12-20,18.02,18.02,17.79,17.96,,15400.0
2007-12-21,18.47,18.414,18.27,18.27,,20300.0
2007-12-24,18.77,18.77,18.52,18.52,,12700.0
2007-12-26,18.74,18.7,18.5644,18.71,,15400.0
2007-12-27,18.62,18.35,18.35,18.61,,5400.0
2007-12-28,18.45,18.38,18.35,18.37,,3800.0
2007-12-31,18.38,18.26,18.16,18.16,,59800.0
2008-01-02,18.31,17.91,17.8601,18.31,,5500.0
2008-01-03,18.22,17.98,17.98,18.03,,8800.0
2008-01-04,17.71,17.35,17.35,17.48,,13300.0
2008-01-07,17.51,17.17,17.0,17.42,,11500.0
2008-01-08,17.35,16.69,16.69,17.33,,10300.0
2008-01-09,16.65,16.65,16.09,16.59,,271700.0
2008-01-10,17.24,17.05,16.37,16.37,,30300.0
2008-01-11,17.01,16.83,16.73,16.92,,23822.0
2008-01-14,17.09,17.09,16.7601,16.78,,40500.0
2008-01-15,16.81,16.45,16.4,16.73,,29000.0
2008-01-16,16.513,16.2808,16.01,16.4,,17400.0
2008-01-17,16.3,15.6,15.54,16.3,,24500.0
2008-01-18,15.95,15.61,15.51,15.64,,44884.0
2008-01-22,16.0199,15.8,14.58,14.58,,21930.0
2008-01-23,16.27,16.27,15.21,15.21,,9100.0
2008-01-24,16.62,16.48,16.22,16.22,,20200.0
2008-01-25,16.8499,16.3,16.3,16.8,,15700.0
2008-01-28,16.64,16.59,16.05,16.15,,18700.0
2008-01-29,16.86,16.86,16.61,16.73,,4300.0
2008-01-30,17.11,16.69,16.69,16.69,,6600.0
2008-01-31,17.36,17.24,16.4,16.53,,47200.0
2008-02-01,17.76,17.68,17.31,17.34,,21800.0
2008-02-04,17.72,17.32,17.3,17.72,,70400.0
2008-02-05,17.33,16.69,16.69,17.33,,11699.0
2008-02-06,17.0399,16.52,16.52,16.74,,13551.0
2008-02-07,16.68,16.64,16.35,16.53,,69800.0
2008-02-08,16.81,16.58,16.5601,16.61,,11700.0
2008-02-11,16.83,16.78,16.47,16.6,,19900.0
2008-02-12,16.9,16.7,16.7,16.75,,20600.0
2008-02-13,17.1,17.1,16.81,16.9,,15100.0
2008-02-14,17.12,16.86,16.77,17.11,,9400.0
2008-02-15,16.72,16.65,16.53,16.68,,11300.0
2008-02-19,16.946,16.8,16.71,16.9,,26800.0
2008-02-20,16.98,16.92,16.5,16.5,,71000.0
2008-02-21,17.21,16.92,16.91,17.1,,94800.0
2008-02-22,16.99,16.99,16.65,16.97,,123600.0
2008-02-25,17.444,17.39,16.8,16.8,,74800.0
2008-02-26,17.6999,17.65,17.16,17.16,,76500.0
2008-02-27,17.634,17.47,17.35,17.44,,124200.0
2008-02-28,17.63,17.28,17.24,17.34,,198800.0
2008-02-29,17.14,16.89,16.76,17.14,,161500.0
2008-03-03,16.9099,16.86,16.61,16.74,,8700.0
2008-03-04,16.98,16.652,16.44,16.98,,20100.0
2008-03-05,16.84,16.75,16.62,16.65,,77500.0
2008-03-06,16.7,16.27,16.27,16.7,,34700.0
2008-03-07,16.37,16.08,15.9,16.08,,50700.0
2008-03-10,16.02,15.43,15.41,15.9,,61379.0
2008-03-11,16.14,16.14,15.67,15.7,,62400.0
2008-03-12,16.3934,16.1,16.08,16.2,,6003.0
2008-03-13,16.47,16.45,15.7551,15.95,,12200.0
2008-03-14,16.31,16.07,15.85,16.15,,10000.0
2008-03-17,15.8,15.69,15.478,15.54,,4300.0
2008-03-18,16.4,16.4,15.84,15.98,,23500.0
2008-03-19,16.6136,15.97,15.97,16.45,,9700.0
2008-03-20,16.24,16.24,15.09,15.73,,32100.0
2008-03-24,16.906,16.74,16.4,16.4,,47700.0
2008-03-25,17.02,16.98,16.65,16.91,,20900.0
2008-03-26,16.89,16.69,16.6896,16.89,,26600.0
2008-03-27,16.87,16.56,16.56,16.69,,13300.0
2008-03-28,16.8,16.5,16.47,16.8,,6900.0
2008-03-31,16.61,16.59,16.41,16.5099,,3900.0
2008-04-01,17.19,17.19,16.71,16.9,,9000.0
2008-04-02,17.4134,17.23,16.97,17.22,,7400.0
2008-04-03,17.4599,17.38,17.09,17.09,,5200.0
2008-04-04,17.56,17.47,17.3599,17.43,,32300.0
2008-04-07,17.6,17.3501,17.35,17.6,,11700.0
2008-04-08,17.32,17.32,17.16,17.19,,5400.0
2008-04-09,17.21,16.99,16.9401,17.21,,12000.0
2008-04-10,17.23,17.19,16.9599,17.0,,5500.0
2008-04-11,17.05,16.75,16.73,16.93,,5800.0
2008-04-14,16.82,16.7622,16.63,16.82,,7318.0
2008-04-15,16.77,16.75,16.53,16.77,,8314.0
2008-04-16,17.42,17.42,17.25,17.25,,4350.0
2008-04-17,17.353,17.3401,17.2,17.2,,4758.0
2008-04-18,17.84,17.78,17.65,17.84,,20226.0
2008-04-21,17.8399,17.8399,17.59,17.59,,16902.0
2008-04-22,17.82,17.4,17.19,17.82,,14025.0
