Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,29.23,28.09,27.05,27.05,,127287.0
2007-09-20,28.49,27.95,27.52,28.01,,49257.0
2007-09-21,29.0,27.65,27.19,27.89,,105573.0
2007-09-24,28.38,27.68,27.17,27.61,,43362.0
2007-09-25,27.84,26.51,26.39,27.32,,80163.0
2007-09-26,27.5,27.3,26.58,26.58,,33642.0
2007-09-27,27.47,27.47,26.61,27.324,,40597.0
2007-09-28,27.47,25.95,25.85,27.39,,32673.0
2007-10-01,27.7,27.51,25.65,25.7,,72712.0
2007-10-02,28.38,27.95,27.0,27.56,,43970.0
2007-10-03,28.4,27.66,26.86,27.73,,42521.0
2007-10-04,27.37,26.98,26.62,27.37,,37635.0
2007-10-05,28.29,27.86,26.54,27.0,,67519.0
2007-10-08,27.77,27.58,27.022,27.69,,24802.0
2007-10-09,27.57,27.18,26.9,27.57,,25881.0
2007-10-10,27.28,27.2,26.71,27.18,,41148.0
2007-10-11,27.3,27.17,26.8001,27.3,,34351.0
2007-10-12,27.76,27.44,27.03,27.76,,48711.0
2007-10-15,27.68,27.32,26.98,27.44,,38670.0
2007-10-16,27.3,27.17,27.06,27.3,,23602.0
2007-10-17,27.51,27.34,26.71,27.51,,29550.0
2007-10-18,28.16,27.86,27.18,27.78,,31573.0
2007-10-19,28.1,26.3,26.27,27.85,,44642.0
2007-10-22,26.07,25.48,25.18,26.0,,33314.0
2007-10-23,26.04,25.98,24.75,25.59,,32781.0
2007-10-24,25.97,25.82,25.07,25.97,,35226.0
2007-10-25,25.81,25.08,25.05,25.77,,54905.0
2007-10-26,25.8,25.8,23.08,25.62,,24762.0
2007-10-29,26.44,26.44,25.73,25.93,,47780.0
2007-10-30,26.97,25.46,25.27,26.27,,31715.0
2007-10-31,25.05,23.87,20.73,21.82,,124847.0
2007-11-01,23.58,22.9,22.78,23.46,,87649.0
2007-11-02,23.14,22.74,22.06,23.14,,31728.0
2007-11-05,23.33,23.02,21.99,22.33,,42512.0
2007-11-06,23.08,22.99,22.4371,23.0,,31976.0
2007-11-07,22.86,22.02,21.57,22.53,,54389.0
2007-11-08,23.23,23.22,22.0,22.31,,45633.0
2007-11-09,22.93,22.05,21.91,22.93,,47732.0
2007-11-12,23.82,23.4,22.05,22.05,,51216.0
2007-11-13,24.45,24.45,23.33,23.55,,37068.0
2007-11-14,24.63,23.7,23.2001,24.63,,27042.0
2007-11-15,23.89,23.3,23.26,23.72,,29081.0
2007-11-16,23.31,22.07,21.99,23.31,,83867.0
2007-11-19,21.94,21.75,21.31,21.92,,55307.0
2007-11-20,21.63,21.18,20.4,21.63,,40656.0
2007-11-21,22.87,21.65,20.9,21.12,,49080.0
2007-11-23,21.675,21.26,21.22,21.675,,20184.0
2007-11-26,22.13,21.1,20.9,21.19,,36468.0
2007-11-27,21.78,21.71,20.64,21.14,,59757.0
2007-11-28,23.2,23.03,21.49,21.99,,44618.0
2007-11-29,23.13,22.93,22.69,22.95,,19423.0
2007-11-30,24.05,23.54,22.66,23.2,,61423.0
2007-12-03,23.72,22.28,21.22,23.6,,128010.0
2007-12-04,23.08,22.5,21.61,22.06,,65334.0
2007-12-05,23.34,23.22,22.9,22.9,,28666.0
2007-12-06,24.04,23.75,23.02,23.3,,45437.0
2007-12-07,23.75,23.32,22.94,23.75,,30393.0
2007-12-10,23.6,23.57,23.29,23.29,,28365.0
2007-12-11,23.72,23.35,23.3,23.72,,57563.0
2007-12-12,24.19,23.22,23.2,23.75,,50688.0
2007-12-13,23.8,23.79,22.45,22.61,,29819.0
2007-12-14,23.94,23.72,23.15,23.26,,31954.0
2007-12-17,23.76,23.5,23.31,23.52,,41822.0
2007-12-18,23.75,23.65,22.73,23.68,,39682.0
2007-12-19,24.28,24.13,22.62,22.982,,25957.0
2007-12-20,25.22,25.22,23.25,24.07,,61375.0
2007-12-21,26.49,26.31,24.93,25.27,,107315.0
2007-12-24,27.19,27.19,25.94,26.45,,25387.0
2007-12-26,27.96,27.74,26.8499,27.38,,37105.0
2007-12-27,27.86,25.38,25.38,27.85,,25861.0
2007-12-28,26.65,24.96,24.69,25.8,,39034.0
2007-12-31,25.76,25.1,24.22,24.89,,85659.0
2008-01-02,25.1,24.21,23.89,24.78,,29345.0
2008-01-03,24.64,23.43,23.43,24.31,,39351.0
2008-01-04,23.15,22.75,22.43,23.09,,62336.0
2008-01-07,22.8,21.8,21.69,22.69,,78994.0
2008-01-08,22.14,21.48,21.43,21.6,,64904.0
2008-01-09,21.46,20.81,20.0,21.34,,42656.0
2008-01-10,21.59,21.41,20.29,20.29,,28573.0
2008-01-11,21.46,19.46,19.38,21.4,,60196.0
2008-01-14,20.54,20.35,19.52,19.61,,30044.0
2008-01-15,20.03,19.39,19.2,20.03,,48717.0
2008-01-16,20.17,19.95,19.2,19.4,,39240.0
2008-01-17,20.1,19.8,19.5,20.1,,32485.0
2008-01-18,20.01,19.42,19.29,19.68,,46197.0
2008-01-22,20.0,19.54,17.2701,18.86,,85786.0
2008-01-23,21.47,21.15,19.03,19.03,,35758.0
2008-01-24,21.23,20.45,19.53,21.23,,34653.0
2008-01-25,21.5,20.73,20.23,20.72,,42351.0
2008-01-28,21.78,21.43,19.81,19.81,,12459.0
2008-01-29,21.21,20.58,20.33,21.0,,35688.0
2008-01-30,22.03,21.19,19.73,20.39,,42067.0
2008-01-31,22.42,22.36,19.92,19.92,,31285.0
2008-02-01,23.02,22.94,21.9,22.15,,56581.0
2008-02-04,23.85,22.14,22.13,22.63,,50143.0
2008-02-05,22.03,21.01,20.46,21.65,,43834.0
2008-02-06,21.44,21.25,20.59,21.28,,24428.0
2008-02-07,22.55,21.79,19.59,20.87,,32384.0
2008-02-08,23.264,21.78,21.77,21.8,,62721.0
2008-02-11,23.7,22.35,21.8,21.8,,88676.0
2008-02-12,23.34,23.14,22.42,22.42,,54950.0
2008-02-13,25.2,24.61,23.21,23.4,,112095.0
2008-02-14,25.0,23.79,23.69,24.16,,73871.0
2008-02-15,23.81,23.54,23.37,23.66,,73298.0
2008-02-19,23.94,23.71,23.5,23.9,,40374.0
2008-02-20,23.94,23.85,23.37,23.59,,38682.0
2008-02-21,24.26,22.46,22.34,24.01,,62698.0
2008-02-22,22.93,21.13,20.41,22.45,,103889.0
2008-02-25,22.59,22.2,20.52,21.18,,29426.0
2008-02-26,22.311,22.0,21.63,22.01,,31932.0
2008-02-27,23.27,22.35,20.48,21.7,,24876.0
