Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,13.49,13.4,13.0,13.2,,191619.0
2007-09-20,13.4,13.14,13.08,13.375,,121965.0
2007-09-21,13.16,13.05,13.01,13.04,,104680.0
2007-09-24,13.2,13.1,12.9701,13.02,,31846.0
2007-09-25,13.1,12.97,12.77,13.01,,151079.0
2007-09-26,13.1,13.1,12.92,13.0,,94057.0
2007-09-27,14.43,13.6,12.99,13.08,,213474.0
2007-09-28,13.92,13.4,13.35,13.6,,97225.0
2007-10-01,13.99,13.96,13.22,13.37,,127797.0
2007-10-02,14.24,14.24,13.71,13.98,,38467.0
2007-10-03,14.2,14.11,13.75,14.15,,78443.0
2007-10-04,14.2,14.13,13.89,14.18,,20535.0
2007-10-05,14.49,14.49,14.0501,14.15,,49464.0
2007-10-08,14.43,14.25,14.18,14.43,,66321.0
2007-10-09,14.35,14.26,14.1,14.26,,83641.0
2007-10-10,14.35,14.0,13.98,14.28,,84325.0
2007-10-11,14.14,14.0,13.88,14.13,,139259.0
2007-10-12,14.02,14.0,13.8,13.97,,80537.0
2007-10-15,14.3,14.2,13.9,13.99,,76632.0
2007-10-16,14.45,14.45,14.0,14.22,,208567.0
2007-10-17,14.5,14.38,14.11,14.5,,69368.0
2007-10-18,14.34,13.93,13.86,14.34,,60006.0
2007-10-19,14.07,13.19,13.1,13.93,,120684.0
2007-10-22,13.63,13.53,13.03,13.06,,106737.0
2007-10-23,13.88,13.7,13.48,13.62,,166524.0
2007-10-24,13.91,13.55,13.47,13.7,,116840.0
2007-10-25,13.92,13.45,13.34,13.62,,64139.0
2007-10-26,13.8,13.68,13.56,13.57,,107689.0
2007-10-29,13.84,13.71,13.46,13.71,,28946.0
2007-10-30,13.83,13.21,13.16,13.68,,35743.0
2007-10-31,13.25,13.06,12.96,13.25,,68905.0
2007-11-01,13.46,12.41,12.27,12.91,,165630.0
2007-11-02,13.0,12.72,12.1,12.5,,109693.0
2007-11-05,12.85,12.32,12.13,12.57,,57967.0
2007-11-06,13.3,12.49,12.15,12.34,,78921.0
2007-11-07,12.51,11.61,11.59,12.34,,77514.0
2007-11-08,12.09,11.92,11.62,11.71,,114663.0
2007-11-09,12.18,11.95,11.36,11.66,,52913.0
2007-11-12,12.54,12.29,11.81,11.97,,62639.0
2007-11-13,12.49,12.27,11.97,12.38,,65748.0
2007-11-14,12.34,11.89,11.5,12.34,,38682.0
2007-11-15,11.77,11.34,11.26,11.7,,52964.0
2007-11-16,11.8,11.8,11.33,11.33,,49765.0
2007-11-19,11.7,11.55,11.23,11.7,,117957.0
2007-11-20,11.61,11.02,10.94,11.58,,104782.0
2007-11-21,11.01,10.4,10.28,11.01,,843427.0
2007-11-23,10.68,10.39,10.26,10.48,,47391.0
2007-11-26,10.56,9.96,9.93,10.42,,274765.0
2007-11-27,11.01,10.95,10.01,10.01,,92724.0
2007-11-28,11.9,11.51,11.04,11.04,,234264.0
2007-11-29,11.68,11.1,11.081,11.46,,117776.0
2007-11-30,11.72,11.49,11.16,11.16,,198671.0
2007-12-03,11.6,11.27,11.13,11.45,,98307.0
2007-12-04,11.35,10.62,10.56,11.2,,74340.0
2007-12-05,10.99,10.91,10.68,10.74,,76458.0
2007-12-06,11.06,11.02,10.71,10.93,,139559.0
2007-12-07,11.071,10.71,10.46,11.07,,87385.0
2007-12-10,10.71,10.38,10.32,10.71,,204034.0
2007-12-11,10.75,10.07,9.89,10.53,,149995.0
2007-12-12,10.27,9.96,9.95,10.15,,181333.0
2007-12-13,10.16,10.11,9.85,9.95,,313744.0
2007-12-14,10.13,9.64,9.03,9.12,,230412.0
2007-12-17,9.56,9.08,8.88,9.56,,263746.0
2007-12-18,9.75,9.57,9.13,9.22,,231617.0
2007-12-19,9.85,9.74,9.41,9.51,,142695.0
2007-12-20,10.0,10.0,9.4,9.8,,227567.0
2007-12-21,10.32,9.87,9.78,10.14,,296744.0
2007-12-24,10.95,10.87,9.75,9.95,,127720.0
2007-12-26,11.16,10.98,10.26,10.87,,111826.0
2007-12-27,11.08,9.93,9.93,10.89,,165363.0
2007-12-28,10.05,9.9,9.59,9.99,,179857.0
2007-12-31,10.02,10.02,9.69,9.81,,253797.0
2008-01-02,10.201,10.19,9.8301,9.97,,157401.0
2008-01-03,10.51,10.15,9.99,10.21,,159911.0
2008-01-04,10.5,10.05,9.87,10.41,,243334.0
2008-01-07,10.49,10.18,10.04,10.14,,152636.0
2008-01-08,10.33,10.03,9.91,10.19,,140866.0
2008-01-09,10.43,10.29,9.95,9.95,,98751.0
2008-01-10,10.94,10.54,10.09,10.16,,84726.0
2008-01-11,10.48,10.27,10.07,10.48,,133483.0
2008-01-14,10.5,10.2,10.1,10.34,,94618.0
2008-01-15,10.22,10.1,9.99,10.09,,79153.0
2008-01-16,10.43,10.3,10.07,10.09,,72065.0
2008-01-17,10.7,10.16,10.05,10.42,,92475.0
2008-01-18,10.47,9.96,9.79,10.1,,144904.0
2008-01-22,10.1,9.75,9.59,9.6,,93906.0
2008-01-23,10.85,10.55,9.7,9.7,,134916.0
2008-01-24,10.96,10.48,10.24,10.61,,103730.0
2008-01-25,10.75,10.47,10.11,10.67,,53305.0
2008-01-28,11.3,11.18,10.27,10.4,,262887.0
2008-01-29,11.94,11.07,10.8,11.27,,163266.0
2008-01-30,11.32,10.95,10.95,10.97,,61031.0
2008-01-31,11.47,11.27,10.72,10.72,,97041.0
2008-02-01,11.94,11.25,11.16,11.34,,179823.0
2008-02-04,11.59,11.31,10.95,11.24,,110200.0
2008-02-05,11.59,11.17,10.87,11.05,,130494.0
2008-02-06,11.28,10.56,10.55,11.12,,114620.0
2008-02-07,11.2,10.99,10.5,10.56,,96678.0
2008-02-08,10.98,10.68,10.51,10.98,,117746.0
2008-02-11,10.73,10.39,10.33,10.73,,90309.0
2008-02-12,10.56,10.36,10.24,10.42,,53421.0
2008-02-13,10.4,10.03,9.82,10.4,,226355.0
2008-02-14,10.0656,9.72,9.72,10.05,,98654.0
2008-02-15,10.03,9.76,9.61,9.7,,78176.0
2008-02-19,10.0,9.81,9.77,9.91,,52380.0
2008-02-20,10.0,9.98,9.76,9.76,,73553.0
2008-02-21,10.07,9.84,9.83,10.0,,226501.0
2008-02-22,10.1,9.89,9.62,9.86,,55219.0
2008-02-25,9.9,9.88,9.62,9.87,,53734.0
2008-02-26,9.98,9.89,9.79,9.79,,137064.0
2008-02-27,9.95,9.74,9.73,9.76,,58853.0
2008-02-28,9.72,9.68,9.46,9.7,,84242.0
