Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-05-14,10.5,10.3201,10.29,10.5,,5534.0
2007-05-15,10.41,10.2,10.2,10.41,,8701.0
2007-05-16,10.29,10.21,10.18,10.29,,4900.0
2007-05-17,10.2,10.18,10.04,10.11,,7360.0
2007-05-18,10.24,10.08,10.08,10.2,,4370.0
2007-05-21,10.42,10.4,10.05,10.05,,700.0
2007-05-22,10.3699,10.19,10.13,10.33,,4338.0
2007-05-23,10.2,9.87,9.87,10.2,,25618.0
2007-05-24,10.08,9.8,9.79,9.96,,25364.0
2007-05-25,10.0,9.87,9.8,9.91,,30851.0
2007-05-29,10.05,10.05,9.93,9.95,,1950.0
2007-05-30,10.23,10.1,9.95,10.06,,89325.0
2007-05-31,10.23,10.18,10.02,10.06,,85900.0
2007-06-01,10.18,10.18,10.0,10.0501,,4627.0
2007-06-04,10.48,10.48,10.18,10.24,,3800.0
2007-06-05,10.59,10.55,10.36,10.36,,4605.0
2007-06-06,10.67,10.26,10.2,10.38,,10309.0
2007-06-07,10.67,10.39,10.3,10.61,,3600.0
2007-06-08,10.56,10.45,10.33,10.4,,3200.0
2007-06-11,10.53,10.3,10.27,10.53,,5030.0
2007-06-12,10.48,10.34,10.3201,10.4,,6955.0
2007-06-13,10.38,10.22,10.18,10.28,,4764.0
2007-06-14,10.6,10.54,10.18,10.18,,5798.0
2007-06-15,10.5599,10.5579,10.3,10.38,,15141.0
2007-06-18,10.68,10.5,10.34,10.54,,81614.0
2007-06-19,10.67,10.45,10.45,10.5,,7044.0
2007-06-20,10.58,10.46,10.41,10.54,,14300.0
2007-06-21,10.58,10.5,10.37,10.46,,10039.0
2007-06-22,10.66,10.49,10.44,10.51,,3900.0
2007-06-25,10.61,10.51,10.43,10.44,,1900.0
2007-06-26,10.48,10.41,10.41,10.47,,35100.0
2007-06-27,10.67,10.45,10.37,10.41,,5391.0
2007-06-28,10.68,10.68,10.4,10.44,,4860.0
2007-06-29,10.69,10.69,10.57,10.57,,3585.0
2007-07-02,10.77,10.59,10.59,10.77,,15330.0
2007-07-03,10.9,10.85,10.65,10.71,,2800.0
2007-07-05,10.79,10.73,10.58,10.59,,4400.0
2007-07-06,10.88,10.71,10.6,10.87,,3600.0
2007-07-09,10.87,10.67,10.48,10.82,,5850.0
2007-07-10,10.88,10.75,10.42,10.85,,2700.0
2007-07-11,10.83,10.52,10.41,10.82,,170702.0
2007-07-12,10.58,10.58,10.5,10.5,,685.0
2007-07-13,10.79,10.7,10.58,10.58,,2700.0
2007-07-16,10.79,10.73,10.7,10.7,,1200.0
2007-07-17,10.7999,10.7,10.7,10.78,,1850.0
2007-07-18,10.87,10.71,10.56,10.56,,5400.0
2007-07-19,10.9,10.9,10.7,10.7,,3986.0
2007-07-20,10.93,10.85,10.74,10.78,,1600.0
2007-07-23,10.83,10.78,10.78,10.83,,5200.0
2007-07-24,10.81,10.48,10.46,10.55,,88626.0
2007-07-25,10.495,10.42,10.35,10.41,,62935.0
2007-07-26,10.73,10.6,10.36,10.62,,11470.0
2007-07-27,10.52,10.5095,10.468,10.468,,3185.0
2007-07-30,10.93,10.5,10.41,10.46,,6900.0
2007-07-31,10.55,10.5,10.41,10.5,,2899.0
2007-08-01,10.69,10.44,10.41,10.5,,1800.0
2007-08-02,10.63,10.63,10.37,10.42,,3100.0
2007-08-03,11.0,10.7,10.61,11.0,,30601.0
2007-08-06,10.96,10.41,10.37,10.6,,17028.0
2007-08-07,10.93,10.5,8.51,10.36,,37002.0
2007-08-08,10.99,10.73,10.46,10.5,,6200.0
2007-08-09,10.82,10.68,10.34,10.34,,2896.0
