Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2010-06-16,0.10500000000000001,0.10500000000000001,0.10500000000000001,0.10500000000000001,10000.0
2010-07-29,0.10500000000000001,0.10500000000000001,0.10500000000000001,0.10500000000000001,10000.0
2012-02-24,1.25,1.25,1.01,1.01,1700.0
2012-02-27,2.0,2.0,2.0,2.0,500.0
2012-03-02,1.01,1.01,1.01,1.01,1200.0
2012-03-27,0.75,0.75,0.75,0.75,1000.0
2012-04-02,0.75,0.75,0.75,0.75,47500.0
2012-04-03,0.75,0.75,0.75,0.75,100000.0
2012-04-04,0.75,0.75,0.75,0.75,45000.0
2012-04-05,0.75,0.75,0.75,0.75,20000.0
2012-04-09,0.75,0.75,0.75,0.75,3000.0
2012-04-10,0.75,0.75,0.75,0.75,5100.0
2012-04-12,0.76,0.75,0.75,0.76,30000.0
2012-04-13,0.75,0.75,0.75,0.75,10000.0
2012-04-16,0.75,0.75,0.75,0.75,12000.0
2012-04-17,0.75,0.75,0.7225,0.7225,15000.0
2012-04-18,0.75,0.75,0.75,0.75,81720.0
2012-04-19,0.75,0.75,0.75,0.75,34000.0
2012-04-20,0.75,0.75,0.75,0.75,22500.0
2012-04-23,0.77,0.75,0.75,0.75,138320.0
2012-04-24,0.75,0.75,0.75,0.75,57200.0
2012-04-25,0.85,0.85,0.75,0.75,35685.0
2012-04-26,0.85,0.81,0.8,0.85,34736.0
2012-04-27,0.95,0.93,0.84,0.85,108714.0
2012-04-30,1.1,1.05,0.95,1.0,110251.0
2012-05-01,1.03,0.99,0.925,1.03,31934.0
2012-05-02,1.04,1.02,0.99,1.03,102800.0
2012-05-03,1.035,1.035,1.03,1.03,2760.0
2012-05-04,1.07,1.05,1.02,1.04,111075.0
2012-05-07,1.05,0.96,0.951,1.05,283988.0
2012-05-08,0.96,0.91,0.82,0.86,123504.0
2012-05-09,1.0,0.96,0.88,0.9,202924.0
2012-05-10,0.96,0.9,0.8001,0.9,60650.0
2012-05-11,0.94,0.94,0.82,0.82,36075.0
2012-05-14,0.97,0.97,0.9,0.96,95985.0
2012-05-15,0.94,0.9,0.9,0.92,67585.0
2012-05-16,0.93,0.9,0.9,0.93,34565.0
2012-05-17,0.9,0.9,0.9,0.9,6665.0
2012-05-18,0.9,0.82,0.82,0.9,41700.0
2012-05-21,0.86,0.82,0.82,0.82,13573.0
2012-05-22,0.82,0.75,0.75,0.82,30300.0
2012-05-23,0.75,0.75,0.75,0.75,1750.0
2012-05-24,0.8,0.75,0.75,0.8,1950.0
2012-05-25,0.76,0.75,0.75,0.76,9500.0
2012-05-29,0.78,0.75,0.75,0.78,30000.0
2012-05-30,0.75,0.75,0.75,0.75,8500.0
2012-05-31,0.75,0.75,0.75,0.75,9080.0
2012-06-01,0.75,0.75,0.75,0.75,4500.0
2012-06-04,0.75,0.75,0.73,0.75,31000.0
2012-06-05,0.78,0.75,0.75,0.75,7100.0
2012-06-07,0.75,0.75,0.75,0.75,2650.0
2012-06-08,0.76,0.75,0.75,0.76,1250.0
2012-06-12,0.75,0.75,0.75,0.75,10000.0
2012-06-14,0.76,0.75,0.75,0.75,13050.0
2012-06-15,0.75,0.75,0.75,0.75,1000.0
2012-06-18,0.76,0.75,0.75,0.75,8600.0
2012-06-19,0.75,0.75,0.75,0.75,4100.0
2012-06-20,0.7501,0.75,0.75,0.7501,1700.0
2012-06-22,0.7518,0.7518,0.75,0.75,24310.0
2012-06-26,0.75,0.75,0.75,0.75,12286.0
2012-06-27,0.75,0.75,0.75,0.75,1000.0
2012-06-28,0.75,0.75,0.75,0.75,1920.0
2012-07-02,,,,,500.0
2012-07-05,0.75,0.75,0.75,0.75,2500.0
2012-07-06,0.75,0.75,0.75,0.75,600.0
2012-07-11,0.75,0.707,0.7,0.75,50300.0
2012-07-12,0.75,0.745,0.745,0.75,10000.0
2012-07-13,0.75,0.75,0.75,0.75,1335.0
2012-07-17,0.7,0.7,0.7,0.7,1000.0
2012-07-18,0.7,0.7,0.7,0.7,5000.0
2012-07-30,0.55,0.55,0.51,0.51,10500.0
2012-07-31,0.55,0.55,0.55,0.55,3600.0
2012-08-08,0.51,0.4,0.4,0.51,7700.0
2012-08-09,0.4,0.4,0.4,0.4,1000.0
2012-08-10,0.4,0.4,0.39,0.4,40000.0
2012-08-14,0.4,0.4,0.4,0.4,400.0
2012-08-15,0.68,0.67,0.67,0.68,2000.0
2012-08-24,0.64,0.64,0.64,0.64,498.0
2012-09-10,0.59,0.59,0.59,0.59,120.0
2012-09-14,0.4,0.35,0.35,0.4,22380.0
2012-09-21,0.35,0.35,0.35,0.35,1421.0
2012-10-10,0.36,0.35,0.35,0.36,1300.0
2012-11-16,0.35,0.35,0.35,0.35,245.0
2012-11-19,0.35,0.35,0.25,0.25,20100.0
2012-11-21,0.3413,0.34,0.34,0.3413,145000.0
2012-11-29,0.35,0.35,0.35,0.35,7000.0
