Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-02-13,1.75,1.74,1.64,1.7,,632750.0
2007-02-14,1.74,1.72,1.62,1.74,,512124.0
2007-02-15,1.79,1.73,1.7,1.78,,236090.0
2007-02-16,1.73,1.7,1.65,1.73,,391684.0
2007-02-19,1.7,1.68,1.64,1.7,,320649.0
2007-02-20,1.68,1.63,1.59,1.68,,387876.0
2007-02-21,1.62,1.56,1.53,1.62,,415730.0
2007-02-22,1.58,1.54,1.47,1.55,,6029107.0
2007-02-23,1.59,1.55,1.52,1.53,,771990.0
2007-02-26,1.64,1.64,1.55,1.64,,1232475.0
2007-02-27,1.61,1.46,1.4,1.61,,1240350.0
2007-02-28,1.47,1.43,1.41,1.45,,493570.0
2007-03-01,1.44,1.35,1.3,1.44,,333269.0
2007-03-02,1.59,1.42,1.36,1.36,,1023469.0
2007-03-05,1.4,1.37,1.36,1.36,,458344.0
2007-03-06,1.58,1.58,1.4,1.4,,636395.0
2007-03-07,1.74,1.61,1.58,1.65,,679241.0
2007-03-08,1.68,1.6,1.52,1.68,,216110.0
2007-03-09,1.64,1.57,1.54,1.64,,171856.0
2007-03-12,1.7,1.68,1.57,1.61,,249405.0
2007-03-13,1.7,1.51,1.47,1.7,,269594.0
2007-03-14,1.6,1.6,1.45,1.45,,291062.0
2007-03-15,1.62,1.55,1.54,1.62,,100934.0
2007-03-16,1.59,1.53,1.51,1.55,,73994.0
2007-03-19,1.6,1.55,1.52,1.55,,265174.0
2007-03-20,1.58,1.55,1.5,1.58,,84400.0
2007-03-21,1.55,1.55,1.47,1.55,,335063.0
2007-03-22,1.58,1.56,1.48,1.54,,385600.0
2007-03-23,1.58,1.55,1.51,1.52,,170600.0
2007-03-26,1.57,1.52,1.51,1.56,,163300.0
2007-03-27,1.51,1.48,1.47,1.51,,239556.0
2007-03-28,1.49,1.43,1.4,1.47,,419399.0
2007-03-29,1.5,1.48,1.4,1.44,,483877.0
2007-03-30,1.5,1.45,1.42,1.5,,154335.0
2007-04-02,1.42,1.42,1.35,1.41,,288650.0
2007-04-03,1.43,1.41,1.36,1.43,,307605.0
2007-04-04,1.47,1.47,1.39,1.4,,226360.0
2007-04-05,1.48,1.45,1.44,1.47,,239535.0
2007-04-09,1.48,1.44,1.39,1.48,,309650.0
2007-04-10,1.48,1.45,1.41,1.45,,227217.0
2007-04-11,1.47,1.37,1.36,1.47,,242873.0
2007-04-12,1.4,1.35,1.33,1.38,,245950.0
2007-04-13,1.36,1.34,1.31,1.36,,290776.0
2007-04-16,1.36,1.32,1.32,1.36,,368650.0
2007-04-17,1.33,1.3,1.28,1.32,,170700.0
2007-04-18,1.3,1.17,1.16,1.3,,679833.0
2007-04-19,1.18,1.15,1.08,1.18,,623870.0
2007-04-20,1.2,1.2,1.15,1.18,,376949.0
2007-04-23,1.21,1.14,1.11,1.21,,252650.0
2007-04-24,1.14,1.08,1.06,1.13,,354295.0
2007-04-25,1.06,1.05,0.97,1.06,,663670.0
2007-04-26,1.05,1.01,0.99,1.05,,257800.0
2007-04-27,1.13,1.12,1.01,1.01,,194173.0
2007-04-30,1.18,1.13,1.11,1.15,,186322.0
2007-05-01,1.14,1.1,1.03,1.14,,275729.0
2007-05-02,1.16,1.09,1.05,1.13,,313900.0
2007-05-03,1.12,1.08,1.03,1.12,,399575.0
2007-05-04,1.09,1.05,1.02,1.07,,109250.0
2007-05-07,1.08,1.02,1.0,1.08,,206546.0
2007-05-08,1.05,1.02,1.0,1.01,,75150.0
2007-05-09,1.04,1.01,1.0,1.02,,138050.0
2007-05-10,1.02,0.98,0.95,1.0,,353210.0
2007-05-11,1.0,0.95,0.94,0.94,,146450.0
2007-05-14,0.96,0.9,0.88,0.92,,309124.0
2007-05-15,0.9,0.84,0.82,0.9,,580279.0
2007-05-16,0.88,0.85,0.83,0.84,,280020.0
2007-05-17,0.91,0.91,0.86,0.87,,210600.0
2007-05-18,0.99,0.99,0.9,0.9,,307700.0
2007-05-22,1.04,1.03,1.0,1.0,,394590.0
2007-05-23,1.06,1.05,1.01,1.05,,110300.0
2007-05-24,1.05,0.97,0.9,1.05,,133870.0
2007-05-25,0.99,0.99,0.95,0.95,,23000.0
2007-05-28,1.01,0.92,0.92,1.01,,70800.0
2007-05-29,0.97,0.92,0.91,0.97,,50100.0
2007-05-30,0.9,0.89,0.85,0.88,,87900.0
2007-05-31,0.93,0.88,0.86,0.87,,162500.0
2007-06-01,0.9,0.88,0.87,0.87,,126000.0
2007-06-04,0.9,0.89,0.86,0.87,,58085.0
2007-06-05,0.95,0.95,0.89,0.9,,66167.0
2007-06-06,0.96,0.96,0.87,0.91,,74000.0
