Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2017-12-07,17.73,17.47,15.56,16.25,12196.0,2346192.0
2017-12-08,18.75,18.18,17.35,17.5,1458.0,268596.0
2017-12-11,19.34,19.08,18.14,18.25,843.0,134818.0
2017-12-12,19.85,19.0,18.9,19.85,1221.0,216813.0
2017-12-13,19.22,18.685,18.01,18.96,1120.0,186060.0
2017-12-14,18.9,18.7,18.33,18.75,683.0,111865.0
2017-12-15,19.28,17.75,17.0,18.62,817.0,130187.0
2017-12-18,19.68,18.64,17.041,18.23,1274.0,189045.0
2017-12-19,19.79,19.36,17.8969,18.44,729.0,137267.0
2017-12-20,19.8,19.33,18.92,19.59,874.0,135774.0
2017-12-21,20.36,19.68,19.07,19.37,1635.0,261408.0
2017-12-22,21.31,21.0,20.3777,20.4,1594.0,252027.0
2017-12-26,21.3,20.9,20.37,21.3,603.0,81145.0
2017-12-27,22.65,20.89,20.39,21.16,489.0,61809.0
2017-12-28,22.66,22.18,20.74,20.96,1028.0,118534.0
2017-12-29,23.7,21.47,21.36,21.83,720.0,93476.0
2018-01-02,21.53,19.55,19.06,21.53,1972.0,255411.0
2018-01-03,20.6,19.08,18.72,19.76,1263.0,205761.0
2018-01-04,19.69,19.49,19.03,19.11,475.0,72537.0
2018-01-05,20.5,19.48,19.31,19.42,764.0,105426.0
2018-01-08,20.4,19.75,19.5,19.54,1028.0,136799.0
2018-01-09,20.39,20.16,19.76,19.76,515.0,80451.0
2018-01-10,20.49,20.07,19.49,20.2,665.0,69467.0
2018-01-11,20.57,20.11,19.55,19.9,1010.0,140872.0
2018-01-12,21.5,20.57,20.15,20.26,1846.0,289977.0
2018-01-16,21.96,20.91,20.75,20.75,1070.0,151875.0
2018-01-17,21.135,20.69,20.25,20.85,973.0,125685.0
2018-01-18,21.4,21.06,20.45,20.54,870.0,97267.0
2018-01-19,21.38,20.94,20.66,20.88,785.0,93993.0
2018-01-22,21.4999,21.38,20.831,20.9,512.0,77542.0
2018-01-23,23.49,23.1,21.57,21.57,591.0,71309.0
2018-01-24,24.805,23.2,23.03,23.03,945.0,129956.0
2018-01-25,24.6,24.28,23.02,23.12,768.0,96310.0
2018-01-26,24.61,22.85,22.71,24.61,996.0,123750.0
2018-01-29,22.85,21.06,20.8548,22.85,2088.0,238241.0
2018-01-30,21.9575,21.0,20.5989,21.08,593.0,59109.0
2018-01-31,21.82,20.81,20.28,21.15,799.0,95756.0
2018-02-01,20.603,19.9,19.75,20.16,671.0,77144.0
2018-02-02,21.35,20.23,20.02,20.02,463.0,61977.0
2018-02-05,21.04,19.03,18.73,20.16,1175.0,175040.0
2018-02-06,19.009,18.56,17.45,18.82,1220.0,167380.0
2018-02-07,19.68,19.12,18.46,19.02,557.0,71966.0
2018-02-08,20.2,19.39,18.57,19.6,994.0,108727.0
2018-02-09,19.95,19.49,19.115,19.21,432.0,39212.0
2018-02-12,20.29,20.11,19.0256,19.49,1051.0,149260.0
2018-02-13,21.24,20.67,19.24,20.01,697.0,83348.0
2018-02-14,21.2376,20.73,20.14,20.22,471.0,61646.0
2018-02-15,23.3,21.42,20.97,20.97,613.0,81988.0
2018-02-16,23.99,23.39,21.191,21.191,1366.0,142445.0
2018-02-20,23.7,22.43,22.23,23.52,791.0,110492.0
2018-02-21,23.05,22.2,21.5,22.0,1055.0,130154.0
2018-02-22,23.48,22.86,22.22,22.22,726.0,82464.0
2018-02-23,23.14,22.12,21.915,23.07,972.0,114438.0
2018-02-26,23.22,22.64,21.81,22.4079,961.0,137844.0
2018-02-27,23.0,21.95,21.53,22.49,976.0,116187.0
2018-02-28,22.02,20.89,20.71,21.93,1224.0,147771.0
2018-03-01,21.395,20.56,20.02,20.595,950.0,109109.0
2018-03-02,20.86,19.91,19.54,20.86,1047.0,123104.0
2018-03-05,20.78,20.1,19.45,19.46,1007.0,118007.0
2018-03-06,20.18,19.42,18.5501,20.18,1301.0,165762.0
2018-03-07,20.25,18.9,18.82,20.25,814.0,91706.0
2018-03-08,19.67,18.52,18.44,19.02,796.0,85153.0
2018-03-09,19.7,18.67,18.51,18.68,671.0,87403.0
2018-03-12,19.99,19.85,18.61,18.81,640.0,82112.0
