Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-10-09,22.81,21.0,21.0,22.4,18937.0,5399535.0
2013-10-10,21.63,21.19,20.99,21.12,2105.0,507213.0
2013-10-11,21.99,21.8,21.1,21.37,931.0,245253.0
2013-10-14,21.85,21.6,21.35,21.7,792.0,139337.0
2013-10-15,22.0,21.76,21.3,22.0,450.0,76174.0
2013-10-16,21.96,21.5,21.35,21.8,448.0,71629.0
2013-10-17,21.58,21.52,21.48,21.5,307.0,91551.0
2013-10-18,21.69,21.5,21.45,21.69,186.0,29799.0
2013-10-21,21.52,21.38,21.31,21.46,170.0,46449.0
2013-10-22,21.65,21.6,21.21,21.49,317.0,67238.0
2013-10-23,21.62,21.55,21.4,21.4,203.0,35875.0
2013-10-24,21.58,21.5,21.32,21.32,160.0,26313.0
2013-10-25,21.54,21.44,21.35,21.53,164.0,24943.0
2013-10-28,22.0,21.94,21.41,21.5,786.0,215549.0
2013-10-29,22.11,21.85,21.76,22.11,143.0,28310.0
2013-10-30,21.99,21.49,21.49,21.79,195.0,36885.0
2013-10-31,21.635,21.48,21.44,21.44,227.0,30923.0
2013-11-01,21.79,21.43,21.22,21.44,231.0,40742.0
2013-11-04,21.8,21.8,21.25,21.7,1460.0,385778.0
2013-11-05,22.295,21.55,21.55,21.98,461.0,107120.0
2013-11-06,21.945,21.1,21.0,21.55,329.0,69378.0
2013-11-07,21.09,20.02,19.45,21.0,412.0,77139.0
2013-11-08,20.05,19.72,19.5,20.05,261.0,63864.0
2013-11-11,20.47,20.21,19.06,19.62,697.0,120079.0
2013-11-12,20.38,19.75,19.62,20.38,87.0,12262.0
2013-11-13,20.24,20.02,19.87,19.87,144.0,120274.0
2013-11-14,20.242,20.0,20.0,20.0,169.0,43632.0
2013-11-15,20.02,19.93,19.772,19.99,723.0,162038.0
2013-11-18,20.5,20.4,19.85,19.93,146.0,25040.0
2013-11-19,20.53,20.35,19.9485,20.51,149.0,28965.0
2013-11-20,20.42,20.19,20.03,20.38,52.0,7567.0
2013-11-21,20.65,20.54,20.32,20.34,119.0,23676.0
2013-11-22,20.79,20.52,20.41,20.67,203.0,28315.0
2013-11-25,20.76,20.57,20.108,20.52,153.0,19176.0
2013-11-26,20.65,20.44,20.3393,20.3393,68.0,9433.0
2013-11-27,20.65,20.47,20.42,20.42,104.0,10833.0
2013-11-29,20.932,20.82,20.59,20.59,66.0,7837.0
2013-12-02,20.91,20.43,20.42,20.79,255.0,32260.0
2013-12-03,20.61,20.5,20.4201,20.4876,242.0,41649.0
2013-12-04,20.94,20.47,20.47,20.53,120.0,14314.0
2013-12-05,20.75,20.5,20.18,20.29,231.0,42419.0
2013-12-06,21.0,20.92,20.54,20.54,220.0,120540.0
2013-12-09,21.1,20.98,20.81,20.99,925.0,114100.0
2013-12-10,21.4,21.11,20.84,21.03,1020.0,90824.0
2013-12-11,21.4,21.32,21.1,21.1,1052.0,189097.0
2013-12-12,21.34,21.0,20.8,21.34,746.0,248774.0
2013-12-13,21.345,20.83,20.52,21.11,695.0,197671.0
2013-12-16,21.16,20.75,20.65,20.91,1057.0,151995.0
2013-12-17,21.5,20.8,20.21,20.79,3396.0,441955.0
2013-12-18,21.06,20.6,20.13,20.48,1679.0,282789.0
2013-12-19,21.5,20.95,20.75,20.75,1259.0,192926.0
2013-12-20,21.88,21.8,21.26,21.6,3847.0,2031878.0
2013-12-23,22.96,22.94,21.75,21.75,1034.0,136465.0
2013-12-24,23.53,23.44,22.69,22.9,353.0,51174.0
2013-12-26,24.5,24.26,23.28,23.47,1267.0,137688.0
2013-12-27,25.36,24.04,23.37,24.46,1457.0,160940.0
2013-12-30,24.12,23.67,23.58,23.9,729.0,82372.0
