Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-04-16,59.96,59.96,59.9,59.93,3.0,6100.0
2015-04-17,,,,,1.0,1.0
2015-04-20,59.91,59.91,59.91,59.91,1.0,100.0
2015-04-22,60.0099,60.0099,60.0099,60.0099,1.0,108.0
2015-04-23,60.35,60.35,60.35,60.35,2.0,250.0
2015-04-24,60.3601,60.3601,60.3601,60.3601,3.0,267.0
2015-04-27,,,,,1.0,40.0
2015-04-30,60.5,59.5,59.5,60.5,3.0,308.0
2015-05-01,59.7,59.7,59.7,59.7,1.0,150.0
2015-05-04,60.25,60.25,60.25,60.25,2.0,150.0
2015-05-06,59.19,59.19,59.19,59.19,4.0,385.0
2015-05-13,59.95,59.95,59.95,59.95,1.0,100.0
2015-05-20,,,,,1.0,20.0
2015-05-21,60.7857,60.7857,60.7857,60.7857,1.0,150.0
2015-06-03,,,,,1.0,60.0
2015-06-29,59.53,59.53,59.53,59.53,1.0,100.0
2015-07-06,59.05,58.82,58.82,59.05,6.0,317.0
2015-07-08,58.98,58.98,58.98,58.98,2.0,400.0
2015-07-10,59.27,59.26,59.07,59.07,5.0,1090.0
2015-07-20,,,,,1.0,40.0
2015-08-10,,,,,1.0,6.0
2015-08-18,,,,,1.0,50.0
2015-08-24,55.21,54.16,54.16,55.21,8.0,2300.0
2015-08-25,,,,,1.0,50.0
2015-08-26,56.09,55.06,55.06,55.69,4.0,600.0
2015-08-28,57.43,57.43,57.33,57.33,15.0,2500.0
2015-09-02,56.856,56.856,56.856,56.856,4.0,400.0
2015-09-08,56.69,56.69,56.69,56.69,3.0,434.0
2015-09-14,56.52,56.52,56.52,56.52,1.0,284.0
2015-09-21,56.83,56.79,56.79,56.83,3.0,694.0
2015-09-22,,,,,1.0,13.0
2015-09-24,55.5892,55.5892,55.5892,55.5892,1.0,100.0
2015-09-25,56.71,56.71,56.4201,56.4201,5.0,932.0
2015-09-28,55.2,55.1,55.1,55.2,4.0,850.0
2015-10-02,56.11,56.11,56.07,56.07,2.0,400.0
2015-10-06,57.38,57.38,57.38,57.38,1.0,100.0
2015-10-12,58.56,58.56,58.56,58.56,1.0,489.0
2015-10-16,58.82,58.82,58.81,58.81,5.0,489.0
2015-10-23,60.34,60.34,60.23,60.23,2.0,589.0
2015-10-29,60.51,60.51,60.41,60.41,5.0,489.0
2015-10-30,60.57,60.56,60.55,60.57,4.0,12800.0
2015-11-02,61.01,61.01,61.01,61.01,1.0,420.0
2015-11-04,,,,,1.0,55.0
2015-11-13,58.96,58.54,58.54,58.77,26.0,4944.0
2015-11-17,59.6814,59.6814,59.5928,59.6699,8.0,3020.0
2015-11-18,59.7105,59.7105,59.7105,59.7105,1.0,469.0
2015-11-19,60.2919,60.23,60.2227,60.27,12.0,4785.0
2015-11-20,60.46,60.46,60.46,60.46,2.0,167.0
2015-11-23,60.54,60.54,60.54,60.54,3.0,228.0
2015-11-24,,,,,1.0,4.0
2015-12-01,60.72,60.72,60.6084,60.6266,17.0,7318.0
2015-12-03,59.7641,59.7641,59.7641,59.7641,1.0,328.0
2015-12-04,60.29,60.29,60.27,60.27,3.0,1535.0
2015-12-08,60.1,60.1,60.1,60.1,1.0,309.0
2015-12-09,60.52,60.35,60.15,60.15,10.0,780.0
2015-12-11,59.13,58.906,58.7999,59.13,10.0,4156.0
2015-12-14,58.9,58.583,58.583,58.9,6.0,1113.0
2015-12-15,,,,,1.0,56.0
2015-12-17,59.9116,59.808,59.808,59.9116,10.0,2407.0
2015-12-18,58.69,58.61,58.61,58.69,5.0,1554.0
2015-12-21,58.72,58.6,58.34,58.7,16.0,2459.0
2015-12-22,59.27,59.27,58.8,59.18,10.0,979.0
2015-12-23,59.76,59.7599,59.7599,59.76,4.0,503.0
2015-12-28,59.57,59.54,59.4,59.56,15.0,1351.0
2015-12-29,60.32,60.32,60.19,60.19,6.0,779.0
2015-12-31,,,,,1.0,9.0
2016-01-04,58.23,58.09,58.0883,58.1399,8.0,1300.0
2016-01-06,,,,,1.0,4.0
2016-01-08,56.49,56.49,56.49,56.49,2.0,312.0
2016-01-15,55.067,55.067,55.067,55.067,1.0,100.0
2016-01-20,53.67,53.67,53.53,53.53,3.0,400.0
2016-01-21,54.7,54.7,54.25,54.25,3.0,284.0
2016-01-22,55.75,55.75,55.75,55.75,2.0,109.0
2016-01-25,55.78,55.4401,55.4401,55.78,3.0,711.0
2016-01-26,55.64,55.64,55.64,55.64,2.0,144.0
2016-01-27,55.69,55.68,55.68,55.69,2.0,291.0
2016-01-28,55.4372,55.4372,55.4372,55.4372,1.0,180.0
2016-02-02,56.0,56.0,56.0,56.0,1.0,200.0
2016-02-03,56.37,56.15,56.15,56.37,5.0,1800.0
2016-02-04,56.12,56.12,56.12,56.12,1.0,180.0
2016-02-08,54.28,54.28,54.28,54.28,2.0,136.0
2016-02-11,53.94,53.94,53.92,53.94,7.0,16656.0
2016-02-12,55.07,55.07,54.8,54.85,8.0,1964.0
2016-02-17,56.7301,56.73,56.73,56.73,5.0,633.0
2016-02-18,56.75,56.75,56.75,56.75,1.0,100.0
2016-02-23,57.2784,56.85,56.85,57.2784,9.0,2785.0
2016-02-25,,,,,1.0,17.0
2016-02-26,57.61,57.53,57.48,57.57,10.0,1460.0
2016-02-29,,,,,1.0,1.0
