Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,26.7,25.01,23.3,23.3,,6897200.0
2007-09-20,26.72,23.23,22.97,25.94,,4891200.0
2007-09-21,23.86,23.26,22.72,23.4,,2458100.0
2007-09-24,23.45,22.45,22.36,23.17,,1459200.0
2007-09-25,22.44,21.54,21.25,22.26,,1604300.0
2007-09-26,23.02,22.73,22.0,22.0,,1633600.0
2007-09-27,23.45,23.04,21.7,22.91,,1702800.0
2007-09-28,23.35,23.28,22.45,22.96,,1030600.0
2007-10-01,25.25,24.84,23.07,23.25,,1537400.0
2007-10-02,26.41,25.99,24.53,24.84,,1851500.0
2007-10-03,25.5,23.53,22.66,25.31,,3391600.0
2007-10-04,23.97,23.79,23.19,23.54,,1317900.0
2007-10-05,24.6199,24.09,23.7,24.01,,1170900.0
2007-10-08,24.59,23.77,23.43,24.03,,600700.0
2007-10-09,24.36,24.26,23.58,23.8,,761100.0
2007-10-10,25.36,24.66,23.77,24.18,,1465600.0
2007-10-11,25.08,24.33,23.8,24.92,,1418200.0
2007-10-12,24.55,23.93,23.68,24.55,,779344.0
2007-10-15,24.7,24.09,23.81,24.7,,1071200.0
2007-10-16,24.09,21.57,21.4,24.04,,2636800.0
2007-10-17,20.84,17.36,17.26,19.6,,6492900.0
2007-10-18,17.25,16.16,15.5,17.25,,5559300.0
2007-10-19,15.85,14.01,13.84,15.51,,6507600.0
2007-10-22,14.95,14.05,13.0,13.84,,4039900.0
2007-10-23,14.66,13.87,13.71,14.26,,5901400.0
2007-10-24,13.75,13.08,11.9,13.75,,7795760.0
2007-10-25,13.04,9.99,9.72,12.95,,11913297.0
2007-10-26,12.9,11.96,10.34,12.61,,11179100.0
2007-10-29,13.59,13.07,12.26,12.48,,7846700.0
2007-10-30,13.23,12.22,12.03,13.04,,4832350.0
2007-10-31,13.75,12.59,12.25,12.64,,5780270.0
2007-11-01,11.2,10.88,10.05,11.03,,7815500.0
2007-11-02,10.88,9.83,9.74,10.71,,7395428.0
2007-11-05,9.93,9.2,8.15,9.65,,5203038.0
2007-11-06,10.62,10.35,9.21,9.21,,4113641.0
2007-11-07,10.3,9.22,9.06,9.8,,2763825.0
2007-11-08,10.2,10.2,9.02,9.36,,2295310.0
2007-11-09,12.62,12.62,9.8,10.19,,6729100.0
2007-11-12,13.2,11.15,10.96,12.32,,2741354.0
2007-11-13,12.99,12.86,11.0,11.75,,3268200.0
2007-11-14,14.46,13.07,12.99,13.12,,4349300.0
2007-11-15,13.2,12.6,12.36,12.76,,1982548.0
2007-11-16,13.08,12.46,11.66,12.62,,1672725.0
2007-11-19,12.8,11.46,11.02,12.39,,2303932.0
2007-11-20,11.79,10.74,10.15,11.61,,2328300.0
2007-11-21,11.1,10.57,10.0,10.02,,2399751.0
2007-11-23,11.49,10.57,10.34,11.49,,1074400.0
2007-11-26,10.77,9.76,9.75,10.76,,1655960.0
2007-11-27,10.22,9.29,9.09,9.82,,2025670.0
2007-11-28,10.14,9.6,9.3,9.57,,2782767.0
2007-11-29,10.22,10.09,9.16,9.58,,2209998.0
2007-11-30,12.15,11.34,11.04,11.45,,4425223.0
2007-12-03,11.66,11.48,10.25,11.51,,2918225.0
2007-12-04,11.39,10.42,10.36,11.32,,2020200.0
2007-12-05,11.16,10.55,10.0,10.68,,3452400.0
2007-12-06,11.98,11.67,10.25,10.6,,3581400.0
2007-12-07,12.35,11.78,10.99,11.72,,2838379.0
2007-12-10,13.75,13.07,11.34,11.79,,5570588.0
2007-12-11,13.35,11.61,11.59,13.08,,3449989.0
2007-12-12,12.65,11.54,11.06,12.47,,2000608.0
2007-12-13,11.53,11.05,10.58,11.5,,1574538.0
2007-12-14,11.47,10.62,10.55,10.93,,1426500.0
2007-12-17,11.59,10.67,10.52,11.03,,2365838.0
2007-12-18,11.22,11.11,10.42,10.75,,2198990.0
2007-12-19,11.73,10.96,10.75,10.89,,2137032.0
2007-12-20,11.05,10.86,10.25,11.03,,2539254.0
2007-12-21,11.55,11.07,10.77,11.23,,3144888.0
2007-12-24,11.83,11.66,10.91,11.11,,1019575.0
2007-12-26,12.36,12.24,11.6,11.6,,2468869.0
2007-12-27,12.4,11.89,11.81,12.17,,1793721.0
2007-12-28,12.14,11.7,11.51,11.91,,1791890.0
2007-12-31,11.84,11.68,10.95,11.57,,2471979.0
2008-01-02,12.43,11.61,11.52,11.68,,1609868.0
2008-01-03,11.9275,10.83,10.65,11.87,,1898917.0
2008-01-04,10.7,10.11,10.0,10.7,,1773298.0
2008-01-07,10.71,10.11,9.9,10.71,,1629648.0
2008-01-08,10.33,9.28,9.13,10.2,,4209359.0
2008-01-09,9.5,8.38,7.43,9.41,,5622803.0
2008-01-10,9.09,8.75,7.81,8.34,,3632969.0
2008-01-11,9.44,8.89,8.25,8.66,,2650716.0
2008-01-14,9.52,9.4,8.755,8.93,,2311430.0
2008-01-15,9.1,8.82,8.76,9.1,,1763050.0
2008-01-16,8.5,7.87,7.71,8.5,,2560326.0
2008-01-17,7.67,6.37,6.0,7.5,,7836095.0
2008-01-18,6.76,6.0,5.75,6.59,,4069440.0
2008-01-22,6.47,6.04,5.49,5.96,,3991491.0
2008-01-23,7.7,7.1,5.44,5.75,,6422984.0
2008-01-24,8.23,8.02,7.22,7.35,,4564641.0
2008-01-25,8.72,8.18,7.65,8.45,,3207498.0
2008-01-28,8.9,8.74,7.76,8.13,,2109553.0
2008-01-29,9.4,8.97,8.41,8.8,,2213613.0
2008-01-30,9.33,8.42,8.32,8.76,,2113834.0
2008-01-31,9.25,9.13,8.05,8.28,,3238725.0
2008-02-01,10.0,9.9,8.9,9.49,,2317632.0
2008-02-04,9.9,9.19,9.16,9.9,,1106760.0
2008-02-05,9.23,8.48,8.4,9.03,,1322036.0
2008-02-06,8.82,8.3,7.81,8.53,,1483306.0
2008-02-07,8.92,8.79,8.16,8.35,,1221712.0
2008-02-08,8.8,8.33,8.0,8.73,,1003471.0
2008-02-11,8.61,8.48,8.02,8.45,,1904005.0
2008-02-12,8.8,8.14,8.05,8.54,,1046071.0
2008-02-13,8.14,7.33,6.8,8.01,,3395498.0
2008-02-14,7.46,6.92,6.81,7.33,,3233443.0
2008-02-15,8.2,8.12,6.97,7.26,,4001611.0
2008-02-19,8.19,7.53,7.45,8.19,,2079172.0
2008-02-20,7.85,7.77,7.33,7.58,,1781875.0
2008-02-21,7.89,7.35,7.33,7.8,,689087.0
2008-02-22,7.7,7.63,7.05,7.45,,911464.0
2008-02-25,8.15,8.06,7.28,7.64,,1313312.0
2008-02-26,8.2,7.96,7.71,8.05,,1408743.0
2008-02-27,8.1,7.45,7.36,7.88,,1456175.0
2008-02-28,7.51,7.23,7.15,7.4,,916278.0
2008-02-29,7.18,7.12,6.81,7.08,,1389865.0
2008-03-03,7.18,6.81,6.75,7.05,,1500137.0
2008-03-04,6.8,6.07,5.62,6.8,,3822324.0
2008-03-05,6.2,5.7,5.65,6.12,,1613643.0
2008-03-06,5.7,5.55,5.3,5.6,,2322915.0
2008-03-07,5.79,5.53,5.33,5.49,,1443706.0
2008-03-10,5.6,5.25,4.71,5.58,,1795206.0
2008-03-11,5.79,5.66,5.31,5.37,,2667409.0
2008-03-12,5.87,5.49,5.44,5.66,,1123409.0
2008-03-13,5.57,5.51,5.19,5.41,,1206577.0
2008-03-14,5.95,5.15,5.05,5.6,,1530750.0
2008-03-17,4.89,4.5,4.41,4.87,,1315961.0
2008-03-18,6.0,6.0,4.54,4.69,,2381059.0
2008-03-19,6.8,6.8,6.0,6.02,,2209464.0
2008-03-20,7.09,7.0,5.97,6.58,,2045460.0
2008-03-24,8.44,8.25,7.04,7.04,,3162269.0
2008-03-25,8.74,8.61,7.9,8.2,,2560120.0
2008-03-26,8.56,8.24,8.0,8.56,,1714511.0
2008-03-27,8.32,7.27,7.2,8.24,,1186139.0
2008-03-28,7.29,6.73,6.68,7.29,,957116.0
2008-03-31,6.96,6.57,6.42,6.77,,1051300.0
2008-04-01,7.03,6.77,6.42,6.58,,898204.0
2008-04-02,7.1399,6.86,6.56,6.9,,1233825.0
2008-04-03,6.89,6.48,6.32,6.83,,835297.0
2008-04-04,6.61,5.97,5.9,6.49,,847786.0
2008-04-07,6.61,6.36,6.02,6.02,,1210617.0
2008-04-08,6.51,5.88,5.8,6.36,,1146854.0
2008-04-09,5.95,5.14,4.91,5.75,,2014469.0
2008-04-10,5.67,5.07,5.02,5.2,,1677104.0
2008-04-11,5.31,5.03,5.0,5.04,,853014.0
2008-04-14,5.11,4.74,4.51,5.09,,1664990.0
2008-04-15,5.09,5.05,4.73,4.76,,1030954.0
2008-04-16,5.23,5.0,4.7,5.11,,1175416.0
2008-04-17,5.55,5.48,4.95,5.0,,1072301.0
2008-04-18,5.74,5.48,5.3844,5.62,,948135.0
2008-04-21,5.53,5.32,5.21,5.45,,501546.0
2008-04-22,5.3,5.03,4.98,5.3,,815889.0
2008-04-23,5.03,4.6,4.56,5.03,,1602423.0
2008-04-24,5.1999,5.13,4.72,4.8,,857881.0
2008-04-25,5.2,5.11,4.8,5.14,,665251.0
2008-04-28,5.35,5.3,4.92,5.2,,1327181.0
2008-04-29,5.62,5.57,5.24,5.35,,1419141.0
2008-04-30,5.57,5.4,5.31,5.52,,1005660.0
2008-05-01,6.25,6.18,5.34,5.5,,2129591.0
2008-05-02,6.55,6.1,5.66,6.3,,1439875.0
2008-05-05,6.23,5.9,5.77,6.06,,1039998.0
2008-05-06,6.2,6.12,5.63,5.84,,887668.0
2008-05-07,6.15,5.76,5.76,6.12,,821986.0
2008-05-08,5.92,5.54,5.36,5.81,,836721.0
2008-05-09,5.85,5.43,5.39,5.39,,1026325.0
2008-05-12,6.24,5.55,5.51,5.75,,1347638.0
2008-05-13,5.582,5.02,4.93,5.52,,1678906.0
2008-05-14,5.25,5.05,5.03,5.05,,1006474.0
2008-05-15,5.69,5.6,5.1,5.12,,968287.0
2008-05-16,5.6,5.47,5.32,5.6,,882501.0
2008-05-19,5.72,5.36,5.25,5.56,,834167.0
2008-05-20,5.5,5.34,5.26,5.33,,529269.0
2008-05-21,5.46,4.96,4.77,5.36,,1548696.0
2008-05-22,5.67,5.32,4.98,4.98,,1858202.0
2008-05-23,5.26,5.18,5.09,5.24,,697434.0
2008-05-27,5.64,5.62,5.17,5.18,,1187681.0
2008-05-28,5.68,5.68,5.41,5.6,,1703713.0
