Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,85.34,84.44,83.46,83.6,,1290600.0
2007-09-20,84.48,81.16,80.97,84.2,,1161800.0
2007-09-21,81.94,78.45,77.66,81.94,,1953200.0
2007-09-24,78.5,75.6,75.25,77.97,,2251600.0
2007-09-25,76.31,76.03,73.4,74.5,,1585000.0
2007-09-26,77.65,77.1,75.0,76.5,,1285900.0
2007-09-27,78.21,77.68,76.64,77.35,,1413800.0
2007-09-28,78.94,77.75,77.17,77.75,,1285300.0
2007-10-01,78.61,78.03,77.55,77.96,,1124200.0
2007-10-02,78.28,77.26,76.71,78.03,,971000.0
2007-10-03,77.47,76.57,75.8,76.56,,2510300.0
2007-10-04,76.58,74.74,73.8,76.57,,1968200.0
2007-10-05,76.8,76.35,74.82,75.24,,1166100.0
2007-10-08,76.68,75.79,73.91,76.65,,1097400.0
2007-10-09,76.3,74.62,74.04,76.3,,870500.0
2007-10-10,75.35,75.05,73.41,74.62,,1266200.0
2007-10-11,75.92,71.43,70.71,75.0,,3059500.0
2007-10-12,72.31,71.05,70.01,71.06,,1818600.0
2007-10-15,71.07,69.96,69.28,70.98,,2629700.0
2007-10-16,69.7,67.43,67.0,69.68,,3930100.0
2007-10-17,70.15,70.02,67.97,68.07,,2286600.0
2007-10-18,70.9,70.0,68.1,69.29,,1956400.0
2007-10-19,70.34,68.53,68.21,69.69,,1785900.0
2007-10-22,68.97,68.27,67.15,67.76,,1472100.0
2007-10-23,68.45,67.01,66.03,68.01,,1899500.0
2007-10-24,67.73,67.25,65.56,66.31,,1960800.0
2007-10-25,69.1,67.63,66.88,67.6,,1859900.0
2007-10-26,69.29,68.47,67.05,68.41,,1231800.0
2007-10-29,70.75,69.25,68.81,69.74,,1715900.0
2007-10-30,69.6328,68.89,67.84,69.04,,1886225.0
2007-10-31,69.95,68.8,67.83,69.94,,1753800.0
2007-11-01,68.25,66.43,66.28,68.25,,1332100.0
2007-11-02,67.91,67.23,66.05,67.09,,1664717.0
2007-11-05,66.09,65.13,64.49,66.0,,1879073.0
2007-11-06,66.33,66.33,65.03,65.18,,1409224.0
2007-11-07,69.95,67.73,64.69,64.74,,3501425.0
2007-11-08,67.94,66.1,63.71,67.36,,2388993.0
2007-11-09,68.64,67.96,64.98,65.1,,2475100.0
2007-11-12,72.31,70.21,67.69,67.98,,2369300.0
2007-11-13,72.8,71.36,69.78,70.94,,2241700.0
2007-11-14,71.95,69.45,69.38,71.94,,2055305.0
2007-11-15,69.0,66.76,66.24,69.0,,1472700.0
2007-11-16,67.46,66.61,65.43,67.17,,1690900.0
2007-11-19,66.32,63.73,63.67,66.32,,1530812.0
2007-11-20,66.41,65.25,63.85,63.96,,2161850.0
2007-11-21,66.24,65.0,63.43,64.58,,1006950.0
2007-11-23,67.0,66.8,64.07,65.56,,585700.0
2007-11-26,67.3,64.3,64.22,67.03,,1349380.0
2007-11-27,66.06,65.13,64.0,64.22,,1216261.0
2007-11-28,68.59,67.99,65.13,65.13,,1463600.0
2007-11-29,68.0,67.65,66.78,67.44,,1188716.0
2007-11-30,69.76,68.98,67.86,68.6,,1479439.0
2007-12-03,69.66,68.72,68.25,68.91,,955729.0
2007-12-04,68.27,66.46,66.07,68.03,,1571800.0
2007-12-05,68.11,67.65,66.84,66.94,,997345.0
2007-12-06,68.52,68.23,67.16,68.14,,846930.0
2007-12-07,69.41,68.97,68.25,68.55,,877739.0
2007-12-10,70.89,70.15,68.96,68.97,,1246400.0
2007-12-11,70.86,67.29,66.94,70.29,,1082700.0
2007-12-12,69.61,65.87,65.0,68.93,,1572948.0
2007-12-13,65.88,65.84,64.63,65.42,,784463.0
2007-12-14,65.61,64.59,63.92,65.61,,971600.0
2007-12-17,65.27,64.37,63.43,64.18,,1031480.0
2007-12-18,65.28,64.96,63.81,64.71,,1731800.0
2007-12-19,65.49,63.11,62.04,65.49,,2923435.0
2007-12-20,63.97,62.19,61.44,63.4,,1740400.0
2007-12-21,63.14,62.02,61.79,62.9,,1430350.0
2007-12-24,62.9999,62.81,60.87,62.07,,536600.0
2007-12-26,62.84,62.71,61.09,62.5,,1120288.0
2007-12-27,62.48,61.45,60.5,62.06,,1235300.0
2007-12-28,62.57,61.76,61.05,61.05,,885657.0
2007-12-31,62.65,61.79,60.41,61.51,,891668.0
2008-01-02,62.46,61.64,61.52,61.63,,1364430.0
2008-01-03,62.99,60.18,59.8,61.84,,2172940.0
2008-01-04,59.86,56.59,56.34,59.75,,3487407.0
2008-01-07,58.33,57.26,56.4,56.82,,2027820.0
2008-01-08,58.96,56.59,56.41,57.55,,1549363.0
2008-01-09,57.32,57.32,54.16,56.35,,2993416.0
2008-01-10,59.11,58.21,56.12,57.0,,1793031.0
2008-01-11,57.86,55.29,54.86,57.57,,2356021.0
2008-01-14,54.01,52.9,51.64,54.01,,4460837.0
2008-01-15,52.51,51.33,50.95,51.25,,3192375.0
2008-01-16,54.36,53.57,50.91,51.3,,2159463.0
2008-01-17,54.28,51.99,51.88,53.28,,1947766.0
2008-01-18,53.66,53.36,51.62,52.25,,1965851.0
2008-01-22,57.58,56.6,50.55,50.91,,3772988.0
2008-01-23,62.09,61.34,54.54,55.59,,5738442.0
2008-01-24,63.6,61.18,60.42,61.38,,3886955.0
2008-01-25,62.04,59.19,58.7,62.0,,1986809.0
2008-01-28,60.07,60.0,57.95,58.81,,1687908.0
2008-01-29,61.78,61.54,59.32,60.55,,1963822.0
2008-01-30,62.43,60.73,60.29,61.35,,2525900.0
2008-01-31,61.0,60.68,56.4,56.79,,4700916.0
2008-02-01,62.34,61.23,59.42,61.93,,2926031.0
2008-02-04,61.64,60.46,59.95,61.22,,2282783.0
2008-02-05,59.93,57.46,57.27,59.51,,3360399.0
2008-02-06,65.12,63.19,60.11,60.94,,9466669.0
2008-02-07,64.56,63.24,62.0,62.02,,3992754.0
2008-02-08,64.19,63.72,62.54,63.09,,2000060.0
2008-02-11,65.75,64.46,62.72,63.85,,2059873.0
2008-02-12,66.89,66.41,65.08,65.29,,2543363.0
2008-02-13,67.85,66.74,65.66,66.9,,2288942.0
2008-02-14,67.16,65.69,65.59,66.81,,2320893.0
2008-02-15,65.98,65.92,64.62,65.36,,1950070.0
2008-02-19,67.12,64.78,64.26,66.55,,1434486.0
2008-02-20,66.92,66.8,63.78,64.22,,1909631.0
2008-02-21,67.83,65.37,65.07,67.55,,1284201.0
2008-02-22,65.88,64.86,63.4,65.52,,1741623.0
2008-02-25,66.06,65.67,63.2,64.22,,1697075.0
2008-02-26,68.67,67.5,65.49,65.71,,2074982.0
2008-02-27,68.4,67.98,67.0,67.35,,1370063.0
2008-02-28,67.51,65.6,65.18,67.36,,1716470.0
2008-02-29,65.44,62.19,61.89,64.81,,2137681.0
