Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-06-08,9.3,9.25,9.25,9.3,,3550.0
2007-06-11,9.37,9.25,9.25,9.37,,8971.0
2007-06-12,9.49,9.25,9.13,9.49,,3407.0
2007-06-13,9.23,9.2,9.2,9.23,,400.0
2007-06-14,9.3,9.2,9.2,9.21,,2300.0
2007-06-15,9.54,9.54,9.29,9.29,,1700.0
2007-06-18,9.45,9.45,9.45,9.45,,537.0
2007-06-19,9.45,9.45,9.45,9.45,,4500.0
2007-06-20,9.45,9.35,9.3,9.45,,2850.0
2007-06-21,9.35,9.1,9.1,9.35,,6500.0
2007-06-22,9.25,9.25,9.25,9.25,,2110.0
2007-06-25,9.65,9.6,9.39,9.39,,2800.0
2007-06-26,9.55,9.5,9.5,9.55,,900.0
2007-06-27,9.55,9.55,9.54,9.54,,1100.0
2007-06-28,9.69,9.69,9.55,9.55,,3900.0
2007-06-29,9.62,9.41,9.41,9.62,,8300.0
2007-07-03,9.52,9.5,9.49,9.52,,2300.0
2007-07-04,9.55,9.5,9.5,9.5,,4900.0
2007-07-05,9.5,9.45,9.45,9.5,,3500.0
2007-07-09,9.5,9.5,9.3,9.3,,1500.0
2007-07-10,9.64,9.54,9.54,9.58,,848.0
2007-07-11,9.5,9.5,9.45,9.45,,4600.0
2007-07-12,9.5,9.5,9.5,9.5,,950.0
2007-07-16,,,,,,1.0
2007-07-17,9.5,9.4,9.29,9.31,,6702.0
2007-07-18,9.4,9.4,9.4,9.4,,1000.0
2007-07-19,9.37,9.37,9.37,9.37,,150.0
2007-07-20,9.4,9.4,9.4,9.4,,900.0
2007-07-23,9.6,9.6,9.36,9.4,,190600.0
2007-07-24,9.6,9.6,9.6,9.6,,1350.0
2007-07-25,9.47,9.47,9.47,9.47,,100.0
2007-07-26,9.99,9.85,9.65,9.65,,14780.0
2007-07-27,9.76,9.75,9.69,9.72,,4500.0
2007-07-30,9.74,9.74,9.59,9.7,,6250.0
2007-07-31,9.75,9.7,9.7,9.74,,2000.0
2007-08-01,9.6,9.6,9.55,9.6,,1578.0
2007-08-02,9.57,9.55,9.51,9.57,,8295.0
2007-08-03,9.5,9.5,9.4,9.4,,1950.0
2007-08-07,9.5,9.4,9.4,9.5,,5300.0
2007-08-08,9.45,9.45,9.4,9.4,,3250.0
2007-08-09,9.31,9.3,9.3,9.31,,2950.0
2007-08-10,9.4,9.4,9.2,9.25,,3254.0
2007-08-13,9.5,9.31,9.3,9.31,,4800.0
