Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2011-05-04,24.7,23.88,23.0,24.0,,6838350.0
2011-05-05,24.89,24.66,23.31,23.4,,625141.0
2011-05-06,27.4,26.75,25.11,26.0,,347707.0
2011-05-09,27.74,27.45,26.17,27.6,,198122.0
2011-05-10,28.39,27.51,26.8,27.84,,136801.0
2011-05-11,27.7,26.85,26.15,27.06,,85768.0
2011-05-12,27.22,27.12,26.01,26.72,,39669.0
2011-05-13,27.48,26.86,26.35,27.48,,86140.0
2011-05-16,27.37,25.94,25.93,26.99,,153463.0
2011-05-17,26.75,26.34,25.76,25.76,,85307.0
2011-05-18,28.0,28.0,26.41,26.68,,65797.0
2011-05-19,28.35,28.35,27.62,28.0,,103141.0
2011-05-20,29.54,28.43,28.06,28.45,,164293.0
2011-05-23,28.43,27.92,27.47,28.25,,47616.0
2011-05-24,28.44,28.0,27.03,27.52,,137247.0
2011-05-25,28.99,27.88,27.82,28.19,,40921.0
2011-05-26,28.692,27.96,27.4,27.88,,68869.0
2011-05-27,28.99,28.55,27.87,28.13,,69669.0
2011-05-31,29.4799,28.9,28.61,28.99,,86712.0
2011-06-01,29.949,28.51,28.48,28.8,,74044.0
2011-06-02,28.98,28.65,27.63,28.97,,117259.0
2011-06-03,29.0,28.9,27.49,28.16,,81916.0
2011-06-06,28.78,28.61,27.7,28.69,,45981.0
2011-06-07,28.96,28.96,26.66,28.71,,44468.0
2011-06-08,29.76,28.4,27.55,28.83,,78201.0
2011-06-09,30.22,29.94,28.5,28.54,,245376.0
2011-06-10,31.41,31.0,29.261,29.76,,90737.0
2011-06-13,31.39,29.32,28.66,31.39,,193528.0
2011-06-14,29.43,27.66,26.83,29.43,,120954.0
2011-06-15,28.49,26.45,26.3028,27.26,,137341.0
2011-06-16,26.65,24.83,24.14,26.26,,228293.0
2011-06-17,25.5299,24.48,23.84,24.93,,237107.0
2011-06-20,24.955,24.36,23.92,23.98,,264211.0
2011-06-21,25.97,25.89,24.0,24.65,,254304.0
2011-06-22,27.9,27.63,25.915,25.95,,126622.0
2011-06-23,27.6,27.37,26.64,27.53,,148618.0
2011-06-24,28.52,27.3,26.06,27.54,,1611381.0
2011-06-27,27.83,26.97,26.515,27.64,,83061.0
2011-06-28,27.72,27.03,26.44,27.24,,95453.0
2011-06-29,27.84,26.97,26.63,27.61,,75332.0
2011-06-30,28.43,28.03,26.0,26.88,,170351.0
2011-07-01,29.88,28.78,27.66,27.94,,105925.0
2011-07-05,29.08,28.6,28.3,28.88,,54010.0
2011-07-06,28.98,28.06,27.76,28.42,,61407.0
2011-07-07,28.83,27.57,27.24,28.21,,214073.0
2011-07-08,28.5,28.07,26.75,27.4,,183871.0
2011-07-11,28.58,27.55,27.3,27.95,,92345.0
2011-07-12,27.9599,27.39,26.7,27.46,,165411.0
2011-07-13,27.99,27.74,27.19,27.49,,51167.0
2011-07-14,27.87,26.78,26.44,27.87,,543155.0
2011-07-15,28.26,27.15,26.95,26.95,,38032.0
2011-07-18,27.63,26.32,26.0,27.0,,105498.0
2011-07-19,27.99,27.98,26.49,26.49,,106401.0
2011-07-20,29.28,28.59,27.655,27.85,,97427.0
2011-07-21,29.62,28.99,28.545,28.7,,226064.0
2011-07-22,30.0,29.53,28.88,28.88,,239606.0
2011-07-25,29.94,29.75,29.21,29.21,,155622.0
2011-07-26,29.84,29.24,28.94,29.84,,27344.0
2011-07-27,29.16,27.59,27.53,29.16,,55839.0
2011-07-28,29.0,27.58,27.35,27.6,,166724.0
2011-07-29,27.61,26.75,25.74,27.61,,67519.0
2011-08-01,27.215,26.14,26.0,27.19,,42475.0
2011-08-02,26.34,25.48,25.3,26.2,,145710.0
2011-08-03,26.98,25.21,24.6,25.06,,200132.0
2011-08-04,25.67,23.57,23.52,25.0,,133370.0
2011-08-05,25.37,24.24,23.04,24.01,,115156.0
2011-08-08,24.0,22.2,22.07,23.32,,208743.0
2011-08-09,22.85,21.37,20.49,22.85,,242593.0
2011-08-10,22.97,20.88,20.77,21.1,,283444.0
2011-08-11,22.52,22.24,20.77,20.77,,209199.0
2011-08-12,23.8,23.63,21.7833,22.42,,153853.0
2011-08-15,24.55,23.86,23.57,23.93,,51840.0
2011-08-16,24.43,24.33,22.81,23.65,,99833.0
2011-08-17,25.52,25.23,24.466,24.48,,120731.0
2011-08-18,24.92,24.18,23.92,24.66,,130128.0
2011-08-19,24.05,23.46,22.01,23.78,,88488.0
2011-08-22,25.4,23.59,23.221,24.27,,66894.0
2011-08-23,24.6,24.29,23.2301,23.54,,93948.0
2011-08-24,26.21,26.07,24.22,24.22,,54660.0
2011-08-25,26.03,25.23,25.12,26.03,,63260.0
2011-08-26,25.37,25.17,23.86,25.08,,48329.0
2011-08-29,26.79,26.62,25.0048,25.38,,87552.0
2011-08-30,26.85,26.6,25.42,26.58,,66161.0
2011-08-31,27.16,27.1,26.54,26.6,,70254.0
2011-09-01,27.12,26.93,26.61,27.02,,48553.0
2011-09-02,27.08,26.08,26.04,26.46,,51559.0
2011-09-06,25.28,23.09,22.5,25.28,,135568.0
2011-09-07,23.63,23.38,23.08,23.43,,110696.0
2011-09-08,24.59,23.6,23.0,23.18,,107421.0
2011-09-09,23.53,22.12,22.0,23.35,,64508.0
2011-09-12,23.1,21.36,21.21,21.83,,159283.0
2011-09-13,20.96,19.66,19.62,20.96,,340990.0
2011-09-14,20.86,20.1,19.75,19.87,,199071.0
2011-09-15,20.99,20.49,20.09,20.26,,521348.0
2011-09-16,23.14,22.43,21.81,22.16,,2753969.0
2011-09-19,22.92,22.68,21.63,21.95,,328818.0
2011-09-20,23.85,23.27,22.55,22.79,,292544.0
2011-09-21,23.4,23.0,22.8,23.16,,108068.0
2011-09-22,23.3,22.58,22.1,22.1,,326526.0
2011-09-23,22.61,21.79,21.36,22.61,,193798.0
2011-09-26,21.91,21.84,20.67,21.88,,161401.0
2011-09-27,22.93,22.16,21.75,22.28,,144205.0
2011-09-28,22.43,21.38,21.16,22.18,,119252.0
2011-09-29,21.75,20.83,20.3,21.75,,128532.0
2011-09-30,21.18,20.71,20.55,20.55,,104025.0
2011-10-03,20.66,19.22,18.84,20.52,,247935.0
2011-10-04,19.53,19.27,18.39,19.23,,219721.0
2011-10-05,20.14,19.57,19.01,19.32,,166240.0
2011-10-06,20.48,19.79,19.33,19.55,,188292.0
2011-10-07,20.46,19.81,19.61,19.88,,83315.0
2011-10-10,20.53,20.29,19.73,20.14,,112310.0
2011-10-11,20.28,19.95,19.811,20.07,,84455.0
2011-10-12,20.13,19.45,19.01,20.09,,116193.0
