Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2007-09-18,120.7,120.7,118.1,,13237.0
2007-09-19,120.05,119.65,118.99,,26876.0
2007-09-20,122.2,121.75,121.06,,20222.0
2007-09-21,121.54,120.75,120.6,,17291.0
2007-09-24,121.25,120.85,120.0,,19441.0
2007-09-25,122.85,122.3,122.0,,21968.0
2007-09-26,124.8,124.8,124.1,,16344.0
2007-09-27,124.7,123.95,123.72,,12611.0
2007-09-28,126.0,125.75,124.55,,17087.0
2007-10-01,126.85,126.81,125.62,,16893.0
2007-10-02,125.25,124.03,123.9,,34598.0
2007-10-03,123.54,122.85,122.8,,9527.0
2007-10-04,123.3,123.25,122.0,,14266.0
2007-10-05,125.2,124.95,123.04,,12641.0
2007-10-08,125.1,124.75,124.1,,8261.0
2007-10-09,125.59,125.59,124.45,,23563.0
2007-10-10,125.8,125.6,124.76,,6533.0
2007-10-11,128.15,125.8,125.5,,32410.0
2007-10-12,127.12,126.95,125.6,,13860.0
2007-10-15,128.5,127.2,127.0,,9070.0
2007-10-16,131.0,130.6,130.2,,10816.0
2007-10-17,132.44,132.4,131.35,,16130.0
2007-10-18,133.8,133.6,132.15,,15154.0
2007-10-19,132.25,131.43,131.15,,17566.0
2007-10-22,131.85,131.0,130.0,,12965.0
2007-10-23,133.79,133.3,132.0,,23636.0
2007-10-24,136.0,135.65,132.15,,29842.0
2007-10-25,137.95,137.27,136.5,,31776.0
2007-10-26,138.6,138.24,137.5,,24793.0
2007-10-29,138.75,138.6,137.75,,15589.0
2007-10-30,138.75,138.75,137.75,,15234.0
2007-10-31,137.05,136.7,135.0,,18433.0
2007-11-01,134.9,133.2,133.15,,19107.0
2007-11-02,136.2,136.2,134.85,,38415.0
2007-11-05,136.29,135.4,135.0,,12314.0
2007-11-06,136.55,136.55,135.5,,13340.0
2007-11-07,139.45,137.9,137.35,,15567.0
2007-11-08,138.0,138.0,136.25,,16798.0
2007-11-09,141.2,140.0,139.9,,15603.0
2007-11-12,137.9,135.6,135.6,,26817.0
2007-11-13,138.5,138.5,137.35,,22942.0
2007-11-14,131.12,130.75,129.5,,23091.0
2007-11-15,128.08,127.13,126.9,,13374.0
2007-11-16,131.5,131.41,130.25,,14335.0
2007-11-19,132.9,132.9,131.4,,13092.0
2007-11-20,136.1,135.6,134.1,,20965.0
2007-11-21,137.95,136.4,136.2,,21254.0
2007-11-23,137.0,135.92,135.55,,7496.0
2007-11-27,136.15,134.75,134.4197,,29541.0
2007-11-28,138.7,138.7,135.5,,72187.0
2007-11-29,138.55,137.45,136.96,,92892.0
2007-11-30,138.2,135.8,135.75,,14995.0
2007-12-03,138.25,136.85,136.23,,14738.0
2007-12-04,141.05,140.75,139.46,,26521.0
2007-12-05,142.0,140.0,140.0,,18110.0
2007-12-06,143.5,143.5,142.17,,23714.0
2007-12-07,144.0,143.9,142.95,,12573.0
2007-12-10,143.2,143.0,142.28,,11506.0
2007-12-11,139.75,136.9,136.05,,15610.0
2007-12-12,141.6,140.95,139.75,,28426.0
2007-12-13,140.12,139.5,137.75,,10808.0
2007-12-14,138.0,136.4,136.4,,15344.0
2007-12-17,138.05,136.25,136.01,,70153.0
2007-12-18,138.31,137.0,136.55,,78897.0
2007-12-19,135.6,135.2,133.65,,13275.0
2007-12-20,136.03,135.15,134.23,,17061.0
2007-12-21,136.4,135.35,135.25,,19890.0
2007-12-24,137.2,137.1,135.0,,12357.0
2007-12-26,138.15,138.15,135.75,,18652.0
2007-12-27,140.25,139.5,138.8,,28843.0
2007-12-28,142.35,142.1,141.15,,31080.0
2007-12-31,142.25,140.4,139.45,,21881.0
2008-01-02,141.9,140.6,139.5,,41848.0
2008-01-03,146.35,144.4,143.75,,30183.0
2008-01-04,147.0,143.3,142.85,,24430.0
2008-01-07,149.57,147.8,147.07,,36305.0
2008-01-08,147.04,144.65,144.45,,82885.0
2008-01-09,147.05,146.0,144.85,,61191.0
2008-01-10,147.8,146.0,145.05,,77416.0
2008-01-11,144.0,142.8,142.35,,132959.0
2008-01-14,141.3,139.8,139.5,,118384.0
2008-01-15,142.25,140.1,139.75,,65791.0
2008-01-16,139.2,137.0,137.0,,23974.0
2008-01-17,138.21,135.2,135.2,,23455.0
2008-01-18,139.25,137.25,136.3,,24747.0
2008-01-22,121.35,121.25,117.65,,24339.0
2008-01-23,115.55,115.55,111.0,,39067.0
2008-01-24,121.25,120.5,119.25,,57146.0
2008-01-25,124.55,120.85,119.55,,55882.0
2008-01-28,123.6,123.5,121.35,,24418.0
2008-01-29,123.4,122.75,121.65,,16488.0
2008-01-30,125.38,122.95,122.35,,27967.0
2008-01-31,123.95,123.2,120.65,,28203.0
2008-02-01,123.4,123.4,121.05,,32954.0
2008-02-04,124.55,124.2,123.16,,17264.0
2008-02-05,122.95,121.4,120.35,,19880.0
2008-02-06,125.0,122.35,122.3,,21376.0
2008-02-07,123.65,122.5,120.6,,13472.0
2008-02-08,123.4,123.02,121.1,,15724.0
2008-02-11,124.65,124.5,122.6,,12677.0
2008-02-12,129.0,127.3,127.3,,31028.0
2008-02-13,129.3,129.3,127.8,,10629.0
2008-02-14,128.8,128.5,127.6,,12079.0
2008-02-15,126.8,126.5,125.15,,10160.0
2008-02-19,130.75,130.0,129.0,,20326.0
2008-02-20,129.5,126.25,123.9,,23134.0
2008-02-21,126.5,125.25,125.0,,20612.0
2008-02-22,119.4,119.4,117.4,,27332.0
2008-02-25,120.5,119.75,118.5,,21209.0
2008-02-26,120.6,119.9,118.75,,15817.0
2008-02-27,122.3,121.3,120.65,,20275.0
2008-02-28,122.5,122.0,121.0,,13859.0
2008-02-29,122.0,120.8,119.65,,25911.0
2008-03-03,120.15,119.7,118.9,,9275.0
2008-03-04,119.7,117.85,117.8,,64649.0
2008-03-05,120.0,119.65,118.15,,23713.0
2008-03-06,121.4,121.0,120.45,,47459.0
2008-03-07,119.75,119.25,118.39,,20237.0
2008-03-10,122.55,120.75,120.4,,22061.0
2008-03-11,123.75,123.3,122.0,,20112.0
2008-03-12,124.6,123.35,123.0,,20957.0
2008-03-13,124.2,124.2,122.42,,14968.0
2008-03-14,123.71,120.55,120.55,,13286.0
2008-03-17,122.5,120.7,120.56,,25099.0
2008-03-18,123.25,122.01,121.7,,36892.0
2008-03-19,121.75,119.7,119.15,,25676.0
2008-03-20,118.35,118.25,116.25,,20882.0
2008-03-24,119.95,119.0,117.65,,30541.0
2008-03-25,120.3,120.0,118.5,,76575.0
2008-03-26,121.53,121.5,119.95,,49571.0
2008-03-27,124.0,123.0,122.15,,17292.0
2008-03-28,123.15,122.75,121.2,,14527.0
2008-03-31,123.55,122.55,122.52,,16055.0
2008-04-01,125.83,125.6,123.65,,15285.0
2008-04-02,127.0,126.7,125.1,,15896.0
2008-04-03,128.25,127.35,126.65,,14098.0
2008-04-04,128.24,127.4,126.76,,11209.0
2008-04-07,127.75,127.7,126.0,,12758.0
2008-04-08,127.8,127.75,127.0,,16067.0
2008-04-09,128.5,128.02,126.75,,16588.0
2008-04-10,124.2,123.85,123.1,,37724.0
2008-04-11,123.25,121.9,121.35,,363010.0
2008-04-14,122.65,121.95,121.85,,18805.0
2008-04-15,121.85,121.3,121.25,,6253.0
2008-04-16,124.5,123.45,122.358,,30301.0
2008-04-17,122.0,119.18,117.6,,129607.0
2008-04-18,118.05,118.0,116.65,,15090.0
2008-04-21,118.45,118.45,117.2,,10019.0
2008-04-22,119.25,117.65,117.25,,16708.0
2008-04-23,118.75,118.3,116.95,,17941.0
2008-04-24,117.85,117.85,116.15,,17028.0
2008-04-25,117.25,117.25,116.2,,21357.0
2008-04-28,117.0,115.95,115.6,,28969.0
2008-04-29,115.45,115.25,114.75,,49642.0
2008-04-30,115.7,115.4,114.4,,20630.0
2008-05-01,115.25,115.2,113.8,,22353.0
2008-05-02,116.15,115.8,114.85,,11871.0
2008-05-05,116.25,115.6,115.55,,17670.0
2008-05-06,120.0,119.4,118.75,,18942.0
2008-05-07,121.5,120.64,120.2,,39819.0
2008-05-08,121.3,121.0,119.75,,90940.0
2008-05-09,120.45,120.45,119.1,,23592.0
2008-05-12,121.45,120.85,119.75,,14610.0
2008-05-13,120.3,119.8,119.25,,8397.0
2008-05-14,120.5,120.2,119.45,,28751.0
2008-05-15,120.45,120.15,118.85,,12782.0
2008-05-16,121.46,121.46,120.55,,12786.0
2008-05-19,124.16,123.5,122.55,,23158.0
2008-05-20,123.42,122.95,122.56,,20244.0
2008-05-21,126.47,124.8,124.7,,21018.0
2008-05-22,128.0,127.5,126.75,,16774.0
2008-05-23,126.25,124.55,124.4,,10769.0
2008-05-27,127.9,127.0,126.45,,22894.0
2008-05-28,128.25,128.25,127.1,,13786.0
2008-05-29,130.9,130.5,129.4,,26911.0
2008-05-30,129.75,128.7,128.5,,60711.0
2008-06-02,129.6,128.7,127.8,,77707.0
2008-06-03,130.65,129.9,129.3,,20860.0
2008-06-04,129.0,128.25,127.05,,21450.0
2008-06-05,128.2,128.2,127.3,,133521.0
2008-06-06,128.6,126.25,125.6,,130081.0
2008-06-09,130.75,128.5,128.0,,100556.0
2008-06-10,128.86,127.9,126.85,,34884.0
2008-06-11,127.8,126.8,125.92,,177662.0
2008-06-12,125.13,124.7,123.75,,27774.0
2008-06-13,124.0,123.0,121.8,,8538.0
2008-06-16,123.85,123.85,122.25,,23443.0
2008-06-17,124.15,123.65,123.35,,16201.0
2008-06-18,125.3,124.8,123.8,,14042.0
2008-06-19,126.75,125.9,125.39,,20071.0
2008-06-20,123.77,123.35,121.5,,22387.0
2008-06-23,124.1,123.04,123.04,,9542.0
2008-06-24,122.4,122.4,121.0,,15650.0
2008-06-25,124.0,124.0,122.0,,15942.0
2008-06-26,124.4,123.25,123.09,,47510.0
2008-06-27,125.3,124.75,123.15,,108983.0
2008-06-30,126.69,126.6,125.5,,52833.0
2008-07-01,127.8,127.8,126.15,,37992.0
2008-07-02,129.4,128.75,128.44,,17236.0
2008-07-03,128.35,127.45,126.75,,86329.0
2008-07-07,129.05,128.45,127.3,,24160.0
2008-07-08,128.3,127.68,126.27,,36246.0
2008-07-09,126.1,124.95,124.22,,25115.0
2008-07-10,124.85,124.65,123.25,,27477.0
2008-07-11,125.0,123.5,123.35,,20482.0
2008-07-14,124.5029,123.21,122.9,,55797.0
2008-07-15,123.15,121.55,121.48,,28615.0
2008-07-16,123.1,123.1,121.5,,45986.0
2008-07-17,122.75,121.3,120.85,,15685.0
