Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,27.74,26.92,26.59,26.93,,615800.0
2007-09-20,26.84,26.4,26.16,26.84,,166500.0
2007-09-21,26.65,25.94,25.8554,26.65,,888100.0
2007-09-24,26.15,25.68,25.57,25.89,,334200.0
2007-09-25,25.62,25.18,24.95,25.52,,383300.0
2007-09-26,25.92,25.02,25.01,25.37,,338700.0
2007-09-27,25.16,24.47,24.35,25.16,,578200.0
2007-09-28,24.53,23.94,23.87,24.36,,468600.0
2007-10-01,24.12,23.56,23.46,23.82,,496100.0
2007-10-02,23.8,23.58,23.53,23.72,,631000.0
2007-10-03,24.25,24.1,23.01,23.5,,487800.0
2007-10-04,24.22,23.99,23.75,24.22,,368400.0
2007-10-05,24.91,24.86,24.06,24.28,,234400.0
2007-10-08,24.88,24.58,24.46,24.88,,278800.0
2007-10-09,24.68,24.45,24.05,24.63,,244400.0
2007-10-10,24.5,24.3,24.12,24.5,,343900.0
2007-10-11,24.82,24.05,23.71,24.51,,1147800.0
2007-10-12,24.44,24.37,23.67,24.11,,467500.0
2007-10-15,24.44,23.71,23.43,24.44,,430500.0
2007-10-16,23.91,23.69,23.3,23.69,,571200.0
2007-10-17,24.06,23.29,22.75,23.95,,709300.0
2007-10-18,23.32,23.15,22.77,23.16,,261000.0
2007-10-19,23.12,22.85,22.55,23.09,,512600.0
2007-10-22,23.79,23.24,22.36,22.66,,581600.0
2007-10-23,23.7,23.31,22.83,23.38,,241800.0
2007-10-24,23.39,23.14,22.3,23.18,,448500.0
2007-10-25,23.56,23.03,22.71,23.18,,421100.0
2007-10-26,23.27,22.94,22.52,23.27,,271900.0
2007-10-29,23.64,22.84,22.56,23.17,,304200.0
2007-10-30,24.29,23.96,23.0,23.15,,874800.0
2007-10-31,25.49,25.26,24.01,24.09,,904700.0
2007-11-01,25.22,24.73,24.456,25.11,,758300.0
2007-11-02,25.18,25.08,24.47,24.97,,487300.0
2007-11-05,24.9,24.69,24.25,24.8,,522200.0
2007-11-06,25.24,25.15,24.18,24.78,,683300.0
2007-11-07,25.61,25.26,25.02,25.11,,1199750.0
2007-11-08,25.61,25.57,24.85,25.44,,822900.0
2007-11-09,25.19,24.7,24.4,25.17,,458350.0
2007-11-12,25.19,24.33,24.04,24.62,,816900.0
2007-11-13,25.31,25.3,24.51,24.51,,689100.0
2007-11-14,25.75,24.66,24.58,25.36,,411633.0
2007-11-15,24.85,24.48,24.05,24.49,,387200.0
2007-11-16,24.58,24.1,23.79,24.54,,516300.0
2007-11-19,24.07,23.18,23.18,23.82,,528900.0
2007-11-20,23.39,23.22,22.41,23.24,,538700.0
2007-11-21,23.1,22.84,22.3001,23.09,,434000.0
2007-11-23,23.91,23.67,23.04,23.04,,98600.0
2007-11-26,23.69,22.58,22.54,23.68,,297500.0
2007-11-27,23.15,22.85,22.44,22.59,,573700.0
2007-11-28,23.99,23.77,23.03,23.14,,248200.0
2007-11-29,23.68,23.04,22.75,23.68,,272500.0
2007-11-30,24.05,23.11,23.07,23.4,,357600.0
2007-12-03,23.01,22.5,22.23,22.95,,400900.0
2007-12-04,22.5,22.47,21.81,22.36,,264200.0
2007-12-05,23.0,22.38,22.09,22.76,,331800.0
2007-12-06,22.77,22.77,21.97,22.37,,647900.0
2007-12-07,23.07,22.93,22.5761,22.88,,159900.0
2007-12-10,23.31,23.07,22.89,22.94,,150380.0
2007-12-11,23.29,21.99,21.98,23.17,,382100.0
2007-12-12,22.8,20.76,20.63,22.56,,626500.0
2007-12-13,21.13,21.01,20.16,20.52,,706180.0
2007-12-14,20.84,20.29,20.29,20.6,,388900.0
2007-12-17,20.14,19.76,19.73,20.08,,303434.0
