Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2019-01-09,18.0,9.65,9.56,18.0,44.0,11638.0
2019-01-10,9.7,9.7,9.65,9.65,49.0,2936.0
2019-01-11,9.65,9.65,9.58,9.65,28.0,1554.0
2019-01-14,12.6,9.63,9.61,12.6,75.0,5792.0
2019-01-15,9.63,9.63,9.58,9.58,34.0,3578.0
2019-01-16,9.59,9.58,9.58,9.59,10.0,586.0
2019-01-17,10.0398,9.6279,9.6279,10.0398,9.0,255.0
2019-01-18,,,,,6.0,22.0
2019-01-22,,,,,10.0,142.0
2019-01-23,9.65,9.65,9.65,9.65,4.0,157.0
2019-01-24,9.6215,9.6,9.58,9.62,9.0,14221.0
2019-01-25,9.6,9.6,9.6,9.6,1.0,7091.0
2019-01-28,9.64,9.64,9.64,9.64,4.0,215001.0
2019-01-29,9.67,9.67,9.63,9.65,56.0,912001.0
2019-01-30,9.67,9.67,9.67,9.67,6.0,12613.0
2019-01-31,9.67,9.67,9.67,9.67,2.0,1603.0
2019-02-04,,,,,3.0,101.0
2019-02-05,,,,,2.0,3.0
2019-02-06,9.72,9.72,9.7,9.7,10.0,317205.0
2019-02-07,9.6505,9.6505,9.6505,9.6505,3.0,103.0
2019-02-08,10.05,9.7,9.7,10.05,4.0,3443.0
2019-02-11,9.72,9.72,9.72,9.72,3.0,100004.0
2019-02-12,9.8,9.72,9.72,9.75,20.0,3189.0
2019-02-13,9.75,9.75,9.6983,9.6983,5.0,901.0
2019-02-14,,,,,1.0,1.0
2019-02-15,,,,,1.0,1.0
2019-02-19,9.7,9.7,9.7,9.7,2.0,101.0
2019-02-20,9.71,9.71,9.71,9.71,7.0,125166.0
2019-02-21,,,,,1.0,2.0
2019-02-22,9.78,9.78,9.78,9.78,4.0,122.0
2019-02-25,,,,,1.0,3.0
2019-02-26,,,,,1.0,1.0
2019-03-01,,,,,2.0,40.0
2019-03-08,,,,,1.0,10.0
2019-03-11,9.72,9.72,9.72,9.72,1.0,194.0
2019-03-12,,,,,2.0,62.0
2019-03-13,,,,,2.0,194.0
2019-03-14,9.7804,9.77,9.75,9.75,3.0,320100.0
2019-03-15,9.75,9.75,9.75,9.75,1.0,150000.0
2019-03-18,9.75,9.75,9.75,9.75,1.0,100.0
2019-03-21,9.75,9.75,9.75,9.75,1.0,25000.0
2019-03-26,,,,,1.0,11.0
2019-03-28,,,,,1.0,1.0
2019-04-01,,,,,1.0,1.0
2019-04-09,9.82,9.82,9.8,9.8,4.0,101001.0
2019-04-18,9.98,9.83,9.83,9.84,10.0,28486.0
2019-04-22,9.8792,9.8792,9.8792,9.8792,1.0,320.0
2019-04-23,,,,,1.0,1.0
2019-04-25,9.8831,9.85,9.84,9.8831,3.0,150200.0
2019-04-29,9.84,9.84,9.84,9.84,2.0,150000.0
2019-05-06,9.83,9.82,9.82,9.83,13.0,2500.0
2019-05-07,9.86,9.86,9.86,9.86,1.0,70000.0
2019-05-08,,,,,1.0,1.0
2019-05-10,,,,,1.0,20.0
2019-05-15,9.94,9.94,9.8646,9.8646,6.0,586.0
2019-05-16,,,,,2.0,4.0
2019-05-17,,,,,1.0,200000.0
2019-05-20,,,,,1.0,1.0
2019-05-21,9.94,9.94,9.88,9.88,2.0,100100.0
2019-05-22,9.9,9.9,9.9,9.9,1.0,100000.0
2019-05-23,9.9,9.9,9.89,9.89,10.0,15001.0
2019-05-28,,,,,1.0,5.0
2019-05-31,9.9,9.9,9.9,9.9,1.0,300.0
2019-06-03,,,,,2.0,4.0
2019-06-05,9.9,9.9,9.9,9.9,1.0,300.0
2019-06-06,,,,,1.0,2.0
2019-06-07,9.9,9.9,9.9,9.9,2.0,10000.0
2019-06-10,,,,,1.0,3.0
2019-06-12,9.88,9.88,9.88,9.88,16.0,3000.0
2019-06-13,9.88,9.88,9.88,9.88,4.0,87003.0
2019-06-14,,,,,1.0,8.0
2019-06-18,9.9,9.9,9.88,9.9,7.0,1344.0
2019-06-24,,,,,1.0,2.0
2019-06-27,9.9,9.9,9.89,9.89,2.0,50700.0
2019-06-28,9.9,9.9,9.89,9.89,9.0,139596.0
2019-07-01,9.9,9.89,9.89,9.9,4.0,11060.0
2019-07-02,9.89,9.89,9.89,9.89,1.0,499.0
2019-07-03,9.91,9.91,9.89,9.89,10.0,173997.0
2019-07-09,10.06,9.99,9.99,10.06,3.0,268.0
2019-07-10,9.909,9.909,9.909,9.909,1.0,100.0
2019-07-16,,,,,2.0,20.0
2019-07-17,9.9,9.89,9.89,9.9,20.0,6160.0
2019-07-18,,,,,1.0,1.0
2019-07-22,9.95,9.95,9.95,9.95,1.0,3600.0
2019-07-25,,,,,2.0,5.0
2019-08-01,9.97,9.97,9.92,9.92,3.0,250107.0
2019-08-06,9.97,9.95,9.9,9.92,12.0,205862.0
2019-08-07,9.96,9.93,9.92,9.96,12.0,334354.0
2019-08-08,9.92,9.92,9.92,9.92,6.0,100536.0
2019-08-09,9.93,9.93,9.93,9.93,1.0,400.0
2019-08-13,9.95,9.9478,9.94,9.94,4.0,2975.0
2019-08-19,9.95,9.95,9.95,9.95,1.0,200.0
