Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2000-01-03,22.25,22.25,22.125,22.125,3200.0
2000-01-05,22.0,21.8125,21.8125,22.0,600.0
2000-01-06,22.0,22.0,22.0,22.0,500.0
2000-01-07,22.5,22.5,22.25,22.25,500.0
2000-01-18,20.5,20.0,20.0,20.5,300.0
2000-01-19,19.75,19.75,19.75,19.75,200.0
2000-01-27,22.75,22.375,21.25,21.25,2800.0
2000-01-28,25.75,24.5,24.0,25.25,15700.0
2000-01-31,24.25,23.875,23.875,24.0,600.0
2000-02-01,24.75,24.75,24.75,24.75,100.0
2000-02-03,24.25,24.25,24.25,24.25,100.0
2000-02-04,24.75,24.75,24.75,24.75,200.0
2000-02-07,26.125,26.125,25.25,25.25,600.0
2000-02-08,29.5,29.5,28.25,28.5,1900.0
2000-02-09,28.75,28.5,28.5,28.75,1300.0
2000-02-10,28.5,28.0,28.0,28.5,200.0
2000-02-14,28.0625,27.875,27.875,28.0625,600.0
2000-02-15,26.5,26.5,25.5,26.5,2600.0
2000-02-16,27.75,27.75,27.75,27.75,500.0
2000-02-17,28.25,28.25,27.75,27.75,600.0
2000-02-18,27.75,27.75,27.75,27.75,300.0
2000-02-22,28.25,28.0,28.0,28.25,300.0
2000-02-24,32.625,32.25,32.0,32.5,7900.0
2000-02-25,32.5,32.5,32.5,32.5,300.0
2000-02-28,31.75,31.75,31.75,31.75,400.0
2000-02-29,32.0,32.0,32.0,32.0,200.0
2000-03-01,33.0,33.0,32.5,32.5,200.0
2000-03-02,37.25,36.6875,36.6875,37.25,400.0
2000-03-03,35.5,33.5,31.75,35.5,6300.0
2000-03-08,32.75,32.75,32.25,32.75,600.0
2000-03-09,32.75,32.75,32.25,32.25,300.0
2000-03-10,33.375,33.375,32.75,32.75,700.0
2000-03-13,33.0,33.0,33.0,33.0,300.0
2000-03-14,32.375,32.375,32.0,32.25,700.0
2000-03-15,29.25,29.0,29.0,29.25,700.0
2000-03-16,29.75,29.75,29.25,29.25,200.0
2000-03-17,30.5,30.5,29.5,30.0,400.0
2000-03-20,29.5,29.0,29.0,29.5,300.0
2000-03-22,28.0,28.0,28.0,28.0,400.0
2000-03-23,27.5,27.5,27.5,27.5,100.0
2000-03-28,27.5,27.25,27.25,27.5,600.0
2000-03-30,27.5,27.0,27.0,27.25,600.0
2000-03-31,26.0,26.0,25.75,25.75,500.0
2000-04-03,24.0,24.0,24.0,24.0,200.0
2000-04-04,25.5,25.5,25.5,25.5,500.0
2000-04-07,26.5,26.5,26.0,26.0,2600.0
2000-04-10,28.875,28.875,27.625,27.625,600.0
2000-04-12,26.75,26.75,26.75,26.75,200.0
2000-04-13,26.5,26.5,26.5,26.5,300.0
2000-04-14,26.5,26.25,26.25,26.5,800.0
2000-04-18,25.75,25.0,25.0,25.75,1200.0
2000-04-24,25.25,25.25,25.25,25.25,100.0
2000-04-26,24.875,24.875,24.875,24.875,100.0
2000-05-02,26.375,26.375,26.375,26.375,100.0
2000-05-04,25.0,25.0,25.0,25.0,1000.0
2000-05-05,25.0625,25.0625,25.0625,25.0625,800.0
2000-05-11,24.875,24.875,24.875,24.875,400.0
2000-05-12,27.25,27.25,26.5,26.5,1500.0
2000-05-17,27.0,27.0,26.5,26.5,800.0
2000-05-18,25.5,24.5,24.5,25.5,2000.0
2000-05-19,25.125,25.125,25.0,25.0,500.0
2000-05-22,24.875,24.875,24.875,24.875,200.0
2000-05-23,24.75,24.75,24.75,24.75,300.0
2000-05-24,26.0,25.75,25.25,25.375,1000.0
2000-05-26,26.125,25.875,25.875,26.125,300.0
2000-05-30,25.625,24.6875,24.625,25.625,1900.0
2000-05-31,23.625,23.125,23.125,23.5,2100.0
2000-06-01,23.5625,23.5625,23.375,23.375,400.0
2000-06-05,25.375,25.375,24.5,24.5,300.0
2000-06-06,25.375,25.375,25.125,25.125,600.0
2000-06-07,25.75,25.25,25.25,25.75,300.0
2000-06-08,25.0,25.0,25.0,25.0,100.0
2000-06-09,24.625,24.625,24.625,24.625,200.0
2000-06-12,24.625,23.875,23.875,24.375,900.0
2000-06-13,22.5,22.0,22.0,22.5,200.0
2000-06-16,23.5,23.5,23.25,23.25,1000.0
2000-06-19,23.0,22.75,22.75,23.0,200.0
2000-06-20,23.125,23.125,23.125,23.125,100.0
2000-06-21,22.5,22.5,22.5,22.5,100.0
2000-06-22,22.1875,22.1875,22.0,22.0,200.0
2000-06-27,22.5,22.5,22.1875,22.1875,7200.0
2000-07-06,25.0,25.0,23.75,23.75,2300.0
2000-07-07,26.0,25.75,25.25,25.5,1700.0
2000-07-10,26.5,26.5,26.5,26.5,100.0
2000-07-11,26.25,26.25,26.25,26.25,500.0
2000-07-12,27.5,27.25,27.25,27.5,1300.0
2000-07-13,27.1875,27.1875,27.0,27.0,2300.0
2000-07-14,27.0,26.875,26.875,27.0,1000.0
2000-07-17,27.5,27.5,27.125,27.125,800.0
2000-07-20,26.0,26.0,25.9375,25.9375,900.0
2000-07-21,26.3125,26.3125,26.3125,26.3125,400.0
2000-07-25,26.0,26.0,25.5,25.75,1300.0
2000-07-26,26.125,26.125,25.5,25.5,1300.0
2000-07-27,26.25,26.0,26.0,26.25,300.0
2000-07-28,25.25,25.25,25.25,25.25,200.0
2000-07-31,25.375,25.375,25.375,25.375,700.0
2000-08-01,25.4375,25.4375,25.4375,25.4375,200.0
2000-08-02,25.625,25.625,25.625,25.625,100.0
2000-08-07,25.625,25.625,25.625,25.625,200.0
2000-08-08,25.0,24.25,24.25,25.0,2100.0
2000-08-10,23.5,23.5,23.5,23.5,400.0
2000-08-11,23.25,23.0,23.0,23.25,1000.0
2000-08-14,22.6875,22.6875,22.4375,22.5625,6600.0
2000-08-16,23.0,23.0,23.0,23.0,1500.0
2000-08-17,23.0625,23.0625,23.0625,23.0625,100.0
2000-08-18,23.25,23.25,23.25,23.25,300.0
2000-08-21,23.25,23.25,23.25,23.25,4900.0
2000-08-22,23.25,23.25,23.0,23.0,1700.0
2000-08-23,23.0,23.0,22.9375,22.9375,800.0
2000-08-25,23.125,23.125,23.125,23.125,1000.0
2000-08-28,24.125,24.125,23.75,23.75,1300.0
2000-08-29,24.125,24.125,24.0,24.0,4200.0
2000-08-30,23.875,23.875,23.375,23.375,1400.0
2000-08-31,23.25,23.125,23.0,23.25,1700.0
2000-09-01,23.375,23.375,23.375,23.375,200.0
2000-09-05,23.625,23.625,23.625,23.625,400.0
2000-09-06,23.5,23.0,23.0,23.5,2300.0
2000-09-07,23.0,22.625,22.5,22.5625,2600.0
2000-09-08,22.25,22.25,22.25,22.25,100.0
2000-09-11,21.25,21.25,20.75,20.75,1400.0
2000-09-12,21.25,21.25,20.25,20.5,1600.0
2000-09-13,21.5,21.5,21.25,21.25,200.0
2000-09-14,22.25,22.25,21.75,22.0,1000.0
2000-09-18,21.5,21.5,21.5,21.5,500.0
2000-09-19,21.0,21.0,21.0,21.0,200.0
2000-09-22,21.25,21.25,21.25,21.25,400.0
2000-09-26,21.5,21.5,21.5,21.5,200.0
2000-09-27,22.0,22.0,22.0,22.0,600.0
2000-09-28,22.0,21.0,21.0,22.0,700.0
2000-09-29,21.5,21.5,21.5,21.5,100.0
2000-10-02,22.0,22.0,21.875,21.875,2700.0
2000-10-03,21.8125,21.8125,21.8125,21.8125,200.0
2000-10-04,22.0,22.0,22.0,22.0,500.0
2000-10-05,22.25,22.1875,22.1875,22.25,300.0
2000-10-06,22.375,22.375,22.3125,22.3125,500.0
2000-10-09,22.375,22.375,22.375,22.375,100.0
2000-10-10,22.125,22.125,22.125,22.125,300.0
2000-10-11,22.375,22.375,22.375,22.375,300.0
2000-10-12,21.8125,21.25,21.25,21.8125,1900.0
2000-10-13,21.0625,21.0625,21.0,21.0,700.0
2000-10-16,21.3125,20.1875,20.1875,21.3125,1600.0
2000-10-20,20.0,20.0,20.0,20.0,100.0
2000-10-23,20.3125,20.0,20.0,20.3125,300.0
2000-10-24,20.25,20.25,20.25,20.25,100.0
2000-10-26,20.375,20.375,20.125,20.125,400.0
2000-10-27,21.4375,21.4375,21.4375,21.4375,200.0
2000-10-30,21.3125,21.3125,21.25,21.25,700.0
2000-11-01,20.5,20.5,20.5,20.5,100.0
2000-11-02,20.0,19.5,19.5,19.5,1100.0
2000-11-06,19.5,18.75,18.75,19.5,800.0
2000-11-10,18.0,17.875,17.875,18.0,400.0
2000-11-13,17.375,17.375,17.375,17.375,100.0
2000-11-14,18.125,18.125,17.8125,17.875,2300.0
2000-11-16,17.75,17.75,17.75,17.75,200.0
2000-11-20,17.375,17.375,17.375,17.375,500.0
2000-11-21,17.625,17.625,17.625,17.625,200.0
2000-11-27,17.0,16.75,16.25,16.8125,5600.0
2000-11-28,16.75,16.75,16.5,16.5,300.0
2000-12-01,16.6875,16.6875,16.5625,16.5625,400.0
2000-12-04,16.25,16.25,16.25,16.25,100.0
2000-12-05,16.5,16.5,16.5,16.5,900.0
2000-12-07,17.75,17.5,16.6875,16.6875,4600.0
2000-12-08,17.25,17.25,17.0,17.0,600.0
2000-12-11,17.125,16.75,16.75,17.0,2700.0
2000-12-12,17.125,17.125,17.125,17.125,900.0
2000-12-13,17.4375,17.4375,17.4375,17.4375,500.0
2000-12-14,17.4375,17.4375,17.4375,17.4375,500.0
2000-12-18,18.5,18.0,18.0,18.125,2500.0
2000-12-19,18.5,18.5,18.3125,18.3125,600.0
2000-12-21,17.625,17.25,17.25,17.625,200.0
2000-12-22,18.0,18.0,17.375,17.375,700.0
2000-12-27,17.8125,17.5,17.5,17.8125,500.0
2000-12-28,17.25,17.25,17.25,17.25,100.0
2000-12-29,17.5,17.25,17.25,17.5,300.0
2001-01-02,17.875,17.875,17.5,17.5,700.0
2001-01-05,17.875,17.875,17.875,17.875,100.0
2001-01-10,17.375,17.375,17.375,17.375,100.0
2001-01-11,18.0625,18.0625,17.75,17.75,400.0
2001-01-12,19.25,18.75,18.3125,18.3125,1300.0
2001-01-16,18.8125,18.8125,18.8125,18.8125,300.0
2001-01-17,18.75,18.75,18.75,18.75,200.0
2001-01-19,20.125,20.125,19.25,19.25,1600.0
2001-01-22,19.5625,19.5625,19.25,19.25,600.0
2001-01-23,19.4375,19.4375,19.3125,19.3125,1000.0
2001-01-26,19.5625,19.5625,19.5625,19.5625,100.0
2001-01-29,21.2,20.8,20.8,21.2,1000.0
2001-01-30,21.75,21.6,21.5,21.55,2100.0
2001-02-07,22.0,21.5,21.5,22.0,300.0
2001-02-08,21.44,21.44,21.44,21.44,1800.0
2001-02-09,21.32,21.32,21.25,21.25,5500.0
2001-02-12,21.5,21.5,20.78,20.78,700.0
2001-02-13,21.4,21.0,21.0,21.22,900.0
2001-02-21,21.1,21.1,20.9,21.0,3200.0
2001-02-22,20.88,20.25,20.25,20.88,400.0
2001-02-23,21.0,21.0,21.0,21.0,500.0
2001-02-26,20.77,20.77,20.39,20.39,3700.0
2001-02-27,21.5,21.5,20.8,20.9,1000.0
2001-02-28,21.0,20.5,20.5,21.0,1100.0
2001-03-02,20.65,20.4,20.25,20.65,400.0
2001-03-05,20.45,20.45,20.28,20.28,2100.0
2001-03-06,19.76,19.76,19.76,19.76,1400.0
2001-03-07,18.2,18.2,18.09,18.09,2600.0
2001-03-08,18.7,18.7,18.5,18.5,200.0
2001-03-09,18.75,18.75,18.75,18.75,100.0
2001-03-12,18.05,17.95,17.5,17.5,2600.0
2001-03-13,17.55,17.3,17.24,17.55,10400.0
2001-03-14,17.05,16.4,16.4,17.05,6100.0
2001-03-15,16.0,15.55,15.5,16.0,8700.0
2001-03-16,15.5,15.2,15.2,15.5,2500.0
2001-03-19,15.1,15.1,15.1,15.1,600.0
2001-03-20,14.6,13.27,12.75,14.6,34900.0
2001-03-21,12.2,12.1,12.0,12.19,4000.0
2001-03-22,11.75,11.7,11.7,11.7,1100.0
2001-03-23,11.85,11.85,11.71,11.71,900.0
2001-03-26,12.4,12.4,12.27,12.27,1800.0
2001-03-27,12.15,12.15,12.0,12.0,2000.0
2001-03-28,11.5,10.9,10.8,11.3,31400.0
2001-03-29,11.0,10.9,10.9,11.0,2000.0
2001-03-30,10.7,10.7,10.5,10.5,2300.0
2001-04-03,9.6,9.6,9.6,9.6,1200.0
2001-04-04,9.9,9.9,9.7,9.7,2700.0
2001-04-05,10.1,10.1,10.0,10.0,1400.0
2001-04-09,10.0,10.0,10.0,10.0,1200.0
2001-04-10,10.1,10.1,10.02,10.02,1500.0
2001-04-12,10.37,10.37,10.26,10.26,2000.0
2001-04-16,10.36,10.36,10.36,10.36,300.0
2001-04-17,10.46,10.46,10.46,10.46,1000.0
2001-04-18,10.2,10.2,10.1,10.1,1500.0
2001-04-19,10.4,10.4,10.2,10.2,3000.0
2001-04-20,10.8,10.8,10.4,10.4,1500.0
2001-04-23,9.76,9.76,9.75,9.75,700.0
2001-04-25,9.85,9.85,9.85,9.85,300.0
2001-04-26,10.14,10.14,10.14,10.14,1000.0
2001-04-27,11.2,11.2,10.7,10.7,3700.0
2001-04-30,11.7,11.6,11.52,11.52,1500.0
2001-05-01,11.7,11.7,11.7,11.7,1000.0
2001-05-02,11.73,11.73,11.71,11.71,1200.0
2001-05-04,11.45,11.45,11.45,11.45,200.0
2001-05-07,11.8,11.8,11.51,11.51,1300.0
2001-05-15,12.04,12.04,12.02,12.02,1200.0
2001-05-16,12.75,12.75,12.48,12.48,1500.0
2001-05-18,13.6,13.6,13.4,13.4,1400.0
2001-05-21,13.58,13.58,13.58,13.58,100.0
2001-05-22,13.99,13.99,13.75,13.75,300.0
2001-05-23,14.15,14.15,14.15,14.15,100.0
2001-05-24,14.45,14.45,14.3,14.35,1900.0
2001-05-29,13.3,13.3,13.3,13.3,100.0
2001-06-01,13.6,13.6,13.5,13.5,900.0
2001-06-04,13.4,13.39,13.39,13.4,1100.0
2001-06-05,13.15,13.0,13.0,13.15,700.0
2001-06-06,13.0,12.85,12.85,13.0,500.0
2001-06-08,13.0,13.0,12.95,12.95,400.0
2001-06-11,12.8,12.4,12.4,12.8,3200.0
2001-06-15,12.4,12.4,12.27,12.27,400.0
2001-06-25,12.01,12.01,12.01,12.01,200.0
2001-06-26,12.01,12.01,12.01,12.01,700.0
2001-06-27,11.84,11.84,11.49,11.84,400.0
2001-06-29,11.95,11.95,11.95,11.95,100.0
2001-07-02,11.6,11.6,11.6,11.6,100.0
2001-07-12,10.61,10.61,10.61,10.61,500.0
2001-07-17,10.36,10.36,10.36,10.36,500.0
2001-07-18,9.4,9.15,9.0,9.4,5300.0
2001-07-19,9.6,9.55,9.25,9.25,1100.0
2001-07-24,9.65,9.65,9.64,9.64,200.0
2001-07-25,9.9,9.9,9.9,9.9,200.0
2001-07-27,10.02,10.02,10.02,10.02,200.0
2001-07-30,10.1,10.05,10.0,10.03,6300.0
2001-07-31,10.04,10.04,10.04,10.04,400.0
2001-08-06,10.0,10.0,9.94,9.94,200.0
2001-08-14,10.1,10.1,10.1,10.1,100.0
2001-08-20,9.95,9.95,9.85,9.85,600.0
2001-08-21,9.92,9.92,9.9,9.9,900.0
2001-08-24,9.9,9.9,9.9,9.9,600.0
2001-08-27,10.05,10.05,10.05,10.05,900.0
2001-08-30,9.8,9.8,9.65,9.65,300.0
