Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2000-01-03,2.3125,2.125,2.0,2.25,27400.0
2000-01-04,2.3125,2.25,2.0,2.125,6500.0
2000-01-05,2.1875,2.1875,2.03125,2.0625,6500.0
2000-01-06,2.125,2.0625,2.03125,2.0625,17900.0
2000-01-07,2.25,2.15625,2.03125,2.0625,9300.0
2000-01-10,2.125,2.0,1.75,2.125,28000.0
2000-01-11,2.125,1.875,1.875,2.125,20000.0
2000-01-12,2.25,2.25,2.0,2.0,21300.0
2000-01-13,2.25,2.125,2.125,2.125,6500.0
2000-01-14,2.3125,2.125,2.0,2.25,7100.0
2000-01-18,2.1875,2.125,2.0,2.0625,32000.0
2000-01-19,2.125,2.0625,1.875,2.125,35100.0
2000-01-20,2.125,2.078125,2.0625,2.0625,16500.0
2000-01-21,2.0625,2.0,1.9375,1.9375,12400.0
2000-01-24,2.0625,2.0625,2.0625,2.0625,4000.0
2000-01-25,2.0625,2.0,1.875,2.0,5900.0
2000-01-26,2.0625,2.0625,2.0,2.0,7400.0
2000-01-27,2.03125,2.0,2.0,2.0,4300.0
2000-01-28,2.21875,2.0625,2.0625,2.21875,13500.0
2000-01-31,2.09375,2.0625,2.0625,2.09375,800.0
2000-02-01,2.125,2.125,2.0,2.09375,6400.0
2000-02-02,2.0625,2.03125,2.03125,2.0625,17000.0
2000-02-03,2.0625,2.0625,2.0,2.0,52200.0
2000-02-04,2.0625,2.0,2.0,2.0625,4500.0
2000-02-07,2.0,2.0,2.0,2.0,7400.0
2000-02-08,2.0625,2.0,2.0,2.0,4900.0
2000-02-09,2.125,2.0,2.0,2.125,2300.0
2000-02-10,2.0625,1.96875,1.875,2.0,16600.0
2000-02-11,2.0,2.0,2.0,2.0,1600.0
2000-02-15,1.96875,1.875,1.875,1.875,3800.0
2000-02-16,2.0,1.78125,1.78125,2.0,12900.0
2000-02-17,1.96875,1.953125,1.8125,1.8125,2700.0
2000-02-18,2.0,1.875,1.78125,2.0,11300.0
2000-02-22,2.0,1.8125,1.78125,2.0,1900.0
2000-02-23,2.0,1.8125,1.8125,1.8125,1700.0
2000-02-24,2.0,1.8125,1.8125,2.0,1400.0
2000-02-25,2.03125,1.9375,1.78125,1.8125,33900.0
2000-02-28,2.03125,1.8125,1.8125,2.03125,1400.0
2000-02-29,2.0625,1.875,1.875,2.0625,4300.0
2000-03-01,2.0,2.0,2.0,2.0,3500.0
2000-03-02,1.875,1.78125,1.75,1.875,17800.0
2000-03-03,2.0625,1.8125,1.8125,2.0,4600.0
2000-03-06,2.0,2.0,1.75,1.9375,10300.0
2000-03-07,2.0,1.8125,1.8125,2.0,12200.0
2000-03-08,1.8125,1.8125,1.8125,1.8125,1000.0
2000-03-09,1.96875,1.8125,1.8125,1.96875,400.0
2000-03-10,1.875,1.625,1.125,1.75,33700.0
2000-03-13,2.0,1.75,1.484375,1.59375,11900.0
2000-03-14,1.75,1.375,1.375,1.5,39500.0
2000-03-15,1.9375,1.6875,1.5,1.9375,81000.0
2000-03-16,1.8125,1.5,1.5,1.5,24000.0
2000-03-17,1.65625,1.65625,1.40625,1.65625,2600.0
2000-03-20,1.875,1.8125,1.5625,1.875,42600.0
2000-03-21,1.875,1.8125,1.5625,1.5625,15000.0
2000-03-22,1.8125,1.75,1.5625,1.625,9500.0
2000-03-23,1.875,1.875,1.8125,1.875,27300.0
2000-03-24,2.09375,2.0,1.75,1.9375,82300.0
2000-03-27,2.109375,2.0,2.0,2.0,12000.0
2000-03-28,2.125,2.0,1.9375,2.125,19600.0
2000-03-29,2.125,2.125,1.875,1.9375,9700.0
2000-03-30,2.0625,2.0,1.9375,1.9375,16700.0
2000-03-31,2.0625,2.0,1.9375,1.9375,25400.0
2000-04-03,2.0625,1.8125,1.8125,2.0625,3500.0
2000-04-04,1.8125,1.5,1.5,1.8125,14800.0
2000-04-05,2.0,2.0,1.5625,2.0,7900.0
2000-04-06,1.65625,1.65625,1.59375,1.59375,1300.0
2000-04-07,1.65625,1.65625,1.65625,1.65625,500.0
2000-04-10,1.65625,1.625,1.625,1.65625,700.0
2000-04-11,1.75,1.6875,1.625,1.625,12100.0
2000-04-12,2.0,1.6875,1.6875,1.6875,3500.0
2000-04-13,2.0,1.6875,1.6875,2.0,2300.0
2000-04-14,1.75,1.625,1.5,1.75,5100.0
2000-04-17,1.5625,1.5625,1.5,1.5,1200.0
2000-04-18,2.0,1.875,1.5,2.0,4800.0
2000-04-19,2.125,2.125,2.0,2.0,33700.0
2000-04-20,2.5,2.4375,2.0625,2.0625,37500.0
