Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,3.48,3.35,3.26,3.47,,56429106.0
2007-09-20,3.38,3.37,3.29,3.33,,28222508.0
2007-09-21,3.42,3.36,3.36,3.38,,22159806.0
2007-09-24,3.38,3.3,3.29,3.38,,21441235.0
2007-09-25,3.3,3.28,3.23,3.28,,25888837.0
2007-09-26,3.48,3.42,3.31,3.33,,39784848.0
2007-09-27,3.54,3.42,3.38,3.47,,43478856.0
2007-09-28,3.49,3.49,3.36,3.38,,33092044.0
2007-10-01,3.52,3.4899,3.44,3.46,,18601324.0
2007-10-02,3.52,3.48,3.46,3.47,,16008803.0
2007-10-03,3.5,3.46,3.44,3.45,,17246227.0
2007-10-04,3.47,3.4,3.4,3.47,,11511520.0
2007-10-05,3.46,3.45,3.38,3.4,,19474780.0
2007-10-08,3.45,3.45,3.37,3.43,,20846580.0
2007-10-09,3.63,3.5799,3.4,3.43,,54224102.0
2007-10-10,3.71,3.69,3.5,3.58,,57696617.0
2007-10-11,3.79,3.57,3.57,3.74,,45184597.0
2007-10-12,3.65,3.5401,3.53,3.63,,46453962.0
2007-10-15,3.65,3.63,3.52,3.55,,41743530.0
2007-10-16,3.72,3.6,3.58,3.65,,38742583.0
2007-10-17,3.66,3.66,3.57,3.63,,39525146.0
2007-10-18,3.68,3.66,3.6,3.65,,34722147.0
2007-10-19,3.69,3.55,3.54,3.68,,43852440.0
2007-10-22,3.67,3.65,3.47,3.51,,29826137.0
2007-10-23,3.69,3.65,3.61,3.67,,28267638.0
2007-10-24,3.67,3.63,3.55,3.62,,41040711.0
2007-10-25,3.67,3.59,3.56,3.61,,26617256.0
2007-10-26,3.63,3.58,3.55,3.62,,24104472.0
2007-10-29,3.63,3.61,3.56,3.58,,23482209.0
2007-10-30,3.66,3.29,3.26,3.65,,103698774.0
2007-10-31,3.44,3.36,3.26,3.38,,70444454.0
2007-11-01,3.34,3.12,3.12,3.33,,62320709.0
2007-11-02,3.33,3.28,3.12,3.21,,59691273.0
2007-11-05,3.39,3.35,3.22,3.23,,49454685.0
2007-11-06,3.54,3.51,3.31,3.36,,96147663.0
2007-11-07,3.69,3.4988,3.47,3.48,,76578331.0
2007-11-08,3.56,3.45,3.4,3.5395,,64461132.0
2007-11-09,3.58,3.47,3.42,3.44,,50031142.0
2007-11-12,3.55,3.41,3.41,3.55,,46590109.0
2007-11-13,3.65,3.63,3.41,3.5,,66664906.0
2007-11-14,3.65,3.51,3.49,3.63,,49404137.0
2007-11-15,3.58,3.53,3.5,3.51,,36166763.0
2007-11-16,3.56,3.52,3.44,3.55,,30121797.0
2007-11-19,3.55,3.51,3.46,3.47,,32217880.0
2007-11-20,3.59,3.48,3.4,3.51,,47644436.0
2007-11-21,3.54,3.49,3.45,3.47,,25618023.0
2007-11-23,3.52,3.46,3.45,3.51,,11576805.0
2007-11-26,3.55,3.5,3.46,3.47,,42221022.0
2007-11-27,3.59,3.56,3.51,3.51,,31465732.0
2007-11-28,3.6,3.53,3.43,3.59,,62766007.0
2007-11-29,3.55,3.52,3.46,3.5,,31104086.0
2007-11-30,3.92,3.83,3.62,3.64,,108361695.0
2007-12-03,3.94,3.75,3.73,3.85,,69293289.0
2007-12-04,3.78,3.64,3.42,3.57,,67509084.0
2007-12-05,3.67,3.63,3.47,3.62,,60013314.0
2007-12-06,3.66,3.61,3.54,3.59,,46778807.0
2007-12-07,3.66,3.61,3.6,3.65,,24043359.0
2007-12-10,3.65,3.58,3.57,3.63,,18736996.0
2007-12-11,3.6,3.5,3.48,3.59,,22107780.0
2007-12-12,3.5576,3.29,2.76,3.55,,56022846.0
2007-12-13,3.49,3.41,3.31,3.32,,31320507.0
2007-12-14,3.49,3.31,3.3,3.47,,35441107.0
2007-12-17,3.35,3.15,3.15,3.35,,27305449.0
2007-12-18,3.27,3.22,3.17,3.21,,31914264.0
2007-12-19,3.33,3.25,3.21,3.23,,34891333.0
2007-12-20,3.3,3.24,3.04,3.27,,42002952.0
2007-12-21,3.23,3.18,3.15,3.2,,37831297.0
2007-12-24,3.22,3.22,3.18,3.18,,15373652.0
2007-12-26,3.24,3.23,3.17,3.2,,24088920.0
2007-12-27,3.23,3.14,3.12,3.19,,21443496.0
2007-12-28,3.15,3.06,3.04,3.15,,20818916.0
2007-12-31,3.07,3.03,2.97,3.03,,26149523.0
2008-01-02,3.11,3.05,3.0,3.03,,24206095.0
2008-01-03,3.21,3.15,3.03,3.07,,30359608.0
2008-01-04,3.18,3.12,3.08,3.14,,31292415.0
2008-01-07,3.15,2.94,2.88,3.13,,52262003.0
2008-01-08,3.07,2.98,2.95,2.97,,36257324.0
2008-01-09,3.0,2.85,2.67,2.97,,74510695.0
2008-01-10,2.92,2.89,2.75,2.79,,27331180.0
2008-01-11,3.15,2.93,2.82,2.89,,44009342.0
2008-01-14,2.97,2.85,2.81,2.95,,28418568.0
2008-01-15,2.89,2.84,2.72,2.82,,29777897.0
2008-01-16,2.87,2.75,2.75,2.81,,20597296.0
2008-01-17,2.8,2.69,2.67,2.78,,31212147.0
2008-01-18,2.86,2.83,2.63,2.66,,55167045.0
2008-01-22,2.93,2.65,2.51,2.52,,62699903.0
2008-01-23,2.89,2.87,2.63,2.63,,50016723.0
2008-01-24,3.08,2.95,2.86,2.9,,61505146.0
2008-01-25,3.02,2.89,2.89,3.01,,24063488.0
2008-01-28,3.11,3.08,2.97,3.1,,53755312.0
2008-01-29,3.19,3.1,3.06,3.14,,50761869.0
2008-01-30,3.13,3.06,3.04,3.1,,53427826.0
2008-01-31,3.21,3.2,3.02,3.04,,45084406.0
2008-02-01,3.38,3.3099,3.18,3.22,,48417201.0
2008-02-04,3.36,3.27,3.2599,3.34,,29304827.0
2008-02-05,3.25,3.12,3.12,3.24,,28654081.0
2008-02-06,3.22,3.13,3.1,3.18,,28119866.0
2008-02-07,3.16,3.13,3.06,3.1,,36183940.0
2008-02-08,3.2,3.19,3.11,3.12,,59624328.0
2008-02-11,3.2,3.14,3.12,3.18,,24479559.0
2008-02-12,3.26,3.1,3.1,3.15,,44176867.0
2008-02-13,3.23,3.18,3.12,3.14,,46287047.0
2008-02-14,3.23,3.19,3.15,3.19,,49459720.0
2008-02-15,3.32,3.23,3.17,3.18,,51123127.0
2008-02-19,3.29,3.1,3.1,3.28,,39851261.0
2008-02-20,3.11,3.0,2.9974,3.09,,43601248.0
2008-02-21,3.07,2.92,2.91,3.04,,55235511.0
2008-02-22,2.96,2.92,2.88,2.94,,41362228.0
2008-02-25,3.1,3.04,2.9,2.95,,37147368.0
2008-02-26,3.13,3.05,2.97,3.04,,64387156.0
2008-02-27,3.09,2.94,2.93,3.02,,42648717.0
2008-02-28,2.98,2.93,2.91,2.97,,21417809.0
2008-02-29,2.98,2.84,2.8,2.93,,50739179.0
2008-03-03,2.835,2.77,2.75,2.82,,21412081.0
2008-03-04,2.84,2.8,2.74,2.77,,32124514.0
2008-03-05,2.88,2.84,2.82,2.83,,33469469.0
2008-03-06,2.85,2.74,2.74,2.84,,25866278.0
2008-03-07,2.78,2.73,2.67,2.7,,43013535.0
2008-03-10,2.77,2.66,2.66,2.77,,19382911.0
2008-03-11,2.75,2.75,2.65,2.7,,24026792.0
2008-03-12,2.95,2.88,2.75,2.76,,34701926.0
2008-03-13,2.85,2.84,2.76,2.84,,25034189.0
2008-03-14,2.87,2.73,2.72,2.87,,25866864.0
2008-03-17,2.76,2.69,2.65,2.67,,17241462.0
2008-03-18,2.74,2.73,2.67,2.71,,16411095.0
2008-03-19,2.86,2.79,2.7,2.71,,39528869.0
2008-03-20,3.0,2.9,2.79,2.96,,38824095.0
2008-03-24,3.89,3.15,2.97,3.03,,152917423.0
2008-03-25,3.27,3.09,2.91,3.26,,142832703.0
2008-03-26,3.1,3.02,2.96,3.09,,65506086.0
2008-03-27,3.06,2.83,2.8,3.04,,66388264.0
2008-03-28,2.89,2.8,2.78,2.86,,45120255.0
2008-03-31,2.88,2.86,2.8,2.84,,26362473.0
2008-04-01,2.92,2.89,2.83,2.9,,33188860.0
2008-04-02,2.92,2.84,2.83,2.91,,21376992.0
2008-04-03,2.86,2.79,2.78,2.84,,30173377.0
2008-04-04,2.8,2.79,2.741,2.79,,28410507.0
2008-04-07,2.8,2.74,2.73,2.8,,20322526.0
2008-04-08,2.75,2.69,2.68,2.75,,21358427.0
2008-04-09,2.71,2.61,2.58,2.7,,38599793.0
2008-04-10,2.64,2.55,2.52,2.6,,37781835.0
2008-04-11,2.53,2.48,2.45,2.48,,28852195.0
2008-04-14,2.5,2.44,2.43,2.49,,19658427.0
2008-04-15,2.45,2.41,2.37,2.44,,22444831.0
2008-04-16,2.46,2.45,2.36,2.44,,20970875.0
2008-04-17,2.47,2.42,2.41,2.44,,17891307.0
2008-04-18,2.52,2.48,2.42,2.47,,29094631.0
2008-04-21,2.48,2.45,2.43,2.48,,15462547.0
2008-04-22,2.61,2.58,2.41,2.43,,34781573.0
2008-04-23,2.67,2.65,2.52,2.59,,26850124.0
2008-04-24,2.78,2.73,2.69,2.77,,38534922.0
2008-04-25,2.73,2.69,2.64,2.73,,27544469.0
2008-04-28,2.73,2.69,2.67,2.7,,17269154.0
2008-04-29,2.7,2.7,2.65,2.7,,18856535.0
2008-04-30,2.72,2.57,2.55,2.71,,31198881.0
2008-05-01,2.71,2.69,2.57,2.58,,27083281.0
2008-05-02,2.73,2.7,2.67,2.72,,29729418.0
2008-05-05,2.71,2.67,2.63,2.7,,18618014.0
2008-05-06,2.8,2.79,2.65,2.66,,27707219.0
2008-05-07,2.86,2.8,2.75,2.8,,21861718.0
2008-05-08,2.85,2.83,2.8,2.85,,14870025.0
2008-05-09,2.79,2.73,2.72,2.79,,12554166.0
2008-05-12,2.88,2.87,2.74,2.77,,27317690.0
2008-05-13,2.87,2.83,2.8,2.87,,24426999.0
2008-05-14,2.84,2.81,2.77,2.82,,13621341.0
2008-05-15,2.83,2.8,2.78,2.82,,19427413.0
2008-05-16,2.8,2.72,2.72,2.8,,21505489.0
2008-05-19,2.81,2.67,2.67,2.74,,27198291.0
2008-05-20,2.69,2.62,2.6,2.68,,19449170.0
2008-05-21,2.66,2.58,2.58,2.62,,18268488.0
2008-05-22,2.64,2.63,2.56,2.6,,30113825.0
2008-05-23,2.61,2.59,2.55,2.59,,22254132.0
2008-05-27,2.63,2.6,2.54,2.59,,17530120.0
2008-05-28,2.62,2.56,2.55,2.62,,19054264.0
2008-05-29,2.61,2.59,2.55,2.56,,22836162.0
2008-05-30,2.59,2.52,2.52,2.57,,20211121.0
2008-06-02,2.56,2.54,2.5,2.55,,14706030.0
2008-06-03,2.57,2.57,2.52,2.56,,16218036.0
2008-06-04,2.67,2.66,2.55,2.56,,31340061.0
2008-06-05,2.7,2.7,2.62,2.65,,17049376.0
2008-06-06,2.68,2.57,2.57,2.66,,14929968.0
2008-06-09,2.635,2.57,2.55,2.59,,20624395.0
2008-06-10,2.57,2.55,2.52,2.55,,16883945.0
2008-06-11,2.55,2.45,2.45,2.54,,33182495.0
2008-06-12,2.49,2.4,2.38,2.46,,31008805.0
2008-06-13,2.54,2.54,2.36,2.41,,32492739.0
2008-06-16,2.75,2.62,2.61,2.75,,71301797.0
2008-06-17,2.65,2.5,2.48,2.65,,46062578.0
2008-06-18,2.52,2.43,2.37,2.51,,46768365.0
2008-06-19,2.3,2.13,1.97,2.3,,92471460.0
2008-06-20,2.15,1.99,1.98,2.12,,52988278.0
2008-06-23,2.06,1.93,1.92,2.03,,27288831.0
2008-06-24,1.93,1.86,1.82,1.91,,42092218.0
2008-06-25,1.95,1.93,1.86,1.9,,30079654.0
2008-06-26,1.89,1.83,1.8,1.88,,31720683.0
2008-06-27,2.11,2.1,1.8,1.86,,46875975.0
2008-06-30,2.04,1.92,1.89,2.02,,35588851.0
2008-07-01,1.98,1.95,1.89,1.97,,28940538.0
2008-07-02,1.95,1.91,1.89,1.94,,16199965.0
2008-07-03,1.95,1.92,1.86,1.9008,,13407082.0
2008-07-07,2.01,1.98,1.87,1.97,,27563757.0
2008-07-08,2.0,2.0,1.85,1.95,,38443516.0
2008-07-09,2.02,2.0,1.91,1.96,,30736060.0
2008-07-10,2.15,2.13,1.97,2.0,,35796950.0
2008-07-11,2.14,2.13,2.01,2.08,,30538789.0
2008-07-14,2.16,2.06,2.06,2.15,,18681395.0
2008-07-15,2.12,2.02,1.98,2.03,,23365688.0
2008-07-16,2.09,2.07,2.0,2.0399,,23338971.0
2008-07-17,2.17,2.1,2.03,2.08,,24020434.0
2008-07-18,2.33,2.28,2.11,2.14,,38537545.0
2008-07-21,2.45,2.42,2.34,2.34,,24973035.0
2008-07-22,2.44,2.38,2.06,2.41,,27758999.0
2008-07-23,2.7,2.68,2.23,2.3,,75410119.0
2008-07-24,2.75,2.42,2.31,2.74,,62176490.0
2008-07-25,2.4,2.25,2.19,2.4,,31465747.0
2008-07-28,2.33,1.88,1.8767,2.29,,74025490.0
2008-07-29,1.75,1.58,1.49,1.5,,270570284.0
2008-07-30,1.7,1.65,1.56,1.68,,156748211.0
2008-07-31,1.64,1.6,1.56,1.62,,118141880.0
2008-08-01,1.6,1.46,1.4595,1.6,,139459762.0
2008-08-04,1.49,1.39,1.29,1.49,,180518713.0
2008-08-05,1.52,1.42,1.38,1.5,,178803501.0
2008-08-06,1.47,1.45,1.38,1.46,,82966642.0
2008-08-07,1.49,1.4,1.37,1.48,,71895889.0
2008-08-08,1.41,1.32,1.26,1.41,,138645922.0
2008-08-11,1.47,1.47,1.35,1.36,,116369235.0
2008-08-12,1.48,1.37,1.37,1.46,,65468375.0
2008-08-13,1.39,1.38,1.3,1.37,,72601616.0
2008-08-14,1.43,1.43,1.38,1.38,,37970305.0
2008-08-15,1.49,1.49,1.44,1.47,,47454678.0
2008-08-18,1.49,1.4,1.38,1.47,,49989249.0
2008-08-19,1.48,1.47,1.36,1.39,,117198222.0
2008-08-20,1.47,1.42,1.4,1.46,,36822232.0
2008-08-21,1.43,1.39,1.37,1.41,,37838270.0
2008-08-22,1.41,1.39,1.37,1.39,,26955628.0
2008-08-25,1.38,1.33,1.33,1.37,,48831683.0
2008-08-26,1.36,1.31,1.31,1.34,,41927553.0
2008-08-27,1.33,1.33,1.31,1.33,,25961902.0
2008-08-28,1.4,1.36,1.31,1.33,,85960672.0
2008-08-29,1.35,1.33,1.31,1.34,,41551720.0
2008-09-02,1.4,1.33,1.32,1.34,,52042975.0
2008-09-03,1.36,1.31,1.31,1.34,,25146450.0
2008-09-04,1.32,1.26,1.26,1.32,,40845928.0
2008-09-05,1.31,1.3,1.25,1.25,,37901122.0
2008-09-08,1.33,1.26,1.22,1.32,,57792446.0
2008-09-09,1.27,1.14,1.07,1.26,,109416828.0
2008-09-10,1.12,0.98,0.9,1.11,,111138757.0
2008-09-11,0.9499,0.92,0.86,0.93,,86803858.0
2008-09-12,0.96,0.95,0.87,0.9113,,47946556.0
2008-09-15,0.92,0.85,0.85,0.88,,43738471.0
2008-09-16,0.89,0.8801,0.68,0.81,,129881854.0
2008-09-17,0.98,0.94,0.77,0.8407,,107770409.0
2008-09-18,1.05,0.949,0.8618,0.8966,,88164655.0
2008-09-19,1.08,1.0,0.95,1.05,,77060922.0
2008-09-22,0.98,0.89,0.89,0.9665,,55139468.0
2008-09-23,0.9,0.85,0.84,0.9,,40429899.0
2008-09-24,0.88,0.8598,0.8327,0.88,,22364585.0
2008-09-25,0.88,0.8648,0.84,0.87,,32434637.0
2008-09-26,0.82,0.76,0.76,0.7931,,39930464.0
2008-09-29,0.7795,0.62,0.62,0.7599,,69398717.0
2008-09-30,0.69,0.57,0.57,0.66,,83072688.0
2008-10-01,0.67,0.6499,0.6,0.6387,,69604623.0
2008-10-02,0.69,0.6,0.58,0.68,,47359108.0
2008-10-03,0.65,0.58,0.58,0.635,,39280121.0
2008-10-06,0.5799,0.5006,0.4512,0.5799,,103850783.0
2008-10-07,0.5286,0.481,0.47,0.52,,54139017.0
2008-10-08,0.49,0.46,0.45,0.479,,48449853.0
2008-10-09,0.5,0.4,0.395,0.49,,59667909.0
2008-10-10,0.48,0.43,0.36,0.361,,80424158.0
2008-10-13,0.53,0.51,0.4617,0.51,,52067155.0
2008-10-14,0.57,0.48,0.48,0.55,,58124548.0
2008-10-15,0.4931,0.42,0.42,0.4802,,48431496.0
