Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-05,52.0,51.59,51.25,51.25,,1318848.0
2007-09-06,51.78,51.65,51.16,51.46,,1454426.0
2007-09-07,51.95,51.72,50.53,51.0,,1116987.0
2007-09-10,51.91,51.73,51.36,51.36,,1667415.0
2007-09-11,51.99,51.85,51.61,51.61,,2951735.0
2007-09-12,51.92,51.75,51.56,51.66,,1234113.0
2007-09-13,52.13,52.02,51.69,51.89,,1230414.0
2007-09-14,52.27,52.27,51.7,51.75,,1082875.0
2007-09-17,52.48,52.09,51.82,52.15,,908344.0
2007-09-18,52.87,52.61,52.0,52.0,,908843.0
2007-09-19,52.99,52.2,52.12,52.4,,1083831.0
2007-09-20,52.3,51.08,50.98,52.3,,1283927.0
2007-09-21,51.6,51.31,51.22,51.6,,3049781.0
2007-09-24,51.5,51.36,51.24,51.36,,1590454.0
2007-09-25,51.45,51.4,51.17,51.18,,813307.0
2007-09-26,52.15,52.07,51.28,51.63,,1316344.0
2007-09-27,52.38,51.84,51.64,52.38,,453019.0
2007-09-28,52.27,52.2,51.51,51.85,,1697709.0
2007-10-01,52.73,52.41,52.18,52.2,,1190885.0
2007-10-02,52.66,52.4,52.07,52.35,,1440084.0
2007-10-03,52.89,52.17,51.94,52.23,,1037095.0
2007-10-04,52.98,52.68,52.27,52.49,,1086898.0
2007-10-05,53.3,52.85,52.52,52.89,,876794.0
2007-10-09,53.0,52.77,52.46,52.95,,492952.0
2007-10-10,52.87,52.6,52.33,52.87,,616701.0
2007-10-11,52.93,51.95,51.76,52.85,,617136.0
2007-10-12,52.58,52.49,51.52,52.13,,1258737.0
2007-10-15,52.47,51.76,51.63,52.47,,912540.0
2007-10-16,52.01,51.28,51.28,51.75,,763595.0
2007-10-17,51.67,51.59,51.03,51.5,,550910.0
2007-10-18,51.85,51.65,51.22,51.45,,601050.0
2007-10-19,51.71,51.03,50.85,51.24,,1296389.0
2007-10-22,51.94,51.9,51.01,51.2,,791445.0
2007-10-23,52.2,51.97,51.59,51.7,,693458.0
2007-10-24,52.16,51.95,51.25,51.76,,727410.0
2007-10-25,52.75,52.06,51.4,52.15,,983824.0
2007-10-26,52.99,52.62,52.48,52.49,,1389809.0
2007-10-29,52.98,52.85,52.24,52.62,,1118323.0
2007-10-30,55.7,55.2,52.55,52.86,,1902563.0
2007-10-31,56.5,54.89,54.61,55.0,,2969222.0
2007-11-01,54.48,53.91,53.01,54.48,,1527351.0
2007-11-02,54.2,53.55,52.78,54.2,,1428334.0
