Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-05,1.63,1.59,1.56,1.58,,108000.0
2007-09-06,1.67,1.66,1.57,1.58,,386367.0
2007-09-07,1.77,1.6,1.57,1.69,,241422.0
2007-09-10,1.69,1.58,1.54,1.61,,231808.0
2007-09-11,1.65,1.62,1.53,1.55,,345330.0
2007-09-12,1.6,1.59,1.56,1.58,,185808.0
2007-09-13,1.67,1.67,1.56,1.56,,89385.0
2007-09-14,1.74,1.72,1.6,1.67,,277685.0
2007-09-17,1.73,1.68,1.65,1.72,,81606.0
2007-09-18,1.74,1.7,1.63,1.68,,883400.0
2007-09-19,1.77,1.66,1.63,1.72,,878459.0
2007-09-20,1.76,1.73,1.6,1.72,,942069.0
2007-09-21,1.75,1.75,1.68,1.71,,340403.0
2007-09-24,1.75,1.7,1.7,1.74,,242084.0
2007-09-25,1.74,1.73,1.67,1.7,,280047.0
2007-09-26,1.75,1.61,1.61,1.72,,360905.0
2007-09-27,1.7,1.66,1.63,1.65,,151135.0
2007-09-28,1.75,1.61,1.52,1.67,,603316.0
2007-10-01,1.67,1.64,1.58,1.64,,109117.0
2007-10-02,1.67,1.61,1.55,1.6,,308258.0
2007-10-03,1.64,1.59,1.57,1.6,,130400.0
2007-10-04,1.62,1.62,1.53,1.56,,284832.0
2007-10-05,1.71,1.7,1.56,1.6,,627226.0
2007-10-09,1.72,1.66,1.64,1.68,,230770.0
2007-10-10,1.71,1.65,1.65,1.69,,233116.0
2007-10-11,1.71,1.66,1.65,1.69,,528908.0
2007-10-12,1.69,1.59,1.58,1.67,,264448.0
2007-10-15,1.67,1.62,1.6,1.6,,278658.0
2007-10-16,1.64,1.53,1.46,1.64,,371618.0
2007-10-17,1.56,1.52,1.5,1.54,,209331.0
2007-10-18,1.58,1.58,1.51,1.54,,154195.0
2007-10-19,1.6,1.55,1.53,1.59,,212165.0
2007-10-22,1.53,1.44,1.43,1.48,,153164.0
2007-10-23,1.53,1.53,1.46,1.5,,107326.0
2007-10-24,1.52,1.47,1.28,1.48,,549590.0
2007-10-25,1.4,1.33,1.3,1.4,,8898511.0
2007-10-26,1.36,1.35,1.33,1.35,,3039241.0
2007-10-29,1.35,1.29,1.28,1.35,,843890.0
2007-10-30,1.3,1.23,1.23,1.28,,2889096.0
2007-10-31,1.25,1.25,1.19,1.25,,1579000.0
2007-11-01,1.26,1.17,1.17,1.24,,522368.0
2007-11-02,1.25,1.25,1.19,1.22,,528068.0
2007-11-05,1.22,1.2,1.15,1.2,,916902.0
2007-11-06,1.28,1.27,1.21,1.21,,442383.0
2007-11-07,1.29,1.29,1.23,1.29,,3222850.0
2007-11-08,1.3,1.27,1.22,1.28,,2017103.0
2007-11-09,1.25,1.25,1.21,1.24,,2824228.0
2007-11-12,1.21,1.15,1.15,1.21,,440315.0
2007-11-13,1.21,1.16,1.14,1.18,,464371.0
2007-11-14,1.18,1.18,1.14,1.18,,1064614.0
2007-11-15,1.17,1.04,1.02,1.16,,615302.0
2007-11-16,1.09,1.09,1.04,1.04,,219833.0
2007-11-19,1.12,1.0,0.95,1.12,,1414230.0
2007-11-20,1.06,1.0,0.91,1.06,,732499.0
2007-11-21,1.0,0.89,0.89,0.95,,1110361.0
2007-11-22,0.89,0.87,0.87,0.89,,544968.0
2007-11-23,1.05,1.0,0.87,0.88,,405154.0
2007-11-26,1.22,1.1,1.06,1.14,,864940.0
2007-11-27,1.22,1.07,1.04,1.15,,700433.0
2007-11-28,1.15,1.07,1.05,1.07,,264644.0
