Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2016-11-04,11.07,10.99,10.3,10.3,13568.0,3419720.0
2016-11-07,11.75,11.07,10.99,11.03,2998.0,599717.0
2016-11-08,11.25,11.07,10.9,11.1,1098.0,267382.0
2016-11-09,12.05,11.58,11.0,11.0,1216.0,270679.0
2016-11-10,11.85,11.57,11.27,11.41,775.0,287974.0
2016-11-11,11.5575,11.36,11.33,11.5,191.0,43952.0
2016-11-14,11.4,11.18,10.93,11.35,534.0,80816.0
2016-11-15,11.7955,11.2,11.14,11.15,640.0,83626.0
2016-11-16,11.145,10.98,10.89,11.06,564.0,232328.0
2016-11-17,11.1499,10.97,10.75,10.96,161.0,43369.0
2016-11-18,11.04,10.77,10.56,10.94,324.0,151911.0
2016-11-21,11.4,11.22,10.59,10.89,1951.0,410028.0
2016-11-22,11.935,11.82,11.25,11.34,1281.0,279016.0
2016-11-23,12.498,12.3,11.53,11.82,1369.0,270246.0
2016-11-25,12.89,12.45,12.2805,12.55,392.0,88951.0
2016-11-28,12.61,12.39,12.07,12.42,599.0,97513.0
2016-11-29,12.54,12.18,11.99,12.33,672.0,190117.0
2016-11-30,14.35,13.67,12.5,13.3,5671.0,937678.0
2016-12-01,14.63,13.58,13.36,13.8,3114.0,635338.0
2016-12-02,14.11,13.46,13.26,13.57,1861.0,300155.0
2016-12-05,14.0,13.75,13.423,13.52,1997.0,283739.0
2016-12-06,14.1,13.84,13.75,13.75,1867.0,381397.0
2016-12-07,14.95,13.94,13.64,14.18,2239.0,362382.0
2016-12-08,14.62,13.74,13.599,14.18,1904.0,282744.0
2016-12-09,14.12,13.9,13.6,13.81,1689.0,424320.0
2016-12-12,14.65,13.9,12.65,14.25,3907.0,932114.0
2016-12-13,14.425,13.93,13.52,14.08,3552.0,725082.0
2016-12-14,13.99,13.5,13.31,13.85,1880.0,281886.0
2016-12-15,14.33,14.0,13.3,13.45,3124.0,427297.0
2016-12-16,15.14,14.63,14.0328,14.16,6722.0,2510941.0
2016-12-19,14.95,14.92,14.25,14.56,1959.0,248473.0
2016-12-20,15.48,15.4,15.0,15.02,3099.0,370940.0
2016-12-21,15.99,15.91,15.45,15.47,3528.0,581714.0
2016-12-22,16.17,15.54,15.31,15.99,2840.0,447595.0
2016-12-23,16.34,16.2,15.41,15.61,2772.0,423693.0
2016-12-27,17.0,16.29,16.145,16.28,3116.0,559655.0
2016-12-28,16.45,16.24,16.16,16.37,1226.0,314523.0
2016-12-29,16.34,16.32,15.71,16.21,1771.0,207936.0
2016-12-30,16.9659,16.55,16.3,16.33,1442.0,182184.0
2017-01-03,17.33,16.82,16.61,16.75,2362.0,304659.0
2017-01-04,17.51,17.5,16.205,17.01,1831.0,265272.0
2017-01-05,17.769,17.31,16.78,17.5,1031.0,227372.0
2017-01-06,18.1457,17.77,17.145,17.38,2764.0,586409.0
2017-01-09,19.1,18.23,17.8,17.93,3317.0,961197.0
2017-01-10,18.585,18.5,17.73,18.22,2453.0,382467.0
2017-01-11,19.275,19.05,18.39,18.56,2735.0,421900.0
2017-01-12,19.675,18.93,18.65,19.16,3512.0,486808.0
2017-01-13,19.07,18.15,17.9602,19.01,2601.0,417660.0
2017-01-17,17.99,17.43,16.5,17.89,3977.0,626697.0
2017-01-18,19.18,18.75,17.28,17.4,3557.0,417175.0
2017-01-19,19.84,19.09,18.38,19.74,4415.0,608283.0
2017-01-20,19.04,18.96,18.135,18.56,2911.0,409519.0
2017-01-23,18.75,18.43,18.1,18.75,2461.0,312274.0
2017-01-24,18.81,18.43,18.18,18.54,1634.0,286055.0
2017-01-25,18.82,17.99,17.94,18.42,2335.0,292359.0
2017-01-26,18.7,17.96,17.92,18.05,1590.0,239262.0
2017-01-27,18.46,17.71,17.44,18.01,1730.0,146320.0
2017-01-30,18.269,16.75,16.48,17.69,2548.0,449962.0
2017-01-31,17.5,17.4,16.41,16.69,2362.0,280942.0
2017-02-01,17.75,17.65,16.88,16.89,4329.0,593701.0
2017-02-02,18.315,17.56,17.42,18.2,26698.0,5381064.0
2017-02-03,17.8,17.51,17.25,17.48,5258.0,1232547.0
2017-02-06,17.56,17.25,16.99,17.52,3491.0,539739.0
2017-02-07,17.46,17.33,16.72,17.19,4593.0,661499.0
2017-02-08,17.66,17.51,16.95,17.24,4047.0,947147.0
2017-02-09,18.25,17.96,17.35,17.5,4241.0,844189.0
2017-02-10,18.49,17.8,17.44,18.08,4886.0,998484.0
2017-02-13,18.45,18.19,17.8,17.8,2213.0,350713.0
2017-02-14,19.21,19.14,18.01,18.27,2758.0,339770.0
2017-02-15,19.14,19.0,18.57,19.05,2524.0,307495.0
2017-02-16,19.14,18.86,18.6797,18.99,2444.0,334768.0
2017-02-17,19.41,18.84,18.75,18.84,1935.0,278909.0
2017-02-21,20.24,19.94,18.96,18.97,4877.0,900482.0
2017-02-22,21.33,21.0,20.0,20.16,4784.0,758383.0
2017-02-23,21.99,20.06,19.5,21.27,6830.0,1107681.0
2017-02-24,19.98,18.05,17.36,19.35,9625.0,1495893.0
2017-02-27,18.74,18.19,17.77,18.11,8792.0,1340768.0
2017-02-28,18.01,17.17,16.34,18.01,6982.0,973761.0
2017-03-01,18.27,18.19,17.11,17.39,7562.0,976030.0
2017-03-02,18.719,17.18,17.15,18.19,5166.0,631798.0
2017-03-03,17.54,17.0,16.47,17.28,6842.0,1048399.0
2017-03-06,17.23,16.72,16.31,16.86,5028.0,653236.0
2017-03-07,16.73,16.17,16.17,16.67,3677.0,801519.0
2017-03-08,16.17,15.01,14.83,16.17,5288.0,860975.0
2017-03-09,15.09,13.76,13.0,15.09,10598.0,1689973.0
2017-03-10,14.26,13.33,13.08,14.0,6003.0,778324.0
2017-03-13,13.48,13.3,12.95,13.39,3284.0,376002.0
2017-03-14,13.18,12.96,12.51,13.18,5429.0,759697.0
2017-03-15,13.74,13.63,12.74,13.21,4782.0,706792.0
2017-03-16,15.31,14.52,14.0,14.0,10092.0,1722053.0
2017-03-17,16.82,15.91,15.0,15.0,11635.0,2451104.0
2017-03-20,16.02,15.92,15.2783,15.77,4165.0,517675.0
2017-03-21,16.2,14.14,14.04,15.91,8404.0,1513722.0
2017-03-22,14.76,14.46,13.75,14.04,9283.0,1746954.0
2017-03-23,14.72,14.58,14.03,14.46,4160.0,529734.0
2017-03-24,15.66,15.03,14.6,14.67,6831.0,895687.0
2017-03-27,14.91,14.6,14.21,14.76,4872.0,582187.0
2017-03-28,15.64,15.32,14.43,14.61,3715.0,449524.0
2017-03-29,16.68,16.09,15.12,15.29,4796.0,557848.0
2017-03-30,16.813,16.01,15.9,16.18,3540.0,358331.0
2017-03-31,16.755,16.25,15.6645,15.91,2445.0,380849.0
2017-04-03,16.45,15.93,15.75,16.29,2606.0,318943.0
2017-04-04,16.43,15.79,15.59,15.92,3464.0,454664.0
2017-04-05,16.38,15.87,15.69,16.09,4734.0,634732.0
2017-04-06,16.322,16.0,15.79,15.98,3310.0,478655.0
2017-04-07,16.08,15.9,15.57,16.0,3552.0,382375.0
2017-04-10,16.67,16.16,15.89,15.95,3473.0,511102.0
2017-04-11,16.3156,16.06,15.675,16.13,3077.0,418486.0
2017-04-12,16.23,15.53,15.45,16.08,2459.0,393967.0
2017-04-13,15.51,14.18,14.16,15.51,4500.0,615124.0
2017-04-17,14.3188,13.7,13.41,14.28,3277.0,423357.0
2017-04-18,14.23,13.29,13.22,13.56,3286.0,491988.0
2017-04-19,13.95,12.9,12.76,13.52,6932.0,1035327.0
2017-04-20,13.32,12.89,12.87,13.02,2867.0,331956.0
2017-04-21,12.93,12.61,12.2,12.93,3845.0,522967.0
2017-04-24,13.09,12.67,12.5,13.06,2456.0,296911.0
2017-04-25,13.11,13.03,12.46,12.66,3013.0,480445.0
2017-04-26,13.44,13.16,12.94,12.94,2966.0,438436.0
2017-04-27,13.26,12.74,12.32,13.1,3214.0,461536.0
2017-04-28,12.92,12.18,12.16,12.92,4036.0,508446.0
2017-05-01,12.41,12.1,11.81,12.17,3677.0,491583.0
2017-05-02,12.32,11.96,11.73,12.15,2953.0,363921.0
2017-05-03,12.02,11.38,11.2,12.0,3853.0,450525.0
2017-05-04,11.32,11.0,10.23,11.32,7041.0,934310.0
2017-05-05,11.44,10.94,10.82,11.03,4471.0,530005.0
2017-05-08,11.26,11.18,10.93,10.96,2995.0,376032.0
2017-05-09,11.67,11.45,11.11,11.18,4168.0,530260.0
2017-05-10,12.55,12.2,11.51,11.57,6808.0,877179.0
2017-05-11,12.51,12.06,11.68,11.84,4912.0,675554.0
2017-05-12,12.23,12.19,11.84,12.06,2665.0,345273.0
2017-05-15,13.7,13.34,12.58,12.61,4800.0,825751.0
2017-05-16,13.5,13.33,12.93,13.36,2881.0,376800.0
2017-05-17,13.23,12.53,12.52,13.05,4685.0,687296.0
2017-05-18,12.68,12.52,12.0,12.42,4006.0,514151.0
