Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-05,27.89,27.52,27.41,27.53,,1657562.0
2007-09-06,27.82,27.75,27.28,27.525,,1832004.0
2007-09-07,27.915,27.585,27.27,27.625,,1588796.0
2007-09-10,27.8,27.405,27.385,27.475,,1015720.0
2007-09-11,27.8,27.645,27.505,27.54,,1332448.0
2007-09-12,27.825,27.75,27.61,27.75,,795030.0
2007-09-13,28.125,27.98,27.71,27.875,,3074322.0
2007-09-14,28.33,28.25,27.85,27.875,,2490108.0
2007-09-17,28.65,28.465,28.085,28.15,,1619464.0
2007-09-18,28.49,28.05,27.945,28.49,,1757746.0
2007-09-19,28.715,28.25,28.1,28.12,,1210536.0
2007-09-20,28.415,28.015,27.965,28.16,,1011832.0
2007-09-21,28.535,28.445,28.115,28.38,,3652882.0
2007-09-24,28.85,28.705,28.41,28.425,,2806084.0
2007-09-25,28.6,28.4,28.35,28.45,,1949240.0
2007-09-26,28.875,28.875,28.425,28.565,,1029630.0
2007-09-27,29.24,29.15,29.0,29.24,,1563090.0
2007-09-28,29.195,28.75,28.655,29.195,,1769046.0
2007-10-01,29.475,28.87,28.8,28.9,,2775936.0
2007-10-02,29.24,28.765,28.675,28.915,,1819292.0
2007-10-03,28.86,28.665,28.645,28.765,,1353366.0
2007-10-04,28.895,28.75,28.35,28.715,,1630718.0
2007-10-05,29.095,28.785,28.715,29.025,,506910.0
2007-10-09,28.935,28.65,28.51,28.86,,1586124.0
2007-10-10,28.8,28.575,28.415,28.795,,3224344.0
2007-10-11,28.89,28.615,28.53,28.665,,2186898.0
2007-10-12,28.84,28.69,28.425,28.525,,1317778.0
2007-10-15,28.705,28.57,28.5,28.58,,2345640.0
2007-10-16,28.61,28.405,28.34,28.47,,940458.0
2007-10-17,28.615,28.125,27.92,28.505,,1064794.0
2007-10-18,28.225,28.085,27.975,28.08,,1131932.0
2007-10-19,28.05,27.815,27.725,27.85,,1648214.0
2007-10-22,28.215,27.965,27.46,27.815,,1282100.0
2007-10-23,28.59,28.575,27.89,27.965,,2460354.0
2007-10-24,28.55,28.52,28.135,28.51,,1257612.0
2007-10-25,28.75,28.265,28.01,28.54,,2489568.0
2007-10-26,28.625,28.54,28.275,28.4,,1486956.0
2007-10-29,28.6,28.43,28.25,28.55,,1854944.0
2007-10-30,28.46,28.38,28.21,28.36,,878132.0
2007-10-31,28.77,28.725,28.355,28.595,,2456206.0
2007-11-01,28.71,28.3,28.13,28.51,,1128466.0
2007-11-02,28.4,27.455,27.075,28.305,,8283862.0
2007-11-05,27.37,26.745,26.075,27.25,,4544700.0
2007-11-06,26.99,26.89,26.675,26.99,,1763236.0
2007-11-07,26.9,26.5,26.5,26.9,,2068670.0
2007-11-08,26.605,26.35,25.905,26.5,,3348648.0
2007-11-09,26.395,26.3,26.08,26.145,,2254788.0
2007-11-12,26.825,26.015,26.015,26.26,,1970712.0
2007-11-13,26.25,25.64,25.5,26.2,,1860966.0
2007-11-14,25.825,25.395,25.355,25.705,,2884156.0
2007-11-15,25.655,25.25,25.0,25.325,,1792048.0
2007-11-16,25.455,25.115,25.085,25.255,,860538.0
2007-11-19,25.44,25.275,24.96,25.1,,1040378.0
2007-11-20,25.56,24.875,24.825,25.28,,2403796.0
2007-11-21,24.8,24.67,24.315,24.8,,1951000.0
2007-11-22,24.62,24.32,24.06,24.5,,864120.0
2007-11-23,24.375,24.2,23.93,24.105,,2346038.0
2007-11-26,24.22,23.635,23.525,24.2,,2478540.0
2007-11-27,23.8,23.755,23.5,23.5,,1943702.0
2007-11-28,24.485,24.455,23.775,23.94,,1760362.0
2007-11-29,23.875,23.31,23.04,23.875,,6449094.0
2007-11-30,23.62,23.41,23.02,23.45,,6348976.0
2007-12-03,23.66,22.87,22.79,23.435,,1969454.0
2007-12-04,22.94,22.825,22.5,22.74,,1778116.0
2007-12-05,23.295,23.04,22.86,22.86,,2864904.0
2007-12-06,23.545,23.47,22.955,23.24,,2223252.0
2007-12-07,23.45,23.145,23.08,23.25,,2345698.0
2007-12-10,23.19,23.05,22.915,23.15,,2378806.0
2007-12-11,23.05,22.67,22.51,22.925,,3113124.0
2007-12-12,22.745,22.08,21.775,22.555,,5283780.0
2007-12-13,22.2,21.955,20.985,21.75,,4503500.0
2007-12-14,22.5,22.45,21.75,21.75,,2056168.0
2007-12-17,22.925,22.485,22.285,22.285,,2317674.0
2007-12-18,23.2,23.14,22.39,22.6,,4329856.0
2007-12-19,23.9,23.75,23.155,23.155,,5496570.0
2007-12-20,24.115,23.75,23.56,23.755,,3879716.0
2007-12-21,24.565,24.25,23.45,23.45,,4631570.0
2007-12-24,24.54,24.49,24.125,24.275,,557724.0
2007-12-27,24.815,24.56,24.455,24.74,,1004486.0
2007-12-28,24.84,24.77,24.53,24.55,,677372.0
2007-12-31,24.82,24.72,24.685,24.695,,253872.0
2008-01-02,24.95,24.925,24.66,24.82,,1119392.0
2008-01-03,24.88,24.445,24.375,24.775,,2604568.0
2008-01-04,24.39,24.225,24.075,24.075,,3163766.0
2008-01-07,24.475,23.63,23.525,24.145,,2706840.0
2008-01-08,24.21,23.54,23.5,23.795,,1800516.0
2008-01-09,23.51,23.125,22.715,23.39,,2246358.0
2008-01-10,24.035,23.79,23.0,23.005,,1528520.0
2008-01-11,23.635,23.32,23.215,23.53,,1169920.0
2008-01-14,23.32,23.18,23.045,23.11,,823848.0
2008-01-15,23.0,22.55,22.44,22.935,,2802900.0
2008-01-16,22.735,21.995,21.91,22.475,,3251958.0
2008-01-17,22.135,21.72,21.51,21.995,,3808126.0
2008-01-18,22.115,21.575,21.255,21.765,,1427846.0
2008-01-21,21.3,20.71,20.525,21.245,,1542120.0
2008-01-22,21.28,21.185,20.675,20.675,,2938634.0
2008-01-23,21.715,21.405,20.73,20.79,,1869098.0
2008-01-24,22.25,22.2,21.68,21.87,,5854498.0
2008-01-25,22.61,21.98,21.935,22.58,,3535440.0
2008-01-28,21.98,21.76,21.595,21.98,,1802496.0
2008-01-29,21.825,21.63,21.61,21.68,,1447600.0
2008-01-30,21.875,21.46,21.415,21.63,,2573132.0
2008-01-31,21.98,21.82,21.015,21.255,,1799484.0
2008-02-01,22.12,21.95,21.65,21.93,,2092560.0
2008-02-04,22.205,21.625,21.625,22.205,,1258834.0
2008-02-05,21.795,21.35,21.045,21.695,,1368592.0
2008-02-06,21.56,21.11,20.8,21.56,,1857654.0
2008-02-07,21.28,20.95,20.78,20.96,,761050.0
2008-02-08,21.45,21.035,20.89,20.89,,1011986.0
2008-02-11,21.155,20.835,20.835,21.15,,729086.0
2008-02-12,21.09,20.87,20.78,20.83,,1093738.0
2008-02-13,21.245,21.18,20.89,20.89,,1402712.0
2008-02-14,21.59,20.99,20.955,21.59,,1213952.0
2008-02-15,21.29,20.775,20.755,21.025,,1191590.0
2008-02-19,21.385,21.355,20.865,20.915,,2006266.0
2008-02-20,21.44,21.37,21.275,21.3,,1750876.0
2008-02-21,21.82,21.8,21.39,21.5,,1594288.0
2008-02-22,22.555,22.44,21.73,21.91,,1561068.0
2008-02-25,23.135,23.01,22.44,22.44,,1602738.0
2008-02-26,23.715,23.555,22.985,23.075,,2395224.0
2008-02-27,23.555,23.4,23.125,23.41,,3315858.0
2008-02-28,23.66,23.44,23.39,23.425,,3183748.0
2008-02-29,23.49,22.46,22.36,23.4,,1921330.0
2008-03-03,22.85,22.58,22.45,22.45,,1066230.0
2008-03-04,22.5,22.185,22.11,22.5,,997230.0
2008-03-05,22.5,22.175,22.14,22.365,,2865156.0
2008-03-06,22.8,21.93,21.93,22.27,,4221336.0
2008-03-07,22.105,22.0,21.605,21.705,,1480950.0
2008-03-10,22.03,21.55,21.27,22.03,,1906782.0
2008-03-11,21.85,21.325,21.015,21.67,,3640570.0
2008-03-12,21.8,21.28,21.18,21.475,,1805524.0
2008-03-13,21.945,21.615,20.9,21.27,,2208646.0
2008-03-14,22.01,21.805,21.385,21.53,,2257970.0
2008-03-17,21.79,21.405,21.225,21.25,,1687186.0
2008-03-18,21.71,21.71,21.25,21.25,,2072266.0
2008-03-19,21.72,21.03,20.95,21.72,,1887326.0
2008-03-20,21.6,21.195,20.775,21.03,,4901942.0
2008-03-24,22.205,21.95,20.96,21.195,,2040582.0
2008-03-25,22.4,22.045,21.515,21.95,,1560092.0
2008-03-26,22.065,21.685,21.585,21.975,,1497074.0
2008-03-27,22.71,21.86,21.635,21.7,,1730198.0
2008-03-28,22.24,21.81,21.79,22.0,,2337972.0
2008-03-31,22.375,22.35,21.5,21.5,,2223480.0
2008-04-01,23.44,23.275,21.83,22.55,,3963834.0
2008-04-02,23.74,23.3,22.8,23.495,,1886390.0
2008-04-03,23.585,23.51,23.25,23.34,,992298.0
2008-04-04,23.625,23.43,23.245,23.495,,1080410.0
2008-04-07,23.445,23.205,23.06,23.43,,974816.0
2008-04-08,23.225,22.84,22.8,23.125,,1585628.0
2008-04-09,22.945,22.735,22.635,22.775,,981852.0
2008-04-10,23.32,23.28,22.765,22.765,,876062.0
2008-04-11,23.625,22.86,22.595,23.125,,1801724.0
2008-04-14,22.965,22.73,22.56,22.775,,754160.0
2008-04-15,22.785,22.7,22.355,22.55,,1477354.0
2008-04-16,22.865,22.525,22.375,22.63,,1085356.0
2008-04-17,23.05,22.85,22.48,22.5,,1432330.0
2008-04-18,23.45,23.2,23.0,23.09,,2518066.0
2008-04-21,23.375,23.005,22.9,23.205,,1541182.0
2008-04-22,23.31,23.005,22.9,23.0,,1110342.0
2008-04-23,23.155,22.77,22.655,22.905,,927204.0
2008-04-24,23.3,23.09,22.655,22.775,,1331928.0
2008-04-25,23.35,22.995,22.88,23.125,,611416.0
2008-04-28,23.47,23.18,23.11,23.125,,923210.0
2008-04-29,23.635,23.165,23.12,23.205,,1151316.0
2008-04-30,23.525,23.16,23.125,23.16,,1242528.0
2008-05-01,23.71,23.625,23.125,23.16,,1638880.0
2008-05-02,23.88,23.6,23.34,23.75,,1550758.0
2008-05-05,23.6,23.0,22.9,23.6,,1719122.0
2008-05-06,23.11,22.875,22.755,23.0,,642988.0
2008-05-07,23.07,22.8,22.65,22.875,,1413166.0
2008-05-08,23.73,23.7,22.665,22.67,,1555420.0
2008-05-09,23.875,23.0,22.985,23.465,,1814516.0
2008-05-12,23.28,23.055,22.855,23.0,,1127698.0
2008-05-13,23.175,23.06,22.9,22.93,,1472100.0
2008-05-14,23.495,23.35,23.105,23.17,,1304320.0
2008-05-15,23.82,23.8,23.3,23.35,,983248.0
2008-05-16,24.16,23.865,23.775,23.875,,1687972.0
2008-05-20,24.015,23.835,23.5,23.5,,1517286.0
2008-05-21,24.435,23.96,23.68,23.73,,1972444.0
2008-05-22,24.055,23.84,23.615,23.975,,2028546.0
2008-05-23,24.24,24.12,23.575,23.735,,1579788.0
2008-05-26,24.38,24.215,23.9,24.12,,597258.0
2008-05-27,24.18,23.81,23.485,24.055,,3380938.0
2008-05-28,24.19,23.91,23.75,23.8,,801658.0
2008-05-29,24.2,24.105,23.915,23.95,,1148044.0
2008-05-30,24.285,23.9,23.775,24.225,,1197504.0
2008-06-02,23.865,23.75,23.5,23.755,,1162758.0
2008-06-03,23.89,23.6,23.565,23.565,,622370.0
2008-06-04,23.645,23.375,23.375,23.615,,881054.0
2008-06-05,23.58,23.22,23.13,23.5,,1021408.0
2008-06-06,23.11,23.0,22.935,23.065,,1468450.0
2008-06-09,23.09,22.875,22.595,23.0,,861136.0
2008-06-10,22.89,22.75,22.505,22.68,,1091804.0
2008-06-11,22.75,22.3,22.135,22.75,,1156750.0
2008-06-12,22.36,22.25,22.065,22.3,,846252.0
2008-06-13,22.535,22.3,22.07,22.075,,858978.0
2008-06-16,22.625,22.39,22.115,22.375,,1589268.0
2008-06-17,22.87,22.66,22.335,22.335,,1280450.0
2008-06-18,23.02,22.625,22.46,22.575,,2158826.0
2008-06-19,22.94,22.875,22.38,22.535,,1201376.0
2008-06-20,23.025,22.855,22.76,22.785,,6003650.0
2008-06-23,22.78,22.665,22.5,22.78,,2068646.0
2008-06-24,22.56,21.75,21.73,22.405,,2561484.0
2008-06-25,21.965,21.61,21.54,21.96,,1644024.0
2008-06-26,21.61,21.175,21.105,21.61,,1196178.0
2008-06-27,21.44,21.14,21.085,21.18,,1051198.0
2008-06-30,21.505,21.435,21.05,21.29,,1256446.0
2008-07-02,21.875,21.035,21.0,21.875,,2006656.0
2008-07-03,21.62,20.84,20.64,20.905,,1160678.0
2008-07-04,21.535,21.205,20.74,20.875,,1121006.0
2008-07-07,21.25,20.45,20.345,21.25,,1770234.0
2008-07-08,20.825,20.81,20.45,20.45,,1501364.0
2008-07-09,21.055,20.85,20.655,20.81,,1164264.0
2008-07-10,20.995,20.63,20.51,20.94,,1486756.0
2008-07-11,20.625,20.15,19.715,20.625,,936288.0
2008-07-14,20.43,19.505,19.21,20.25,,1009206.0
2008-07-15,19.46,18.935,18.815,19.285,,2045922.0
2008-07-16,19.775,19.325,18.9,18.935,,2831344.0
2008-07-17,20.59,20.4,19.6,19.6,,2659142.0
