Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-07-01,31.9,28.5,27.82,29.9,50387.0,10513518.0
2015-07-02,29.25,28.0,26.16,28.09,7276.0,1199150.0
2015-07-06,27.805,26.69,26.0138,26.11,2311.0,512787.0
2015-07-07,27.85,27.01,25.655,26.93,3066.0,700672.0
2015-07-08,27.25,26.25,26.0,26.8,2303.0,403894.0
2015-07-09,27.08,26.66,26.5,26.61,1824.0,334029.0
2015-07-10,31.0,29.28,26.7,27.1,5637.0,1234590.0
2015-07-13,32.45,30.96,29.69,30.06,3680.0,680778.0
2015-07-14,32.499,31.96,30.97,31.33,2957.0,512637.0
2015-07-15,32.2,30.69,30.4425,32.0,1984.0,302964.0
2015-07-16,31.42,30.95,30.2,31.06,1319.0,368193.0
2015-07-17,31.68,30.6,30.49,31.21,1175.0,200049.0
2015-07-20,31.0,29.89,29.88,30.63,1281.0,218823.0
2015-07-21,30.7,30.5,29.57,29.57,1125.0,285967.0
2015-07-22,31.09,31.09,30.13,30.2,1139.0,404229.0
2015-07-23,31.0,30.54,30.27,30.8,1824.0,373896.0
2015-07-24,32.24,32.15,30.4,30.72,1935.0,529338.0
2015-07-27,32.9,31.31,30.5,32.64,2216.0,385491.0
2015-07-28,31.17,30.83,29.7501,31.15,1692.0,251617.0
2015-07-29,31.7,31.57,30.51,30.6,960.0,165943.0
2015-07-30,31.7,30.91,30.65,31.37,1703.0,287384.0
2015-07-31,31.79,31.57,30.91,31.06,833.0,143296.0
2015-08-03,34.0,33.2,31.51,31.74,2798.0,458495.0
2015-08-04,35.32,34.82,33.051,33.15,1906.0,263818.0
2015-08-05,35.42,33.06,32.51,35.2,2411.0,318512.0
2015-08-06,33.6,32.07,30.08,33.6,3283.0,554289.0
2015-08-07,32.295,30.83,30.7719,32.0,1207.0,209197.0
2015-08-10,30.89,30.47,30.0,30.85,1579.0,209649.0
2015-08-11,30.6,28.76,28.25,30.1,2934.0,436197.0
2015-08-12,29.38,28.51,28.17,28.81,2026.0,253694.0
2015-08-13,31.0,29.79,28.25,28.25,4657.0,688852.0
2015-08-14,30.9699,28.52,27.87,30.1,3844.0,523936.0
2015-08-17,29.5,29.23,27.15,28.14,3701.0,472954.0
2015-08-18,29.24,28.3,28.09,29.2,2550.0,378136.0
2015-08-19,28.34,26.85,26.19,28.17,5058.0,772482.0
2015-08-20,27.31,26.5,24.56,26.4,4334.0,563851.0
2015-08-21,26.76,25.64,24.67,26.76,4262.0,662302.0
2015-08-24,25.03,23.88,21.811,23.94,5231.0,961445.0
2015-08-25,25.04,23.2,22.5,24.11,4930.0,1178103.0
2015-08-26,25.63,25.28,22.75,24.72,6044.0,1479894.0
2015-08-27,28.5,26.13,25.74,27.66,7238.0,1597702.0
2015-08-28,27.79,27.72,25.91,26.28,3938.0,663423.0
2015-08-31,28.05,25.74,25.72,28.05,3584.0,564047.0
2015-09-01,25.3,22.85,22.69,25.15,10232.0,1686733.0
2015-09-02,23.02,22.15,20.26,22.96,20002.0,3360770.0
2015-09-03,23.4,22.41,21.56,22.35,17959.0,2480347.0
2015-09-04,22.24,20.82,20.08,21.63,11781.0,1714216.0
2015-09-08,22.0,20.53,20.25,22.0,7193.0,1089137.0
2015-09-09,22.9099,22.56,20.634,20.78,6293.0,1114816.0
2015-09-10,23.385,22.98,21.1,22.07,3964.0,614476.0
2015-09-11,23.77,23.5,21.6,23.28,3301.0,593969.0
2015-09-14,24.75,23.07,22.5,24.23,4609.0,665874.0
2015-09-15,23.94,22.99,22.535,23.56,3551.0,524131.0
2015-09-16,22.92,22.06,21.7201,22.69,5219.0,670661.0
2015-09-17,23.0,22.15,21.77,22.29,2145.0,324627.0
2015-09-18,22.29,21.96,21.1,21.82,3304.0,912126.0
2015-09-21,23.19,22.24,22.148,22.3,2914.0,494858.0
2015-09-22,24.5,24.5,21.73,22.05,2973.0,497862.0
2015-09-23,24.55,24.46,22.29,23.47,3643.0,701781.0
2015-09-24,24.69,24.33,23.84,24.38,2177.0,310818.0
2015-09-25,24.5,22.35,21.89,24.21,6366.0,852217.0
2015-09-28,22.39,20.63,19.45,22.32,4842.0,711302.0
2015-09-29,23.25,21.0,20.55,21.13,5477.0,938773.0
2015-09-30,22.81,22.29,21.03,21.41,12677.0,3006421.0
2015-10-01,23.0,22.81,22.105,22.84,5947.0,914224.0
2015-10-02,22.24,18.24,17.37,22.09,17272.0,3063401.0
2015-10-05,18.65,17.49,15.63,18.64,12735.0,2135294.0
2015-10-06,17.49,16.64,16.12,17.49,10980.0,1390409.0
2015-10-07,16.91,16.23,15.62,16.77,3807.0,578311.0
2015-10-08,16.85,16.8,15.95,16.05,2387.0,367929.0
2015-10-09,17.415,17.25,16.48,16.57,3201.0,557397.0
2015-10-12,18.37,18.03,16.85,16.91,3049.0,468363.0
2015-10-13,18.2995,18.0,17.51,17.59,2071.0,284534.0
2015-10-14,18.55,18.08,17.92,17.92,2035.0,309090.0
2015-10-15,18.46,18.12,17.65,17.65,1425.0,218283.0
2015-10-16,18.3,18.0,17.99,18.25,1006.0,162396.0
2015-10-19,18.365,18.21,17.9,17.9,1857.0,229186.0
2015-10-20,18.98,17.84,17.51,18.12,2344.0,396294.0
2015-10-21,18.85,18.59,17.8,18.11,2011.0,331195.0
2015-10-22,18.72,17.27,16.62,18.68,3112.0,563806.0
2015-10-23,18.45,18.2,17.09,17.09,958.0,161280.0
2015-10-26,18.75,18.42,18.0,18.31,962.0,180637.0
2015-10-27,18.98,18.94,18.034,18.18,724.0,209598.0
2015-10-28,20.37,20.07,18.84,18.97,1782.0,272659.0
2015-10-29,20.53,19.67,19.54,19.9,765.0,192400.0
2015-10-30,19.9,19.67,18.7,19.49,1481.0,240005.0
2015-11-02,19.85,19.59,19.3,19.77,2532.0,317515.0
2015-11-03,20.58,17.59,17.3701,19.88,6123.0,1913952.0
2015-11-04,17.898,17.19,17.08,17.64,1607.0,440690.0
2015-11-05,17.45,16.0,15.65,17.45,2554.0,470080.0
2015-11-06,15.992,15.61,15.32,15.93,1587.0,295118.0
2015-11-09,16.9,16.2,15.43,15.81,3417.0,410511.0
2015-11-10,16.41,15.84,15.77,16.33,1350.0,189290.0
2015-11-11,16.34,16.25,15.64,16.0,789.0,166265.0
2015-11-12,17.88,17.36,16.4501,17.21,1445.0,222049.0
2015-11-13,17.72,17.58,17.1684,17.25,928.0,115542.0
2015-11-16,18.25,18.23,17.5,17.5,749.0,126671.0
2015-11-17,19.4,19.36,18.13,18.13,1891.0,213202.0
2015-11-18,20.53,19.25,19.1,19.5,1672.0,244522.0
2015-11-19,19.0,18.46,18.1,18.85,795.0,116877.0
2015-11-20,19.4599,19.0,18.53,18.7,588.0,112984.0
2015-11-23,19.32,19.28,18.62,18.95,894.0,102580.0
2015-11-24,19.92,19.82,19.335,19.55,1126.0,136768.0
2015-11-25,20.19,19.25,19.17,19.82,805.0,105001.0
2015-11-27,19.834,19.52,19.0,19.32,345.0,47974.0
2015-11-30,21.25,21.25,19.51,19.7,1035.0,203393.0
