Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,63.78,63.07,62.8,63.72,,223891.0
2007-09-20,63.86,62.82,62.71,62.88,,180845.0
2007-09-21,63.64,63.21,62.81,63.36,,228845.0
2007-09-24,63.81,63.16,62.96,63.25,,126463.0
2007-09-25,64.1,63.56,62.91,63.0,,96178.0
2007-09-26,64.32,63.43,63.17,63.91,,108492.0
2007-09-27,63.78,63.27,62.31,63.78,,149694.0
2007-09-28,63.63,63.08,62.67,63.19,,111044.0
2007-10-01,63.83,63.3,62.43,63.26,,158079.0
2007-10-02,63.78,63.29,62.95,63.35,,124681.0
2007-10-03,64.14,64.03,62.21,63.07,,131320.0
2007-10-04,64.64,63.84,63.48,64.14,,177896.0
2007-10-05,64.57,64.57,63.71,64.31,,255466.0
2007-10-08,72.0,64.8,64.22,64.22,,213459.0
2007-10-09,67.34,67.02,64.89,64.89,,205949.0
2007-10-10,67.47,66.28,66.08,66.91,,211032.0
2007-10-11,67.75,66.19,65.87,66.54,,158405.0
2007-10-12,67.07,66.18,65.87,66.38,,118555.0
2007-10-15,67.61,66.09,65.68,66.33,,112914.0
2007-10-16,66.53,65.24,65.09,66.23,,97298.0
2007-10-17,65.61,65.1,64.64,65.61,,94540.0
2007-10-18,65.97,65.36,64.61,64.98,,95743.0
2007-10-19,65.42,64.74,64.52,65.33,,103058.0
2007-10-22,64.56,64.13,63.11,64.26,,83605.0
2007-10-23,64.84,64.66,63.8,64.36,,97879.0
2007-10-24,65.72,65.66,63.62,64.84,,111863.0
2007-10-25,66.92,66.59,65.39,65.82,,209109.0
2007-10-26,67.0,66.7,66.41,66.6,,111276.0
2007-10-29,67.3,66.15,65.76,67.1,,200478.0
2007-10-30,66.24,65.17,65.17,65.7,,121483.0
2007-10-31,65.63,65.24,64.0,65.33,,269070.0
2007-11-01,65.07,64.62,64.22,64.6,,155702.0
2007-11-02,64.77,64.39,63.65,64.77,,99607.0
2007-11-05,64.74,64.43,63.9,64.17,,177329.0
2007-11-06,64.93,64.33,63.27,64.39,,122543.0
2007-11-07,64.37,61.66,61.37,63.6,,206085.0
2007-11-08,63.33,63.14,61.47,62.01,,350860.0
2007-11-09,64.17,61.8,61.72,62.42,,191311.0
2007-11-12,62.59,61.68,61.63,61.63,,178552.0
2007-11-13,63.34,62.47,61.54,61.98,,174154.0
2007-11-14,63.7,62.98,62.0,63.28,,211011.0
2007-11-15,64.43,64.31,62.3385,63.0,,290454.0
2007-11-16,65.61,65.47,64.08,64.81,,294709.0
2007-11-19,65.46,64.19,64.19,64.99,,149435.0
2007-11-20,64.54,63.88,63.21,64.31,,129956.0
2007-11-21,64.0,63.39,63.25,63.58,,188350.0
2007-11-23,64.09,63.47,63.1,63.93,,51300.0
2007-11-26,63.66,62.75,62.47,63.57,,156893.0
2007-11-27,63.24,62.86,62.63,62.67,,156791.0
2007-11-28,63.5,63.23,62.02,63.21,,263819.0
2007-11-29,63.77,63.51,62.36,63.09,,129468.0
2007-11-30,65.26,65.15,63.008,63.9,,265975.0
2007-12-03,65.67,64.9,64.64,64.64,,226010.0
2007-12-04,68.44,68.38,64.12,64.47,,458881.0
2007-12-05,69.22,68.9,68.2,68.48,,251212.0
