Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2006-03-23,45.0,42.0,40.0,40.50000000000001,,645.0
2006-03-24,43.0,41.49999999999999,40.50000000000001,40.50000000000001,,205.0
2006-03-27,41.49999999999999,40.0,39.0,41.49999999999999,,905.0
2006-03-28,39.0,37.5,36.0,39.0,,3485.0
2006-03-29,40.0,40.0,36.5,37.0,,3960.0
2006-03-30,41.0,39.5,39.0,39.0,,715.0
2006-03-31,40.50000000000001,40.50000000000001,40.0,40.0,,180.0
2006-04-03,42.0,42.0,39.0,39.0,,630.0
2006-04-04,45.0,44.0,41.0,42.0,,1040.0
2006-04-05,46.99999999999999,46.99999999999999,45.0,45.0,,1460.0
2006-04-06,48.0,48.0,45.5,45.5,,260.0
2006-04-07,48.0,46.00000000000001,45.0,48.0,,766.5
2006-04-10,46.99999999999999,45.0,45.0,46.00000000000001,,138.0
2006-04-11,48.0,43.5,43.5,43.5,,347.0
2006-04-12,48.0,46.99999999999999,44.0,46.99999999999999,,330.65
2006-04-13,46.00000000000001,46.00000000000001,43.0,46.00000000000001,,476.0
2006-04-17,45.0,42.0,42.0,42.0,,343.74
2006-04-18,44.0,43.0,43.0,43.5,,227.7
2006-04-19,45.0,45.0,40.0,45.0,,1640.0
2006-04-20,43.0,42.0,41.49999999999999,43.0,,939.0
2006-04-21,43.0,41.49999999999999,41.49999999999999,41.49999999999999,,200.0
2006-04-24,43.0,43.0,42.5,42.5,,410.0
2006-04-25,43.0,43.0,42.0,42.0,,265.5
2006-04-26,43.5,43.5,40.0,42.0,,3972.04
2006-04-27,43.0,42.0,41.49999999999999,41.49999999999999,,450.0
2006-04-28,45.0,42.5,42.5,43.0,,1085.0
2006-05-01,46.00000000000001,44.0,42.0,46.00000000000001,,322.0
2006-05-02,45.0,40.50000000000001,40.50000000000001,45.0,,490.0
2006-05-03,42.0,40.50000000000001,40.50000000000001,41.0,,410.0
2006-05-04,41.0,41.0,40.0,41.0,,936.8799999999999
2006-05-05,41.0,40.0,40.0,41.0,,320.0
2006-05-08,41.0,41.0,40.50000000000001,40.50000000000001,,130.0
2006-05-09,45.5,45.0,42.0,42.0,,485.5
2006-05-10,44.5,44.5,40.0,43.0,,455.0
2006-05-11,44.5,44.5,42.0,42.0,,450.0
2006-05-12,44.5,44.5,42.0,44.5,,295.0
2006-05-15,41.0,40.0,40.0,41.0,,295.0
2006-05-16,40.0,40.0,40.0,40.0,,590.0
2006-05-17,40.0,38.0,37.0,40.0,,1297.0
2006-05-18,38.0,38.0,36.0,37.0,,370.0
2006-05-19,38.0,37.0,37.0,37.0,,303.0
2006-05-24,40.0,40.0,35.0,37.0,,400.7
2006-05-25,37.5,37.5,35.0,36.0,,120.0
2006-05-26,38.0,37.0,35.0,38.0,,82.0
2006-05-29,40.0,37.0,37.0,40.0,,73.0
2006-05-30,36.0,36.0,35.0,35.0,,150.0
2006-06-01,36.0,36.0,36.0,36.0,,10.0
2006-06-02,37.5,34.0,34.0,37.5,,105.0
2006-06-06,34.5,34.5,33.5,33.5,,199.0
2006-06-07,34.5,34.5,34.5,34.5,,60.0
2006-06-08,34.5,34.5,32.5,33.5,,515.0
2006-06-09,35.0,33.0,32.0,35.0,,327.5
2006-06-12,35.0,34.0,33.0,33.0,,150.0
2006-06-13,34.0,31.0,30.0,33.0,,345.0
2006-06-14,34.0,32.0,31.0,31.0,,65.0
2006-06-15,37.0,35.0,35.0,36.0,,309.0
2006-06-16,41.0,35.0,35.0,39.5,,1387.0
2006-06-19,36.0,35.5,35.5,36.0,,60.0
2006-06-20,36.0,36.0,36.0,36.0,,102.0
2006-06-21,33.5,33.5,33.5,33.5,,10.0
2006-06-22,36.0,36.0,36.0,36.0,,20.0
2006-06-23,38.0,35.0,32.5,33.0,,400.0
2006-06-26,38.5,38.5,38.5,38.5,,215.0
2006-06-27,37.5,32.0,32.0,37.5,,595.0
2006-06-28,34.0,34.0,33.0,33.0,,80.0
2006-06-29,35.5,35.5,35.5,35.5,,45.0
2006-06-30,38.0,38.0,36.0,36.0,,165.0
2006-07-04,41.0,40.0,37.5,39.0,,877.5
2006-07-05,40.50000000000001,38.0,38.0,40.50000000000001,,565.0
2006-07-06,40.0,40.0,37.0,38.0,,222.5
2006-07-07,40.0,40.0,40.0,40.0,,30.0
2006-07-10,36.0,35.0,35.0,36.0,,60.0
2006-07-11,43.0,40.0,37.5,43.0,,1914.5
2006-07-12,44.5,44.0,41.0,43.0,,4153.25
2006-07-13,45.0,44.5,43.5,44.0,,4959.0
2006-07-14,46.00000000000001,45.0,45.0,45.0,,2384.0
2006-07-17,46.00000000000001,46.00000000000001,44.5,45.0,,892.0
2006-07-18,45.0,42.5,42.5,43.0,,873.61
2006-07-19,45.0,42.5,42.5,45.0,,650.0
2006-07-20,45.0,45.0,43.0,43.5,,2032.33
2006-07-21,44.5,44.5,43.0,43.5,,255.0
2006-07-24,44.5,43.0,43.0,44.5,,130.0
2006-07-25,44.5,41.49999999999999,41.49999999999999,44.5,,268.0
2006-07-26,46.00000000000001,44.0,44.0,44.0,,1559.0
2006-07-27,48.0,48.0,45.0,45.5,,3141.0
2006-07-28,52.0,49.0,46.00000000000001,48.5,,1093.15
2006-07-31,50.0,49.5,47.5,49.0,,760.37
2006-08-01,49.0,49.0,45.0,46.99999999999999,,728.0
2006-08-02,50.0,49.5,44.0,49.0,,2383.2400000000002
2006-08-03,50.0,46.99999999999999,46.99999999999999,50.0,,466.5
2006-08-04,46.99999999999999,46.00000000000001,46.00000000000001,46.99999999999999,,1324.0
2006-08-08,47.5,45.5,45.5,45.5,,673.5
2006-08-09,48.0,46.99999999999999,46.5,46.99999999999999,,1149.0
2006-08-10,48.0,46.99999999999999,46.99999999999999,47.5,,1150.06
2006-08-11,49.0,46.99999999999999,46.5,49.0,,736.5
2006-08-14,49.0,48.0,48.0,48.0,,1555.0
2006-08-15,48.0,48.0,48.0,48.0,,210.2
2006-08-16,48.0,47.5,46.99999999999999,48.0,,1120.0
2006-08-17,49.0,49.0,48.0,48.0,,360.0
2006-08-18,55.0,55.0,49.5,49.5,,5078.5
2006-08-21,61.0,58.99999999999999,56.99999999999999,58.0,,3402.75
2006-08-22,64.0,61.0,60.0,63.0,,3110.0
2006-08-23,64.0,62.0,60.0,63.0,,2788.19
2006-08-24,67.0,67.0,61.0,63.0,,3194.0
2006-08-25,68.0,66.0,64.0,66.0,,648.5
2006-08-28,69.0,68.0,66.0,66.0,,1393.1
2006-08-29,72.0,64.0,63.0,69.0,,3141.5
2006-08-30,65.0,60.0,60.0,65.0,,512.2
2006-08-31,64.0,61.0,60.0,64.0,,1132.0
2006-09-01,66.0,65.0,62.0,64.0,,1170.0
2006-09-05,68.0,65.0,63.0,68.0,,922.0
