Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2000-01-04,0.13,0.12,0.12,0.13,,32000.0
2000-01-05,0.13,0.13,0.12,0.12,,62000.0
2000-01-10,0.14,0.14,0.14,0.14,,10500.0
2000-01-11,0.13,0.12,0.12,0.13,,26000.0
2000-01-13,0.12,0.12,0.12,0.12,,500.0
2000-01-17,0.15,0.15,0.13,0.13,,5000.0
2000-01-19,,,,,,100.0
2000-01-20,0.15,0.15,0.15,0.15,,23000.0
2000-01-21,0.15,0.15,0.15,0.15,,8500.0
2000-01-24,0.21,0.21,0.14,0.14,,71334.0
2000-01-25,0.25,0.23,0.23,0.23,,44500.0
2000-01-26,0.23,0.23,0.23,0.23,,5000.0
2000-01-27,0.23,0.22,0.22,0.23,,10000.0
2000-01-31,0.25,0.25,0.22,0.25,,46510.0
2000-02-02,0.25,0.25,0.25,0.25,,10000.0
2000-02-04,0.23,0.23,0.23,0.23,,10000.0
2000-02-09,0.25,0.25,0.25,0.25,,5000.0
2000-02-10,0.27,0.27,0.25,0.25,,31500.0
2000-02-11,0.35,0.35,0.22,0.22,,20000.0
2000-02-14,0.35,0.3,0.3,0.35,,47200.0
2000-02-15,0.3,0.3,0.3,0.3,,25145.0
2000-02-16,0.32,0.32,0.3,0.3,,15000.0
2000-02-17,0.34,0.32,0.32,0.32,,14500.0
2000-02-18,0.25,0.25,0.25,0.25,,18000.0
2000-02-21,0.31,0.31,0.31,0.31,,10000.0
2000-02-22,0.32,0.32,0.32,0.32,,5270.0
2000-02-23,0.33,0.33,0.3,0.3,,20585.0
2000-02-24,0.33,0.32,0.31,0.33,,15500.0
2000-02-25,0.33,0.3,0.3,0.33,,14500.0
2000-02-28,0.32,0.32,0.25,0.25,,12090.0
2000-03-01,,,,,,270.0
2000-03-03,0.35,0.33,0.33,0.33,,23789.0
2000-03-06,0.4,0.4,0.35,0.35,,13500.0
2000-03-07,0.35,0.33,0.33,0.35,,24000.0
2000-03-08,0.24,0.24,0.24,0.24,,3500.0
2000-03-17,0.3,0.3,0.3,0.3,,5000.0
2000-03-27,,,,,,300.0
2000-03-28,0.25,0.25,0.25,0.25,,9000.0
2000-04-03,0.3,0.28,0.28,0.3,,19073.0
2000-04-05,0.3,0.3,0.3,0.3,,5000.0
2000-04-06,0.3,0.3,0.3,0.3,,15500.0
2000-04-13,0.26,0.26,0.26,0.26,,2500.0
2000-04-18,,,,,,73.0
2000-04-19,,,,,,200.0
2000-04-24,0.25,0.25,0.25,0.25,,10000.0
2000-04-28,0.25,0.2,0.2,0.25,,38000.0
2000-05-01,0.3,0.3,0.21,0.21,,3500.0
2000-05-08,0.25,0.25,0.25,0.25,,60000.0
2000-05-09,0.27,0.27,0.27,0.27,,3000.0
2000-05-10,0.26,0.22,0.22,0.26,,65900.0
2000-05-11,0.2,0.2,0.2,0.2,,5500.0
2000-05-12,0.2,0.2,0.2,0.2,,4500.0
2000-05-15,0.25,0.25,0.25,0.25,,4000.0
2000-05-17,0.17,0.17,0.17,0.17,,11500.0
2000-05-24,0.19,0.19,0.19,0.19,,10000.0
2000-05-26,0.19,0.19,0.18,0.18,,8500.0
2000-05-30,0.19,0.19,0.16,0.16,,33000.0
2000-05-31,0.17,0.17,0.17,0.17,,20000.0
2000-06-05,0.19,0.19,0.19,0.19,,10000.0
2000-06-09,0.2,0.2,0.19,0.19,,30000.0
2000-06-12,0.2,0.2,0.2,0.2,,10100.0
2000-06-14,0.22,0.22,0.22,0.22,,10000.0
2000-06-19,0.16,0.16,0.16,0.16,,5000.0
2000-06-21,0.16,0.16,0.16,0.16,,1000.0
2000-06-23,0.19,0.19,0.12,0.18,,11000.0
2000-06-28,0.14,0.14,0.14,0.14,,10000.0
2000-06-29,0.13,0.13,0.13,0.13,,500.0
2000-06-30,0.18,0.18,0.18,0.18,,500.0
2000-07-04,0.18,0.18,0.18,0.18,,9500.0
2000-07-05,0.18,0.18,0.18,0.18,,500.0
2000-07-10,0.15,0.13,0.13,0.15,,35000.0
2000-07-13,0.15,0.14,0.14,0.15,,20000.0
2000-07-28,0.15,0.15,0.13,0.13,,5509.0
2000-08-01,0.15,0.13,0.13,0.15,,38000.0
2000-08-08,0.14,0.14,0.14,0.14,,14000.0
2000-08-10,0.17,0.17,0.17,0.17,,20000.0
2000-08-11,0.14,0.14,0.14,0.14,,500.0
2000-08-16,0.17,0.17,0.17,0.17,,10000.0
2000-08-17,0.17,0.17,0.16,0.16,,14000.0
2000-08-18,0.18,0.18,0.17,0.17,,29000.0
2000-08-22,0.18,0.18,0.18,0.18,,8000.0
2000-08-25,0.2,0.2,0.2,0.2,,1000.0
2000-08-28,0.16,0.16,0.16,0.16,,30000.0
2000-08-31,0.18,0.18,0.18,0.18,,10000.0
2000-09-06,0.15,0.15,0.15,0.15,,10000.0
2000-09-08,0.15,0.15,0.15,0.15,,10000.0
2000-09-18,0.11,0.11,0.11,0.11,,10000.0
2000-09-22,0.12,0.11,0.11,0.12,,27500.0
2000-09-25,0.12,0.11,0.11,0.12,,18000.0
2000-09-29,,,,,,400.0
2000-10-03,0.16,0.16,0.16,0.16,,2000.0
2000-10-06,0.14,0.14,0.14,0.14,,1000.0
2000-10-12,0.14,0.14,0.14,0.14,,8900.0
2000-10-13,0.14,0.13,0.13,0.14,,13000.0
2000-10-16,0.14,0.13,0.13,0.14,,23000.0
2000-10-17,0.13,0.13,0.13,0.13,,7000.0
2000-10-26,0.15,0.15,0.12,0.12,,11160.0
2000-10-31,0.12,0.12,0.12,0.12,,9200.0
2000-11-06,0.16,0.14,0.14,0.16,,15000.0
2000-11-07,0.16,0.16,0.16,0.16,,10000.0
2000-11-09,,,,,,150.0
2000-11-17,0.16,0.16,0.15,0.15,,20600.0
2000-11-27,0.17,0.17,0.16,0.16,,10500.0
2000-11-28,0.17,0.17,0.17,0.17,,10000.0
2000-11-30,0.2,0.2,0.2,0.2,,500.0
2000-12-01,0.15,0.15,0.15,0.15,,10000.0
2000-12-05,0.18,0.18,0.18,0.18,,20000.0
2000-12-06,0.15,0.15,0.15,0.15,,500.0
