Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2018-11-21,6.9951,5.8,5.8,6.06,279.0,50957.0
2018-11-23,6.39,6.1,6.0,6.0,47.0,13972.0
2018-11-26,6.25,6.132,5.84,6.24,47.0,29984.0
2018-11-27,6.38,6.38,6.15,6.24,39.0,8342.0
2018-11-28,8.16,6.499,6.401,7.2581,177.0,32687.0
2018-11-29,6.551,6.305,6.2001,6.551,30.0,29393.0
2018-11-30,6.2877,5.9709,5.9709,6.2877,21.0,3823.0
2018-12-03,6.25,6.17,5.96,5.96,16.0,1802.0
2018-12-04,6.25,6.17,6.13,6.25,20.0,2156.0
2018-12-06,6.17,6.17,6.0,6.0,4.0,748.0
2018-12-07,6.25,6.2199,6.126,6.15,15.0,1103.0
2018-12-10,7.5,6.01,6.01,7.5,67.0,6859.0
2018-12-11,6.1,6.1,6.1,6.1,1.0,100.0
2018-12-12,6.3,5.922,5.9,6.3,15.0,2041.0
2018-12-13,5.9,5.9,5.9,5.9,5.0,657.0
2018-12-14,,,,,2.0,13.0
2018-12-17,5.9583,5.9,5.9,5.9583,7.0,645.0
2018-12-18,5.92,5.87,5.85,5.91,42.0,5316.0
2018-12-19,6.1,5.85,5.8,6.1,10.0,1367.0
2018-12-20,6.0075,6.0075,5.9,5.9,2.0,1052.0
2018-12-21,6.0,6.0,6.0,6.0,11.0,1127.0
2018-12-24,5.8766,5.02,5.02,5.8001,13.0,2505.0
2018-12-26,5.7335,5.4892,5.1,5.7335,43.0,7932.0
2018-12-27,5.98,5.5,5.49,5.49,16.0,2106.0
2018-12-28,5.54,5.5,5.5,5.54,6.0,1110.0
2018-12-31,5.5,5.5,5.5,5.5,2.0,800.0
2019-01-02,6.1,6.1,5.5,5.5275,20.0,2743.0
2019-01-03,6.1,5.9014,5.5,6.1,22.0,4155.0
2019-01-04,5.95,5.95,5.95,5.95,5.0,500.0
2019-01-07,11.0,7.29,7.29,10.0,645.0,89006.0
