Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-08-15,5.65,5.48,5.34,5.65,,170924.0
2007-08-16,6.0,6.0,4.76,5.48,,273774.0
2007-08-17,6.38,5.77,5.59,5.91,,147989.0
2007-08-20,5.95,5.48,5.37,5.8,,109278.0
2007-08-21,5.5,5.45,5.31,5.5,,55643.0
2007-08-22,5.62,5.45,5.32,5.44,,79807.0
2007-08-23,5.51,5.23,5.16,5.51,,172597.0
2007-08-24,5.3,5.28,5.12,5.23,,63245.0
2007-08-27,5.37,5.23,5.13,5.3,,60279.0
2007-08-28,5.34,5.13,5.04,5.2,,124783.0
2007-08-29,5.18,5.17,5.03,5.15,,84460.0
2007-08-30,5.23,5.01,4.98,5.2,,74750.0
2007-08-31,5.18,5.06,5.0,5.18,,97229.0
2007-09-04,5.24,5.17,5.12,5.12,,46936.0
2007-09-05,5.22,5.16,5.05,5.15,,51801.0
2007-09-06,5.5,5.5,5.19,5.19,,107214.0
2007-09-07,5.76,5.67,5.5,5.51,,144909.0
2007-09-10,5.83,5.59,5.47,5.83,,72434.0
2007-09-11,5.74,5.65,5.5,5.56,,49283.0
2007-09-12,5.78,5.49,5.49,5.65,,81973.0
2007-09-13,5.54,5.53,5.47,5.5,,29395.0
2007-09-14,5.57,5.38,5.38,5.5,,64437.0
2007-09-17,5.48,5.41,5.35,5.48,,78924.0
2007-09-18,5.52,5.52,5.26,5.45,,42654.0
2007-09-19,5.62,5.45,5.39,5.62,,70909.0
2007-09-20,5.85,5.83,5.48,5.61,,152922.0
2007-09-21,6.02,6.02,5.68,5.9,,176769.0
2007-09-24,6.05,5.99,5.8,5.95,,63605.0
2007-09-25,5.98,5.81,5.8,5.98,,88162.0
2007-09-26,5.92,5.77,5.62,5.81,,47228.0
2007-09-27,5.9,5.9,5.6,5.77,,37385.0
2007-09-28,6.03,5.82,5.82,6.01,,121317.0
2007-10-01,5.9,5.67,5.63,5.82,,95210.0
2007-10-02,5.64,5.56,5.41,5.6,,150917.0
2007-10-03,5.56,5.38,5.38,5.55,,50271.0
2007-10-04,5.65,5.62,5.36,5.38,,63651.0
2007-10-05,5.8,5.69,5.45,5.46,,84178.0
2007-10-09,5.81,5.8,5.55,5.7,,113389.0
2007-10-10,5.88,5.76,5.7,5.8,,88611.0
2007-10-11,6.02,5.74,5.64,5.82,,210835.0
2007-10-12,5.85,5.77,5.7,5.85,,46165.0
2007-10-15,5.98,5.88,5.83,5.91,,106326.0
2007-10-16,5.92,5.71,5.7,5.91,,80387.0
2007-10-17,5.86,5.67,5.63,5.85,,52512.0
2007-10-18,5.95,5.95,5.75,5.9,,74489.0
2007-10-19,5.92,5.73,5.7,5.91,,96166.0
2007-10-22,5.5,5.42,4.99,5.01,,199406.0
2007-10-23,5.57,5.48,5.36,5.54,,50161.0
2007-10-24,5.55,5.5,5.38,5.43,,36476.0
2007-10-25,5.51,5.48,5.41,5.49,,56807.0
2007-10-26,5.76,5.72,5.46,5.59,,49832.0
2007-10-29,5.99,5.84,5.81,5.99,,89859.0
2007-10-30,5.95,5.81,5.71,5.95,,110419.0
2007-10-31,5.93,5.86,5.67,5.93,,179247.0
2007-11-01,5.93,5.9,5.69,5.86,,71212.0
2007-11-02,6.0,5.84,5.75,5.88,,92514.0
2007-11-05,5.97,5.93,5.71,5.71,,115396.0
2007-11-06,6.17,5.97,5.93,6.1,,123127.0
2007-11-07,6.2,5.81,5.79,6.08,,103783.0
2007-11-08,6.1,5.99,5.73,5.87,,120290.0
2007-11-09,6.1,6.09,5.85,5.85,,66824.0
2007-11-12,5.96,5.73,5.67,5.96,,127157.0
2007-11-13,5.96,5.87,5.55,5.75,,118233.0
2007-11-14,6.02,5.88,5.79,5.95,,81840.0
2007-11-15,5.83,5.69,5.61,5.7,,65416.0
2007-11-16,5.8,5.65,5.65,5.76,,63767.0
2007-11-19,5.82,5.58,5.55,5.76,,58217.0
2007-11-20,5.86,5.86,5.6,5.6,,119862.0
2007-11-21,5.86,5.76,5.74,5.82,,49574.0
2007-11-22,5.95,5.95,5.68,5.76,,19963.0
2007-11-23,6.06,6.01,5.89,5.95,,118653.0
2007-11-26,6.4,6.4,5.88,6.07,,298846.0
2007-11-27,6.42,6.4,6.11,6.25,,181424.0
2007-11-28,6.51,6.48,6.22,6.3,,154401.0
2007-11-29,6.52,6.45,6.33,6.45,,51787.0
2007-11-30,6.38,6.35,6.09,6.27,,103631.0
2007-12-03,6.5,6.25,6.15,6.37,,70994.0
2007-12-04,6.39,6.09,6.09,6.32,,53874.0
2007-12-05,6.26,6.13,6.04,6.1,,50450.0
2007-12-06,6.46,6.45,6.04,6.1,,85857.0
2007-12-07,6.41,6.31,6.25,6.41,,52363.0
2007-12-10,6.62,6.55,6.32,6.32,,125534.0
2007-12-11,6.7,6.42,6.42,6.55,,97855.0
2007-12-12,6.61,6.6,6.48,6.51,,47265.0
2007-12-13,6.62,6.44,6.4,6.57,,61673.0
2007-12-14,6.57,6.55,6.28,6.28,,72528.0
2007-12-17,6.48,6.0,5.97,6.48,,151293.0
2007-12-18,6.21,6.1,5.94,6.05,,59464.0
2007-12-19,6.17,6.06,6.01,6.04,,42427.0
2007-12-20,6.11,6.01,5.95,6.06,,82279.0
2007-12-21,6.39,6.37,6.0,6.01,,99452.0
2007-12-24,6.48,6.4,6.3,6.34,,20438.0
2007-12-27,6.64,6.4,6.38,6.61,,59746.0
2007-12-28,6.53,6.5,6.4,6.45,,21625.0
2007-12-31,6.62,6.62,6.4,6.5,,84337.0
2008-01-02,6.88,6.87,6.66,6.69,,110615.0
2008-01-03,7.2,6.95,6.79,6.88,,194572.0
2008-01-04,7.0,6.81,6.68,6.88,,83111.0
2008-01-07,6.88,6.74,6.52,6.86,,58972.0
2008-01-08,6.97,6.82,6.8,6.8,,133571.0
2008-01-09,6.92,6.81,6.73,6.76,,102593.0
2008-01-10,7.06,6.93,6.74,6.74,,72567.0
2008-01-11,7.15,6.95,6.8,6.8,,88333.0
2008-01-14,7.1,6.79,6.77,7.0,,65319.0
2008-01-15,7.0,6.66,6.48,7.0,,126360.0
2008-01-16,6.7,6.55,6.4,6.59,,83277.0
2008-01-17,6.65,6.45,6.44,6.6,,59566.0
2008-01-18,6.63,6.59,6.43,6.63,,73003.0
2008-01-21,6.54,5.9,5.79,6.45,,69993.0
2008-01-22,6.35,6.29,5.84,5.94,,144462.0
2008-01-23,6.29,6.15,6.01,6.24,,75035.0
2008-01-24,6.31,6.09,6.09,6.31,,60603.0
2008-01-25,6.29,6.13,6.05,6.26,,57726.0
2008-01-28,6.23,6.17,6.04,6.21,,76458.0
2008-01-29,6.37,5.97,5.95,6.37,,175909.0
2008-01-30,6.08,6.02,5.9,5.97,,78818.0
2008-01-31,6.12,5.93,5.93,6.05,,101186.0
2008-02-01,6.05,5.95,5.86,5.97,,67128.0
2008-02-04,5.95,5.8,5.77,5.95,,68921.0
2008-02-05,5.95,5.86,5.75,5.75,,25990.0
2008-02-06,5.96,5.8,5.77,5.82,,85522.0
2008-02-07,5.93,5.68,5.57,5.9,,172859.0
2008-02-08,5.84,5.82,5.58,5.66,,51902.0
2008-02-11,5.99,5.93,5.8,5.8,,22350.0
2008-02-12,5.99,5.81,5.76,5.99,,41806.0
2008-02-13,5.89,5.86,5.77,5.77,,26399.0
2008-02-14,5.89,5.68,5.65,5.87,,58417.0
2008-02-15,5.76,5.75,5.63,5.72,,37707.0
2008-02-19,5.93,5.85,5.68,5.93,,104691.0
2008-02-20,5.96,5.91,5.7,5.77,,71916.0
2008-02-21,6.2,6.12,5.98,6.0,,77280.0
2008-02-22,6.19,6.12,6.01,6.11,,31349.0
2008-02-25,6.18,6.1,6.04,6.11,,41498.0
2008-02-26,6.15,6.01,5.99,6.09,,57539.0
2008-02-27,6.13,5.93,5.93,5.95,,32362.0
2008-02-28,6.05,6.03,5.9,5.95,,59797.0
2008-02-29,6.06,6.02,5.91,6.06,,60866.0
2008-03-03,6.25,6.1,6.02,6.05,,75050.0
2008-03-04,6.2,5.98,5.83,6.16,,77885.0
2008-03-05,6.04,5.92,5.9,5.9,,27039.0
2008-03-06,5.95,5.9,5.81,5.83,,40544.0
2008-03-07,5.99,5.88,5.73,5.8,,139472.0
2008-03-10,5.95,5.76,5.48,5.8,,109931.0
2008-03-11,5.77,5.69,5.56,5.74,,47868.0
2008-03-12,5.84,5.76,5.67,5.78,,77183.0
2008-03-13,6.05,6.05,5.63,5.75,,216324.0
2008-03-14,6.2,5.9,5.83,5.95,,108120.0
2008-03-17,6.14,6.14,5.82,5.99,,284459.0
2008-03-18,6.16,6.02,5.9,6.16,,167862.0
2008-03-19,6.05,6.05,5.85,5.99,,99364.0
2008-03-20,6.16,6.12,5.75,5.75,,159831.0
2008-03-24,6.32,5.8,5.76,6.32,,90740.0
2008-03-25,6.03,5.86,5.81,5.81,,70271.0
2008-03-26,6.09,5.95,5.89,5.97,,73711.0
2008-03-27,5.99,5.99,5.78,5.84,,54110.0
2008-03-28,6.21,6.01,5.78,5.78,,66450.0
2008-03-31,6.05,5.93,5.81,5.98,,204040.0
2008-04-01,5.92,5.83,5.83,5.92,,47822.0
2008-04-02,5.92,5.85,5.71,5.85,,26499.0
2008-04-03,5.96,5.78,5.78,5.83,,19208.0
2008-04-04,5.83,5.74,5.72,5.78,,51848.0
2008-04-07,5.82,5.74,5.73,5.74,,28788.0
2008-04-08,5.75,5.59,5.57,5.73,,98760.0
2008-04-09,5.82,5.75,5.57,5.6,,95975.0
2008-04-10,5.88,5.85,5.72,5.76,,49879.0
2008-04-11,5.87,5.81,5.69,5.81,,52580.0
2008-04-14,5.83,5.6,5.6,5.69,,46603.0
2008-04-15,5.85,5.81,5.68,5.7,,21174.0
2008-04-16,5.95,5.95,5.69,5.69,,76788.0
2008-04-17,6.02,5.91,5.88,5.94,,53577.0
