Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-08-31,2.17,2.15,2.08,2.1,,153706.0
2007-09-04,2.2,2.14,2.0,2.17,,25505.0
2007-09-05,2.2,2.19,2.12,2.12,,26200.0
2007-09-06,2.2,2.2,2.19,2.19,,15900.0
2007-09-07,2.25,2.25,2.14,2.14,,20150.0
2007-09-10,2.25,2.25,2.2,2.2,,6100.0
2007-09-11,2.25,2.25,2.12,2.18,,34048.0
2007-09-12,2.25,2.18,2.13,2.13,,512000.0
2007-09-13,2.25,2.12,2.11,2.16,,1076500.0
2007-09-14,2.12,2.12,2.12,2.12,,8200.0
2007-09-17,2.23,2.23,2.15,2.18,,27395.0
2007-09-18,2.24,2.19,2.19,2.23,,12600.0
2007-09-19,2.27,2.2,2.2,2.24,,26650.0
2007-09-20,2.28,2.28,2.19,2.25,,19870.0
2007-09-21,2.28,2.23,2.23,2.28,,16050.0
2007-09-24,2.26,2.19,2.12,2.26,,19550.0
2007-09-25,2.23,2.18,2.12,2.19,,12050.0
2007-09-26,2.21,2.21,2.11,2.15,,19200.0
2007-09-27,2.2,2.18,2.1,2.2,,35980.0
2007-09-28,2.23,2.09,2.09,2.2,,46254.0
2007-10-01,2.3,2.3,2.1,2.19,,68159.0
2007-10-02,2.3,2.28,2.26,2.29,,30562.0
2007-10-03,2.33,2.3,2.25,2.25,,30610.0
2007-10-04,2.33,2.3,2.19,2.3,,55700.0
2007-10-05,2.3,2.3,2.19,2.21,,26719.0
2007-10-09,2.3,2.23,2.2,2.3,,51080.0
2007-10-10,2.23,2.22,2.19,2.22,,14900.0
2007-10-11,2.22,2.18,2.16,2.22,,24850.0
2007-10-12,2.21,2.2,2.15,2.18,,12999.0
2007-10-15,2.18,2.13,2.12,2.16,,23400.0
2007-10-16,2.16,2.12,2.05,2.16,,58400.0
2007-10-17,2.11,2.07,2.05,2.11,,20676.0
2007-10-18,2.09,2.06,2.0,2.06,,18350.0
2007-10-19,2.09,2.09,2.05,2.07,,13200.0
2007-10-22,2.08,2.04,1.99,2.0,,32927.0
2007-10-23,2.1,2.1,1.95,2.03,,56556.0
2007-10-24,2.15,2.05,2.01,2.1,,74425.0
2007-10-25,2.12,2.1,2.04,2.08,,9725.0
2007-10-26,2.1,2.05,1.9,2.08,,57150.0
2007-10-29,2.09,2.09,2.02,2.02,,18500.0
2007-10-30,2.08,2.08,2.04,2.06,,4500.0
2007-10-31,2.14,2.14,2.02,2.1,,93753.0
2007-11-01,2.15,2.14,2.11,2.14,,35805.0
2007-11-02,2.17,2.11,2.11,2.13,,25370.0
2007-11-05,2.19,2.17,2.05,2.15,,103740.0
2007-11-06,2.2,2.15,2.11,2.18,,50940.0
2007-11-07,2.19,2.18,2.09,2.16,,30050.0
2007-11-08,2.15,1.96,1.94,2.15,,42772.0
2007-11-09,2.11,2.04,1.89,2.11,,92600.0
2007-11-12,2.05,2.02,1.87,2.05,,52215.0
2007-11-13,2.04,2.04,2.0,2.01,,15200.0
2007-11-14,2.1,2.07,1.91,1.91,,79650.0
2007-11-15,2.05,2.01,1.9,2.03,,13400.0
2007-11-16,2.2,2.17,1.96,1.96,,137250.0
2007-11-19,2.2,2.17,2.13,2.16,,56802.0
2007-11-20,2.35,2.29,2.15,2.19,,132920.0
2007-11-21,2.3,2.23,2.15,2.26,,152700.0
2007-11-22,2.21,2.17,2.15,2.21,,34750.0
2007-11-23,2.24,2.22,2.2,2.2,,64700.0
2007-11-26,2.29,2.26,2.2,2.23,,21100.0
2007-11-27,2.24,2.22,2.18,2.18,,16900.0
2007-11-28,2.27,2.26,2.2,2.22,,45000.0
2007-11-29,2.3,2.28,2.2,2.26,,44550.0
2007-11-30,2.28,2.17,2.17,2.26,,38260.0
2007-12-03,2.28,2.22,2.2,2.2,,15855.0
2007-12-04,2.29,2.29,2.26,2.26,,54250.0
2007-12-05,2.55,2.55,2.24,2.29,,212950.0
2007-12-06,2.68,2.56,2.5,2.68,,107215.0
2007-12-07,2.63,2.61,2.51,2.61,,55601.0
2007-12-10,2.59,2.58,2.51,2.59,,43450.0
2007-12-11,2.7,2.68,2.58,2.58,,307900.0
2007-12-12,2.7,2.68,2.6,2.69,,594850.0
2007-12-13,2.66,2.61,2.6,2.66,,15900.0
2007-12-14,2.61,2.56,2.5,2.61,,74425.0
2007-12-17,2.7,2.6,2.6,2.6,,105800.0
2007-12-18,2.7,2.65,2.65,2.65,,43675.0
2007-12-19,2.7,2.65,2.57,2.64,,56550.0
2007-12-20,2.7,2.69,2.65,2.7,,28225.0
2007-12-21,2.7,2.7,2.61,2.65,,66825.0
2007-12-24,2.7,2.61,2.6,2.69,,16200.0
2007-12-27,2.7,2.6,2.59,2.59,,34570.0
2007-12-28,2.69,2.64,2.6,2.65,,26104.0
2007-12-31,2.65,2.6,2.6,2.61,,27890.0
2008-01-02,2.6,2.54,2.47,2.6,,124798.0
2008-01-03,2.99,2.92,2.65,2.65,,775290.0
2008-01-04,2.93,2.93,2.76,2.93,,128455.0
2008-01-07,2.91,2.69,2.6,2.91,,56275.0
2008-01-08,2.71,2.57,2.57,2.69,,37885.0
2008-01-09,2.63,2.56,2.52,2.52,,20700.0
2008-01-10,2.56,2.48,2.41,2.55,,82744.0
2008-01-11,2.51,2.48,2.46,2.49,,19270.0
2008-01-14,2.67,2.62,2.48,2.48,,20500.0
2008-01-15,2.65,2.57,2.57,2.65,,19685.0
2008-01-16,2.55,2.5,2.5,2.55,,37870.0
2008-01-17,2.58,2.57,2.47,2.53,,41875.0
2008-01-18,2.57,2.57,2.47,2.5,,34009.0
2008-01-21,2.43,2.35,2.3,2.43,,30780.0
2008-01-22,2.35,2.35,2.2,2.25,,37125.0
2008-01-23,2.27,2.21,2.11,2.27,,89770.0
2008-01-24,2.34,2.25,2.2,2.25,,27900.0
2008-01-25,2.3,2.27,2.26,2.26,,7752.0
2008-01-28,2.34,2.3,2.27,2.27,,49800.0
2008-01-29,2.45,2.41,2.3,2.31,,46550.0
2008-01-30,2.42,2.4,2.35,2.35,,26700.0
2008-01-31,2.4,2.35,2.35,2.4,,14688.0
2008-02-01,2.39,2.38,2.32,2.39,,9010.0
2008-02-04,2.39,2.39,2.31,2.36,,5180.0
2008-02-05,2.57,2.46,2.42,2.47,,56288.0
2008-02-06,2.53,2.5,2.45,2.46,,237857.0
2008-02-07,2.5,2.44,2.26,2.5,,15400.0
2008-02-08,2.49,2.49,2.4,2.4,,26000.0
2008-02-11,2.57,2.54,2.4,2.57,,29331.0
2008-02-12,2.53,2.5,2.42,2.53,,5720.0
2008-02-13,2.5,2.44,2.41,2.5,,21300.0
2008-02-14,2.48,2.45,2.39,2.46,,27600.0
2008-02-15,2.45,2.44,2.39,2.45,,17225.0
2008-02-19,2.44,2.4,2.35,2.44,,25205.0
2008-02-20,2.45,2.41,2.36,2.4,,216056.0
2008-02-21,2.42,2.42,2.33,2.42,,49400.0
2008-02-22,2.44,2.4,2.4,2.4,,7000.0
2008-02-25,2.42,2.38,2.3,2.4,,115900.0
2008-02-26,2.38,2.28,2.24,2.38,,16180.0
2008-02-27,2.3,2.28,2.21,2.3,,28100.0
2008-02-28,2.28,2.27,2.17,2.24,,56600.0
2008-02-29,2.27,2.22,2.21,2.27,,48643.0
2008-03-03,2.24,2.24,2.13,2.22,,19000.0
2008-03-04,2.27,2.2,2.15,2.27,,22600.0
2008-03-05,2.2,2.15,2.12,2.2,,38600.0
2008-03-06,2.15,2.11,2.1,2.15,,52100.0
2008-03-07,2.11,2.06,1.94,2.11,,65765.0
2008-03-10,2.07,1.99,1.96,2.07,,67300.0
2008-03-11,2.05,2.01,1.95,1.95,,60150.0
2008-03-12,2.05,2.05,2.03,2.03,,9500.0
2008-03-13,2.04,2.0,1.97,2.04,,7985.0
2008-03-14,2.06,2.06,1.95,2.02,,26800.0
2008-03-17,2.06,1.98,1.95,2.06,,31905.0
2008-03-18,2.05,2.03,1.99,2.0,,21520.0
2008-03-19,2.01,2.01,1.95,2.01,,24800.0
2008-03-20,2.0,1.96,1.9,1.94,,31798.0
2008-03-24,2.03,2.01,1.99,2.02,,24140.0
2008-03-25,2.24,2.13,2.01,2.03,,42000.0
2008-03-26,2.13,2.1,2.0,2.13,,41000.0
2008-03-27,2.1,2.1,2.06,2.09,,12700.0
2008-03-28,1.9,1.37,1.3,1.9,,817970.0
2008-03-31,1.4,1.22,1.08,1.4,,242379.0
2008-04-01,1.27,1.25,1.12,1.2,,60700.0
2008-04-02,1.35,1.29,1.27,1.28,,44670.0
2008-04-03,1.29,1.26,1.24,1.29,,51835.0
2008-04-04,1.35,1.35,1.3,1.32,,236380.0
2008-04-07,1.37,1.2,1.2,1.37,,180000.0
2008-04-08,1.18,0.97,0.97,1.18,,390269.0
2008-04-09,1.0,0.98,0.97,0.98,,93900.0
2008-04-10,1.05,1.0,0.97,1.0,,164832.0
2008-04-11,1.0,0.97,0.97,1.0,,44700.0
2008-04-14,0.97,0.96,0.96,0.97,,11150.0
2008-04-15,1.0,0.97,0.97,0.98,,50850.0
2008-04-16,1.0,0.9,0.82,0.97,,116830.0
2008-04-17,0.89,0.89,0.85,0.88,,42090.0
2008-04-18,0.9,0.84,0.82,0.89,,65500.0
2008-04-21,0.85,0.77,0.77,0.81,,99075.0
2008-04-22,0.77,0.7,0.66,0.77,,294460.0
2008-04-23,0.7,0.63,0.63,0.7,,355000.0
2008-04-24,0.78,0.75,0.67,0.68,,657965.0
2008-04-25,0.8,0.77,0.75,0.79,,90223.0
2008-04-28,0.79,0.78,0.73,0.78,,109472.0
2008-04-29,0.8,0.76,0.75,0.78,,89600.0
2008-04-30,0.77,0.76,0.75,0.77,,31105.0
2008-05-01,1.15,1.08,0.75,0.78,,425948.0
2008-05-02,1.18,1.1,1.03,1.17,,134043.0
2008-05-05,1.13,1.08,1.05,1.08,,39538.0
2008-05-06,1.2,1.12,1.0,1.08,,2340380.0
2008-05-07,1.19,1.14,1.1,1.15,,53650.0
2008-05-08,1.18,1.11,1.1,1.18,,65775.0
2008-05-09,1.16,1.1,1.01,1.16,,21700.0
2008-05-12,1.1,1.04,1.04,1.1,,17840.0
2008-05-13,1.03,1.01,0.95,0.99,,83008.0
2008-05-14,0.99,0.93,0.9,0.99,,46205.0
2008-05-15,0.98,0.96,0.92,0.92,,8200.0
2008-05-16,0.96,0.94,0.9,0.96,,35500.0
2008-05-20,0.93,0.93,0.9,0.93,,24071.0
2008-05-21,0.93,0.91,0.91,0.92,,8300.0
2008-05-22,0.91,0.9,0.88,0.9,,24500.0
2008-05-23,1.0,0.94,0.9,0.9,,31560.0
2008-05-26,0.97,0.95,0.93,0.97,,13500.0
2008-05-27,0.99,0.92,0.9,0.98,,44233.0
2008-05-28,0.99,0.93,0.91,0.94,,10800.0
2008-05-29,0.99,0.96,0.93,0.95,,12569.0
2008-05-30,1.06,1.02,0.98,0.98,,25556.0
2008-06-02,1.03,0.97,0.95,1.03,,15600.0
2008-06-03,0.99,0.98,0.95,0.98,,61267.0
2008-06-04,1.0,0.98,0.98,0.99,,8450.0
2008-06-05,0.99,0.98,0.94,0.98,,26600.0
2008-06-06,0.99,0.92,0.91,0.98,,53600.0
2008-06-09,0.99,0.92,0.9,0.97,,37000.0
2008-06-10,0.93,0.91,0.91,0.93,,13350.0
2008-06-11,0.94,0.94,0.9,0.92,,16000.0
2008-06-12,0.96,0.95,0.92,0.94,,26700.0
2008-06-13,0.94,0.93,0.9,0.93,,7375.0
2008-06-16,0.94,0.9,0.9,0.94,,9900.0
2008-06-17,0.91,0.88,0.8,0.91,,46500.0
2008-06-18,0.9,0.88,0.82,0.85,,82250.0
2008-06-19,0.85,0.84,0.82,0.85,,13225.0
2008-06-20,0.85,0.75,0.65,0.83,,180106.0
2008-06-23,0.75,0.71,0.67,0.75,,66900.0
2008-06-24,0.73,0.73,0.7,0.7,,12500.0
2008-06-25,0.78,0.68,0.68,0.78,,18900.0
2008-06-26,0.74,0.72,0.72,0.72,,11853.0
2008-06-27,0.73,0.7,0.67,0.73,,44400.0
2008-06-30,0.73,0.71,0.66,0.7,,31906.0
2008-07-02,0.7,0.68,0.68,0.7,,12435.0
2008-07-03,0.68,0.67,0.66,0.68,,6610.0
2008-07-04,0.7,0.67,0.65,0.65,,15700.0
2008-07-07,0.67,0.64,0.63,0.67,,22760.0
2008-07-08,0.69,0.69,0.64,0.65,,14260.0
2008-07-09,0.72,0.63,0.63,0.69,,37950.0
2008-07-10,0.65,0.62,0.6,0.65,,48200.0
2008-07-11,0.63,0.63,0.6,0.6,,53850.0
2008-07-14,0.64,0.58,0.57,0.64,,21000.0
2008-07-15,0.61,0.55,0.52,0.59,,14593.0
2008-07-16,0.56,0.53,0.52,0.55,,26030.0
2008-07-17,0.6,0.56,0.45,0.54,,1041405.0
2008-07-18,0.62,0.58,0.52,0.59,,25100.0
2008-07-21,0.64,0.59,0.53,0.6,,36375.0
2008-07-22,0.6,0.59,0.59,0.6,,11597.0
2008-07-23,0.59,0.59,0.59,0.59,,1000.0
2008-07-24,0.55,0.53,0.53,0.55,,19500.0
2008-07-25,0.6,0.6,0.52,0.52,,28000.0
2008-07-28,0.63,0.6,0.53,0.6,,24086.0
2008-07-29,0.63,0.61,0.61,0.61,,10500.0
2008-07-30,0.61,0.58,0.58,0.58,,7000.0
2008-07-31,0.74,0.74,0.62,0.62,,70837.0
2008-08-01,0.74,0.69,0.6,0.74,,32858.0
2008-08-05,0.65,0.6,0.6,0.6,,30000.0
2008-08-06,0.65,0.65,0.61,0.61,,18400.0
2008-08-07,0.67,0.67,0.64,0.67,,36142.0
2008-08-08,0.68,0.64,0.63,0.68,,15000.0
2008-08-11,0.65,0.65,0.62,0.64,,11700.0
2008-08-12,0.67,0.67,0.64,0.66,,15928.0
2008-08-13,0.66,0.66,0.66,0.66,,2300.0
2008-08-14,0.68,0.68,0.65,0.68,,22655.0
2008-08-15,0.67,0.66,0.66,0.67,,17000.0
2008-08-18,0.68,0.65,0.65,0.68,,8235.0
2008-08-19,0.65,0.65,0.65,0.65,,5941.0
2008-08-20,0.65,0.65,0.64,0.65,,5500.0
2008-08-21,0.66,0.66,0.65,0.65,,1800.0
2008-08-22,0.74,0.7,0.64,0.66,,75521.0
2008-08-25,0.7,0.68,0.66,0.66,,10379.0
2008-08-26,0.74,0.74,0.62,0.68,,31730.0
2008-08-27,0.69,0.67,0.67,0.68,,4600.0
2008-08-28,0.7,0.7,0.7,0.7,,1000.0
2008-08-29,0.7,0.67,0.61,0.7,,63109.0
2008-09-02,0.7,0.64,0.64,0.69,,5800.0
2008-09-03,0.64,0.58,0.58,0.64,,15320.0
2008-09-04,0.65,0.61,0.58,0.61,,46850.0
2008-09-05,0.61,0.6,0.54,0.61,,74500.0
2008-09-08,0.6,0.59,0.59,0.6,,12500.0
2008-09-09,0.57,0.56,0.56,0.57,,3200.0
2008-09-10,0.6,0.56,0.56,0.6,,16000.0
2008-09-11,0.59,0.56,0.56,0.57,,14800.0
2008-09-12,0.59,0.59,0.59,0.59,,4200.0
2008-09-15,0.58,0.58,0.55,0.56,,9000.0
2008-09-16,0.56,0.54,0.52,0.55,,8700.0
2008-09-17,0.54,0.52,0.52,0.53,,6325.0
2008-09-18,0.57,0.51,0.51,0.55,,22740.0
2008-09-19,0.53,0.49,0.46,0.53,,41397.0
2008-09-22,0.52,0.52,0.5,0.51,,11100.0
2008-09-23,0.52,0.51,0.47,0.5,,28300.0
2008-09-24,0.52,0.52,0.48,0.51,,24200.0
2008-09-25,0.5,0.495,0.48,0.495,,15800.0
2008-09-26,0.5,0.46,0.46,0.5,,56200.0
