Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2010-02-10,18.95,18.65,18.53,18.75,,4515261.0
2010-02-11,18.89,18.89,18.6,18.65,,185090.0
2010-02-12,19.0,18.85,18.75,19.0,,78837.0
2010-02-16,18.91,18.88,18.75,18.89,,356322.0
2010-02-17,18.98,18.79,18.76,18.95,,37300.0
2010-02-18,18.78,18.73,18.5376,18.75,,103772.0
2010-02-19,19.02,18.75,18.6,18.6,,49587.0
2010-02-22,18.82,18.75,18.62,18.81,,91193.0
2010-02-23,19.03,18.8,18.6,19.03,,49400.0
2010-02-24,18.82,18.55,18.5,18.65,,32834.0
2010-02-25,18.75,18.52,18.32,18.32,,37900.0
2010-02-26,18.85,18.81,18.469999,18.52,,71110.0
2010-03-01,18.88,18.68,18.64,18.88,,23505.0
2010-03-02,18.89,18.89,18.55,18.75,,22000.0
2010-03-03,18.81,18.8005,18.57,18.76,,48100.0
2010-03-04,19.06,18.96,18.85,18.85,,24209.0
2010-03-05,19.1,18.8,18.67,19.08,,105335.0
2010-03-08,19.44,19.44,18.8,18.879999,,41400.0
2010-03-09,19.65,19.46,19.25,19.55,,28300.0
2010-03-10,19.5,19.01,18.8492,19.5,,29890.0
2010-03-11,19.5,19.43,18.95,19.0,,85210.0
2010-03-12,19.53,19.4,19.36,19.45,,21495.0
2010-03-15,19.424999,18.99,18.99,19.3,,28600.0
2010-03-16,19.64,19.2,19.08,19.08,,49405.0
2010-03-17,19.3,19.29,19.24,19.24,,18300.0
2010-03-18,19.44,19.44,18.86,19.3,,159300.0
2010-03-19,19.65,19.65,19.11,19.45,,46536.0
2010-03-22,19.63,19.25,19.25,19.59,,120943.0
2010-03-23,19.32,19.15,19.04,19.26,,37848.0
2010-03-24,19.65,19.44,19.23,19.23,,57984.0
2010-03-25,19.6,19.46,19.41,19.53,,64258.0
2010-03-26,19.47,19.41,19.3,19.36,,25785.0
2010-03-29,19.84,19.5,19.41,19.5,,33678.0
2010-03-30,19.75,19.7,19.45,19.6,,52719.0
2010-03-31,20.56,19.73,19.52,20.0,,698919.0
2010-04-01,19.73,19.21,18.93,19.73,,68267.0
2010-04-05,19.465,19.38,19.27,19.27,,44101.0
2010-04-06,19.67,19.66,19.32,19.32,,10306.0
2010-04-07,19.93,19.9,19.52,19.58,,19528.0
2010-04-08,19.84,19.63,19.53,19.84,,35249.0
2010-04-09,19.8,19.65,19.55,19.63,,50117.0
2010-04-12,19.695,19.47,19.47,19.61,,20850.0
2010-04-13,19.835,19.65,19.07,19.41,,27830.0
2010-04-14,20.07,19.59,19.48,19.67,,16959.0
2010-04-15,19.55,19.5,19.39,19.55,,8400.0
2010-04-16,19.53,19.39,19.38,19.51,,13950.0
2010-04-19,19.76,19.57,19.19,19.3,,37879.0
2010-04-20,19.62,19.52,19.43,19.62,,8140.0
2010-04-21,19.85,19.5,19.1,19.52,,43641.0
2010-04-22,19.5,19.5,19.22,19.47,,10845.0
2010-04-23,19.46,19.35,19.35,19.46,,11961.0
2010-04-26,19.34,19.21,19.14,19.28,,9074.0
