Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2000-09-20,0.4,0.4,0.4,0.4,,1000.0
2000-09-21,0.4,0.4,0.4,0.4,,1000.0
2000-09-22,0.4,0.4,0.4,0.4,,1000.0
2000-09-25,0.26,0.26,0.26,0.26,,500.0
2000-10-04,0.26,0.26,0.26,0.26,,4500.0
2000-10-05,0.26,0.26,0.26,0.26,,2179.0
2000-10-12,0.26,0.26,0.26,0.26,,2000.0
2000-10-18,,,,,,100.0
2000-11-02,0.26,0.19,0.19,0.26,,2937.0
2000-11-06,0.19,0.19,0.19,0.19,,2400.0
2000-11-09,0.26,0.26,0.26,0.26,,2700.0
2000-11-20,0.26,0.26,0.26,0.26,,1000.0
2000-12-06,0.26,0.26,0.26,0.26,,3500.0
2000-12-20,0.19,0.19,0.19,0.19,,25000.0
2000-12-21,0.19,0.19,0.19,0.19,,2000.0
2001-01-05,0.25,0.25,0.25,0.25,,1500.0
2001-01-19,0.22,0.19,0.19,0.22,,29500.0
2001-02-13,0.2,0.2,0.2,0.2,,5500.0
2001-02-14,0.34,0.34,0.34,0.34,,5000.0
2001-02-23,0.16,0.16,0.16,0.16,,1000.0
2001-03-08,0.28,0.28,0.25,0.25,,15000.0
2001-03-09,0.28,0.28,0.28,0.28,,9500.0
2001-03-19,0.28,0.28,0.28,0.28,,5000.0
2001-03-23,0.28,0.28,0.28,0.28,,5500.0
2001-04-20,0.29,0.29,0.29,0.29,,6900.0
2001-05-01,,,,,,100.0
2001-06-04,0.2,0.16,0.16,0.2,,1000.0
2001-07-18,0.16,0.09,0.09,0.16,,12000.0
2001-08-15,,,,,,337.0
2001-08-22,0.12,0.1,0.1,0.12,,2500.0
2001-08-27,0.12,0.12,0.12,0.12,,8500.0
2001-08-28,0.1,0.1,0.1,0.1,,1000.0
2001-09-06,0.13,0.13,0.13,0.13,,1000.0
2001-10-01,0.13,,,,,500.0
2001-10-02,0.08,0.08,0.08,0.08,,50000.0
2001-11-02,0.07,0.01,0.01,0.07,,243000.0
2001-11-05,0.04,0.04,0.01,0.01,,80000.0
2001-11-06,0.04,0.04,0.04,0.04,,5000.0
2001-11-09,0.04,0.04,0.04,0.04,,10000.0
2001-11-13,0.03,0.03,0.03,0.03,,20000.0
2001-11-14,0.03,0.03,0.02,0.03,,30300.0
2001-11-21,0.02,0.02,0.02,0.02,,80000.0
2001-11-22,0.02,0.02,0.02,0.02,,40000.0
2001-11-27,0.01,0.01,0.01,0.01,,16000.0
2001-11-29,0.01,0.01,0.01,0.01,,1000.0
2001-12-12,0.01,0.01,0.01,0.01,,2000.0
2001-12-14,0.01,0.01,0.01,0.01,,1000.0
2001-12-18,0.01,0.01,0.01,0.01,,25000.0
2001-12-20,0.01,0.01,0.01,0.01,,2000.0
2001-12-21,0.01,0.01,0.01,0.01,,78000.0
2002-01-09,0.02,0.02,0.02,0.02,,33000.0
2002-01-10,0.03,0.03,0.03,0.03,,2000.0
2002-01-22,0.03,0.03,0.03,0.03,,30000.0
2002-01-23,0.04,0.04,0.04,0.04,,50000.0
2002-01-24,0.02,0.02,0.02,0.02,,20000.0
2002-01-25,0.02,0.02,0.02,0.02,,2000.0
2002-01-28,0.02,0.02,0.02,0.02,,5000.0
2002-01-30,0.04,0.04,0.04,0.04,,23000.0
2002-01-31,0.05,0.05,0.05,0.05,,3000.0
2002-02-12,0.02,0.02,0.02,0.02,,3000.0
2002-02-13,0.02,0.02,0.02,0.02,,3000.0
2002-02-19,0.04,0.04,0.04,0.04,,30000.0
2002-02-20,0.03,0.03,0.03,0.03,,15000.0
2002-02-21,0.1,0.06,0.06,0.06,,48000.0
2002-02-22,0.1,0.1,0.07,0.07,,24000.0
2002-02-25,0.14,0.14,0.12,0.12,,20000.0
2002-02-26,0.1,0.1,0.1,0.1,,7000.0
2002-02-27,0.09,0.09,0.09,0.09,,10000.0
2002-03-01,0.12,0.12,0.12,0.12,,9000.0
2002-03-04,0.12,0.12,0.12,0.12,,31300.0
2002-05-03,0.15,0.15,0.15,0.15,,3500.0
2002-05-07,0.15,0.15,0.13,0.13,,6000.0
2002-05-15,0.15,0.13,0.13,0.15,,19000.0
2002-05-16,0.14,0.13,0.13,0.14,,18000.0
2002-05-27,0.18,0.18,0.15,0.15,,30000.0
2002-05-29,0.16,0.16,0.16,0.16,,5000.0
2002-06-07,0.21,0.21,0.21,0.21,,1000.0
2002-06-11,0.15,0.15,0.15,0.15,,10000.0
2002-06-12,0.14,0.14,0.14,0.14,,1000.0
2002-06-17,0.15,0.15,0.15,0.15,,10000.0
2002-06-18,0.15,0.15,0.15,0.15,,10000.0
2002-07-22,0.12,0.12,0.12,0.12,,10000.0
2002-07-23,0.12,0.12,0.12,0.12,,5000.0
2002-07-24,0.11,0.11,0.11,0.11,,60000.0
2002-07-29,0.15,0.15,0.15,0.15,,22500.0
2002-07-30,0.15,0.15,0.15,0.15,,10000.0
2002-08-07,0.21,0.21,0.2,0.2,,62500.0
2002-08-08,0.2,0.2,0.2,0.2,,15000.0
2002-08-09,0.2,0.2,0.2,0.2,,32500.0
2002-08-12,0.16,0.16,0.16,0.16,,5000.0
2002-08-15,0.15,0.15,0.15,0.15,,9000.0
2002-08-20,0.25,0.25,0.2,0.2,,25000.0
2002-08-21,0.17,0.17,0.17,0.17,,5000.0
2002-08-22,0.17,0.17,0.17,0.17,,5000.0
2002-09-05,0.19,0.19,0.19,0.19,,25000.0
2002-09-10,0.19,0.19,0.19,0.19,,3000.0
2002-09-11,0.2,0.2,0.2,0.2,,10000.0
2002-09-13,0.2,0.2,0.2,0.2,,5000.0
2002-09-16,0.23,0.23,0.23,0.23,,1000.0
2002-09-18,,,,,,200.0
2002-09-26,0.23,0.23,0.22,0.22,,34000.0
2002-09-27,0.22,0.22,0.22,0.22,,2100.0
2002-09-30,0.22,0.22,0.22,0.22,,6500.0
2002-10-03,0.35,0.35,0.29,0.29,,4000.0
2002-10-08,0.35,0.35,0.35,0.35,,10000.0
2002-10-09,0.29,0.29,0.29,0.29,,19000.0
2002-10-10,0.29,0.29,0.29,0.29,,1000.0
2002-10-15,0.31,0.31,0.31,0.31,,10000.0
2002-10-16,0.4,0.35,0.3,0.38,,35000.0
2002-10-22,0.4,0.3,0.3,0.4,,3000.0
2002-10-23,0.39,0.39,0.39,0.39,,2500.0
2002-11-01,0.31,0.31,0.31,0.31,,1000.0
2002-11-04,0.4,0.31,0.31,0.4,,1500.0
2002-11-07,0.3,0.3,0.3,0.3,,7000.0
2002-11-08,0.38,0.38,0.38,0.38,,1000.0
2002-11-12,0.37,0.37,0.3,0.32,,13000.0
2002-11-14,0.3,0.3,0.3,0.3,,2000.0
2002-11-18,0.4,0.4,0.4,0.4,,1000.0
2002-11-19,0.38,0.38,0.38,0.38,,4000.0
2002-11-21,0.4,0.4,0.4,0.4,,6000.0
2002-11-22,0.4,0.4,0.4,0.4,,1000.0
2002-12-02,0.35,0.35,0.35,0.35,,2500.0
2002-12-03,0.35,0.32,0.32,0.35,,10000.0
2002-12-04,0.35,0.35,0.35,0.35,,2000.0
2002-12-09,0.4,0.4,0.4,0.4,,1000.0
2002-12-12,0.4,0.4,0.4,0.4,,1000.0
