Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,18.67,18.48,18.13,18.13,,2678200.0
2007-09-20,18.87,18.75,18.47,18.6,,2070200.0
2007-09-21,19.0,18.81,18.75,19.0,,4378500.0
2007-09-24,18.84,18.74,18.44,18.7,,2048100.0
2007-09-25,18.74,18.1,18.05,18.74,,3608950.0
2007-09-26,18.2,18.06,17.98,18.17,,2493400.0
2007-09-27,18.12,17.91,17.84,18.0,,4841400.0
2007-09-28,17.95,17.85,17.79,17.91,,2791600.0
2007-10-01,17.95,17.85,17.67,17.95,,3445493.0
2007-10-02,17.93,17.83,17.7,17.91,,1937300.0
2007-10-03,17.85,17.64,17.55,17.7,,2903500.0
2007-10-04,17.73,17.66,17.5,17.64,,1861500.0
2007-10-05,17.77,17.69,17.43,17.71,,2087900.0
2007-10-08,18.03,17.98,17.59,17.61,,2261400.0
2007-10-09,18.44,18.39,18.07,18.1,,2444490.0
2007-10-10,18.61,18.53,18.32,18.4,,2423600.0
2007-10-11,18.79,18.41,18.35,18.62,,2138200.0
2007-10-12,18.42,18.16,17.98,18.32,,3465920.0
2007-10-15,18.35,18.02,17.94,18.2,,2898900.0
2007-10-16,18.12,17.8,17.7,18.11,,2967100.0
2007-10-17,18.1,18.0,17.85,17.98,,3984700.0
2007-10-18,18.07,17.87,17.69,18.0,,3370900.0
2007-10-19,17.8,16.87,16.85,17.8,,7769600.0
2007-10-22,16.78,16.5,16.47,16.71,,3640000.0
2007-10-23,16.5,16.24,16.1,16.42,,4175400.0
2007-10-24,16.24,16.01,15.935,16.24,,3067800.0
2007-10-25,16.1,15.82,15.8,16.07,,1837900.0
2007-10-26,16.0,15.8,15.68,15.99,,2223500.0
2007-10-29,15.98,15.78,15.74,15.88,,5507000.0
2007-10-30,16.2054,15.79,15.75,15.76,,5503600.0
2007-10-31,16.14,15.8,15.74,15.82,,4720200.0
2007-11-01,15.83,15.45,15.43,15.75,,3394400.0
2007-11-02,15.84,15.12,14.96,15.5,,4177300.0
2007-11-05,15.22,15.08,15.0,15.12,,3705481.0
2007-11-06,15.2,15.01,14.83,15.04,,2448600.0
2007-11-07,14.99,14.6,14.59,14.99,,2732226.0
2007-11-08,15.32,15.05,14.67,14.67,,4143511.0
2007-11-09,15.17,14.75,14.65,15.06,,3465150.0
2007-11-12,14.46,14.33,13.5,14.28,,11130943.0
2007-11-13,15.66,15.08,14.9,15.15,,5180715.0
2007-11-14,15.94,15.46,15.08,15.1,,4589420.0
2007-11-15,15.48,14.84,14.76,15.43,,6962581.0
2007-11-16,15.12,15.06,14.6,14.92,,4869189.0
2007-11-19,14.99,14.84,14.76,14.99,,5023695.0
2007-11-20,15.21,15.0,14.68,15.14,,7788045.0
2007-11-21,14.91,14.68,14.62,14.91,,3971896.0
2007-11-23,14.91,14.83,14.63,14.91,,1295302.0
2007-11-26,14.94,14.25,14.25,14.86,,5053210.0
2007-11-27,14.41,14.11,13.93,14.41,,5992651.0
2007-11-28,14.82,14.66,14.11,14.24,,4758592.0
2007-11-29,15.13,14.78,14.51,14.64,,3124798.0
2007-11-30,15.0,14.91,14.77,14.92,,2963294.0
2007-12-03,14.98,14.55,14.5,14.84,,3001008.0
2007-12-04,14.79,14.5,14.41,14.42,,2624314.0
2007-12-05,14.72,14.64,14.3,14.66,,3208334.0
2007-12-06,15.39,15.37,14.6,14.63,,3242000.0
2007-12-07,15.71,15.28,15.27,15.48,,1905143.0
2007-12-10,15.46,15.32,15.13,15.28,,1985964.0
2007-12-11,15.48,15.03,14.99,15.31,,2456599.0
2007-12-12,15.5,15.08,14.83,15.34,,2402210.0
2007-12-13,15.2,14.98,14.75,15.06,,2214462.0
2007-12-14,15.01,14.41,14.4,14.81,,2229465.0
2007-12-17,14.45,14.16,14.09,14.38,,2209997.0
2007-12-18,14.88,14.78,14.22,14.25,,3146101.0
2007-12-19,14.82,14.64,14.41,14.82,,2514424.0
2007-12-20,14.97,14.81,14.54,14.77,,2205085.0
2007-12-21,15.46,15.34,14.95,15.0,,3999222.0
2007-12-24,15.54,15.39,15.25,15.28,,690666.0
2007-12-26,15.52,15.43,15.34,15.43,,3593316.0
2007-12-27,15.49,15.34,15.23,15.42,,2187023.0
2007-12-28,15.61,15.4,15.27,15.27,,1645999.0
2007-12-31,15.4,15.33,15.2,15.33,,1653488.0
2008-01-02,15.48,15.11,15.02,15.23,,2262860.0
2008-01-03,15.28,14.25,14.23,15.28,,3992049.0
2008-01-04,14.23,13.91,13.82,14.23,,3282882.0
2008-01-07,14.53,14.48,13.93,13.97,,2814119.0
2008-01-08,14.63,13.97,13.96,14.63,,3058513.0
2008-01-09,14.17,14.16,13.8,13.93,,2883733.0
2008-01-10,14.61,14.49,13.96,14.08,,2816112.0
2008-01-11,14.37,14.12,13.99,14.37,,2346400.0
2008-01-14,14.24,14.03,13.95,14.21,,2374998.0
2008-01-15,14.09,13.88,13.82,13.88,,2115825.0
2008-01-16,14.18,14.01,13.72,13.8,,3675069.0
2008-01-17,14.22,13.63,13.53,14.02,,3853944.0
2008-01-18,13.81,13.32,13.13,13.75,,4116387.0
2008-01-22,13.74,13.45,13.0,13.01,,4065667.0
2008-01-23,13.6,13.56,12.81,13.08,,5135980.0
2008-01-24,13.8,13.49,13.44,13.63,,3469849.0
2008-01-25,13.67,13.26,13.03,13.67,,4234200.0
2008-01-28,14.38,13.99,13.01,13.01,,5785593.0
2008-01-29,13.99,13.65,13.59,13.96,,3564554.0
2008-01-30,14.2,14.01,13.63,13.99,,4527469.0
2008-01-31,14.405,14.22,13.64,13.77,,2654198.0
2008-02-01,14.69,14.41,14.21,14.27,,2202131.0
2008-02-04,14.53,14.05,14.03,14.41,,3257459.0
2008-02-05,14.15,13.79,13.59,14.0,,4689420.0
2008-02-06,13.96,13.75,13.62,13.9,,2303241.0
2008-02-07,13.78,13.67,13.49,13.69,,2851752.0
2008-02-08,13.75,13.68,13.5,13.63,,2443039.0
2008-02-11,13.71,13.56,13.43,13.69,,2286145.0
2008-02-12,13.82,13.62,13.5,13.7,,1396788.0
2008-02-13,13.86,13.84,13.7,13.75,,2208261.0
2008-02-14,13.94,13.68,13.65,13.82,,2672198.0
2008-02-15,13.75,13.63,13.46,13.71,,2343552.0
2008-02-19,14.38,14.21,13.76,13.76,,3736861.0
2008-02-20,15.02,14.88,14.14,14.2,,5312899.0
2008-02-21,15.12,14.35,14.23,14.98,,4023812.0
2008-02-22,14.64,14.57,14.08,14.36,,2486129.0
2008-02-25,14.65,14.56,14.21,14.55,,2253971.0
2008-02-26,14.66,14.32,14.26,14.52,,2769510.0
2008-02-27,14.98,14.82,14.1,14.29,,3514184.0
2008-02-28,15.07,14.87,14.65,14.75,,2458563.0
2008-02-29,14.8,14.41,14.35,14.8,,3016835.0
2008-03-03,15.0,14.96,14.28,14.36,,3430474.0
2008-03-04,15.0,14.92,14.72,14.85,,4409864.0
2008-03-05,16.43,16.19,15.13,15.24,,7405243.0
2008-03-06,16.61,16.25,16.14,16.14,,5644546.0
2008-03-07,16.22,15.81,15.63,16.15,,3541498.0
2008-03-10,15.98,15.67,15.46,15.98,,2993165.0
2008-03-11,16.49,16.06,15.72,16.06,,4401667.0
2008-03-12,16.75,16.45,16.06,16.06,,4773475.0
2008-03-13,16.77,16.6,16.11,16.11,,4362307.0
2008-03-14,16.7,15.95,15.81,16.7,,4689336.0
2008-03-17,16.02,15.61,15.43,15.7,,3882568.0
2008-03-18,16.62,16.56,16.01,16.04,,3525164.0
2008-03-19,17.4405,16.75,16.63,16.85,,5543153.0
2008-03-20,17.15,16.89,16.63,16.84,,6003205.0
2008-03-24,17.12,16.95,16.77,16.93,,3108689.0
2008-03-25,16.95,16.61,16.49,16.77,,3324923.0
2008-03-26,16.7,16.48,16.33,16.49,,1885407.0
2008-03-27,16.6,16.1,16.05,16.5,,3052827.0
2008-03-28,16.42,16.13,16.1,16.37,,2080908.0
2008-03-31,16.17,15.95,15.74,16.0,,3104723.0
2008-04-01,16.83,16.83,16.04,16.04,,3403414.0
2008-04-02,16.88,16.29,16.23,16.88,,2288837.0
2008-04-03,16.49,16.44,16.16,16.19,,2175820.0
2008-04-04,16.88,16.82,16.48,16.51,,2889843.0
2008-04-07,17.31,17.0,16.88,16.98,,2396300.0
2008-04-08,16.92,16.77,16.65,16.85,,1902100.0
2008-04-09,16.76,16.45,16.33,16.71,,3430078.0
2008-04-10,17.08,16.96,16.45,16.48,,5006604.0
2008-04-11,17.03,16.85,16.73,16.73,,4556911.0
2008-04-14,17.23,17.12,16.88,16.88,,5412312.0
2008-04-15,17.6,17.55,17.0,17.26,,4012632.0
2008-04-16,17.9,17.87,17.67,17.67,,4077134.0
2008-04-17,18.48,18.43,17.82,17.87,,8252877.0
2008-04-18,19.5,19.02,18.82,18.82,,10366518.0
2008-04-21,19.45,19.44,18.8,19.04,,5508986.0
2008-04-22,19.44,18.77,18.65,19.33,,4358958.0
2008-04-23,19.08,18.17,17.99,18.81,,7727239.0
2008-04-24,18.37,18.08,17.72,18.17,,5617471.0
2008-04-25,18.3,18.15,17.81,18.25,,6722921.0
2008-04-28,18.74,18.24,17.86,18.03,,4931131.0
2008-04-29,18.41,17.85,17.76,18.4,,5862885.0
2008-04-30,17.94,17.8,17.62,17.85,,6418622.0
2008-05-01,17.97,17.82,17.65,17.66,,4927269.0
2008-05-02,18.15,17.8,17.67,18.13,,4795443.0
2008-05-05,18.06,17.95,17.69,17.85,,4731533.0
2008-05-06,17.88,17.71,17.39,17.8,,5976499.0
2008-05-07,17.82,17.67,17.55,17.75,,6044721.0
2008-05-08,17.93,17.82,17.67,17.73,,3599771.0
2008-05-09,17.73,17.35,17.28,17.53,,3478171.0
2008-05-12,17.8,17.78,17.34,17.5,,4181313.0
2008-05-13,18.1,17.97,17.7,17.83,,7413416.0
2008-05-14,18.44,18.16,17.91,17.98,,3905291.0
2008-05-15,18.73,18.61,18.19,18.32,,3241768.0
2008-05-16,18.85,18.26,18.11,18.64,,2869209.0
2008-05-19,18.68,18.32,18.13,18.3,,4009446.0
2008-05-20,18.38,18.1,17.96,18.2,,2671978.0
2008-05-21,18.52,17.97,17.93,18.1,,2538219.0
2008-05-22,18.5,18.36,17.94,18.1,,2798731.0
2008-05-23,18.34,17.82,17.73,18.31,,2838304.0
2008-05-27,18.15,18.01,17.69,17.79,,2622818.0
2008-05-28,18.24,18.19,17.71,18.08,,3127971.0
2008-05-29,18.9707,18.68,18.13,18.19,,6109321.0
2008-05-30,18.93,18.84,18.47,18.7,,3700461.0
2008-06-02,19.07,18.45,18.44,18.93,,4405474.0
2008-06-03,18.27,16.98,16.72,18.22,,11880610.0
2008-06-04,17.5,17.11,16.69,17.35,,9059220.0
2008-06-05,17.28,17.0,16.9,17.21,,7019277.0
2008-06-06,17.0,16.18,16.12,17.0,,7312084.0
2008-06-09,16.37,15.67,15.49,16.32,,6510447.0
2008-06-10,15.59,15.28,15.17,15.59,,6669172.0
2008-06-11,15.23,14.84,14.71,15.23,,7952664.0
2008-06-12,15.33,14.87,14.66,14.94,,6898705.0
2008-06-13,14.96,14.96,14.71,14.91,,5739044.0
2008-06-16,14.985,14.74,14.46,14.84,,7510128.0
2008-06-17,15.1,14.9,14.72,14.85,,6206049.0
2008-06-18,14.81,13.68,13.1,14.51,,21204674.0
2008-06-19,14.56,14.47,13.56,13.56,,11136311.0
2008-06-20,14.94,14.88,13.6,14.24,,9731559.0
2008-06-23,14.95,14.37,14.3,14.95,,3697948.0
2008-06-24,14.58,14.38,14.11,14.37,,2977842.0
