Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2012-06-28,14.0,13.69,12.82,14.0,2951.0,1266117.0
2012-06-29,14.15,13.99,13.5,13.65,253.0,40368.0
2012-07-02,14.0,14.0,13.54,13.9,81.0,16400.0
2012-07-03,13.7,13.61,13.53,13.56,16.0,2495.0
2012-07-05,13.91,13.81,13.6,13.61,127.0,61295.0
2012-07-06,13.9899,13.89,13.66,13.72,32.0,4114.0
2012-07-09,14.0,13.83,13.6801,14.0,81.0,13689.0
2012-07-10,13.959,13.85,13.56,13.56,68.0,12271.0
2012-07-11,14.0,13.73,13.51,13.98,51.0,9860.0
2012-07-12,13.7,13.7,13.5,13.56,77.0,13014.0
2012-07-13,13.94,13.74,13.52,13.79,146.0,30109.0
2012-07-16,14.0,14.0,13.6,13.6,229.0,36997.0
2012-07-17,14.18,13.88,13.62,14.0,106.0,22831.0
2012-07-18,14.08,13.93,13.65,13.65,363.0,49555.0
2012-07-19,14.05,14.0,13.798,13.97,230.0,29275.0
2012-07-20,14.12,13.5,13.5,14.1071,52.0,34041.0
2012-07-23,14.0,13.9,13.7,13.7,206.0,37164.0
2012-07-24,14.09,14.0,13.75,14.0,400.0,107048.0
2012-07-25,14.016,14.0,13.84,14.0,44.0,6875.0
2012-07-26,14.0,13.61,13.6001,14.0,42.0,28242.0
2012-07-27,13.75,13.59,13.59,13.61,17.0,3230.0
2012-07-30,13.79,13.6,13.59,13.6,12.0,1759.0
2012-07-31,13.79,13.26,13.2,13.7,125.0,18463.0
2012-08-01,13.5,13.5,13.06,13.13,118.0,16089.0
2012-08-02,13.6,13.165,13.1,13.53,142.0,24867.0
2012-08-03,13.88,13.28,13.0,13.22,135.0,28840.0
2012-08-06,13.64,13.05,13.0,13.64,123.0,31865.0
2012-08-07,13.53,13.53,13.02,13.16,125.0,28939.0
2012-08-08,13.47,13.06,13.02,13.3,164.0,36619.0
2012-08-09,13.79,13.79,13.13,13.495,235.0,45599.0
2012-08-10,13.7299,13.42,13.25,13.63,274.0,51597.0
2012-08-13,13.659,13.4,13.105,13.46,453.0,61895.0
2012-08-14,13.56,13.0,12.89,13.39,438.0,60323.0
2012-08-15,13.649,13.2,12.2,12.99,69.0,14725.0
2012-08-16,13.12,13.0,12.3001,13.12,83.0,15377.0
2012-08-17,12.93,12.93,12.73,12.88,107.0,15822.0
2012-08-20,12.92,12.92,12.8,12.88,53.0,8300.0
2012-08-21,13.35,12.8947,12.85,12.88,34.0,6232.0
2012-08-22,12.9,12.7,12.0,12.9,49.0,13343.0
2012-08-23,12.79,12.63,12.39,12.67,81.0,10250.0
2012-08-24,12.85,12.36,12.23,12.7,262.0,34293.0
2012-08-27,12.48,11.29,11.16,12.48,274.0,43622.0
2012-08-28,11.6,11.34,11.2,11.3,111.0,12886.0
2012-08-29,11.88,11.25,11.05,11.88,41.0,4704.0
2012-08-30,11.94,11.86,11.34,11.69,53.0,18980.0
2012-08-31,13.28,12.38,11.67,12.05,107.0,16209.0
2012-09-04,12.73,12.44,12.05,12.29,54.0,8912.0
2012-09-05,13.19,12.84,12.4,12.4,39.0,5940.0
2012-09-06,13.23,12.77,12.69,12.99,116.0,15988.0
2012-09-07,13.46,13.46,12.22,12.22,56.0,9227.0
2012-09-10,13.5,13.31,12.5301,13.45,500.0,89563.0
2012-09-11,14.0,14.0,13.27,13.32,38.0,6676.0
2012-09-12,14.0,13.44,13.4,13.58,93.0,15595.0
2012-09-13,13.89,13.71,13.5,13.5,138.0,19061.0
2012-09-14,13.65,13.54,13.4,13.44,39.0,4800.0
2012-09-17,13.71,13.51,13.3,13.45,565.0,93323.0
2012-09-18,13.93,13.75,13.39,13.6,162.0,22547.0
2012-09-19,14.06,14.06,13.72,13.72,140.0,14900.0
2012-09-20,14.29,14.22,13.6,14.25,108.0,12022.0
2012-09-21,14.35,14.25,14.001,14.28,89.0,38937.0
2012-09-24,15.05,14.15,14.01,14.31,346.0,42045.0
2012-09-25,14.25,14.0,13.71,14.0,213.0,30340.0
2012-09-26,14.3,14.26,13.53,14.0,727.0,125745.0
2012-09-27,14.555,14.23,14.01,14.32,222.0,27700.0
2012-09-28,14.5,14.23,13.995,14.21,402.0,439428.0
2012-10-01,15.71,15.3,13.83,14.41,376.0,54383.0
2012-10-02,15.5,15.49,15.01,15.27,332.0,53457.0
2012-10-03,15.49,15.0,14.69,15.4,487.0,59980.0
2012-10-04,15.44,14.99,14.53,14.84,229.0,29580.0
2012-10-05,16.34,15.11,14.7,15.03,222.0,26707.0
2012-10-08,15.11,14.91,14.68,15.11,80.0,10333.0
2012-10-09,15.09,14.98,14.8,14.97,378.0,64711.0
2012-10-10,15.12,15.07,14.91,14.98,235.0,35603.0
2012-10-11,15.14,14.99,14.82,15.14,139.0,33444.0
2012-10-12,15.08,15.02,15.0,15.0,44.0,5518.0
2012-10-15,15.15,15.12,14.95,15.02,35.0,5794.0
2012-10-16,15.21,15.21,15.0,15.12,61.0,8155.0
2012-10-17,15.27,15.235,15.12,15.2,63.0,12313.0
2012-10-18,15.35,15.24,15.1,15.222,38.0,5340.0
2012-10-19,15.35,15.33,15.01,15.09,84.0,14989.0
