Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2007-09-06,83.98,83.56,83.53,83.64,2700.0
2007-09-07,83.37,82.66,82.54,83.37,2900.0
2007-09-10,83.45,82.75,82.31,82.6,6200.0
2007-09-11,85.12,85.0,84.16,84.16,2900.0
2007-09-12,85.3,84.85,84.75,85.25,3200.0
2007-09-13,85.5,84.75,84.432,85.5,3200.0
2007-09-14,84.66,84.12,83.91,84.66,6600.0
2007-09-17,84.55,83.5,83.38,84.55,4400.0
2007-09-18,87.39,87.27,84.75,85.0,28700.0
2007-09-19,88.8,87.75,87.75,88.0,5900.0
2007-09-20,89.34,88.56,88.2,89.1,5100.0
2007-09-21,90.0,89.25,89.15,89.15,2900.0
2007-09-24,90.56,89.91,89.53,90.0,2200.0
2007-09-25,88.78,87.5,87.31,88.78,3200.0
2007-09-26,88.5,88.4,87.77,87.99,27200.0
2007-09-27,89.0,88.85,88.49,89.0,3700.0
2007-09-28,87.98,87.79,87.5,87.95,3000.0
2007-10-01,89.04,89.0,87.65,87.78,3800.0
2007-10-02,90.49,90.05,89.75,89.8,4800.0
2007-10-03,89.2,88.65,88.25,89.2,4800.0
2007-10-04,88.25,87.48,87.31,88.25,3300.0
2007-10-05,87.68,87.68,86.94,87.18,4300.0
2007-10-08,87.5,86.35,86.3,87.5,2200.0
2007-10-09,86.98,86.85,86.85,86.98,200.0
2007-10-10,86.8,86.42,85.9,86.8,4200.0
2007-10-11,87.8,86.96,86.54,87.5,3400.0
2007-10-12,88.71,88.25,87.54,87.66,2800.0
2007-10-15,86.29,84.86,84.58,86.29,6400.0
2007-10-16,84.28,83.23,83.22,84.28,5300.0
2007-10-17,85.74,85.74,84.5,84.5,10600.0
2007-10-18,85.75,85.46,84.97,85.75,2100.0
2007-10-19,84.19,82.75,82.5,84.19,6400.0
2007-10-22,83.29,82.57,82.43,82.43,1600.0
2007-10-23,83.29,82.69,82.21,83.29,7200.0
2007-10-24,82.4,81.5,80.28,82.4,8900.0
2007-10-25,82.68,82.5,81.62,81.62,5400.0
2007-10-26,84.55,84.49,83.41,83.55,14100.0
2007-10-29,84.93,84.38,84.12,84.71,5100.0
2007-10-30,84.5,83.6,83.5,83.8,6000.0
2007-10-31,84.0,82.23,81.7,84.0,5300.0
2007-11-01,81.87,79.18,78.81,81.5,15300.0
2007-11-02,78.43,77.82,77.15,78.43,11800.0
2007-11-05,76.92,76.29,76.05,76.92,7000.0
2007-11-06,78.05,77.86,77.07,77.15,6100.0
2007-11-07,77.45,76.33,76.01,77.45,15800.0
2007-11-08,77.85,76.64,76.12,77.85,3700.0
2007-11-09,75.21,75.21,74.33,74.74,10200.0
2007-11-12,74.0,70.01,70.01,74.0,12589.0
2007-11-13,73.0,72.8,71.5,71.5,7600.0
2007-11-14,73.0,72.0,72.0,73.0,10000.0
2007-11-15,71.0,67.94,67.5,71.0,17437.0
2007-11-16,67.73,67.48,66.82,67.73,9700.0
2007-11-19,67.53,66.42,66.14,67.53,24300.0
2007-11-20,70.23,70.0,69.26,69.49,9800.0
2007-11-21,68.4,68.126,67.25,68.4,11500.0
2007-11-23,69.45,69.45,67.99,68.6,8200.0
2007-11-26,68.51,67.7,67.7,68.51,5300.0
2007-11-27,69.75,69.02,68.0,68.0,22800.0
2007-11-28,71.76,70.74,68.9,68.95,10800.0
2007-11-29,72.1,71.95,71.03,71.1,20800.0
2007-11-30,72.1,71.45,71.05,71.9,9300.0
2007-12-03,72.0,71.6,71.03,71.6,14500.0
2007-12-04,71.15,70.64,70.26,70.8,8200.0
2007-12-05,72.74,72.598,71.75,71.78,18300.0
2007-12-06,75.5,75.32,73.99,74.0,9200.0
2007-12-07,75.75,75.33,75.0,75.0,4800.0
2007-12-10,76.13,75.8,75.32,75.5,11800.0
2007-12-11,77.67,75.46,75.17,77.09,14600.0
2007-12-12,78.94,76.96,76.39,77.85,12200.0
2007-12-13,77.46,76.65,75.51,76.1,33100.0
2007-12-14,74.7,73.32,73.32,74.7,9300.0
2007-12-17,74.29,72.82,72.82,73.5,15200.0
2007-12-18,72.48,72.22,71.0401,72.0,22700.0
2007-12-19,72.5,72.19,71.27,71.35,11600.0
2007-12-20,70.636,70.49,69.73,70.54,17100.0
2007-12-21,73.64,73.55,72.5,72.5,7000.0
2007-12-24,74.65,74.41,73.81,74.0,2000.0
2007-12-26,74.98,74.41,73.6,73.6,4700.0
2007-12-27,74.2,74.2,73.3,73.8,10500.0
2007-12-28,74.69,73.78,73.04,73.84,16500.0
2007-12-31,74.68,74.16,73.59,74.08,10800.0
2008-01-02,75.1,74.47,74.1,74.33,12300.0
2008-01-03,74.68,74.47,73.79,74.47,4900.0
2008-01-04,75.0,73.24,73.15,75.0,172600.0
2008-01-07,73.19,72.83,72.38,73.14,70400.0
2008-01-08,72.92,71.5,70.61,72.92,13700.0
2008-01-09,71.2,71.148,70.3,71.0,45400.0
2008-01-10,69.45,69.1,68.08,68.4,15400.0
2008-01-11,67.87,67.38,67.02,67.32,18000.0
2008-01-14,68.75,68.23,67.52,67.75,17800.0
2008-01-15,67.25,65.65,64.43,67.12,71197.0
2008-01-16,63.4799,61.7,61.7,62.5,37400.0
2008-01-17,63.0,61.28,61.28,62.45,12200.0
2008-01-18,63.91,63.01,62.4856,63.67,10000.0
2008-01-22,60.25,59.95,57.5,57.5,32400.0
2008-01-23,59.95,59.92,58.01,58.89,29100.0
2008-01-24,61.37,60.6,60.28,60.28,17800.0
2008-01-25,63.55,62.82,62.29,63.02,103800.0
2008-01-28,62.24,62.23,61.0,61.0,19200.0
2008-01-29,63.4,63.17,62.8,62.8,10100.0
2008-01-30,64.05,63.14,62.0,62.25,40200.0
2008-01-31,71.69,71.69,62.99,62.99,108400.0
2008-02-01,72.4,71.82,70.6,70.75,27100.0
2008-02-04,73.64,73.25,72.85,73.0,18459.0
2008-02-05,72.16,70.36,70.0801,71.75,12700.0
2008-02-06,68.24,66.99,66.66,67.49,9400.0
2008-02-07,66.08,65.88,65.09,66.03,19000.0
2008-02-08,64.5,63.51,63.5,64.5,11400.0
2008-02-11,64.97,64.35,63.72,63.72,13200.0
2008-02-12,69.48,68.69,67.95,67.95,15400.0
2008-02-13,70.02,69.95,68.96,68.96,10100.0
2008-02-14,72.5,71.01,71.01,72.14,7700.0
2008-02-15,73.93,73.29,72.75,73.1,14752.0
2008-02-19,75.25,73.84,73.54,74.51,30090.0
2008-02-20,71.82,71.44,70.3,71.02,5500.0
2008-02-21,74.16,72.89,72.6,73.0,18500.0
2008-02-22,72.66,72.66,71.63,72.2301,5500.0
2008-02-25,74.8,74.75,73.92,74.19,14600.0
2008-02-26,75.0,74.88,73.52,73.52,7300.0
