Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2004-08-04,13.28,13.0,12.91,12.91,,7580.0
2004-08-05,12.92,12.9,12.9,12.91,,3475.0
2004-08-06,13.0,12.9,12.9,12.9,,4800.0
2004-08-09,13.0,13.0,12.9,12.99,,5788.0
2004-08-10,13.05,13.01,13.01,13.01,,1875.0
2004-08-11,13.0,12.91,12.9,12.91,,5060.0
2004-08-12,13.14,12.92,12.9,13.13,,7376.0
2004-08-13,13.0,12.9,12.9,12.91,,7318.0
2004-08-16,13.14,12.85,12.81,13.14,,4183.0
2004-08-17,12.86,12.72,12.7,12.86,,67720.0
2004-08-18,13.1,12.85,12.8,12.8,,9399.0
2004-08-19,12.9,12.71,12.7,12.81,,12767.0
2004-08-20,12.9,12.9,12.7,12.71,,4780.0
2004-08-23,12.91,12.75,12.75,12.78,,7581.0
2004-08-24,12.9,12.9,12.72,12.76,,9240.0
2004-08-25,12.98,12.98,12.6,12.7,,8800.0
2004-08-26,12.8,12.69,12.63,12.77,,12570.0
2004-08-27,12.75,12.7,12.58,12.65,,12877.0
2004-08-30,12.7,12.61,12.6,12.7,,8718.0
2004-08-31,12.75,12.58,12.51,12.51,,22632.0
2004-09-01,12.75,12.75,12.55,12.55,,16199.0
2004-09-02,12.75,12.69,12.65,12.65,,5471.0
2004-09-03,12.8,12.75,12.63,12.8,,6418.0
2004-09-07,12.89,12.78,12.69,12.82,,15106.0
2004-09-08,12.92,12.92,12.7,12.9,,13250.0
2004-09-09,12.97,12.95,12.9,12.9,,7611.0
2004-09-10,13.0,13.0,12.9,12.95,,29725.0
2004-09-13,12.73,12.62,12.59,12.69,,19637.0
2004-09-14,12.65,12.6,12.55,12.61,,9031.0
2004-09-15,12.68,12.62,12.56,12.56,,14907.0
2004-09-16,12.6,12.59,12.56,12.59,,14815.0
2004-09-17,12.63,12.57,12.56,12.6,,16254.0
2004-09-20,12.59,12.53,12.53,12.55,,5316.0
2004-09-21,12.54,12.51,12.5,12.52,,25054.0
2004-09-22,12.52,12.44,12.44,12.52,,13851.0
2004-09-23,12.46,12.39,12.39,12.44,,15517.0
2004-09-24,12.6,12.41,12.4,12.44,,16588.0
2004-09-27,12.6,12.49,12.32,12.4,,23576.0
2004-09-28,12.52,12.45,12.44,12.52,,20115.0
2004-09-29,12.45,12.37,12.26,12.27,,22283.0
2004-09-30,12.48,12.48,12.38,12.42,,19370.0
2004-10-01,12.55,12.46,12.45,12.48,,11578.0
2004-10-04,12.7,12.54,12.54,12.6,,13752.0
2004-10-05,12.61,12.6,12.58,12.59,,17854.0
2004-10-06,12.64,12.36,12.36,12.55,,14189.0
2004-10-07,12.58,12.53,12.4,12.4,,11606.0
2004-10-08,12.46,12.4,12.4,12.41,,10685.0
2004-10-12,12.43,12.18,12.16,12.43,,14744.0
2004-10-13,12.3,12.06,12.05,12.19,,19063.0
2004-10-14,12.12,11.97,11.97,12.12,,18364.0
2004-10-15,12.07,11.92,11.9,12.07,,18946.0
2004-10-18,12.05,11.95,11.85,12.0,,11045.0
2004-10-19,12.07,11.96,11.96,12.07,,12261.0
2004-10-20,11.93,11.92,11.91,11.91,,6150.0
2004-10-21,11.97,11.95,11.9,11.95,,17772.0
2004-10-22,11.99,11.75,11.75,11.95,,16482.0
2004-10-25,11.72,11.43,10.1,11.72,,43865.0
2004-10-26,11.71,11.56,11.49,11.71,,26543.0
2004-10-27,11.74,11.74,11.43,11.7,,27428.0
2004-10-28,11.74,11.55,11.55,11.74,,30863.0
2004-10-29,11.74,11.74,11.5,11.5,,23736.0
2004-11-01,11.75,11.58,11.48,11.75,,20730.0
2004-11-02,11.75,11.57,11.49,11.52,,18455.0
2004-11-03,11.85,11.55,11.55,11.72,,22472.0
2004-11-04,11.85,11.85,11.6,11.6,,35334.0
2004-11-05,12.0,12.0,11.8,11.8,,23767.0
2004-11-08,11.99,11.99,11.93,11.93,,13336.0
2004-11-09,12.05,12.05,11.97,12.0,,29532.0
2004-11-10,12.15,12.15,12.01,12.03,,21622.0
2004-11-11,12.12,12.12,12.04,12.07,,15005.0
2004-11-12,12.1,12.09,12.02,12.02,,40231.0
2004-11-15,12.16,12.16,12.14,12.15,,12786.0
2004-11-16,12.15,12.15,12.04,12.06,,11874.0
2004-11-17,12.2,12.1,12.05,12.09,,30926.0
2004-11-18,12.18,12.18,12.08,12.08,,23294.0
2004-11-19,12.39,12.15,12.15,12.39,,11120.0
2004-11-22,12.35,12.35,12.0,12.02,,15450.0
2004-11-23,12.05,12.05,12.03,12.04,,1830.0
2004-11-24,12.15,12.15,12.1,12.13,,20803.0
2004-11-25,12.15,12.07,12.06,12.15,,16514.0
2004-11-26,12.1,12.08,12.06,12.06,,8017.0
2004-11-29,12.15,12.11,12.05,12.08,,8700.0
2004-11-30,12.2,12.11,12.1,12.11,,18620.0
2004-12-01,12.2,12.11,11.9,12.12,,34976.0
2004-12-02,12.2,12.15,12.1,12.17,,90958.0
2004-12-03,12.35,12.25,12.16,12.16,,34795.0
2004-12-06,12.37,12.37,12.25,12.25,,17923.0
2004-12-07,12.48,12.26,12.26,12.33,,26294.0
2004-12-08,12.41,12.31,12.26,12.3,,16232.0
2004-12-09,12.31,12.31,12.29,12.29,,12467.0
2004-12-10,12.5,12.36,12.27,12.27,,26161.0
2004-12-13,12.0,11.89,11.88,11.91,,19823.0
2004-12-14,12.0,11.98,11.9,11.9,,11010.0
2004-12-15,12.15,12.12,11.89,11.98,,39869.0
2004-12-16,12.11,12.1,11.99,12.0,,27817.0
2004-12-17,12.0,11.88,11.84,11.91,,18631.0
2004-12-20,11.88,11.63,11.4,11.88,,27420.0
2004-12-21,11.77,11.65,11.47,11.47,,21658.0
2004-12-22,11.73,11.55,11.53,11.65,,30323.0
2004-12-23,11.8,11.75,11.53,11.53,,26200.0
2004-12-24,11.99,11.68,11.56,11.56,,20983.0
2004-12-29,11.67,11.67,11.5,11.65,,9488.0
2004-12-30,11.7,11.7,11.57,11.62,,7342.0
2004-12-31,11.85,11.71,11.71,11.85,,2863.0
2005-01-04,11.85,11.61,11.61,11.75,,6374.0
2005-01-05,11.85,11.74,11.68,11.68,,8435.0
2005-01-06,12.0,12.0,11.75,11.75,,3075.0
2005-01-07,12.0,11.85,11.78,11.8,,5450.0
2005-01-10,11.9,11.72,11.7,11.78,,21413.0
