Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-04,15.49,15.3,15.3,15.375,,923180.0
2007-09-05,15.37,15.155,15.155,15.155,,3106.0
2007-09-06,16.12,15.705,15.155,15.155,,146172.0
2007-09-07,16.125,15.725,15.725,15.92,,56508.0
2007-09-10,15.9,15.7,15.6,15.725,,60642.0
2007-09-11,15.99,15.85,15.8,15.8,,24448.0
2007-09-12,15.895,15.875,15.8,15.895,,10658.0
2007-09-13,15.95,15.9,15.8,15.875,,18518.0
2007-09-14,15.9,15.9,15.655,15.9,,4552.0
2007-09-17,15.9,15.9,15.895,15.9,,5012.0
2007-09-18,15.95,15.92,15.745,15.95,,8052.0
2007-09-19,15.97,15.87,15.73,15.735,,2508.0
2007-09-20,15.925,15.8,15.7,15.925,,20820.0
2007-09-21,15.8,15.5,15.5,15.8,,9344.0
2007-09-24,15.505,15.5,15.4,15.5,,69696.0
2007-09-25,15.495,15.45,15.3,15.495,,11208.0
2007-09-26,15.45,15.45,15.25,15.25,,2610.0
2007-09-27,15.4,15.395,15.25,15.28,,4168.0
2007-09-28,15.4,15.28,15.275,15.4,,52782.0
2007-10-01,15.475,15.475,15.25,15.25,,10410.0
2007-10-02,15.475,15.475,15.31,15.475,,9074.0
2007-10-03,15.775,15.77,15.47,15.475,,142500.0
2007-10-04,15.67,15.53,15.505,15.67,,62604.0
2007-10-05,15.68,15.525,15.525,15.675,,14348.0
2007-10-09,15.7,15.7,15.525,15.525,,36146.0
2007-10-10,15.8,15.675,15.505,15.7,,34382.0
2007-10-11,15.875,15.625,15.5,15.75,,66014.0
2007-10-12,15.625,15.45,15.43,15.625,,16364.0
2007-10-15,15.625,15.625,15.375,15.375,,23210.0
2007-10-16,15.625,15.61,15.605,15.625,,10996.0
2007-10-17,15.675,15.675,15.4,15.4,,11734.0
2007-10-18,15.675,15.4,15.4,15.675,,14542.0
2007-10-19,15.66,15.42,15.405,15.66,,42030.0
2007-10-22,15.42,15.35,15.29,15.42,,14612.0
2007-10-23,15.43,15.255,15.255,15.35,,95874.0
2007-10-24,15.375,15.375,15.365,15.375,,14698.0
2007-10-25,15.375,15.375,15.3,15.3,,8646.0
2007-10-26,15.4,15.375,15.3,15.375,,35298.0
2007-10-29,15.375,15.37,15.3,15.37,,12850.0
2007-10-30,15.375,15.375,15.305,15.375,,5122.0
2007-10-31,15.375,15.375,15.36,15.375,,35142.0
2007-11-01,15.375,15.375,15.275,15.375,,3026.0
2007-11-02,15.375,15.375,15.25,15.275,,25328.0
2007-11-05,15.375,15.37,15.275,15.375,,40324.0
2007-11-06,15.375,15.365,15.26,15.37,,8520.0
2007-11-07,15.25,15.09,15.01,15.03,,8084.0
2007-11-08,15.1,14.67,14.53,15.1,,31500.0
2007-11-09,14.625,14.48,14.45,14.625,,26434.0
2007-11-12,14.75,14.5,14.355,14.75,,24858.0
2007-11-13,14.505,14.425,14.42,14.505,,39782.0
2007-11-14,14.47,14.425,14.07,14.375,,16448.0
2007-11-15,14.37,14.35,14.305,14.305,,5484.0
2007-11-16,14.395,14.35,14.275,14.3,,19740.0
2007-11-19,14.3,14.055,14.0,14.3,,82602.0
2007-11-20,13.96,13.75,13.75,13.955,,10268.0
2007-11-21,14.02,13.825,13.8,13.8,,6608.0
2007-11-22,14.055,14.055,13.615,13.615,,12484.0
2007-11-23,14.06,14.0,14.0,14.055,,4602.0
2007-11-26,14.02,13.98,13.98,14.005,,15466.0
2007-11-27,13.925,13.8,13.8,13.875,,4168.0
2007-11-28,13.825,13.8,13.75,13.795,,43420.0
2007-11-29,13.79,13.72,13.625,13.75,,25732.0
2007-11-30,13.75,13.675,13.63,13.7,,15466.0
