Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2012-03-28,24.48,21.03,21.03,24.0,,7165788.0
2012-03-29,24.91,24.91,20.2,20.66,,388873.0
2012-03-30,24.48,23.4,22.71,24.46,,153382.0
2012-04-02,23.25,23.0,21.5,23.06,,110098.0
2012-04-03,22.97,22.1,21.93,22.65,,80717.0
2012-04-04,21.855,21.1,21.06,21.55,,248274.0
2012-04-05,23.5,21.65,20.73,21.0,,108174.0
2012-04-09,21.92,21.41,21.0,21.41,,27813.0
2012-04-10,22.14,21.1,20.85,21.09,,91823.0
2012-04-11,21.4599,21.09,21.0,21.1,,31754.0
2012-04-12,21.91,21.64,20.94,21.0,,78758.0
2012-04-13,22.65,21.18,21.0,21.53,,28633.0
2012-04-16,22.62,22.26,21.48,21.48,,84655.0
2012-04-17,22.45,22.3,22.1,22.32,,67047.0
2012-04-18,22.49,22.13,22.1,22.36,,90541.0
2012-04-19,22.33,22.3,22.13,22.33,,55690.0
2012-04-20,24.2,21.93,21.93,22.2,,165056.0
2012-04-23,22.649,21.08,20.7,22.22,,125535.0
2012-04-24,21.29,21.0,20.975,21.11,,20017.0
2012-04-25,22.23,21.11,21.0,21.33,,21405.0
2012-04-26,22.1366,21.03,21.0,21.12,,26490.0
2012-04-27,21.73,21.5,20.95,21.22,,126280.0
2012-04-30,22.16,22.15,21.45,21.62,,20352.0
2012-05-01,22.63,21.99,21.69,21.99,,67492.0
2012-05-02,22.08,21.59,21.5,21.71,,57838.0
2012-05-03,23.219999,21.92,21.46,21.46,,81033.0
2012-05-04,21.775,21.73,21.5,21.66,,20302.0
2012-05-07,23.22,23.07,21.004,21.55,728.0,130434.0
2012-05-08,23.03,22.13,21.89,23.03,669.0,91041.0
2012-05-09,22.13,21.85,21.49,21.7601,248.0,31176.0
2012-05-10,23.575,23.35,21.97,21.97,1888.0,302003.0
2012-05-11,26.0,25.16,22.88,23.2,1374.0,221638.0
2012-05-14,25.99,25.62,24.55,24.99,748.0,121739.0
