Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-10-16,39.64,37.16,35.06,38.0,56241.0,13957602.0
2013-10-17,42.0,41.6,37.1,37.13,12804.0,2938494.0
2013-10-18,44.99,44.39,43.59,43.7,5327.0,1191126.0
2013-10-21,49.0,46.24,45.39,49.0,4361.0,1003207.0
2013-10-22,48.0,42.95,41.768,47.96,5706.0,1137987.0
2013-10-23,42.93,40.15,39.57,42.47,4547.0,953536.0
2013-10-24,43.34,43.15,40.15,40.15,2861.0,592121.0
2013-10-25,44.6199,43.0,40.6,44.0,1850.0,392477.0
2013-10-28,43.25,40.47,40.11,43.25,1558.0,340616.0
2013-10-29,41.0,38.72,38.01,40.48,2754.0,528374.0
2013-10-30,39.0,37.2,36.8201,38.62,3680.0,641492.0
2013-10-31,39.49,38.91,35.0,36.9,5388.0,1277116.0
2013-11-01,40.3,38.58,37.55,39.0,2029.0,401113.0
2013-11-04,39.92,38.93,37.5,39.04,1461.0,264504.0
2013-11-05,39.56,38.19,37.9,39.0,1510.0,281106.0
2013-11-06,38.88,38.64,37.8,38.76,971.0,189591.0
2013-11-07,38.6965,38.11,37.68,38.64,1217.0,260624.0
2013-11-08,40.62,40.54,38.15,38.15,2551.0,504298.0
2013-11-11,40.59,37.19,37.09,40.23,3980.0,721118.0
2013-11-12,37.64,37.1,36.6,37.64,1423.0,279817.0
2013-11-13,38.77,38.71,36.75,37.0,896.0,184689.0
2013-11-14,39.05,38.85,38.36,39.05,613.0,110931.0
2013-11-15,41.05,38.59,38.48,39.44,1985.0,365879.0
2013-11-18,40.79,38.53,38.25,38.6,1536.0,297522.0
2013-11-19,38.32,37.01,36.81,38.25,1573.0,272559.0
2013-11-20,38.619,36.93,36.75,37.75,1537.0,251851.0
2013-11-21,37.99,37.55,36.85,37.16,1908.0,418162.0
2013-11-22,39.7,38.15,37.83,39.44,3976.0,775483.0
2013-11-25,40.78,39.49,38.38,39.18,3850.0,726777.0
2013-11-26,42.465,42.13,38.4,38.41,5729.0,994046.0
2013-11-27,43.69,41.91,41.02,42.44,3407.0,521789.0
2013-11-29,42.5899,40.49,39.731,42.29,2680.0,443555.0
2013-12-02,42.22,41.22,40.03,40.03,2436.0,390100.0
2013-12-03,42.27,40.21,39.99,40.33,4564.0,743665.0
2013-12-04,41.89,40.14,39.95,40.35,4687.0,825002.0
2013-12-05,41.48,40.98,40.0311,40.49,5714.0,1122094.0
2013-12-06,44.3,40.05,38.5,43.22,17182.0,3305870.0
2013-12-09,40.08,38.08,37.82,40.04,9411.0,1406254.0
2013-12-10,39.48,38.31,37.98,38.08,3586.0,610552.0
2013-12-11,38.91,37.88,37.78,38.4,3807.0,508935.0
2013-12-12,38.28,37.52,37.4024,37.7,3185.0,472043.0
2013-12-13,37.8599,36.93,36.67,37.83,4503.0,752489.0
2013-12-16,37.09,34.17,32.56,36.97,20188.0,3466567.0
2013-12-17,34.31,34.06,32.88,34.31,9557.0,1625984.0
2013-12-18,34.15,33.57,32.6,33.22,6327.0,1090062.0
2013-12-19,33.319,32.94,32.05,33.2,5934.0,988040.0
2013-12-20,33.99,33.69,32.25,33.0,9029.0,2274669.0
2013-12-23,33.9,32.7,32.53,33.6,4272.0,644051.0
2013-12-24,32.98,32.83,32.59,32.9,2539.0,489302.0
2013-12-26,33.49,32.31,32.08,32.75,3139.0,459750.0
2013-12-27,32.41,31.86,31.56,32.15,3504.0,561499.0
2013-12-30,32.4,31.88,31.43,31.8,2770.0,528538.0
2013-12-31,32.2299,32.1,31.63,32.07,2481.0,544748.0
2014-01-02,32.4299,32.33,31.9,32.08,2596.0,392817.0
2014-01-03,35.5,35.17,32.0,32.35,10170.0,1605580.0
2014-01-06,35.59,34.86,34.14,35.02,6435.0,882112.0
2014-01-07,34.91,34.34,33.7,34.69,4436.0,807815.0
2014-01-08,35.0,34.17,33.8001,34.28,4745.0,780405.0
2014-01-09,34.38,32.63,32.11,34.07,6060.0,925630.0
2014-01-10,32.73,32.53,31.5,32.63,5025.0,974601.0
2014-01-13,33.1,33.07,32.47,32.91,4169.0,609597.0
2014-01-14,33.76,33.74,32.91,33.09,4342.0,794839.0
2014-01-15,33.5,32.02,28.7117,33.29,26624.0,5052067.0
2014-01-16,32.36,31.94,31.31,32.0,5346.0,1326023.0
2014-01-17,31.9905,31.5,31.32,31.9,4972.0,916799.0
2014-01-21,31.89,31.76,31.22,31.6,4163.0,622364.0
2014-01-22,31.97,31.29,31.14,31.96,2995.0,468896.0
2014-01-23,32.08,31.62,31.25,31.89,4450.0,649679.0
2014-01-24,32.01,31.89,30.91,31.41,4273.0,556076.0
2014-01-27,31.89,31.09,30.58,31.82,2906.0,397236.0
2014-01-28,31.57,31.02,30.9,31.11,1624.0,197743.0
2014-01-29,31.18,31.0,30.5,30.71,3109.0,427506.0
2014-01-30,32.64,32.25,31.26,31.26,3383.0,525185.0
2014-01-31,32.39,31.79,31.75,31.98,2108.0,347352.0
2014-02-03,31.78,29.46,29.19,31.76,5463.0,1010018.0
2014-02-04,30.11,30.04,28.81,29.55,3848.0,863787.0
2014-02-05,30.38,29.76,29.465,29.68,2934.0,540834.0
2014-02-06,30.73,30.55,29.84,29.96,1940.0,240943.0
2014-02-07,30.97,30.81,30.56,30.75,1939.0,289433.0
2014-02-10,31.03,30.85,30.69,30.9,1162.0,154303.0
2014-02-11,31.34,31.02,30.45,30.9,1857.0,228060.0
2014-02-12,31.54,31.3,30.9246,31.17,1856.0,333432.0
2014-02-13,32.96,32.62,31.29,31.29,2896.0,464256.0
2014-02-14,34.26,34.23,32.495,32.83,4901.0,929979.0
2014-02-18,36.17,35.85,34.376,34.4,6302.0,1069441.0
2014-02-19,36.27,35.9,35.18,35.76,3304.0,517229.0
2014-02-20,36.04,35.87,35.39,35.89,1842.0,230248.0
2014-02-21,35.91,35.05,34.36,35.91,2431.0,345860.0
2014-02-24,36.07,35.17,34.83,35.07,2557.0,456171.0
2014-02-25,35.07,35.0,33.678,35.07,3111.0,454559.0
2014-02-26,35.31,35.17,34.7243,35.05,3177.0,443036.0
2014-02-27,36.22,35.85,35.07,35.22,3337.0,623089.0
2014-02-28,38.08,35.3,34.7,36.07,7248.0,1373024.0
2014-03-03,36.04,35.99,34.22,34.96,3686.0,461388.0
2014-03-04,37.85,37.8,35.63,36.35,13267.0,1928997.0
2014-03-05,39.81,34.76,34.12,39.81,28073.0,4219898.0
2014-03-06,35.7299,34.05,33.78,34.86,7410.0,1139552.0
2014-03-07,34.1288,32.43,32.32,33.85,9142.0,1724434.0
2014-03-10,33.91,33.77,32.28,32.65,5948.0,965925.0
2014-03-11,34.06,32.97,32.86,33.98,4203.0,673299.0
2014-03-12,33.5,33.29,32.83,32.83,3159.0,523533.0
2014-03-13,33.472,32.57,31.88,33.39,5664.0,869895.0
2014-03-14,32.99,32.26,32.0,32.59,3158.0,434673.0
2014-03-17,33.4,33.1,32.2821,32.6,4034.0,680274.0
2014-03-18,34.0,33.78,33.47,33.94,5010.0,744883.0
2014-03-19,33.78,32.82,32.55,33.78,2352.0,428506.0
2014-03-20,32.87,31.74,31.65,32.49,3306.0,613623.0
2014-03-21,32.0599,30.11,29.85,31.71,5315.0,909239.0
2014-03-24,30.165,27.39,27.0,30.14,11144.0,1639646.0
2014-03-25,28.83,27.27,26.64,27.0,15624.0,2552790.0
2014-03-26,27.13,26.27,25.21,26.85,36086.0,7965434.0
2014-03-27,26.7,26.0,25.37,26.2,8030.0,1461227.0
2014-03-28,26.92,26.91,25.8401,26.05,5404.0,992158.0
2014-03-31,27.1,26.7,26.35,26.9,4302.0,718835.0
2014-04-01,27.08,26.29,26.04,26.7,7298.0,1137058.0
2014-04-02,29.06,26.39,25.85,28.39,15673.0,2764852.0
2014-04-03,26.5,24.73,24.69,26.39,10214.0,1748516.0
2014-04-04,25.1,23.1,21.91,24.78,19488.0,4269649.0
2014-04-07,23.32,23.05,22.5,22.86,7375.0,1215109.0
2014-04-08,23.65,23.42,22.54,23.1,9205.0,1357478.0
2014-04-09,24.17,24.14,23.0,23.5,7394.0,1297643.0
2014-04-10,24.25,23.26,22.4,24.25,10381.0,1813278.0
2014-04-11,23.54,21.9,21.85,22.88,7091.0,1114005.0
2014-04-14,22.84,21.9,20.4,20.53,18601.0,4274684.0
2014-04-15,22.32,22.15,20.96,21.61,10523.0,1794753.0
2014-04-16,22.8,22.63,21.75,22.36,7775.0,1126535.0
2014-04-17,22.76,22.55,21.785,22.42,7229.0,1095724.0
2014-04-21,22.53,22.07,21.44,22.48,5153.0,907407.0
2014-04-22,23.59,23.16,21.93,21.95,7809.0,1251338.0
2014-04-23,23.37,22.15,22.1,23.15,3991.0,606305.0
2014-04-24,22.5,20.99,20.87,22.33,7376.0,1050711.0
2014-04-25,20.85,19.74,19.61,20.7,10508.0,1657334.0
2014-04-28,19.9,18.87,17.85,19.74,18830.0,2908662.0
2014-04-29,19.38,18.7,18.25,19.0,8579.0,1335720.0
2014-04-30,19.22,19.21,18.21,18.5,9317.0,2050048.0
2014-05-01,20.42,19.61,18.95,19.0,12836.0,2301530.0
2014-05-02,19.95,19.89,19.5,19.55,5966.0,814179.0
2014-05-05,20.19,19.67,19.53,19.67,3376.0,568160.0
2014-05-06,19.8,19.3,19.12,19.54,5067.0,995762.0
2014-05-07,19.28,17.87,17.11,19.21,13233.0,2393738.0
2014-05-08,18.51,17.91,17.6401,17.75,5855.0,912768.0
2014-05-09,18.36,18.23,17.67,17.83,3522.0,489272.0
2014-05-12,19.11,19.04,18.2301,18.28,4874.0,627510.0
2014-05-13,19.15,18.35,18.16,19.0,4135.0,512583.0
2014-05-14,18.5,18.22,17.66,18.2,3312.0,655717.0
2014-05-15,18.8,18.68,17.76,18.15,4252.0,577885.0
