Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,76.75,76.148,75.9601,76.55,,465900.0
2007-09-20,76.76,76.44,76.21,76.53,,99600.0
2007-09-21,77.2,77.0,76.8,77.0,,170400.0
2007-09-24,77.17,76.92,76.58,77.06,,187700.0
2007-09-25,77.0,77.0,75.93,75.97,,160559.0
2007-09-26,77.29,76.84,76.7,77.24,,148852.0
2007-09-27,77.78,77.76,77.38,77.64,,131600.0
2007-09-28,78.2,78.2,77.3001,77.76,,108500.0
2007-10-01,79.0,78.9799,77.6,77.6,,248876.0
2007-10-02,78.92,78.92,78.24,78.77,,99500.0
2007-10-03,78.66,78.0,78.0,78.4,,169135.0
2007-10-04,78.81,78.54,78.269,78.51,,275600.0
2007-10-05,79.44,78.95,78.81,78.95,,143900.0
2007-10-08,78.77,78.35,78.3001,78.5,,168800.0
2007-10-09,79.65,79.22,78.7,78.7,,179601.0
2007-10-10,79.66,79.48,79.2275,79.48,,119300.0
2007-10-11,80.6799,79.8301,79.65,80.09,,142000.0
2007-10-12,80.36,80.1,79.7,79.84,,97200.0
2007-10-15,80.48,79.61,79.44,80.47,,104426.0
2007-10-16,79.0,78.69,78.59,78.99,,131339.0
2007-10-17,80.0,79.61,79.15,79.9,,147100.0
2007-10-18,79.9199,79.84,79.338,79.53,,99300.0
2007-10-19,79.4,78.14,78.14,79.4,,174000.0
2007-10-22,77.84,77.84,76.83,77.01,,308000.0
2007-10-23,79.0664,78.9,78.3726,79.0,,257400.0
2007-10-24,79.09,78.5,77.7,78.8,,166300.0
2007-10-25,79.45,78.95,78.78,79.28,,216400.0
2007-10-26,80.63,80.47,80.01,80.16,,166100.0
2007-10-29,81.1493,81.14,80.6101,80.81,,798700.0
2007-10-30,80.86,80.78,80.32,80.32,,256100.0
2007-10-31,82.094,81.91,80.85,81.03,,927900.0
2007-11-01,80.45,79.98,79.6201,80.45,,401900.0
2007-11-02,80.65,80.4,79.5,80.07,,458000.0
2007-11-05,79.69,79.52,78.93,79.18,,464355.0
2007-11-06,80.59,80.55,79.88,79.88,,181436.0
2007-11-07,80.45,79.25,78.99,78.99,,262167.0
2007-11-08,80.2,80.0,78.98,80.0,,352933.0
2007-11-09,79.65,78.1299,78.0,79.65,,518076.0
2007-11-12,78.0,76.86,76.6795,78.0,,236898.0
2007-11-13,78.9399,78.9,77.85,78.33,,185900.0
2007-11-14,79.6199,78.38,78.2388,79.6,,185400.0
2007-11-15,78.0,77.32,76.57,77.54,,407081.0
2007-11-16,77.93,77.72,76.884,77.18,,301810.0
2007-11-19,76.75,75.3,75.17,76.65,,339725.0
2007-11-20,77.2699,76.78,75.6,75.6,,387759.0
2007-11-21,76.34,75.59,75.16,75.53,,402000.0
2007-11-23,77.55,77.49,76.7201,76.74,,169100.0
2007-11-26,77.66,75.8,75.77,76.95,,309761.0
2007-11-27,76.924,76.9,75.98,76.77,,250341.0
2007-11-28,79.42,79.3,77.22,77.22,,251600.0
2007-11-29,78.8887,78.45,77.79,78.1,,472300.0
2007-11-30,79.82,78.83,78.56,78.78,,249850.0
2007-12-03,80.21,78.58,78.47,80.21,,169290.0
2007-12-04,78.32,78.12,77.92,78.0,,304655.0
2007-12-05,79.38,78.87,78.54,79.38,,181105.0
2007-12-06,79.56,79.49,78.42,78.65,,179800.0
2007-12-07,80.0,79.3844,79.28,80.0,,155442.0
2007-12-10,80.504,80.3,79.44,79.44,,173495.0
2007-12-11,80.62,78.2,77.95,80.62,,335833.0
2007-12-12,80.91,79.81,79.22,80.91,,480690.0
2007-12-13,78.74,78.35,77.5901,78.72,,291826.0
2007-12-14,77.45,76.46,76.45,76.86,,708300.0
2007-12-17,75.8399,75.05,74.85,75.45,,441100.0
2007-12-18,76.25,75.7,74.74,76.02,,256300.0
2007-12-19,75.6999,75.07,74.66,75.55,,225411.0
2007-12-20,75.6,75.48,74.95,75.6,,302800.0
2007-12-21,76.56,76.54,76.081,76.35,,386200.0
2007-12-24,74.69,74.58,74.15,74.69,,193600.0
2007-12-26,74.94,74.78,73.79,74.47,,203168.0
2007-12-27,75.18,74.89,74.63,75.12,,396700.0
2007-12-28,75.73,75.61,75.27,75.57,,366134.0
2007-12-31,75.71,74.82,74.52,75.4,,532622.0
2008-01-02,75.53,74.53,74.3,75.53,,541650.0
2008-01-03,74.88,74.8,74.35,74.87,,491600.0
2008-01-04,74.32,72.98,72.69,74.32,,537445.0
2008-01-07,73.41,72.95,72.57,73.1,,604737.0
2008-01-08,74.02,72.397,72.36,73.47,,440459.0
2008-01-09,72.69,72.5,71.73,72.08,,497093.0
2008-01-10,72.92,72.56,71.66,71.66,,875533.0
2008-01-11,71.99,71.24,70.93,71.5,,1516305.0
2008-01-14,72.95,72.37,72.05,72.95,,537938.0
2008-01-15,71.49,70.05,70.04,70.99,,729585.0
2008-01-16,70.4,68.7,68.53,69.83,,872205.0
2008-01-17,69.68,67.7,67.34,69.29,,1952804.0
2008-01-18,69.05,67.49,67.1301,68.25,,751519.0
2008-01-22,65.88,65.6,60.0,61.43,,1403981.0
2008-01-23,65.82,65.39,61.62,62.23,,3094119.0
2008-01-24,67.42,67.3,66.02,66.02,,1051373.0
2008-01-25,68.4,65.9,65.68,68.22,,940607.0
2008-01-28,67.29,67.29,65.53,66.35,,754470.0
2008-01-29,67.66,67.6,66.8,67.52,,356618.0
2008-01-30,68.81,67.2,66.76,67.02,,443517.0
2008-01-31,68.69,68.1,65.79,66.3,,1942293.0
2008-02-01,69.2,69.038,68.18,68.77,,503461.0
2008-02-04,68.95,68.27,68.27,68.87,,539641.0
2008-02-05,66.7,65.11,65.05,66.66,,762016.0
2008-02-06,66.375,65.48,65.14,65.48,,990744.0
2008-02-07,65.1,64.71,64.08,64.44,,601938.0
