Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2016-07-19,13.6,12.0,11.7501,12.227,329.0,47769.0
2016-07-20,12.0,11.8,11.1501,11.99,138.0,93067.0
2016-07-21,12.0,11.75,11.6201,11.8,580.0,158129.0
2016-07-22,11.82,11.6,11.45,11.65,72.0,28511.0
2016-07-25,11.65,11.54,11.0,11.0,31.0,13833.0
2016-07-26,11.7,11.53,11.53,11.7,20.0,10134.0
2016-07-27,12.0,11.55,11.55,11.75,59.0,46815.0
2016-07-28,11.6,11.5,11.4,11.4,531.0,168459.0
2016-07-29,11.75,11.65,11.4001,11.5821,29.0,31626.0
2016-08-01,11.9,11.75,10.67,11.42,84.0,44694.0
2016-08-02,11.54,11.3,11.22,11.5,48.0,47487.0
2016-08-03,11.3999,11.07,11.05,11.05,52.0,20351.0
2016-08-04,11.25,10.75,10.75,11.02,99.0,153481.0
2016-08-05,10.85,10.7389,10.09,10.65,133.0,31493.0
2016-08-08,10.25,10.19,9.92,10.01,319.0,68991.0
2016-08-09,10.4237,9.81,9.5,10.21,380.0,324472.0
2016-08-10,10.34,10.05,9.95,10.1,503.0,86058.0
2016-08-11,10.5,10.32,10.0,10.0,488.0,121260.0
2016-08-12,11.01,10.65,10.49,10.5,761.0,826247.0
2016-08-15,10.74,10.54,10.5001,10.6001,406.0,67130.0
2016-08-16,10.55,8.5,8.23,10.55,1121.0,458752.0
2016-08-17,8.95,7.11,7.1,8.95,1069.0,518766.0
2016-08-18,7.11,6.2,5.99,7.11,2900.0,504935.0
2016-08-19,6.32,5.94,5.68,6.32,1910.0,332807.0
2016-08-22,6.06,5.82,5.73,6.06,670.0,137627.0
2016-08-23,5.95,5.66,5.55,5.95,617.0,292079.0
2016-08-24,6.11,5.95,5.67,5.77,1569.0,427306.0
2016-08-25,6.24,6.17,5.9,6.05,1449.0,1148564.0
2016-08-26,6.2,6.1,6.0,6.18,571.0,156800.0
2016-08-29,6.12,6.1,6.01,6.01,897.0,206664.0
2016-08-30,6.13,6.09,6.05,6.1,388.0,115050.0
2016-08-31,6.35,6.31,6.1,6.14,1587.0,454060.0
2016-09-01,6.5398,6.41,6.15,6.26,650.0,114033.0
2016-09-02,7.16,7.09,6.32,6.33,1042.0,165361.0
2016-09-06,7.85,7.79,7.12,7.15,2944.0,469179.0
2016-09-07,8.1245,7.94,7.65,7.76,2382.0,346361.0
