Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2009-01-02,10.5,10.5,7.0,9.0,,15480.0
2009-01-05,11.19,8.81,8.0,11.19,,35727.0
2009-01-06,11.965,11.89,8.65,8.9,,53860.0
2009-01-07,12.3,10.24,9.92,9.92,,22141.0
2009-01-08,11.45,9.91,9.0,10.19,,26139.0
2009-01-09,9.81,9.13,8.13,9.47,,38965.0
2009-01-12,8.75,7.67,7.67,8.48,,62996.0
2009-01-13,8.57,7.18,6.95,7.69,,58953.0
2009-01-14,7.4,6.71,6.71,6.9,,39783.0
2009-01-15,7.49,7.25,6.5,6.69,,42888.0
2009-01-16,8.0,7.39,7.0,7.28,,78209.0
2009-01-20,7.59,6.92,6.92,7.04,,58499.0
2009-01-21,7.25,6.95,6.01,7.03,,47633.0
2009-01-22,6.81,6.02,6.02,6.81,,30803.0
2009-01-23,6.36,5.95,5.92,6.15,,19879.0
2009-01-26,6.46,6.0,5.94,5.94,,26377.0
2009-01-27,6.05,6.0,5.75,6.0,,28969.0
2009-01-28,6.46,6.35,5.885,6.04,,80670.0
2009-01-29,6.49,5.76,5.75,6.49,,27180.0
2009-01-30,6.75,6.06,5.9525,6.74,,33681.0
2009-02-02,6.23,5.9,5.75,5.9,,23494.0
2009-02-03,6.14,5.8,5.7514,5.91,,30193.0
2009-02-04,6.07,5.75,5.74,5.77,,24203.0
2009-02-05,5.985,5.82,5.6,5.82,,425465.0
2009-02-06,5.94,5.83,5.585,5.76,,52587.0
2009-02-09,5.85,5.64,5.5,5.85,,24080.0
2009-02-10,5.7,5.53,5.5,5.63,,31209.0
2009-02-11,5.59,5.53,5.4,5.5,,16587.0
2009-02-12,6.36,6.36,5.27,5.27,,26471.0
2009-02-13,6.81,5.9,5.61,6.33,,26940.0
2009-02-17,6.09,5.64,5.52,5.74,,28458.0
2009-02-18,5.87,5.46,5.4,5.51,,40789.0
2009-02-19,5.5792,5.25,5.25,5.53,,45314.0
2009-02-20,5.42,5.31,5.2,5.2,,34536.0
2009-02-23,5.39,4.73,4.5,5.32,,28496.0
2009-02-24,5.985,5.22,4.77,4.77,,25160.0
2009-02-25,5.7,4.86,4.81,5.21,,23526.0
2009-02-26,5.5,5.0,4.56,4.88,,27835.0
2009-02-27,5.1,5.0,4.75,4.96,,20084.0
2009-03-02,5.08,4.28,4.26,4.84,,28578.0
2009-03-03,7.0,4.06,4.0018,4.28,,55997.0
2009-03-04,4.56,4.04,3.78,4.12,,75716.0
2009-03-05,4.26,4.06,4.04,4.05,,39359.0
2009-03-06,4.72,4.69,4.08,4.08,,494590.0
2009-03-09,5.0,4.62,4.1023,4.6,,13892.0
2009-03-10,5.16,4.73,4.51,4.51,,43987.0
2009-03-11,5.59,4.99,4.51,4.51,,107527.0
2009-03-12,5.9988,5.99,4.64,4.64,,54605.0
2009-03-13,6.0,5.75,5.27,5.99,,93910.0
2009-03-16,6.72,5.95,5.6,5.6,,85472.0
2009-03-17,6.63,6.63,5.8035,5.93,,84619.0
2009-03-18,7.8,6.91,6.5401,6.7,,102746.0
2009-03-19,7.76,6.75,6.41,6.95,,75668.0
2009-03-20,7.33,5.96,5.95,6.83,,100265.0
2009-03-23,6.25,6.25,5.75,6.03,,22421.0
2009-03-24,6.8,6.63,5.92,6.16,,24870.0
2009-03-25,7.0,6.91,6.63,6.65,,15111.0
2009-03-26,7.25,7.15,6.81,7.02,,42739.0
2009-03-27,7.02,6.74,6.74,7.02,,14796.0
2009-03-30,6.59,6.12,6.01,6.59,,133288.0
2009-03-31,6.64,6.51,6.05,6.2,,63140.0
2009-04-01,6.61,6.43,6.18,6.46,,16956.0
2009-04-02,6.6,6.4,6.11,6.5,,29719.0
2009-04-03,6.49,6.49,6.06,6.36,,20400.0
2009-04-06,6.5,6.44,6.25,6.4,,62789.0
2009-04-07,6.43,6.28,6.28,6.35,,48973.0
2009-04-08,6.51,6.48,6.17,6.3,,24049.0
2009-04-09,7.74,7.58,6.3092,6.3092,,446432.0
2009-04-13,7.75,7.36,6.9,7.75,,22987.0
2009-04-14,7.2,7.0,7.0,7.2,,11775.0
2009-04-15,7.79,7.79,7.0,7.0,,16972.0
2009-04-16,8.29,8.01,7.51,7.82,,28222.0
2009-04-17,9.0988,8.99,7.27,7.99,,39917.0
2009-04-20,9.76,9.4,8.76,9.22,,60665.0
2009-04-21,9.84,9.6,9.39,9.4,,35198.0
2009-04-22,10.38,9.99,9.3,9.3,,133202.0
2009-04-23,9.91,9.65,9.61,9.74,,47050.0
2009-04-24,9.79,9.35,9.3,9.69,,61468.0
2009-04-27,9.75,9.56,9.2,9.3,,54340.0
2009-04-28,9.6,9.3,9.01,9.44,,63118.0
2009-04-29,10.732,10.45,9.15,9.33,,22460.0
2009-04-30,11.92,11.35,10.78,10.78,,115133.0
2009-05-01,11.9732,11.44,11.26,11.27,,137597.0
2009-05-04,11.5363,11.25,11.06,11.43,,60401.0
2009-05-05,11.37,10.84,10.72,11.1,,65912.0
2009-05-06,11.8699,10.94,10.76,10.94,,89555.0
2009-05-07,12.11,11.6,10.77,11.1,,122401.0
2009-05-08,13.99,13.88,11.285,11.77,,67308.0
2009-05-11,14.2,13.99,12.57,13.78,,57448.0
2009-05-12,14.65,14.12,13.29,13.29,,64646.0
2009-05-13,14.63,13.75,13.55,14.35,,55981.0
2009-05-14,14.17,13.98,13.7,14.17,,71589.0
2009-05-15,14.0,13.38,13.38,14.0,,45901.0
2009-05-18,14.46,14.46,13.2,13.56,,39298.0
2009-05-19,15.86,15.64,14.59,14.87,,74199.0
2009-05-20,15.92,15.87,15.13,15.79,,42131.0
2009-05-21,15.92,15.45,14.83,15.89,,33512.0
2009-05-22,15.75,15.15,14.84,15.52,,8838.0
2009-05-26,15.51,15.44,14.82,14.93,,23693.0
2009-05-27,15.9793,15.71,14.94,15.42,,34179.0
2009-05-28,15.84,15.31,15.05,15.75,,19163.0
2009-05-29,15.4673,14.8,14.76,15.18,,35379.0
2009-06-01,15.99,15.96,14.82,15.27,,57928.0
2009-06-02,16.4,16.4,15.1,15.54,,47953.0
2009-06-03,16.4,16.4,15.66,16.29,,45944.0
2009-06-04,16.7,16.55,16.11,16.34,,51884.0
2009-06-05,16.7,16.43,15.82,16.7,,14371.0
2009-06-08,16.3428,16.2,15.68,16.28,,12544.0
2009-06-09,16.2,15.76,15.49,16.2,,30633.0
2009-06-10,15.7,15.22,14.45,15.7,,32086.0
2009-06-11,15.7872,15.48,15.04,15.31,,16491.0
2009-06-12,15.8,15.67,15.3,15.8,,6036.0
2009-06-15,15.48,15.28,15.0,15.43,,12551.0
2009-06-16,15.52,14.84,14.65,15.52,,42252.0
2009-06-17,14.895,14.56,14.05,14.89,,19776.0
2009-06-18,15.46,14.75,14.45,14.47,,5609.0
2009-06-19,15.04,14.07,14.07,15.04,,33224.0
2009-06-22,14.61,13.19,13.1101,14.19,,42633.0
2009-06-23,14.06,13.15,13.0,13.31,,14184.0
2009-06-24,13.9,13.56,13.25,13.25,,15073.0
2009-06-25,13.9,13.9,13.5,13.51,,20993.0
2009-06-26,15.49,15.25,14.1,14.1,,134817.0
2009-06-29,15.35,14.83,13.71,14.53,,33701.0
2009-06-30,15.13,14.69,14.09,14.89,,13002.0
2009-07-01,15.88,15.61,14.5,14.88,,9663.0
2009-07-02,15.24,14.4,14.1501,15.24,,19351.0
2009-07-06,14.41,14.17,14.11,14.41,,16537.0
2009-07-07,14.25,14.06,13.98,14.25,,27039.0
2009-07-08,13.99,13.57,13.5,13.99,,22496.0
2009-07-09,14.15,13.5,13.48,13.76,,36177.0
2009-07-10,13.9,13.68,13.49,13.6,,13270.0
2009-07-13,14.92,14.92,13.7,13.7029,,21550.0
2009-07-14,14.72,14.3,13.85,13.85,,10026.0
2009-07-15,14.99,14.84,14.1,14.44,,22201.0
2009-07-16,15.0,15.0,14.38,14.8,,11873.0
2009-07-17,15.25,15.07,14.81,14.95,,22119.0
2009-07-20,15.25,15.05,14.93,15.11,,10556.0
2009-07-21,15.85,15.8,14.9,15.21,,24419.0
2009-07-22,15.8,15.8,15.18,15.79,,9294.0
2009-07-23,16.4,16.29,15.1,15.58,,32333.0
2009-07-24,16.5,16.24,15.42,15.42,,19086.0
2009-07-27,16.16,16.0,15.83,16.16,,1760.0
2009-07-28,16.39,16.0,15.91,16.39,,3945.0
2009-07-29,16.15,15.42,15.4,16.15,,10137.0
2009-07-30,16.29,15.43,15.11,15.83,,51062.0
2009-07-31,15.91,15.85,15.29,15.29,,17367.0
2009-08-03,16.2,15.9,15.33,15.91,,29137.0
2009-08-04,15.89,15.77,15.65,15.65,,7129.0
2009-08-05,15.9506,14.91,14.881,15.75,,16845.0
2009-08-06,15.0,14.8,14.36,14.99,,14775.0
2009-08-07,15.64,15.46,14.8499,15.24,,17275.0
2009-08-10,15.74,15.63,15.3,15.46,,9083.0
2009-08-11,16.4,15.8,15.51,15.65,,15382.0
2009-08-12,16.21,15.8,15.63,15.8,,13871.0
2009-08-13,16.0,15.53,15.4,15.84,,5796.0
2009-08-14,16.21,15.09,14.655,16.05,,14244.0
2009-08-17,15.95,15.3,14.86,14.86,,45096.0
2009-08-18,16.0,15.5,15.19,15.49,,45187.0
2009-08-19,15.99,15.5,15.02,15.99,,4594.0
2009-08-20,15.91,15.64,15.01,15.36,,44886.0
2009-08-21,16.0,15.82,15.085,16.0,,18366.0
2009-08-24,16.31,15.87,15.16,15.16,,13493.0
2009-08-25,16.25,16.18,15.7498,16.04,,6196.0
2009-08-26,16.35,16.33,16.1,16.1,,11462.0
2009-08-27,16.39,15.92,15.04,16.39,,80193.0
2009-08-28,16.15,15.83,15.1993,16.06,,56278.0
2009-08-31,16.08,15.62,15.14,15.63,,61463.0
2009-09-01,15.67,14.75,14.65,15.44,,31992.0
2009-09-02,15.27,14.98,14.62,14.6401,,26289.0
2009-09-03,15.44,15.01,14.51,14.65,,13335.0
2009-09-04,15.66,15.36,14.96,15.14,,18063.0
2009-09-08,15.45,15.2,15.1,15.45,,4312.0
2009-09-09,15.77,15.75,15.2,15.21,,1946.0
2009-09-10,15.75,15.75,15.245,15.5,,9572.0
2009-09-11,15.7128,15.71,15.324,15.69,,4816.0
2009-09-14,15.51,15.08,14.96,15.51,,27104.0
2009-09-15,15.94,15.47,14.92,15.08,,9941.0
2009-09-16,16.24,16.22,15.03,15.03,,14325.0
2009-09-17,16.33,16.139,15.92,15.97,,7517.0
2009-09-18,16.17,15.52,15.5,16.17,,30876.0
2009-09-21,15.73,15.55,15.15,15.5,,14241.0
2009-09-22,15.89,15.89,15.249,15.53,,8885.0
2009-09-23,15.79,15.5,15.42,15.48,,9970.0
2009-09-24,15.699,15.49,15.151,15.52,,6555.0
2009-09-25,15.99,15.8,15.5,15.5,,5885.0
2009-09-28,16.37,15.85,15.54,15.54,,8598.0
