Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2005-03-29,8.4,8.4,8.36,,2000.0
2005-03-30,7.8645,7.8645,7.8645,,3000.0
2005-03-31,7.95,7.95,7.95,,500.0
2005-04-01,8.0198,7.867,7.867,,8000.0
2005-04-04,7.81,7.7495,7.6872,,22000.0
2005-04-05,7.7193,7.4372,7.4372,,8100.0
2005-04-06,7.541,7.541,7.4365,,600.0
2005-04-07,7.6752,7.6752,7.6191,,3300.0
2005-04-08,7.62,7.6162,7.6162,,2200.0
2005-04-12,7.058,7.058,7.058,,200.0
2005-04-14,,,,,25000.0
2005-04-15,6.8177,6.8177,6.8177,,1500.0
2005-04-18,7.2629,7.2629,6.943,,4150.0
2005-04-19,7.3059,7.264,7.26,,30900.0
2005-04-22,4.6556,4.6556,4.6548,,800.0
2005-04-25,4.66,4.61,4.61,,750.0
2005-04-29,4.37,4.37,4.37,,2000.0
2005-05-02,4.1458,4.12,4.09,,2500.0
2005-05-09,4.43,4.43,4.283,,35160.0
2005-05-10,4.4,4.4,4.4,,25000.0
2005-05-11,4.4,4.4,4.3449,,1000.0
2005-05-12,4.37,4.37,4.37,,1100.0
2005-05-13,4.2513,4.2429,4.1862,,80000.0
2005-05-16,4.2938,4.2938,4.1688,,43000.0
2005-05-17,4.2231,4.2231,4.2231,,2300.0
2005-05-18,4.18,4.18,4.1661,,2050.0
2005-05-19,,,,,100000.0
2005-05-20,4.525,4.525,4.2845,,55300.0
2005-05-24,4.64,4.625,4.55,,48800.0
2005-05-25,4.6093,4.6093,4.5934,,4500.0
2005-05-26,4.8234,4.7836,4.6608,,20600.0
2005-05-27,4.75,4.75,4.75,,4600.0
2005-05-31,5.0065,4.9394,4.8736,,43900.0
2005-06-01,5.0205,5.0205,5.0205,,1000.0
2005-06-07,4.9372,4.9372,4.9292,,700.0
2005-06-08,4.94,4.94,4.82,,65000.0
2005-06-13,5.325,5.2833,5.2833,,7600.0
2005-06-14,5.2833,5.2698,5.2698,,10500.0
2005-06-15,5.4,5.4,5.4,,1000.0
2005-06-16,5.4626,5.4626,5.4626,,300.0
2005-06-20,5.35,5.275,5.275,,2782.0
2005-06-21,5.26,5.245,5.24,,13807.0
2005-06-22,5.25,5.23,5.23,,5700.0
2005-06-27,5.11,5.11,5.11,,1500.0
2005-06-29,5.2,5.2,5.2,,1000.0
2005-06-30,5.13,5.13,5.13,,6000.0
2005-07-06,,,,,2000.0
2005-07-07,5.255,5.22,5.22,,1238.0
2005-07-11,5.36,5.36,5.3,,3100.0
2005-07-12,5.51,5.46,5.447,,3000.0
2005-07-13,5.5885,5.5885,5.547,,107000.0
2005-07-14,5.66,5.64,5.607,,66000.0
2005-07-15,5.6,5.4836,5.4836,,11900.0
2005-07-18,5.579,5.579,5.4513,,2000.0
2005-07-19,5.5333,5.4935,5.4935,,500.0
2005-07-20,5.5369,5.5369,5.4736,,7300.0
2005-07-21,5.642,5.642,5.52,,3100.0
2005-07-22,5.57,5.57,5.57,,100.0
2005-07-25,5.52,5.52,5.52,,1000.0
2005-07-28,,,,,5000.0
2005-07-29,5.445,5.445,5.404,,3500.0
2005-08-02,5.6,5.6,5.6,,7000.0
2005-08-03,5.52,5.52,5.52,,250.0
2005-08-04,6.25,6.0,5.72,,9652.0
2005-08-05,5.975,5.88,5.88,,4800.0
2005-08-08,6.057,6.057,6.057,,500.0
2005-08-10,5.9949,5.98,5.955,,2800.0
2005-08-11,6.03,6.03,6.03,,2300.0
2005-08-12,6.107,6.107,6.0934,,1500.0
2005-08-15,5.44,5.44,5.44,,1000.0
2005-08-16,6.0617,6.0617,6.0617,,100.0
2005-08-17,6.0622,6.0622,6.058,,6500.0
2005-08-23,6.03,6.02,5.985,,8000.0
2005-08-26,6.0483,6.0483,6.0483,,1000.0
2005-08-29,6.08,6.08,5.985,,12500.0
2005-09-01,5.655,5.6,5.335,,146000.0
2005-09-06,5.8865,5.8865,5.85,,22500.0
2005-09-07,5.925,5.875,5.875,,2500.0
2005-09-13,5.48,5.48,5.48,,2000.0
2005-09-14,5.43,5.3829,5.3829,,500.0
2005-09-15,5.4521,5.4521,5.29,,4500.0
2005-09-16,5.5972,5.5824,5.5009,,2700.0
2005-09-19,5.74,5.74,5.71,,1000.0
2005-09-20,5.29,5.29,5.29,,1000.0
2005-09-26,5.1333,5.1333,5.095,,14000.0
2005-09-27,5.193,5.193,5.193,,800.0
2005-09-30,4.9974,4.98,4.96,,7000.0
2005-10-03,5.12,5.12,4.99,,8100.0
2005-10-05,5.11,5.1,5.0307,,22000.0
2005-10-06,5.07,5.0213,5.0213,,1200.0
2005-10-07,5.078,5.078,5.078,,1000.0
2005-10-11,5.1437,5.1437,5.06,,1750.0
2005-10-12,5.045,5.045,5.045,,500.0
2005-10-13,4.8,4.8,4.8,,1000.0
2005-10-14,4.953,4.953,4.953,,2000.0
2005-10-18,5.03,5.03,5.03,,200.0
2005-10-20,4.95,4.85,4.85,,1000.0
2005-10-21,4.6992,4.6992,4.6803,,2665.0
2005-10-25,4.67,4.67,4.67,,1000.0
2005-10-26,4.7823,4.7823,4.7,,2100.0
2005-10-28,4.7084,4.5249,4.5249,,1265.0
2005-10-31,4.7582,4.7429,4.673,,55650.0
2005-11-01,4.76,4.76,4.7343,,12104.0
2005-11-02,4.839,4.839,4.839,,1000.0
2005-11-04,4.95,4.95,4.8953,,800.0
2005-11-08,5.063,5.063,5.0593,,8000.0
2005-11-09,5.01,4.9885,4.96,,2500.0
2005-11-11,4.967,4.967,4.967,,1200.0
2005-11-14,4.99,4.99,4.99,,2000.0
2005-11-15,4.9798,4.9798,4.942,,5300.0
2005-11-17,5.11,5.11,5.08,,1000.0
2005-11-18,5.089,5.089,5.089,,2000.0
2005-11-22,5.2385,5.1704,5.1704,,5720.0
2005-11-23,5.2529,5.2525,5.1726,,1100.0
2005-11-30,5.2439,5.2439,5.2439,,300.0
2005-12-02,5.25,5.25,5.19,,4075.0
2005-12-05,5.361,5.361,5.26,,515900.0
2005-12-06,5.385,5.3605,5.3517,,610498.0
2005-12-07,5.54,5.54,5.375,,91875.0
2005-12-08,,,,,88900.0
2005-12-09,5.5786,5.5786,5.5786,,250000.0
2005-12-12,5.6328,5.6328,5.6328,,1000.0
2005-12-13,5.5648,5.55,5.5217,,8500.0
2005-12-15,5.37,5.37,5.37,,2000.0
2005-12-16,5.45,5.45,5.315,,2175.0
2005-12-19,5.4843,5.4843,5.4843,,1000.0
2005-12-20,5.4329,5.4319,5.3899,,45400.0
2005-12-21,5.7858,5.7858,5.4592,,252000.0
2005-12-22,5.79,5.79,5.79,,500.0
2005-12-28,5.7032,5.7032,5.7032,,2000.0
2005-12-30,5.76,5.76,5.76,,1500.0
2006-01-03,5.8318,5.8318,5.8095,,25400.0
2006-01-04,5.8438,5.8438,5.8428,,200400.0
2006-01-05,5.7609,5.7609,5.7609,,100000.0
2006-01-06,5.7871,5.7871,5.751,,205000.0
2006-01-09,5.7786,5.7786,5.7741,,1487200.0
2006-01-10,5.941,5.941,5.8829,,62000.0
2006-01-11,5.96,5.9153,5.9153,,596980.0
2006-01-12,5.9657,5.9657,5.9358,,10700.0
2006-01-13,6.06,6.06,5.87,,1100.0
2006-01-17,6.2775,6.25,6.2095,,14700.0
2006-01-18,6.23,6.125,6.125,,6500.0
2006-01-19,6.2002,6.1882,6.1616,,1000600.0
2006-01-20,6.503,6.503,6.43,,212625.0
2006-01-23,6.85,6.84,6.63,,165063.0
2006-01-24,6.85,6.83,6.77,,76325.0
2006-01-25,7.06,6.9978,6.8299,,248500.0
2006-01-26,7.075,6.9268,6.91,,526328.0
2006-01-27,6.9666,6.85,6.7,,218622.0
2006-01-30,7.01,6.98,6.8207,,164404.0
2006-01-31,7.275,7.0193,6.945,,1300200.0
2006-02-01,7.33,7.21,7.0959,,243704.0
2006-02-02,7.262,7.2309,7.18,,38800.0
2006-02-03,7.4,7.38,7.2898,,28600.0
2006-02-06,7.45,7.3885,7.2625,,87004.0
2006-02-07,7.3588,7.1207,7.115,,103496.0
2006-02-08,7.15,6.9245,6.8989,,29950.0
2006-02-09,7.1946,7.1295,7.0475,,63200.0
2006-02-10,7.16,6.95,6.745,,16200.0
2006-02-13,6.91,6.645,6.62,,51280.0
2006-02-14,6.74,6.7299,6.55,,13770.0
2006-02-15,6.9113,6.8555,6.7914,,14500.0
2006-02-16,6.8966,6.8966,6.6941,,17200.0
2006-02-17,6.95,6.93,6.7332,,21950.0
2006-02-21,7.1,6.99,6.96,,34035.0
2006-02-22,7.0752,7.061,6.9517,,43788.0
2006-02-23,7.15,7.125,7.0,,173475.0
2006-02-24,7.1614,7.16,6.945,,66250.0
2006-02-27,7.36,7.36,7.15,,224600.0
2006-02-28,7.49,7.47,7.36,,552220.0
2006-03-01,7.61,7.55,7.3577,,385875.0
2006-03-02,7.785,7.6216,7.2748,,537125.0
2006-03-03,7.525,7.3725,7.3714,,417835.0
2006-03-06,7.475,7.2419,7.2194,,22400.0
2006-03-07,7.3,7.1,7.1,,26500.0
2006-03-08,7.113,6.912,6.91,,35600.0
2006-03-09,7.054,7.04,7.0,,13000.0
2006-03-10,7.98,6.9,6.84,,15530.0
2006-03-13,6.9733,6.8,6.8,,14800.0
2006-03-14,6.9584,6.8,6.8,,24700.0
2006-03-15,6.85,6.85,6.5586,,48750.0
2006-03-16,6.9967,6.955,6.75,,21417.0
2006-03-17,7.015,6.7565,6.74,,33465.0
2006-03-20,6.8,6.7578,6.7,,10000.0
2006-03-21,6.83,6.6052,6.555,,37600.0
2006-03-22,6.55,6.48,6.37,,41850.0
2006-03-23,6.453,6.432,6.39,,26500.0
2006-03-24,6.4468,6.4468,6.4108,,4325.0
2006-03-27,6.42,6.3,6.3,,7400.0
2006-03-28,6.33,6.33,6.22,,40600.0
2006-03-29,6.4193,6.34,6.2124,,32600.0
2006-03-30,6.51,6.44,6.42,,30490.0
2006-03-31,6.49,6.4456,6.4395,,14450.0
2006-04-03,6.49,6.4484,6.3812,,26000.0
2006-04-04,6.6754,6.6581,6.48,,8220.0
2006-04-05,6.85,6.85,6.68,,15690.0
2006-04-06,6.87,6.61,6.61,,22500.0
2006-04-07,6.74,6.74,6.68,,8100.0
2006-04-10,6.802,6.5258,6.5206,,24400.0
2006-04-11,6.6221,6.6221,6.5256,,4400.0
2006-04-12,6.56,6.4702,6.4702,,7700.0
2006-04-13,7.48,6.5308,6.43,,11000.0
2006-04-17,6.57,6.57,6.48,,13300.0
2006-04-18,6.61,6.585,6.4809,,12630.0
2006-04-19,6.714,6.714,6.5073,,66500.0
2006-04-20,6.65,6.5,6.5,,8500.0
2006-04-21,6.6453,6.61,6.53,,34401.0
2006-04-24,6.641,6.48,6.48,,30125.0
2006-04-25,6.5719,6.5719,6.4599,,7300.0
2006-04-26,6.66,6.6,6.5587,,21250.0
2006-04-27,6.65,6.614,6.567,,41700.0
2006-04-28,6.77,6.7,6.55,,20780.0
2006-05-01,6.78,6.715,6.715,,7200.0
2006-05-02,6.78,6.78,6.7031,,14079.0
2006-05-03,6.81,6.81,6.72,,26600.0
2006-05-04,7.112,7.112,6.8062,,14550.0
2006-05-05,7.25,7.157,7.06,,65600.0
2006-05-08,7.25,7.15,7.1307,,17953.0
2006-05-09,7.2108,6.978,6.94,,26445.0
2006-05-10,7.235,6.9783,6.9357,,67100.0
2006-05-11,7.0,6.95,6.92,,14400.0
2006-05-12,6.9,6.85,6.7531,,18900.0
2006-05-15,6.8534,6.71,6.71,,7400.0
2006-05-16,7.1,6.91,6.6977,,34000.0
2006-05-17,7.0069,6.7415,6.7415,,9834.0
2006-05-18,6.79,6.79,6.5867,,8400.0
2006-05-19,6.9221,6.871,6.68,,8140.0
2006-05-23,6.9693,6.905,6.83,,54700.0
2006-05-24,7.03,7.03,6.785,,10200.0
2006-05-25,7.07,7.069,6.9052,,3650.0
2006-05-26,7.13,7.13,7.0,,9800.0
2006-05-30,7.19,7.0922,7.0922,,9000.0
2006-05-31,7.1437,7.04,6.9082,,7105.0
2006-06-01,7.0992,7.0108,6.9813,,7500.0
2006-06-02,7.0839,6.9961,6.9677,,11550.0
2006-06-05,7.0291,7.0291,6.81,,11810.0
2006-06-06,6.8588,6.82,6.82,,1500.0
2006-06-07,6.9272,6.9272,6.7841,,4000.0
2006-06-08,6.8998,6.8679,6.8145,,2645.0
2006-06-09,7.08,7.08,6.96,,22600.0
2006-06-12,7.106,6.98,6.955,,8850.0
2006-06-13,6.905,6.78,6.6497,,17890.0
2006-06-14,6.705,6.679,6.621,,1100.0
2006-06-15,6.821,6.7939,6.7275,,3500.0
2006-06-16,6.7758,6.774,6.655,,3600.0
2006-06-19,6.8,6.612,6.585,,8200.0
2006-06-20,6.7341,6.7341,6.64,,10800.0
2006-06-21,6.7125,6.6517,6.61,,11785.0
2006-06-22,6.7214,6.66,6.5963,,14850.0
2006-06-23,6.65,6.5284,6.5284,,8900.0
2006-06-26,6.755,6.5817,6.5267,,39900.0
2006-06-27,6.665,6.665,6.6535,,2100.0
2006-06-28,6.963,6.963,6.66,,94600.0
2006-06-29,7.05,6.9497,6.8932,,28900.0
2006-06-30,6.959,6.9356,6.88,,2400.0
2006-07-05,7.1039,7.1,7.08,,7700.0
2006-07-06,7.23,7.12,7.075,,29850.0
2006-07-07,7.375,7.25,7.119,,242700.0
2006-07-10,7.3111,7.145,7.145,,23700.0
2006-07-11,7.26,7.15,6.43,,273950.0
2006-07-12,7.27,7.25,7.14,,58000.0
2006-07-13,7.24,7.175,7.145,,27000.0
2006-07-14,7.1806,7.1085,7.1085,,11600.0
2006-07-17,7.205,7.2,7.09,,67750.0
2006-07-18,7.185,7.092,7.084,,36850.0
2006-07-19,7.1478,7.0949,7.071,,12700.0
2006-07-20,7.13,7.0493,7.0493,,6325.0
2006-07-21,7.0,6.83,6.7395,,8350.0
2006-07-24,6.86,6.8317,6.8032,,85150.0
2006-07-25,6.855,6.809,6.75,,44175.0
2006-07-26,6.88,6.88,6.7588,,15300.0
2006-07-27,6.9452,6.87,6.7828,,29370.0
2006-07-28,7.034,6.8696,6.8642,,33265.0
2006-07-31,6.93,6.93,6.8658,,18275.0
2006-08-01,6.89,6.845,6.73,,120190.0
2006-08-02,6.87,6.87,6.655,,10600.0
2006-08-03,6.87,6.87,6.7597,,3700.0
2006-08-04,6.8124,6.715,6.715,,4800.0
2006-08-08,6.9349,6.9349,6.7887,,11170.0
2006-08-09,7.053,6.9423,6.9423,,7500.0
2006-08-10,6.985,6.95,6.846,,2050.0
2006-08-11,6.95,6.931,6.8681,,11265.0
2006-08-14,6.9381,6.295,6.295,,36690.0
2006-08-15,7.0364,6.95,6.95,,2345.0
2006-08-16,7.0905,7.085,7.015,,8910.0
2006-08-17,7.165,7.1,7.0764,,7725.0
2006-08-18,7.126,6.937,6.937,,3550.0
2006-08-21,7.12,7.12,6.94,,3600.0
2006-08-22,7.08,7.05,7.0,,2880.0
2006-08-23,7.1,6.995,6.995,,4495.0
2006-08-24,7.113,7.07,7.0,,35670.0
2006-08-25,7.16,7.1245,7.0971,,6075.0
2006-08-28,7.03,7.03,6.966,,2900.0
2006-08-29,7.04,6.95,6.95,,22035.0
2006-08-30,7.005,6.9983,6.9395,,19790.0
2006-08-31,7.02,6.954,6.9366,,17065.0
2006-09-01,7.05,7.0,6.945,,10450.0
2006-09-05,7.11,7.091,6.9189,,21885.0
2006-09-06,7.06,7.06,6.925,,9615.0
2006-09-07,6.95,6.862,6.833,,8460.0
2006-09-08,6.795,6.6047,6.4777,,27230.0
2006-09-11,6.665,6.5,6.5,,4200.0
2006-09-12,6.535,6.5,6.45,,34000.0
2006-09-13,6.7947,6.7499,6.593,,19000.0
2006-09-14,6.7237,6.706,6.6159,,30505.0
2006-09-15,6.675,6.67,6.64,,2570.0
2006-09-18,6.68,6.6498,6.575,,14470.0
2006-09-19,6.59,6.484,6.484,,3260.0
2006-09-20,6.58,6.5,6.4541,,1950.0
2006-09-21,6.5257,6.31,6.31,,8545.0
2006-09-22,6.35,6.31,6.2803,,25705.0
2006-09-25,6.2857,6.0074,5.7955,,19495.0
2006-09-26,6.06,6.0312,5.9148,,19730.0
2006-09-27,6.2,6.2,6.042,,3900.0
2006-09-28,6.1184,6.1184,6.07,,5665.0
2006-09-29,6.27,6.2366,5.991,,10215.0
2006-10-02,6.39,6.2684,6.2361,,18395.0
2006-10-03,6.29,6.1666,6.1666,,2915.0
2006-10-04,6.188,6.188,6.0962,,5565.0
2006-10-05,6.492,6.4506,6.1717,,8430.0
2006-10-06,6.3,6.3,6.29,,3775.0
2006-10-10,6.7572,6.64,6.64,,15835.0
2006-10-11,6.8,6.5926,6.5737,,9250.0
2006-10-12,6.9603,6.8246,6.673,,6205.0
2006-10-13,6.803,6.6036,6.6016,,162815.0
2006-10-16,6.686,6.61,6.4366,,16395.0
2006-10-17,6.6487,6.5228,6.457,,25445.0
