Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2018-07-27,5.0,4.6997,4.2,5.0,163.0,123000.0
2018-07-30,4.5001,4.4126,4.25,4.25,33.0,19656.0
2018-07-31,4.75,4.75,4.4,4.75,21.0,7529.0
2018-08-01,4.75,4.5,4.5,4.75,26.0,15299.0
2018-08-02,4.72,4.71,4.5,4.72,43.0,26569.0
2018-08-03,4.72,4.72,4.29,4.29,18.0,9838.0
2018-08-06,4.75,4.73,4.5501,4.72,51.0,13652.0
2018-08-07,4.75,4.72,4.53,4.53,39.0,10445.0
2018-08-08,5.0,4.89,4.59,5.0,35.0,8134.0
2018-08-09,4.8,4.78,4.5201,4.8,10.0,1814.0
2018-08-10,4.89,4.56,4.55,4.77,33.0,5869.0
2018-08-13,4.8799,4.501,4.501,4.56,11.0,4964.0
2018-08-14,4.74,4.74,4.55,4.7,37.0,13476.0
2018-08-15,4.74,4.74,4.74,4.74,22.0,453.0
2018-08-16,4.75,4.75,4.6253,4.6253,43.0,14069.0
2018-08-17,4.85,4.85,4.65,4.65,57.0,20077.0
2018-08-20,4.86,4.8499,4.65,4.7313,61.0,8962.0
2018-08-21,4.8257,4.75,4.75,4.8257,31.0,1650.0
2018-08-22,4.75,4.6102,4.6,4.7392,37.0,5761.0
2018-08-23,4.89,4.76,4.66,4.86,318.0,25815.0
2018-08-24,4.8,4.8,4.73,4.73,28.0,7406.0
2018-08-27,4.83,4.8,4.75,4.75,41.0,6046.0
2018-08-28,4.85,4.85,4.7822,4.7831,24.0,2040.0
2018-08-29,4.9685,4.82,4.7701,4.7701,81.0,15711.0
2018-08-30,4.8,4.763,4.75,4.8,33.0,7356.0
2018-08-31,4.959,4.85,4.7501,4.77,47.0,9335.0
2018-09-04,4.87,4.87,4.6569,4.87,50.0,7349.0
2018-09-05,4.8624,4.6012,4.6,4.85,67.0,32747.0
2018-09-06,4.8,4.595,4.5,4.6,325.0,79280.0
2018-09-07,4.7149,4.55,4.29,4.4,88.0,10468.0
2018-09-10,4.77,4.35,4.3,4.3,109.0,11276.0
2018-09-11,4.7103,4.5,4.25,4.3,184.0,58466.0
2018-09-12,4.61,4.35,4.3252,4.59,72.0,16595.0
2018-09-13,4.4,4.1,4.02,4.32,98.0,18577.0
2018-09-14,4.4,3.9584,3.58,4.02,118.0,27999.0
2018-09-17,4.25,4.1,3.56,3.75,229.0,64145.0
2018-09-18,4.2304,4.18,3.7,3.78,204.0,60598.0
2018-09-19,4.19,4.08,4.0,4.18,99.0,12159.0
2018-09-20,4.71,4.62,4.3068,4.61,348.0,61912.0
2018-09-21,4.715,4.45,4.13,4.62,162.0,56790.0
2018-09-24,4.6586,4.525,4.47,4.47,81.0,34820.0
2018-09-25,4.73,4.71,4.0803,4.55,202.0,29092.0
2018-09-26,4.73,4.6293,4.3806,4.73,108.0,47609.0
2018-09-27,4.6999,4.66,4.66,4.6999,25.0,547.0
2018-09-28,4.7,4.3,4.01,4.7,87.0,15316.0
2018-10-01,4.49,4.49,4.25,4.25,20.0,4895.0
2018-10-02,4.4199,4.3,4.01,4.4199,36.0,9932.0
2018-10-03,4.4,4.4,4.02,4.24,51.0,5227.0
2018-10-04,4.36,4.11,4.1,4.36,25.0,2333.0
2018-10-05,4.44,4.251,4.251,4.44,33.0,18741.0
2018-10-08,4.39,4.39,4.35,4.351,18.0,1380.0
2018-10-09,4.44,4.25,4.25,4.43,32.0,14133.0
2018-10-10,4.55,4.32,4.0001,4.55,24.0,9139.0
2018-10-11,5.0,4.43,4.3,4.75,249.0,52185.0
2018-10-12,4.6338,4.55,4.34,4.44,78.0,18904.0
2018-10-15,4.5349,4.451,4.451,4.5349,37.0,5671.0
2018-10-16,4.5901,4.4068,4.04,4.45,70.0,17856.0
2018-10-17,4.45,4.3023,4.1123,4.45,15.0,2429.0
2018-10-18,4.5181,4.45,4.45,4.46,57.0,14255.0
2018-10-19,4.51,4.5,4.35,4.51,44.0,7072.0
2018-10-22,4.6,4.44,4.4111,4.6,27.0,4542.0
2018-10-23,4.7943,4.5225,4.4679,4.5,40.0,4563.0
2018-10-24,4.82,4.65,4.57,4.78,68.0,20167.0
2018-10-25,4.92,4.81,4.27,4.82,92.0,40352.0
2018-10-26,5.4,5.2287,4.75,4.75,109.0,36412.0
2018-10-29,5.608,4.77,4.75,5.57,173.0,22434.0
2018-10-30,5.6,4.95,4.7,4.76,64.0,10425.0
2018-10-31,5.19,5.12,4.95,5.19,96.0,18406.0
2018-11-01,5.13,4.81,4.7,5.08,90.0,14537.0
2018-11-02,5.38,4.7,4.7,4.81,61.0,16808.0
2018-11-05,5.21,4.88,4.8488,5.13,323.0,76485.0
2018-11-06,5.17,5.01,4.8,5.17,270.0,61307.0
2018-11-07,5.4,4.7302,4.55,5.4,141.0,34115.0
2018-11-08,4.72,4.37,4.37,4.72,140.0,13834.0
2018-11-09,4.6779,4.28,4.28,4.35,51.0,7070.0
2018-11-12,4.48,4.48,4.25,4.25,52.0,5586.0
2018-11-13,4.5882,4.53,4.35,4.39,39.0,4019.0
2018-11-14,4.6,4.45,4.35,4.6,34.0,3393.0
2018-11-15,4.37,4.27,4.2501,4.34,37.0,7006.0
2018-11-16,4.74,4.6,4.105,4.35,96.0,15114.0
2018-11-19,4.55,4.11,4.11,4.47,30.0,7474.0
2018-11-20,5.0,4.57,4.11,4.15,119.0,48392.0
2018-11-21,4.96,4.5,4.47,4.9581,20.0,865.0
2018-11-23,4.4254,4.42,4.25,4.4254,13.0,1481.0
2018-11-26,4.85,4.7,4.48,4.59,65.0,8434.0
2018-11-27,4.6948,4.55,4.55,4.63,52.0,30541.0
2018-11-28,4.48,4.45,4.25,4.48,44.0,7317.0
2018-11-29,4.45,4.26,4.26,4.39,17.0,685.0
2018-11-30,4.41,4.4,4.1794,4.35,31.0,8018.0
2018-12-03,4.4,4.29,4.1,4.4,84.0,18071.0
2018-12-04,4.2596,4.2596,4.23,4.23,12.0,363.0
2018-12-06,4.3,4.0,4.0,4.1205,50.0,8632.0
2018-12-07,4.3,4.23,4.0,4.0,20.0,3319.0
2018-12-10,4.3,3.76,3.75,4.16,121.0,24522.0
2018-12-11,4.6,4.51,4.24,4.58,437.0,72366.0
2018-12-12,4.6,4.3,4.25,4.6,133.0,16741.0
2018-12-13,4.35,4.2,4.19,4.35,69.0,11251.0
2018-12-14,4.24,4.2,4.01,4.2,47.0,8752.0
2018-12-17,4.2,3.9,3.9,4.15,114.0,20646.0
2018-12-18,4.18,3.7,3.7,4.0,142.0,46346.0
2018-12-19,4.09,3.8,3.8,3.8,94.0,30757.0
2018-12-20,4.0,3.5,3.5,3.85,84.0,24287.0
2018-12-21,3.7898,3.53,3.3,3.5,57.0,16246.0
2018-12-24,3.5,3.5,3.0,3.48,46.0,6171.0
2018-12-26,3.5,3.5,3.1,3.47,66.0,9493.0
2018-12-27,3.4407,3.25,3.06,3.06,44.0,9323.0
2018-12-28,3.57,3.5201,3.497,3.497,40.0,10580.0
2018-12-31,3.58,3.42,3.0954,3.5,18.0,3381.0
2019-01-02,3.5799,3.57,3.4991,3.4991,25.0,3282.0
2019-01-03,3.53,3.29,3.1356,3.53,14.0,2261.0
2019-01-04,3.9234,3.63,3.18,3.18,85.0,20171.0
2019-01-07,3.77,3.6,3.6,3.77,19.0,1358.0
2019-01-08,3.89,3.89,3.52,3.66,36.0,6203.0
2019-01-09,4.0578,4.0,3.64,3.97,71.0,11438.0
2019-01-10,3.999,3.6553,3.6,3.999,73.0,7620.0
2019-01-11,3.92,3.92,3.618,3.6599,18.0,896.0
2019-01-14,3.66,3.36,3.25,3.66,173.0,40077.0
2019-01-15,3.4,3.34,3.047,3.36,35.0,3566.0
2019-01-16,3.42,3.34,3.2663,3.42,131.0,4195.0
2019-01-17,3.31,3.3,3.3,3.3099,296.0,1417.0
2019-01-18,3.3579,3.34,3.3,3.3,29.0,10723.0
2019-01-22,3.35,3.31,3.3,3.35,26.0,5674.0
2019-01-23,3.35,3.15,3.08,3.24,20.0,5271.0
2019-01-24,3.15,2.85,2.814,3.15,79.0,18734.0
2019-01-25,3.0,2.8,2.8,2.85,62.0,9733.0
2019-01-28,3.0,3.0,2.94,2.94,16.0,1524.0
2019-01-29,3.285,3.04,3.0224,3.06,64.0,17776.0
2019-01-30,3.2882,3.22,3.04,3.04,29.0,3485.0
2019-01-31,3.4037,3.26,3.19,3.19,33.0,5686.0
2019-02-01,3.3857,3.18,3.04,3.3857,25.0,6334.0
2019-02-04,3.1645,3.07,3.04,3.1645,32.0,3444.0
2019-02-05,3.0001,2.81,2.7501,2.98,66.0,14533.0
2019-02-06,2.8965,2.6,2.6,2.75,101.0,19355.0
2019-02-07,3.06,2.59,2.59,2.6,51.0,10878.0
2019-02-08,2.6,2.45,2.2628,2.52,34.0,8019.0
2019-02-11,2.58,2.42,2.3718,2.43,36.0,18658.0
2019-02-12,2.6871,2.66,2.47,2.47,143.0,20195.0
2019-02-13,2.67,2.51,2.4,2.64,62.0,23735.0
2019-02-14,2.64,2.41,2.4,2.63,54.0,10373.0
2019-02-15,2.47,2.37,2.37,2.4,41.0,5201.0
2019-02-19,2.5,2.39,2.3,2.4,70.0,14785.0
2019-02-20,2.49,2.3,2.3,2.4,61.0,5223.0
2019-02-21,2.45,2.35,2.3,2.42,40.0,3993.0
2019-02-22,2.405,2.35,2.31,2.405,34.0,2762.0
2019-02-25,2.73,2.5,2.3501,2.73,88.0,30178.0
2019-02-26,2.6,2.48,2.3501,2.59,61.0,32012.0
2019-02-27,2.5899,2.5899,2.3501,2.55,54.0,17985.0
2019-02-28,2.59,2.36,2.36,2.59,26.0,12934.0
2019-03-01,2.52,2.475,2.45,2.45,87.0,13874.0
