Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2017-08-08,9.7,9.69,9.67,9.7,224.0,3269055.0
2017-08-09,9.72,9.69,9.67,9.72,164.0,201467.0
2017-08-10,9.7,9.68,9.68,9.7,106.0,288111.0
2017-08-11,9.7,9.7,9.65,9.67,269.0,332325.0
2017-08-14,9.67,9.67,9.67,9.67,28.0,819478.0
2017-08-15,9.7,9.67,9.67,9.67,19.0,175200.0
2017-08-16,9.7,9.68,9.65,9.65,181.0,143842.0
2017-08-17,9.68,9.67,9.67,9.68,5.0,254000.0
2017-08-18,9.67,9.65,9.65,9.65,86.0,278000.0
2017-08-21,9.6699,9.65,9.61,9.65,179.0,104941.0
2017-08-22,9.7,9.68,9.65,9.7,16.0,2302.0
2017-08-23,9.7,9.66,9.62,9.67,268.0,151498.0
2017-08-24,9.67,9.65,9.64,9.65,54.0,19649.0
2017-08-25,9.67,9.66,9.63,9.63,15.0,58500.0
2017-08-28,9.66,9.66,9.66,9.66,1.0,1400.0
2017-08-29,9.69,9.68,9.65,9.65,7.0,52600.0
2017-08-30,9.69,9.6837,9.68,9.69,6.0,2400.0
2017-08-31,9.725,9.7,9.65,9.66,128.0,41285.0
2017-09-01,9.68,9.67,9.65,9.65,13.0,7400.0
2017-09-05,9.68,9.67,9.6599,9.6646,42.0,39415.0
2017-09-06,9.69,9.68,9.66,9.66,106.0,625900.0
2017-09-07,9.69,9.67,9.66,9.66,217.0,297726.0
2017-09-08,9.68,9.68,9.67,9.67,6.0,650117.0
2017-09-11,9.68,9.67,9.67,9.6799,20.0,51750.0
2017-09-12,9.69,9.69,9.6799,9.68,58.0,170297.0
2017-09-13,9.7,9.68,9.68,9.68,64.0,349678.0
2017-09-14,9.69,9.69,9.68,9.68,10.0,25200.0
2017-09-15,9.69,9.69,9.68,9.68,123.0,39101.0
2017-09-18,9.6829,9.6829,9.68,9.68,13.0,204301.0
2017-09-19,9.69,9.68,9.68,9.68,64.0,208728.0
2017-09-22,9.69,9.69,9.69,9.69,1.0,100.0
2017-09-25,9.69,9.69,9.66,9.68,25.0,90962.0
2017-09-26,9.69,9.69,9.68,9.68,6.0,6338.0
2017-09-27,9.6899,9.68,9.68,9.6899,5.0,4882.0
2017-09-28,9.69,9.69,9.68,9.68,5.0,508.0
2017-10-03,9.69,9.68,9.67,9.68,31.0,436313.0
2017-10-05,9.7,9.68,9.61,9.7,45.0,747516.0
2017-10-10,9.67,9.66,9.66,9.67,8.0,2700.0
2017-10-11,9.66,9.66,9.6586,9.66,8.0,23100.0
2017-10-13,9.68,9.68,9.6,9.67,12.0,6100.0
2017-10-16,9.69,9.67,9.66,9.68,99.0,273753.0
2017-10-17,9.67,9.67,9.67,9.67,5.0,705.0
2017-10-18,9.67,9.66,9.66,9.67,6.0,50480.0
2017-10-19,9.68,9.68,9.66,9.67,10.0,358411.0
2017-10-20,9.6801,9.67,9.67,9.6801,7.0,1207.0
2017-10-23,9.67,9.67,9.66,9.66,13.0,270244.0
2017-10-24,9.69,9.65,9.65,9.68,25.0,470059.0
2017-10-25,9.668,9.66,9.65,9.66,5.0,112020.0
2017-10-26,9.69,9.68,9.6699,9.69,102.0,125637.0
2017-10-30,9.6701,9.6701,9.67,9.67,2.0,2600.0
2017-11-01,9.68,9.68,9.67,9.67,19.0,226150.0
2017-11-03,9.68,9.68,9.6501,9.67,8.0,8000.0
2017-11-07,9.68,9.68,9.65,9.65,9.0,10368.0
2017-11-08,9.66,9.66,9.66,9.66,4.0,7099.0
2017-11-10,9.66,9.66,9.66,9.66,2.0,149.0
2017-11-13,9.67,9.67,9.66,9.66,4.0,6831.0
2017-11-14,9.68,9.68,9.68,9.68,20.0,2100.0
