Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2016-08-18,9.7,9.7,9.7,9.7,2.0,10000.0
2016-09-07,9.7,9.7,9.7,9.7,3.0,2500.0
2016-09-13,9.8499,9.739,9.7,9.8499,3.0,2000.0
2016-09-15,9.7501,9.75,9.75,9.75,4.0,10500.0
2016-09-20,9.77,9.77,9.77,9.77,1.0,500.0
2016-09-23,9.77,9.75,9.75,9.77,5.0,4300.0
2016-09-26,9.8492,9.8492,9.77,9.77,4.0,400.0
2016-09-28,9.71,9.65,9.65,9.71,2.0,190000.0
2016-09-30,9.77,9.77,9.77,9.77,1.0,100.0
2016-10-03,,,,,1.0,1.0
2016-10-05,9.8005,9.8,9.8,9.8,13.0,25301.0
2016-10-11,9.75,9.75,9.75,9.75,2.0,200.0
2016-10-13,9.75,9.75,9.75,9.75,2.0,200.0
2016-10-14,9.75,9.75,9.75,9.75,4.0,10000.0
2016-10-17,9.75,9.75,9.75,9.75,1.0,5000.0
2016-10-18,9.82,9.82,9.82,9.82,1.0,300.0
2016-10-25,9.75,9.75,9.75,9.75,1.0,189000.0
2016-10-31,9.75,9.75,9.75,9.75,1.0,200.0
2016-11-03,9.8,9.8,9.8,9.8,3.0,700.0
2016-11-16,,,,,1.0,1.0
2016-11-30,,,,,1.0,27.0
2016-12-22,9.75,9.73,9.73,9.73,14.0,4600.0
2016-12-23,9.73,9.73,9.73,9.73,2.0,2000.0
2016-12-28,9.78,9.78,9.78,9.78,1.0,200.0
2017-01-03,,,,,1.0,4.0
2017-01-04,9.84,9.84,9.78,9.78,6.0,2804.0
2017-01-05,9.8701,9.84,9.83,9.87,19.0,4593.0
2017-01-06,9.85,9.82,9.82,9.83,107.0,90362.0
2017-01-11,9.85,9.85,9.85,9.85,4.0,1534.0
2017-01-12,,,,,2.0,6.0
2017-01-13,9.9,9.9,9.888,9.9,19.0,9997.0
2017-01-17,,,,,1.0,31.0
2017-01-20,,,,,3.0,93.0
2017-01-23,,,,,2.0,62.0
2017-01-24,9.87,9.87,9.87,9.87,8.0,1955.0
2017-01-25,9.87,9.87,9.87,9.87,2.0,1100.0
2017-01-26,,,,,2.0,62.0
2017-01-27,9.9186,9.9025,9.87,9.88,24.0,6200.0
2017-01-30,9.9,9.88,9.88,9.9,5.0,684.0
2017-01-31,9.88,9.88,9.88,9.88,1.0,116.0
2017-02-01,,,,,1.0,4.0
2017-02-02,9.9,9.9,9.88,9.9,5.0,4504.0
2017-02-03,9.9015,9.9005,9.9,9.9,12.0,38000.0
2017-02-06,9.92,9.9,9.9,9.9,11.0,73800.0
2017-02-09,10.0,10.0,10.0,10.0,1.0,50000.0
2017-02-10,10.05,10.05,9.92,10.05,23.0,61200.0
2017-02-13,,,,,1.0,79.0
2017-02-14,,,,,1.0,79.0
2017-02-16,10.56,10.05,10.05,10.05,8.0,748.0
2017-02-17,10.19,9.98,9.98,10.19,18.0,5100.0
2017-02-21,9.97,9.97,9.96,9.96,6.0,1455.0
2017-02-22,9.97,9.97,9.97,9.97,3.0,524.0
2017-03-03,10.2,10.2,10.05,10.12,6.0,1700.0
2017-03-06,10.15,10.15,9.97,10.0,3.0,1600.0
2017-03-08,10.04,10.0,9.98,9.98,21.0,509890.0
2017-03-09,10.0109,10.0,10.0,10.0109,18.0,9358.0
2017-03-17,,,,,2.0,100.0
2017-03-21,10.0,10.0,9.95,9.95,33.0,21912.0
2017-03-23,10.0,9.95,9.95,9.95,7.0,12700.0
2017-03-27,9.98,9.97,9.96,9.98,121.0,38430.0
2017-03-28,9.99,9.98,9.97,9.99,4.0,600.0
2017-03-29,10.0,10.0,9.98,9.98,3.0,55500.0
2017-03-30,10.0,9.97,9.97,10.0,5.0,1600.0
2017-04-04,10.02,9.98,9.98,10.02,5.0,700.0
2017-04-05,10.02,9.98,9.98,10.02,5.0,700.0
2017-04-07,9.99,9.98,9.97,9.98,7.0,1400.0
2017-04-10,9.98,9.97,9.97,9.98,3.0,500.0
2017-04-11,9.97,9.97,9.97,9.97,1.0,100.0
2017-04-19,9.97,9.97,9.97,9.97,8.0,1000.0
2017-04-28,9.98,9.98,9.92,9.97,3.0,500200.0
2017-05-08,9.99,9.99,9.97,9.97,3.0,1100.0
2017-05-10,9.99,9.95,9.95,9.99,10.0,131760.0
2017-05-16,9.98,9.9,9.9,9.98,2.0,250000.0
2017-05-17,9.91,9.9,9.9,9.91,7.0,28500.0
2017-05-18,9.91,9.9,9.9,9.91,2.0,300.0
2017-05-19,9.92,9.92,9.92,9.92,2.0,200.0
2017-05-22,9.93,9.93,9.9,9.92,10.0,1700.0
2017-05-23,9.94,9.92,9.91,9.94,19.0,7002.0
2017-05-25,9.92,9.91,9.91,9.92,13.0,6183.0
2017-05-26,9.93,9.9,9.9,9.93,4.0,500.0
2017-05-30,9.93,9.93,9.93,9.93,1.0,100.0
2017-05-31,9.98,9.96,9.93,9.93,49.0,4965.0
2017-06-02,9.97,9.96,9.96,9.97,8.0,1537.0
2017-06-05,9.98,9.9734,9.93,9.98,38.0,9542.0
2017-06-06,9.99,9.97,9.97,9.99,6.0,10300.0
2017-06-07,9.97,9.97,9.95,9.96,15.0,12600.0
2017-06-08,9.97,9.97,9.97,9.97,2.0,800.0
2017-06-09,10.0,9.99,9.98,9.98,9.0,2300.0
2017-06-12,10.05,10.0336,10.0236,10.05,7.0,1755.0
2017-06-13,10.02,10.02,10.02,10.02,2.0,109.0
2017-06-15,10.02,9.98,9.98,10.02,10.0,2400.0
2017-06-16,10.0,10.0,10.0,10.0,5.0,1041.0
2017-06-19,,,,,1.0,2.0
2017-06-20,,,,,1.0,2.0
2017-06-21,10.0204,10.0204,9.98,10.0,32.0,20569.0
2017-06-26,10.0,10.0,10.0,10.0,1.0,300000.0
2017-06-28,10.0,10.0,10.0,10.0,7.0,7500.0
2017-06-29,10.58,10.17,10.0,10.0,57.0,19380.0
2017-06-30,10.2,10.12,10.12,10.16,14.0,1792.0
2017-07-03,10.1,10.1,10.1,10.1,1.0,100.0
2017-07-05,,,,,1.0,76.0
2017-07-07,10.01,10.01,10.01,10.01,3.0,9409.0
2017-07-11,10.04,10.04,10.01,10.01,3.0,300.0
2017-07-12,9.99,9.99,9.99,9.99,2.0,300.0
2017-07-13,10.02,10.02,10.02,10.02,1.0,100.0
2017-07-18,10.12,10.12,10.0442,10.0442,8.0,54800.0
2017-07-19,10.11,10.11,10.02,10.02,12.0,3600.0
2017-07-20,10.19,10.19,10.06,10.06,6.0,1100.0
2017-07-21,10.1,10.1,10.05,10.05,3.0,400.0
2017-07-24,10.13,10.13,10.0799,10.09,4.0,11500.0
2017-07-25,10.12,10.1199,10.09,10.09,15.0,7300.0
2017-07-26,10.18,10.12,10.08,10.18,100.0,15903.0
2017-07-27,11.0,10.15,10.15,11.0,4.0,500.0
2017-07-28,10.2,10.14,10.11,10.2,47.0,103800.0
2017-07-31,10.0799,10.0228,10.0228,10.077,14.0,1600.0
2017-08-01,10.04,10.0211,10.02,10.04,3.0,1200.0
2017-08-02,10.04,10.02,10.01,10.02,22.0,8800.0
2017-08-03,10.03,10.03,10.03,10.03,1.0,400.0
2017-08-04,10.06,10.05,10.05,10.06,2.0,400.0
2017-08-08,10.06,10.05,10.05,10.05,4.0,1900.0
2017-08-09,10.06,10.02,10.02,10.05,7.0,5400.0
2017-08-11,,,,,1.0,75.0
2017-08-14,10.02,10.02,10.0,10.01,8.0,3500.0
2017-08-15,10.0501,10.05,10.02,10.02,121.0,57700.0
2017-08-16,10.05,10.04,10.03,10.0493,27.0,7800.0
2017-08-17,10.03,10.03,10.03,10.03,1.0,100.0
2017-08-18,10.06,10.06,10.06,10.06,2.0,300.0
2017-08-21,10.06,10.06,9.99,10.0096,7.0,4105.0
2017-08-22,10.06,10.06,10.06,10.06,3.0,102.0
2017-08-28,10.05,10.05,10.03,10.03,4.0,501.0
2017-08-29,10.05,10.05,10.05,10.05,1.0,100.0
2017-08-30,10.05,10.05,10.05,10.05,2.0,400.0
2017-09-05,10.05,10.05,10.02,10.02,6.0,2400.0
2017-09-06,10.04,10.04,10.0,10.0,29.0,6700.0
2017-09-07,10.04,10.04,9.99,9.99,2.0,400.0
2017-09-08,10.02,10.02,10.02,10.02,1.0,50000.0
2017-09-11,10.04,10.04,10.04,10.04,1.0,100.0
2017-09-12,10.03,10.03,10.03,10.03,1.0,100.0
2017-09-14,10.04,10.03,10.03,10.04,2.0,1300.0
2017-09-18,10.02,10.02,10.02,10.02,5.0,465.0
2017-09-19,10.02,10.0,10.0,10.02,13.0,4815.0
2017-09-20,10.0001,9.99,9.99,10.0001,55.0,26300.0
2017-09-21,10.03,10.02,10.0,10.0,10.0,7850.0
2017-09-29,10.02,10.02,10.01,10.02,13.0,16600.0
2017-10-02,,,,,2.0,51.0
